DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2025-07-15 07:00:00,,20250900,923.65,20250800,,20250900
2025-07-15 08:00:00,,20250900,922.3,20250800,,20250900
2025-07-15 09:00:00,,20250900,922.45,20250800,,20250900
2025-07-15 10:00:00,,20250900,922.25,20250800,,20250900
2025-07-15 11:00:00,,20250900,922.3,20250800,,20250900
2025-07-15 12:00:00,,20250900,922.5,20250800,,20250900
2025-07-15 13:00:00,,20250900,919.9,20250800,,20250900
2025-07-15 14:00:00,,20250900,919.35,20250800,,20250900
2025-07-15 15:00:00,,20250900,920.9,20250800,,20250900
2025-07-15 16:00:00,,20250900,920.0,20250800,,20250900
2025-07-15 17:00:00,,20250900,922.0,20250800,,20250900
2025-07-15 18:00:00,,20250900,922.0,20250800,,20250900
2025-07-15 19:00:00,,20250900,921.65,20250800,,20250900
2025-07-15 23:00:00,921.45,20250900,922.0,20250800,921.45,20250900
2025-07-16 06:00:00,,20250900,912.35,20250800,,20250900
2025-07-16 07:00:00,,20250900,909.85,20250800,,20250900
2025-07-16 08:00:00,,20250900,909.65,20250800,,20250900
2025-07-16 09:00:00,,20250900,908.9,20250800,,20250900
2025-07-16 10:00:00,,20250900,909.85,20250800,,20250900
2025-07-16 11:00:00,,20250900,911.65,20250800,,20250900
2025-07-16 12:00:00,,20250900,910.05,20250800,,20250900
2025-07-16 13:00:00,,20250900,906.35,20250800,,20250900
2025-07-16 14:00:00,,20250900,903.2,20250800,,20250900
2025-07-16 15:00:00,,20250900,904.0,20250800,,20250900
2025-07-16 16:00:00,,20250900,905.6,20250800,,20250900
2025-07-16 17:00:00,,20250900,906.7,20250800,,20250900
2025-07-16 18:00:00,,20250900,909.0,20250800,,20250900
2025-07-16 19:00:00,,20250900,908.9,20250800,,20250900
2025-07-16 23:00:00,900.25,20250900,898.7,20250800,900.25,20250900
2025-07-17 06:00:00,,20250900,909.3,20250800,,20250900
2025-07-17 07:00:00,,20250900,905.6,20250800,,20250900
2025-07-17 08:00:00,,20250900,905.05,20250800,,20250900
2025-07-17 09:00:00,,20250900,906.3,20250800,,20250900
2025-07-17 10:00:00,,20250900,905.45,20250800,,20250900
2025-07-17 11:00:00,,20250900,907.0,20250800,,20250900
2025-07-17 12:00:00,,20250900,906.95,20250800,,20250900
2025-07-17 13:00:00,,20250900,909.95,20250800,,20250900
2025-07-17 14:00:00,,20250900,911.1,20250800,,20250900
2025-07-17 15:00:00,,20250900,911.25,20250800,,20250900
2025-07-17 16:00:00,,20250900,909.2,20250800,,20250900
2025-07-17 17:00:00,,20250900,909.9,20250800,,20250900
2025-07-17 18:00:00,,20250900,911.3,20250800,,20250900
2025-07-17 19:00:00,,20250900,910.5,20250800,,20250900
2025-07-17 23:00:00,912.45,20250900,910.95,20250800,912.45,20250900
2025-07-18 06:00:00,,20250900,912.7,20250800,,20250900
2025-07-18 07:00:00,,20250900,914.2,20250800,,20250900
2025-07-18 08:00:00,,20250900,914.75,20250800,,20250900
2025-07-18 09:00:00,,20250900,914.55,20250800,,20250900
2025-07-18 10:00:00,,20250900,911.7,20250800,,20250900
2025-07-18 11:00:00,,20250900,912.05,20250800,,20250900
2025-07-18 12:00:00,,20250900,911.55,20250800,,20250900
2025-07-18 13:00:00,,20250900,908.4,20250800,,20250900
2025-07-18 14:00:00,,20250900,908.9,20250800,,20250900
2025-07-18 15:00:00,,20250900,909.3,20250800,,20250900
2025-07-18 16:00:00,,20250900,907.3,20250800,,20250900
2025-07-18 17:00:00,,20250900,907.8,20250800,,20250900
2025-07-18 18:00:00,,20250900,906.5,20250800,,20250900
2025-07-18 19:00:00,,20250900,906.8,20250800,,20250900
2025-07-18 23:00:00,909.8,20250900,908.3,20250800,909.8,20250900
2025-07-21 06:00:00,,20250900,908.7,20250800,,20250900
2025-07-21 07:00:00,,20250900,907.3,20250800,,20250900
2025-07-21 08:00:00,907.5,20250900,907.3,20250800,907.5,20250900
2025-07-21 09:00:00,906.55,20250900,905.6,20250800,906.55,20250900
2025-07-21 10:00:00,906.55,20250900,904.6,20250800,906.55,20250900
2025-07-21 11:00:00,906.55,20250900,904.65,20250800,906.55,20250900
2025-07-21 12:00:00,906.55,20250900,904.15,20250800,906.55,20250900
2025-07-21 13:00:00,906.55,20250900,904.05,20250800,906.55,20250900
2025-07-21 14:00:00,906.55,20250900,903.1,20250800,906.55,20250900
2025-07-21 15:00:00,906.55,20250900,903.35,20250800,906.55,20250900
2025-07-21 16:00:00,906.55,20250900,903.35,20250800,906.55,20250900
2025-07-21 17:00:00,906.55,20250900,902.9,20250800,906.55,20250900
2025-07-21 18:00:00,906.55,20250900,902.45,20250800,906.55,20250900
2025-07-21 19:00:00,906.55,20250900,900.5,20250800,906.55,20250900
2025-07-21 23:00:00,906.2,20250900,904.8,20250800,906.2,20250900
2025-07-22 06:00:00,,20250900,899.2,20250800,,20250900
2025-07-22 07:00:00,,20250900,899.0,20250800,,20250900
2025-07-22 08:00:00,,20250900,899.85,20250800,,20250900
2025-07-22 09:00:00,,20250900,899.3,20250800,,20250900
2025-07-22 10:00:00,,20250900,897.85,20250800,,20250900
2025-07-22 11:00:00,,20250900,899.55,20250800,,20250900
2025-07-22 12:00:00,,20250900,900.25,20250800,,20250900
2025-07-22 13:00:00,902.0,20250900,898.9,20250800,902.0,20250900
2025-07-22 14:00:00,902.0,20250900,898.0,20250800,902.0,20250900
2025-07-22 15:00:00,902.0,20250900,897.1,20250800,902.0,20250900
2025-07-22 16:00:00,902.0,20250900,896.15,20250800,902.0,20250900
2025-07-22 17:00:00,902.0,20250900,896.05,20250800,902.0,20250900
2025-07-22 18:00:00,902.0,20250900,896.85,20250800,902.0,20250900
2025-07-22 19:00:00,902.0,20250900,897.1,20250800,902.0,20250900
2025-07-22 23:00:00,898.75,20250900,897.45,20250800,898.75,20250900
2025-07-23 06:00:00,904.4,20250900,903.25,20250800,904.4,20250900
2025-07-23 07:00:00,904.4,20250900,905.7,20250800,904.4,20250900
2025-07-23 08:00:00,904.4,20250900,907.3,20250800,904.4,20250900
2025-07-23 09:00:00,910.0,20250900,908.7,20250800,910.0,20250900
2025-07-23 10:00:00,910.0,20250900,905.6,20250800,910.0,20250900
2025-07-23 11:00:00,910.0,20250900,905.6,20250800,910.0,20250900
2025-07-23 12:00:00,910.0,20250900,905.25,20250800,910.0,20250900
2025-07-23 13:00:00,905.75,20250900,903.9,20250800,905.75,20250900
2025-07-23 14:00:00,905.75,20250900,904.0,20250800,905.75,20250900
