DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-03-15 23:00:00,854.5,848.75,848.75,20240400,20240500,20240500
2024-03-18 23:00:00,856.15,850.4,850.4,20240400,20240500,20240500
2024-03-19 23:00:00,863.05,857.3,857.3,20240400,20240500,20240500
2024-03-20 23:00:00,862.8,857.05,857.05,20240400,20240500,20240500
2024-03-21 23:00:00,877.5,871.75,871.75,20240400,20240500,20240500
2024-03-22 23:00:00,878.35,872.65,872.65,20240400,20240500,20240500
2024-03-25 23:00:00,879.05,873.35,873.35,20240400,20240500,20240500
2024-03-26 23:00:00,880.15,874.45,874.45,20240400,20240500,20240500
2024-03-27 23:00:00,880.45,874.75,874.75,20240400,20240500,20240500
2024-03-28 23:00:00,883.3,877.6,877.6,20240400,20240500,20240500
2024-04-02 23:00:00,882.55,876.85,876.85,20240400,20240500,20240500
2024-04-03 23:00:00,885.1,879.4,879.4,20240400,20240500,20240500
2024-04-04 23:00:00,885.0,879.4,879.4,20240400,20240500,20240500
2024-04-05 23:00:00,881.25,875.65,875.65,20240400,20240500,20240500
2024-04-08 23:00:00,885.4,879.8,879.8,20240400,20240500,20240500
2024-04-09 23:00:00,881.4,875.8,875.8,20240400,20240500,20240500
2024-04-10 23:00:00,886.9,881.3,881.3,20240400,20240500,20240500
2024-04-11 23:00:00,883.75,878.15,878.15,20240400,20240500,20240500
2024-04-12 23:00:00,883.75,878.15,878.15,20240400,20240500,20240500
2024-04-15 23:00:00,884.3,878.7,878.7,20240400,20240500,20240500
2024-04-16 23:00:00,869.25,871.6,871.6,20240500,20240600,20240600
2024-04-17 23:00:00,859.8,862.15,862.15,20240500,20240600,20240600
2024-04-18 23:00:00,859.65,861.85,861.85,20240500,20240600,20240600
2024-04-19 23:00:00,854.5,856.7,856.7,20240500,20240600,20240600
2024-04-22 23:00:00,860.8,863.05,863.05,20240500,20240600,20240600
2024-04-23 23:00:00,869.0,871.35,871.35,20240500,20240600,20240600
2024-04-24 23:00:00,870.15,872.5,872.5,20240500,20240600,20240600
2024-04-25 23:00:00,866.15,868.4,868.4,20240500,20240600,20240600
2024-04-26 23:00:00,879.05,881.35,881.35,20240500,20240600,20240600
2024-04-29 23:00:00,879.0,881.3,881.3,20240500,20240600,20240600
2024-04-30 23:00:00,875.55,877.85,877.85,20240500,20240600,20240600
2024-05-02 23:00:00,875.85,878.2,878.2,20240500,20240600,20240600
2024-05-03 23:00:00,884.45,886.8,886.8,20240500,20240600,20240600
2024-05-06 23:00:00,888.1,890.45,890.45,20240500,20240600,20240600
2024-05-07 23:00:00,897.1,899.5,899.5,20240500,20240600,20240600
2024-05-08 23:00:00,896.55,898.95,898.95,20240500,20240600,20240600
2024-05-09 23:00:00,901.9,904.45,904.45,20240500,20240600,20240600
2024-05-10 23:00:00,908.4,910.9,910.9,20240500,20240600,20240600
2024-05-13 23:00:00,909.7,912.2,912.2,20240500,20240600,20240600
2024-05-14 23:00:00,908.3,910.8,910.8,20240500,20240600,20240600
2024-05-15 23:00:00,911.1,913.7,913.7,20240500,20240600,20240600
2024-05-16 23:00:00,916.05,918.95,918.95,20240600,20240700,20240700
2024-05-17 23:00:00,915.6,918.5,918.5,20240600,20240700,20240700
2024-05-20 23:00:00,917.3,920.2,920.2,20240600,20240700,20240700
2024-05-21 23:00:00,913.8,916.65,916.65,20240600,20240700,20240700
2024-05-22 23:00:00,912.75,915.65,915.65,20240600,20240700,20240700
2024-05-23 23:00:00,916.15,919.1,919.1,20240600,20240700,20240700
