DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-03-05 14:00:00,97.5,,,20240600,20240900,20240900
2024-03-05 15:00:00,97.35,,,20240600,20240900,20240900
2024-03-05 16:00:00,97.38,,,20240600,20240900,20240900
2024-03-05 17:00:00,96.71,,,20240600,20240900,20240900
2024-03-06 06:00:00,97.87,97.87,97.87,20240600,20240900,20240900
2024-03-06 14:00:00,98.25,,,20240600,20240900,20240900
2024-03-06 15:00:00,97.77,,,20240600,20240900,20240900
2024-03-06 18:00:00,97.9,,,20240600,20240900,20240900
2024-03-07 06:00:00,98.29,98.29,98.29,20240600,20240900,20240900
2024-03-07 14:00:00,98.25,,,20240600,20240900,20240900
2024-03-07 17:00:00,100.99,,,20240600,20240900,20240900
2024-03-08 06:00:00,98.0,98.0,98.0,20240600,20240900,20240900
2024-03-08 16:00:00,97.49,,,20240600,20240900,20240900
2024-03-08 19:00:00,98.07,,,20240600,20240900,20240900
2024-03-11 05:00:00,98.3,98.3,98.3,20240600,20240900,20240900
2024-03-11 13:00:00,97.73,,,20240600,20240900,20240900
2024-03-11 15:00:00,98.07,,,20240600,20240900,20240900
2024-03-11 16:00:00,98.42,,,20240600,20240900,20240900
2024-03-11 17:00:00,98.41,,,20240600,20240900,20240900
2024-03-12 05:00:00,98.18,98.18,98.18,20240600,20240900,20240900
2024-03-12 14:00:00,98.1,,,20240600,20240900,20240900
2024-03-12 15:00:00,98.32,,,20240600,20240900,20240900
2024-03-12 16:00:00,98.3,,,20240600,20240900,20240900
2024-03-13 05:00:00,98.99,98.99,98.99,20240600,20240900,20240900
2024-03-13 13:00:00,98.46,,,20240600,20240900,20240900
2024-03-13 14:00:00,98.52,,,20240600,20240900,20240900
2024-03-13 15:00:00,98.78,,,20240600,20240900,20240900
2024-03-13 17:00:00,99.11,,,20240600,20240900,20240900
2024-03-14 05:00:00,99.08,99.08,99.08,20240600,20240900,20240900
2024-03-14 14:00:00,99.15,,,20240600,20240900,20240900
2024-03-14 15:00:00,98.84,,,20240600,20240900,20240900
2024-03-14 16:00:00,98.86,,,20240600,20240900,20240900
2024-03-14 18:00:00,99.0,,,20240600,20240900,20240900
2024-03-15 05:00:00,99.19,99.19,99.19,20240600,20240900,20240900
2024-03-15 13:00:00,98.88,,,20240600,20240900,20240900
2024-03-15 14:00:00,99.04,,,20240600,20240900,20240900
2024-03-15 15:00:00,99.32,,,20240600,20240900,20240900
2024-03-15 16:00:00,99.35,,,20240600,20240900,20240900
2024-03-15 17:00:00,99.11,,,20240600,20240900,20240900
2024-03-18 05:00:00,99.68,99.68,99.68,20240600,20240900,20240900
2024-03-18 13:00:00,99.56,,,20240600,20240900,20240900
2024-03-18 14:00:00,99.53,,,20240600,20240900,20240900
2024-03-18 15:00:00,99.55,,,20240600,20240900,20240900
2024-03-18 16:00:00,99.62,,,20240600,20240900,20240900
2024-03-18 17:00:00,99.7,,,20240600,20240900,20240900
2024-03-18 18:00:00,99.75,,,20240600,20240900,20240900
2024-03-19 05:00:00,99.59,99.59,99.59,20240600,20240900,20240900
2024-03-19 13:00:00,99.4,,,20240600,20240900,20240900
2024-03-19 14:00:00,99.47,,,20240600,20240900,20240900
2024-03-19 15:00:00,99.53,,,20240600,20240900,20240900
2024-03-19 16:00:00,99.45,,,20240600,20240900,20240900
2024-03-19 17:00:00,99.66,,,20240600,20240900,20240900
2024-03-19 18:00:00,99.62,,,20240600,20240900,20240900
2024-03-20 05:00:00,99.25,99.25,99.25,20240600,20240900,20240900
2024-03-20 13:00:00,99.2,,,20240600,20240900,20240900
2024-03-20 14:00:00,98.9,,,20240600,20240900,20240900
2024-03-20 15:00:00,99.0,,,20240600,20240900,20240900
2024-03-21 05:00:00,99.44,99.44,99.44,20240600,20240900,20240900
2024-03-21 13:00:00,99.6,,,20240600,20240900,20240900
2024-03-21 14:00:00,99.24,,,20240600,20240900,20240900
2024-03-21 15:00:00,99.6,,,20240600,20240900,20240900
2024-03-21 16:00:00,99.18,,,20240600,20240900,20240900
2024-03-22 05:00:00,98.7,98.7,98.7,20240600,20240900,20240900
2024-03-22 13:00:00,99.05,,,20240600,20240900,20240900
2024-03-22 14:00:00,99.02,,,20240600,20240900,20240900
2024-03-22 15:00:00,98.92,,,20240600,20240900,20240900
2024-03-22 16:00:00,98.8,,,20240600,20240900,20240900
2024-03-25 05:00:00,99.28,99.28,99.28,20240600,20240900,20240900
2024-03-25 13:00:00,99.03,,,20240600,20240900,20240900
2024-03-25 14:00:00,99.56,,,20240600,20240900,20240900
2024-03-25 15:00:00,99.3,,,20240600,20240900,20240900
2024-03-25 16:00:00,99.26,,,20240600,20240900,20240900
2024-03-25 17:00:00,99.24,,,20240600,20240900,20240900
2024-03-26 05:00:00,98.68,98.68,98.68,20240600,20240900,20240900
2024-03-26 13:00:00,99.2,,,20240600,20240900,20240900
2024-03-26 14:00:00,98.91,,,20240600,20240900,20240900
2024-03-26 16:00:00,98.97,,,20240600,20240900,20240900
2024-03-26 17:00:00,98.77,,,20240600,20240900,20240900
2024-03-26 18:00:00,98.62,,,20240600,20240900,20240900
2024-03-27 05:00:00,98.31,98.31,98.31,20240600,20240900,20240900
2024-03-27 13:00:00,98.2,,,20240600,20240900,20240900
2024-03-27 15:00:00,98.19,,,20240600,20240900,20240900
2024-03-27 17:00:00,98.22,,,20240600,20240900,20240900
2024-03-28 05:00:00,99.49,99.49,99.49,20240600,20240900,20240900
2024-03-28 13:00:00,98.62,,,20240600,20240900,20240900
2024-03-28 14:00:00,98.89,,,20240600,20240900,20240900
2024-03-28 15:00:00,98.87,,,20240600,20240900,20240900
2024-03-28 16:00:00,99.47,,,20240600,20240900,20240900
2024-03-28 17:00:00,99.32,,,20240600,20240900,20240900
2024-03-28 18:00:00,99.47,,,20240600,20240900,20240900
2024-04-01 05:00:00,99.9,99.9,99.9,20240600,20240900,20240900
2024-04-01 14:00:00,100.2,,,20240600,20240900,20240900
2024-04-01 15:00:00,100.06,,,20240600,20240900,20240900
2024-04-01 16:00:00,100.25,,,20240600,20240900,20240900
2024-04-01 17:00:00,99.9,,,20240600,20240900,20240900
2024-04-01 18:00:00,99.87,,,20240600,20240900,20240900
2024-04-02 05:00:00,100.7,100.7,100.7,20240600,20240900,20240900
2024-04-02 13:00:00,100.82,,,20240600,20240900,20240900
2024-04-02 14:00:00,100.88,,,20240600,20240900,20240900
2024-04-02 15:00:00,100.8,,,20240600,20240900,20240900
2024-04-02 16:00:00,100.65,,,20240600,20240900,20240900
2024-04-02 17:00:00,100.5,,,20240600,20240900,20240900
2024-04-03 05:00:00,101.91,101.91,101.91,20240600,20240900,20240900
2024-04-03 13:00:00,101.52,,,20240600,20240900,20240900
2024-04-03 14:00:00,101.83,,,20240600,20240900,20240900
2024-04-03 15:00:00,101.73,,,20240600,20240900,20240900
2024-04-03 16:00:00,101.75,,,20240600,20240900,20240900
2024-04-03 17:00:00,102.15,,,20240600,20240900,20240900
2024-04-03 18:00:00,102.04,,,20240600,20240900,20240900
2024-04-04 05:00:00,102.26,102.26,102.26,20240600,20240900,20240900
2024-04-04 13:00:00,101.78,,,20240600,20240900,20240900
2024-04-04 14:00:00,101.87,,,20240600,20240900,20240900
2024-04-04 15:00:00,101.9,,,20240600,20240900,20240900
2024-04-04 16:00:00,101.73,,,20240600,20240900,20240900
2024-04-04 17:00:00,101.84,,,20240600,20240900,20240900
2024-04-04 18:00:00,102.28,,,20240600,20240900,20240900
2024-04-05 05:00:00,102.9,102.9,102.9,20240600,20240900,20240900
2024-04-05 13:00:00,102.33,,,20240600,20240900,20240900
2024-04-05 14:00:00,102.88,,,20240600,20240900,20240900
2024-04-05 15:00:00,103.01,,,20240600,20240900,20240900
2024-04-05 16:00:00,103.06,,,20240600,20240900,20240900
2024-04-05 17:00:00,102.98,,,20240600,20240900,20240900
2024-04-05 18:00:00,102.83,,,20240600,20240900,20240900
2024-04-08 05:00:00,102.92,102.92,102.92,20240600,20240900,20240900
2024-04-08 13:00:00,102.76,,,20240600,20240900,20240900
2024-04-08 14:00:00,102.75,,,20240600,20240900,20240900
2024-04-08 15:00:00,102.65,,,20240600,20240900,20240900
2024-04-08 16:00:00,102.75,,,20240600,20240900,20240900
2024-04-08 17:00:00,103.0,,,20240600,20240900,20240900
2024-04-08 18:00:00,103.03,,,20240600,20240900,20240900
2024-04-09 05:00:00,102.8,102.8,102.8,20240600,20240900,20240900
