DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2019-09-30 02:00:00,61.19,60.41,60.41,20191200,20200100,20200100
2019-09-30 03:00:00,61.17,,,20191200,20200100,20200100
2019-09-30 04:00:00,61.0,60.15,60.15,20191200,20200100,20200100
2019-09-30 05:00:00,59.25,60.16,60.16,20191200,20200100,20200100
2019-09-30 06:00:00,60.82,60.03,60.03,20191200,20200100,20200100
2019-09-30 07:00:00,60.7,59.86,59.86,20191200,20200100,20200100
2019-09-30 08:00:00,60.7,59.91,59.91,20191200,20200100,20200100
2019-09-30 09:00:00,60.3,59.54,59.54,20191200,20200100,20200100
2019-09-30 10:00:00,60.41,59.64,59.64,20191200,20200100,20200100
2019-09-30 11:00:00,60.41,59.56,59.56,20191200,20200100,20200100
2019-09-30 12:00:00,60.27,59.48,59.48,20191200,20200100,20200100
2019-09-30 13:00:00,60.36,59.57,59.57,20191200,20200100,20200100
2019-09-30 14:00:00,60.69,59.83,59.83,20191200,20200100,20200100
2019-09-30 15:00:00,60.28,59.48,59.48,20191200,20200100,20200100
2019-09-30 16:00:00,60.12,59.4,59.4,20191200,20200100,20200100
2019-09-30 17:00:00,59.78,59.02,59.02,20191200,20200100,20200100
2019-09-30 18:00:00,59.3,58.46,58.46,20191200,20200100,20200100
2019-09-30 19:00:00,59.44,58.65,58.65,20191200,20200100,20200100
2019-09-30 20:00:00,59.34,58.65,58.65,20191200,20200100,20200100
2019-09-30 22:00:00,59.37,,,20191200,20200100,20200100
2019-09-30 23:00:00,59.45,,,20191200,20200100,20200100
2019-10-01 00:00:00,59.5,,,20191200,20200100,20200100
2019-10-01 01:00:00,59.7,58.92,58.92,20191200,20200100,20200100
2019-10-01 02:00:00,59.71,58.89,58.89,20191200,20200100,20200100
2019-10-01 03:00:00,59.7,,,20191200,20200100,20200100
2019-10-01 04:00:00,59.67,58.9,58.9,20191200,20200100,20200100
2019-10-01 05:00:00,59.56,58.87,58.87,20191200,20200100,20200100
2019-10-01 06:00:00,59.47,58.75,58.75,20191200,20200100,20200100
2019-10-01 07:00:00,59.68,58.85,58.85,20191200,20200100,20200100
2019-10-01 08:00:00,59.83,59.07,59.07,20191200,20200100,20200100
2019-10-01 09:00:00,59.82,59.15,59.15,20191200,20200100,20200100
2019-10-01 10:00:00,59.9,59.18,59.18,20191200,20200100,20200100
