DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-02 07:00:00,120.3,,,20250900,20251200,20251200
2025-06-02 08:00:00,120.24,,,20250900,20251200,20251200
2025-06-02 09:00:00,120.27,,,20250900,20251200,20251200
2025-06-02 10:00:00,120.44,,,20250900,20251200,20251200
2025-06-02 11:00:00,120.57,,,20250900,20251200,20251200
2025-06-02 12:00:00,120.48,,,20250900,20251200,20251200
2025-06-02 13:00:00,120.57,,,20250900,20251200,20251200
2025-06-02 14:00:00,120.78,,,20250900,20251200,20251200
2025-06-02 15:00:00,120.68,,,20250900,20251200,20251200
2025-06-02 16:00:00,120.73,,,20250900,20251200,20251200
2025-06-02 23:00:00,120.72,119.9,119.9,20250900,20251200,20251200
2025-06-03 06:00:00,120.92,,,20250900,20251200,20251200
2025-06-03 07:00:00,120.75,,,20250900,20251200,20251200
2025-06-03 08:00:00,120.86,,,20250900,20251200,20251200
2025-06-03 09:00:00,120.93,,,20250900,20251200,20251200
2025-06-03 10:00:00,120.86,,,20250900,20251200,20251200
2025-06-03 11:00:00,120.96,,,20250900,20251200,20251200
2025-06-03 12:00:00,120.8,,,20250900,20251200,20251200
2025-06-03 13:00:00,120.89,,,20250900,20251200,20251200
2025-06-03 14:00:00,120.8,,,20250900,20251200,20251200
2025-06-03 15:00:00,120.71,,,20250900,20251200,20251200
2025-06-03 16:00:00,120.7,,,20250900,20251200,20251200
2025-06-03 23:00:00,120.84,120.0,120.0,20250900,20251200,20251200
2025-06-04 06:00:00,120.81,,,20250900,20251200,20251200
2025-06-04 07:00:00,120.66,,,20250900,20251200,20251200
2025-06-04 08:00:00,120.67,,,20250900,20251200,20251200
2025-06-04 09:00:00,120.7,,,20250900,20251200,20251200
2025-06-04 10:00:00,120.74,,,20250900,20251200,20251200
2025-06-04 11:00:00,120.65,,,20250900,20251200,20251200
2025-06-04 12:00:00,120.68,,,20250900,20251200,20251200
2025-06-04 13:00:00,120.64,,,20250900,20251200,20251200
2025-06-04 14:00:00,120.75,,,20250900,20251200,20251200
2025-06-04 15:00:00,120.73,,,20250900,20251200,20251200
2025-06-04 16:00:00,120.88,,,20250900,20251200,20251200
2025-06-04 23:00:00,120.75,119.96,119.96,20250900,20251200,20251200
2025-06-05 06:00:00,120.91,,,20250900,20251200,20251200
