DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-05-15 00:00:00,679.5,686.1,707.2,20251100,20260100,20250700
2025-05-15 01:00:00,678.8,685.1,708.5,20251100,20260100,20250700
2025-05-15 02:00:00,677.9,,707.1,20251100,20260100,20250700
2025-05-15 03:00:00,678.2,684.4,707.8,20251100,20260100,20250700
2025-05-15 04:00:00,679.5,685.4,709.3,20251100,20260100,20250700
2025-05-15 05:00:00,678.5,,706.5,20251100,20260100,20250700
2025-05-15 06:00:00,675.8,683.0,707.3,20251100,20260100,20250700
2025-05-15 07:00:00,673.2,679.8,700.9,20251100,20260100,20250700
2025-05-15 08:00:00,674.3,680.3,701.0,20251100,20260100,20250700
2025-05-15 09:00:00,673.8,680.5,698.6,20251100,20260100,20250700
2025-05-15 10:00:00,674.7,681.3,700.1,20251100,20260100,20250700
2025-05-15 11:00:00,675.6,682.1,702.5,20251100,20260100,20250700
2025-05-15 12:00:00,675.6,682.3,704.5,20251100,20260100,20250700
2025-05-15 13:00:00,671.1,678.2,698.2,20251100,20260100,20250700
2025-05-15 14:00:00,667.5,674.7,694.0,20251100,20260100,20250700
2025-05-15 15:00:00,671.3,678.5,696.9,20251100,20260100,20250700
2025-05-15 16:00:00,665.7,673.5,690.7,20251100,20260100,20250700
2025-05-15 17:00:00,667.0,674.5,693.5,20251100,20260100,20250700
2025-05-15 18:00:00,667.8,675.1,695.3,20251100,20260100,20250700
2025-05-15 23:00:00,668.0,675.3,694.4,20251100,20260100,20250700
2025-05-16 00:00:00,667.5,675.0,693.4,20251100,20260100,20250700
2025-05-16 01:00:00,669.8,,696.8,20251100,20260100,20250700
2025-05-16 02:00:00,668.7,,695.5,20251100,20260100,20250700
2025-05-16 03:00:00,668.9,,,20251100,20260100,20250700
2025-05-16 04:00:00,669.4,,695.7,20251100,20260100,20250700
2025-05-16 05:00:00,669.4,,696.9,20251100,20260100,20250700
2025-05-16 06:00:00,669.6,,698.0,20251100,20260100,20250700
2025-05-16 07:00:00,664.3,673.0,693.3,20251100,20260100,20250700
2025-05-16 08:00:00,664.5,672.4,693.5,20251100,20260100,20250700
2025-05-16 09:00:00,666.8,674.3,697.7,20251100,20260100,20250700
2025-05-16 10:00:00,667.1,674.5,699.6,20251100,20260100,20250700
2025-05-16 11:00:00,667.4,674.5,699.7,20251100,20260100,20250700
2025-05-16 12:00:00,668.5,675.4,699.5,20251100,20260100,20250700
2025-05-16 13:00:00,675.7,682.5,707.9,20251100,20260100,20250700
2025-05-16 14:00:00,675.0,682.5,708.7,20251100,20260100,20250700
2025-05-16 15:00:00,679.8,686.4,711.0,20251100,20260100,20250700
2025-05-16 16:00:00,676.1,683.1,707.7,20251100,20260100,20250700
2025-05-16 17:00:00,672.0,679.8,703.0,20251100,20260100,20250700
2025-05-16 18:00:00,675.9,683.3,704.4,20251100,20260100,20250700
2025-05-16 23:00:00,673.7,681.2,702.7,20251100,20260100,20250700
2025-05-20 00:00:00,674.6,684.9,703.7,20251100,20260100,20250700
2025-05-20 01:00:00,673.0,677.9,701.4,20251100,20260100,20250700
2025-05-20 02:00:00,672.3,,700.6,20251100,20260100,20250700
2025-05-20 03:00:00,,,700.0,20251100,20260100,20250700
