DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-09-05 15:00:00,1.75,,1.749,20251100,20251200,20251000
2025-09-05 16:00:00,1.735,1.746,1.734,20251100,20251200,20251000
2025-09-05 17:00:00,1.74,1.752,1.741,20251100,20251200,20251000
2025-09-05 18:00:00,1.735,1.743,1.733,20251100,20251200,20251000
2025-09-05 23:00:00,1.735,1.743,1.733,20251100,20251200,20251000
2025-09-07 22:00:00,1.735,,,20251100,20251200,20251000
2025-09-08 13:00:00,1.736,,1.732,20251100,20251200,20251000
2025-09-08 14:00:00,1.732,1.735,1.72,20251100,20251200,20251000
2025-09-08 15:00:00,1.731,1.736,1.726,20251100,20251200,20251000
2025-09-08 16:00:00,1.737,1.739,1.733,20251100,20251200,20251000
2025-09-08 17:00:00,1.743,1.736,1.733,20251100,20251200,20251000
2025-09-08 18:00:00,1.738,1.741,1.728,20251100,20251200,20251000
2025-09-08 19:00:00,1.74,1.743,1.73,20251100,20251200,20251000
2025-09-08 20:00:00,,1.739,1.728,20251100,20251200,20251000
2025-09-08 23:00:00,1.74,1.739,1.728,20251100,20251200,20251000
2025-09-09 11:00:00,,,1.728,20251100,20251200,20251000
2025-09-09 13:00:00,1.737,,1.731,20251100,20251200,20251000
2025-09-09 13:30:00,,1.741,,20251100,20251200,20251000
2025-09-09 14:00:00,1.731,1.735,1.723,20251100,20251200,20251000
2025-09-09 15:00:00,1.727,1.734,1.729,20251100,20251200,20251000
2025-09-09 16:00:00,1.73,1.735,1.724,20251100,20251200,20251000
2025-09-09 17:00:00,1.729,1.738,1.726,20251100,20251200,20251000
2025-09-09 18:00:00,1.73,1.738,1.726,20251100,20251200,20251000
2025-09-09 19:00:00,1.73,,,20251100,20251200,20251000
2025-09-09 20:00:00,1.73,1.738,,20251100,20251200,20251000
2025-09-09 23:00:00,1.73,1.738,1.726,20251100,20251200,20251000
2025-09-10 02:00:00,1.723,,1.713,20251100,20251200,20251000
2025-09-10 11:00:00,,,1.722,20251100,20251200,20251000
2025-09-10 13:00:00,1.73,,1.718,20251100,20251200,20251000
2025-09-10 13:30:00,,1.74,,20251100,20251200,20251000
2025-09-10 14:00:00,1.718,1.73,1.711,20251100,20251200,20251000
2025-09-10 15:00:00,1.711,1.727,1.705,20251100,20251200,20251000
2025-09-10 16:00:00,1.702,1.722,1.701,20251100,20251200,20251000
2025-09-10 17:00:00,1.7,1.722,1.697,20251100,20251200,20251000
2025-09-10 18:00:00,1.7,1.717,1.696,20251100,20251200,20251000
2025-09-10 19:00:00,1.699,,1.697,20251100,20251200,20251000
2025-09-10 20:00:00,1.7,,1.699,20251100,20251200,20251000
2025-09-10 23:00:00,1.7,1.717,1.699,20251100,20251200,20251000
2025-09-11 01:00:00,,,1.699,20251100,20251200,20251000
2025-09-11 11:00:00,,,1.702,20251100,20251200,20251000
2025-09-11 12:00:00,1.704,,1.7,20251100,20251200,20251000
2025-09-11 13:00:00,1.7,,1.694,20251100,20251200,20251000
2025-09-11 13:30:00,,1.715,,20251100,20251200,20251000
2025-09-11 14:00:00,1.7,,1.696,20251100,20251200,20251000
2025-09-11 15:00:00,1.704,,1.702,20251100,20251200,20251000
2025-09-11 16:00:00,1.682,1.706,1.677,20251100,20251200,20251000
2025-09-11 17:00:00,1.683,1.706,1.679,20251100,20251200,20251000
2025-09-11 18:00:00,1.681,1.705,1.677,20251100,20251200,20251000
2025-09-11 19:00:00,1.678,1.7,1.672,20251100,20251200,20251000
2025-09-11 20:00:00,,1.699,,20251100,20251200,20251000
2025-09-11 23:00:00,1.678,1.699,1.672,20251100,20251200,20251000
2025-09-12 12:00:00,1.676,,,20251100,20251200,20251000
2025-09-12 13:00:00,1.67,,1.676,20251100,20251200,20251000
2025-09-12 13:30:00,,1.688,,20251100,20251200,20251000
2025-09-12 14:00:00,1.677,1.7,1.683,20251100,20251200,20251000
2025-09-12 15:00:00,1.666,1.686,1.674,20251100,20251200,20251000
2025-09-12 16:00:00,1.669,1.688,1.68,20251100,20251200,20251000
2025-09-12 17:00:00,1.672,1.693,1.679,20251100,20251200,20251000
2025-09-12 18:00:00,1.671,,1.677,20251100,20251200,20251000
2025-09-12 23:00:00,1.671,1.693,1.677,20251100,20251200,20251000
2025-09-15 13:00:00,,,1.674,20251100,20251200,20251000
2025-09-15 13:30:00,1.662,,,20251100,20251200,20251000
2025-09-15 14:00:00,1.663,1.688,1.679,20251100,20251200,20251000
2025-09-15 15:00:00,1.677,1.696,1.695,20251100,20251200,20251000
2025-09-15 16:00:00,1.674,1.689,1.69,20251100,20251200,20251000
2025-09-15 17:00:00,1.675,,1.692,20251100,20251200,20251000
2025-09-15 18:00:00,1.677,1.685,1.692,20251100,20251200,20251000
2025-09-15 19:00:00,1.676,1.687,,20251100,20251200,20251000
2025-09-15 20:00:00,1.676,,,20251100,20251200,20251000
2025-09-15 23:00:00,1.676,1.687,1.692,20251100,20251200,20251000
2025-09-16 00:00:00,,,1.684,20251100,20251200,20251000
2025-09-16 03:00:00,,,1.685,20251100,20251200,20251000
2025-09-16 11:00:00,,,1.692,20251100,20251200,20251000
2025-09-16 12:00:00,,,1.691,20251100,20251200,20251000
2025-09-16 13:00:00,,,1.686,20251100,20251200,20251000
2025-09-16 13:30:00,1.67,1.68,,20251100,20251200,20251000
2025-09-16 14:00:00,1.668,1.682,1.696,20251100,20251200,20251000
2025-09-16 15:00:00,1.675,1.682,1.699,20251100,20251200,20251000
2025-09-16 16:00:00,1.681,1.686,1.706,20251100,20251200,20251000
2025-09-16 17:00:00,1.681,1.686,1.706,20251100,20251200,20251000
2025-09-16 18:00:00,1.679,1.682,1.702,20251100,20251200,20251000
2025-09-16 19:00:00,,1.682,,20251100,20251200,20251000
2025-09-16 20:00:00,1.68,1.682,1.7,20251100,20251200,20251000
2025-09-16 23:00:00,1.68,1.682,1.7,20251100,20251200,20251000
2025-09-17 12:00:00,,,1.709,20251100,20251200,20251000
2025-09-17 13:00:00,,,1.725,20251100,20251200,20251000
2025-09-17 13:30:00,1.695,1.691,,20251100,20251200,20251000
2025-09-17 14:00:00,1.689,1.695,1.715,20251100,20251200,20251000
2025-09-17 15:00:00,1.705,1.703,1.725,20251100,20251200,20251000
2025-09-17 16:00:00,1.728,1.721,1.764,20251100,20251200,20251000
2025-09-17 17:00:00,1.736,1.733,1.77,20251100,20251200,20251000
2025-09-17 18:00:00,1.736,1.729,1.77,20251100,20251200,20251000
2025-09-17 19:00:00,1.753,1.74,1.78,20251100,20251200,20251000
2025-09-17 20:00:00,1.752,1.745,1.78,20251100,20251200,20251000
2025-09-17 22:00:00,,,1.786,20251100,20251200,20251000
2025-09-17 23:00:00,1.752,1.745,1.78,20251100,20251200,20251000
2025-09-18 01:00:00,,,1.789,20251100,20251200,20251000
2025-09-18 05:00:00,,,1.79,20251100,20251200,20251000
2025-09-18 07:00:00,,,1.79,20251100,20251200,20251000
2025-09-18 11:00:00,,,1.784,20251100,20251200,20251000
2025-09-18 12:00:00,,,1.787,20251100,20251200,20251000
2025-09-18 13:00:00,,,1.802,20251100,20251200,20251000
2025-09-18 13:30:00,1.767,1.758,,20251100,20251200,20251000
2025-09-18 14:00:00,1.772,1.757,1.811,20251100,20251200,20251000
2025-09-18 15:00:00,1.769,1.754,1.81,20251100,20251200,20251000
2025-09-18 16:00:00,1.72,1.718,1.775,20251100,20251200,20251000
2025-09-18 17:00:00,1.741,1.723,1.781,20251100,20251200,20251000
2025-09-18 18:00:00,1.74,1.728,1.781,20251100,20251200,20251000
2025-09-18 19:00:00,,1.728,1.783,20251100,20251200,20251000
2025-09-18 20:00:00,1.749,1.74,1.784,20251100,20251200,20251000
2025-09-18 23:00:00,1.749,1.74,1.784,20251100,20251200,20251000
2025-09-19 13:00:00,,,1.795,20251100,20251200,20251000
2025-09-19 13:30:00,1.759,1.735,,20251100,20251200,20251000
2025-09-19 14:00:00,1.758,1.744,1.793,20251100,20251200,20251000
2025-09-19 15:00:00,1.75,,1.784,20251100,20251200,20251000
