DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2025-06-13 14:00:00,1.25695,20251200,1.24605,20250900,1.25695,20251200
2025-06-13 15:00:00,1.2599,20251200,1.2464,20250900,1.2599,20251200
2025-06-13 16:00:00,1.2599,20251200,1.2469,20250900,1.2599,20251200
2025-06-13 17:00:00,1.2599,20251200,1.2469,20250900,1.2599,20251200
2025-06-13 18:00:00,1.2599,20251200,1.24665,20250900,1.2599,20251200
2025-06-13 19:00:00,1.2599,20251200,1.24765,20250900,1.2599,20251200
2025-06-13 20:00:00,1.2599,20251200,1.24675,20250900,1.2599,20251200
2025-06-13 23:00:00,1.26085,20251200,1.2467,20250900,1.26085,20251200
2025-06-16 13:30:00,1.2623,20251200,1.2493,20250900,1.2623,20251200
2025-06-16 14:00:00,1.2623,20251200,1.24765,20250900,1.2623,20251200
2025-06-16 15:00:00,1.2623,20251200,1.24635,20250900,1.2623,20251200
2025-06-16 16:00:00,1.2603,20251200,1.2462,20250900,1.2603,20251200
2025-06-16 17:00:00,1.2603,20251200,1.24535,20250900,1.2603,20251200
2025-06-16 18:00:00,1.2603,20251200,1.2445,20250900,1.2603,20251200
2025-06-16 19:00:00,1.2603,20251200,1.2417,20250900,1.2603,20251200
2025-06-16 20:00:00,1.2603,20251200,1.2427,20250900,1.2603,20251200
2025-06-16 23:00:00,1.25865,20251200,1.24455,20250900,1.25865,20251200
2025-06-17 13:30:00,1.2595,20251200,1.24185,20250900,1.2595,20251200
2025-06-17 14:00:00,1.25335,20251200,1.2398,20250900,1.25335,20251200
2025-06-17 15:00:00,1.25615,20251200,1.2421,20250900,1.25615,20251200
2025-06-17 16:00:00,1.25485,20251200,1.24055,20250900,1.25485,20251200
2025-06-17 17:00:00,1.25485,20251200,1.23985,20250900,1.25485,20251200
2025-06-17 18:00:00,1.25485,20251200,1.23775,20250900,1.25485,20251200
2025-06-17 19:00:00,1.25485,20251200,1.2387,20250900,1.25485,20251200
2025-06-17 20:00:00,1.25485,20251200,1.2384,20250900,1.25485,20251200
2025-06-17 23:00:00,1.2518,20251200,1.2377,20250900,1.2518,20251200
2025-06-18 13:30:00,1.2531,20251200,1.23715,20250900,1.2531,20251200
2025-06-18 14:00:00,1.2531,20251200,1.2366,20250900,1.2531,20251200
2025-06-18 15:00:00,1.2531,20251200,1.2372,20250900,1.2531,20251200
2025-06-18 16:00:00,1.2531,20251200,1.2367,20250900,1.2531,20251200
2025-06-18 17:00:00,1.2531,20251200,1.23675,20250900,1.2531,20251200
2025-06-18 18:00:00,1.2531,20251200,1.2347,20250900,1.2531,20251200
2025-06-18 19:00:00,1.2531,20251200,1.2344,20250900,1.2531,20251200
2025-06-18 20:00:00,1.2531,20251200,1.2352,20250900,1.2531,20251200
2025-06-18 23:00:00,1.2488,20251200,1.2347,20250900,1.2488,20251200
2025-06-19 13:30:00,,20251200,1.23605,20250900,,20251200
2025-06-19 14:00:00,,20251200,1.23425,20250900,,20251200
2025-06-19 15:00:00,,20251200,1.2342,20250900,,20251200
2025-06-19 16:00:00,,20251200,1.2346,20250900,,20251200
2025-06-19 17:00:00,,20251200,1.2359,20250900,,20251200
2025-06-19 18:00:00,,20251200,1.2364,20250900,,20251200
2025-06-19 19:00:00,,20251200,1.2386,20250900,,20251200
2025-06-19 20:00:00,,20251200,1.2378,20250900,,20251200
2025-06-19 23:00:00,1.2488,20251200,1.23805,20250900,1.2488,20251200
2025-06-20 13:30:00,1.2502,20251200,1.23665,20250900,1.2502,20251200
2025-06-20 14:00:00,1.2502,20251200,1.2359,20250900,1.2502,20251200
2025-06-20 15:00:00,1.2502,20251200,1.23625,20250900,1.2502,20251200
2025-06-20 16:00:00,1.2502,20251200,1.23755,20250900,1.2502,20251200
2025-06-20 17:00:00,1.2502,20251200,1.2373,20250900,1.2502,20251200
2025-06-20 18:00:00,1.2502,20251200,1.2368,20250900,1.2502,20251200
2025-06-20 19:00:00,1.2502,20251200,1.2354,20250900,1.2502,20251200
2025-06-20 20:00:00,1.2502,20251200,1.2352,20250900,1.2502,20251200
2025-06-20 23:00:00,1.25045,20251200,1.23675,20250900,1.25045,20251200
2025-06-23 13:30:00,,20251200,1.2364,20250900,,20251200
2025-06-23 14:00:00,1.2523,20251200,1.24185,20250900,1.2523,20251200
2025-06-23 15:00:00,1.2523,20251200,1.24245,20250900,1.2523,20251200
