DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-03-21 05:00:00,7.1857,7.169,7.169,20240500,20240600,20240600
2024-03-21 07:00:00,7.1841,,,20240500,20240600,20240600
2024-03-22 02:00:00,7.2182,,,20240500,20240600,20240600
2024-03-22 05:00:00,7.2464,7.2319,7.2319,20240500,20240600,20240600
2024-03-25 01:00:00,7.2189,,,20240500,20240600,20240600
2024-03-25 02:00:00,7.2169,,,20240500,20240600,20240600
2024-03-25 05:00:00,7.2276,7.2125,7.2125,20240500,20240600,20240600
2024-03-26 01:00:00,7.2299,,,20240500,20240600,20240600
2024-03-26 05:00:00,7.2304,7.2162,7.2162,20240500,20240600,20240600
2024-03-27 02:00:00,7.2427,,,20240500,20240600,20240600
2024-03-27 05:00:00,7.2426,7.2288,7.2288,20240500,20240600,20240600
2024-03-28 05:00:00,7.2476,7.2332,7.2332,20240500,20240600,20240600
2024-03-28 10:00:00,7.2512,,,20240500,20240600,20240600
2024-04-01 05:00:00,7.2445,7.2274,7.2274,20240500,20240600,20240600
2024-04-01 08:00:00,7.2396,,,20240500,20240600,20240600
2024-04-01 09:00:00,7.2405,,,20240500,20240600,20240600
2024-04-02 02:00:00,7.2529,,,20240500,20240600,20240600
2024-04-02 05:00:00,7.2518,7.2394,7.2394,20240500,20240600,20240600
2024-04-03 05:00:00,7.2492,7.2353,7.2353,20240500,20240600,20240600
2024-04-03 09:00:00,7.2502,,,20240500,20240600,20240600
2024-04-04 05:00:00,7.2376,7.2243,7.2243,20240500,20240600,20240600
2024-04-04 06:00:00,7.2367,,,20240500,20240600,20240600
2024-04-04 10:00:00,7.2375,,,20240500,20240600,20240600
2024-04-05 05:00:00,7.233,7.2197,7.2197,20240500,20240600,20240600
2024-04-05 06:00:00,7.2369,,,20240500,20240600,20240600
2024-04-08 01:00:00,7.2358,,,20240500,20240600,20240600
2024-04-08 05:00:00,7.2381,7.2255,7.2255,20240500,20240600,20240600
2024-04-08 06:00:00,7.2355,,,20240500,20240600,20240600
2024-04-08 08:00:00,7.2371,,,20240500,20240600,20240600
2024-04-09 01:00:00,7.2356,,,20240500,20240600,20240600
2024-04-09 05:00:00,7.2346,7.2222,7.2222,20240500,20240600,20240600
2024-04-09 06:00:00,7.2358,,,20240500,20240600,20240600
2024-04-10 02:00:00,7.2291,,,20240500,20240600,20240600
2024-04-10 05:00:00,7.2312,7.2182,7.2182,20240500,20240600,20240600
2024-04-11 02:00:00,7.2482,,,20240500,20240600,20240600
2024-04-11 05:00:00,7.2513,7.2399,7.2399,20240500,20240600,20240600
2024-04-11 09:00:00,7.2502,,,20240500,20240600,20240600
2024-04-11 10:00:00,7.2498,,,20240500,20240600,20240600
2024-04-12 02:00:00,7.2491,,,20240500,20240600,20240600
2024-04-12 05:00:00,7.2566,7.2452,7.2452,20240500,20240600,20240600
2024-04-12 09:00:00,7.2581,,,20240500,20240600,20240600
2024-04-15 05:00:00,7.2533,7.2427,7.2427,20240500,20240600,20240600
2024-04-16 05:00:00,7.2693,7.2615,7.2615,20240500,20240600,20240600
2024-04-17 05:00:00,7.2469,7.2393,7.2393,20240500,20240600,20240600
2024-04-17 10:00:00,7.2511,,,20240500,20240600,20240600
2024-04-18 05:00:00,7.2468,7.2392,7.2392,20240500,20240600,20240600
2024-04-18 13:00:00,7.2485,7.2409,7.2409,20240500,20240600,20240600
2024-04-18 18:00:00,,7.2405,7.2405,20240500,20240600,20240600
2024-04-19 05:00:00,7.2524,7.2455,7.2455,20240500,20240600,20240600
2024-04-22 02:00:00,7.2505,,,20240500,20240600,20240600
2024-04-22 05:00:00,7.2495,7.241,7.241,20240500,20240600,20240600
2024-04-22 06:00:00,7.2484,,,20240500,20240600,20240600
2024-04-22 10:00:00,7.247,,,20240500,20240600,20240600
2024-04-23 02:00:00,7.2458,,,20240500,20240600,20240600
2024-04-23 05:00:00,7.2547,7.2453,7.2453,20240500,20240600,20240600
2024-04-23 06:00:00,,7.2421,7.2421,20240500,20240600,20240600
2024-04-23 07:00:00,7.2509,7.2425,7.2425,20240500,20240600,20240600
2024-04-24 01:00:00,7.2505,7.2407,7.2407,20240500,20240600,20240600
2024-04-24 05:00:00,7.2586,7.2488,7.2488,20240500,20240600,20240600
