DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2025-06-18 02:00:00,71.77,20250900,73.59,20250800,71.77,20250900
2025-06-18 03:00:00,71.73,20250900,73.58,20250800,71.73,20250900
2025-06-18 04:00:00,71.44,20250900,73.31,20250800,71.44,20250900
2025-06-18 05:00:00,71.34,20250900,73.19,20250800,71.34,20250900
2025-06-18 06:00:00,71.34,20250900,73.13,20250800,71.34,20250900
2025-06-18 07:00:00,71.15,20250900,72.9,20250800,71.15,20250900
2025-06-18 08:00:00,70.7,20250900,72.41,20250800,70.7,20250900
2025-06-18 09:00:00,70.94,20250900,72.66,20250800,70.94,20250900
2025-06-18 10:00:00,71.66,20250900,73.39,20250800,71.66,20250900
2025-06-18 11:00:00,71.66,20250900,73.39,20250800,71.66,20250900
2025-06-18 12:00:00,71.77,20250900,73.53,20250800,71.77,20250900
2025-06-18 13:00:00,72.37,20250900,74.17,20250800,72.37,20250900
2025-06-18 14:00:00,70.36,20250900,72.02,20250800,70.36,20250900
2025-06-18 15:00:00,70.72,20250900,72.4,20250800,70.72,20250900
2025-06-18 16:00:00,71.12,20250900,72.87,20250800,71.12,20250900
2025-06-18 17:00:00,71.43,20250900,73.08,20250800,71.43,20250900
2025-06-18 18:00:00,71.89,20250900,73.64,20250800,71.89,20250900
2025-06-18 19:00:00,71.43,20250900,73.21,20250800,71.43,20250900
2025-06-18 20:00:00,71.32,20250900,73.15,20250800,71.32,20250900
2025-06-18 21:00:00,71.32,20250900,73.15,20250800,71.32,20250900
2025-06-18 23:00:00,71.76,20250900,73.5,20250800,71.76,20250900
2025-06-19 01:00:00,71.48,20250900,73.29,20250800,71.48,20250900
2025-06-19 02:00:00,71.62,20250900,73.44,20250800,71.62,20250900
2025-06-19 03:00:00,71.61,20250900,73.46,20250800,71.61,20250900
2025-06-19 04:00:00,71.69,20250900,73.51,20250800,71.69,20250900
2025-06-19 05:00:00,71.89,20250900,73.72,20250800,71.89,20250900
2025-06-19 06:00:00,72.53,20250900,74.36,20250800,72.53,20250900
2025-06-19 07:00:00,72.09,20250900,73.94,20250800,72.09,20250900
2025-06-19 08:00:00,72.02,20250900,73.84,20250800,72.02,20250900
2025-06-19 09:00:00,71.89,20250900,73.71,20250800,71.89,20250900
2025-06-19 10:00:00,72.26,20250900,74.15,20250800,72.26,20250900
2025-06-19 11:00:00,72.62,20250900,74.56,20250800,72.62,20250900
2025-06-19 12:00:00,72.44,20250900,74.36,20250800,72.44,20250900
2025-06-19 13:00:00,72.84,20250900,74.75,20250800,72.84,20250900
2025-06-19 14:00:00,73.24,20250900,75.21,20250800,73.24,20250900
2025-06-19 15:00:00,73.21,20250900,75.13,20250800,73.21,20250900
2025-06-19 16:00:00,73.61,20250900,75.63,20250800,73.61,20250900
2025-06-19 17:00:00,73.55,20250900,75.52,20250800,73.55,20250900
2025-06-19 23:00:00,71.13,20250900,72.9,20250800,71.13,20250900
2025-06-20 01:00:00,71.73,20250900,73.51,20250800,71.73,20250900
2025-06-20 02:00:00,71.88,20250900,73.67,20250800,71.88,20250900
2025-06-20 03:00:00,71.96,20250900,73.65,20250800,71.96,20250900
2025-06-20 04:00:00,72.1,20250900,73.94,20250800,72.1,20250900
2025-06-20 05:00:00,71.43,20250900,73.15,20250800,71.43,20250900
2025-06-20 06:00:00,71.95,20250900,73.73,20250800,71.95,20250900
2025-06-20 07:00:00,72.07,20250900,73.91,20250800,72.07,20250900
2025-06-20 08:00:00,72.15,20250900,73.93,20250800,72.15,20250900
2025-06-20 09:00:00,72.37,20250900,74.19,20250800,72.37,20250900
2025-06-20 23:00:00,72.37,20250900,74.19,20250800,72.37,20250900
2025-06-22 22:00:00,73.35,20250900,75.35,20250800,73.35,20250900
2025-06-22 23:00:00,73.75,20250900,75.82,20250800,73.75,20250900
2025-06-23 01:00:00,73.3,20250900,75.3,20250800,73.3,20250900
2025-06-23 02:00:00,73.28,20250900,75.18,20250800,73.28,20250900
2025-06-23 03:00:00,73.39,20250900,75.29,20250800,73.39,20250900
2025-06-23 04:00:00,72.95,20250900,74.89,20250800,72.95,20250900
2025-06-23 05:00:00,73.15,20250900,75.05,20250800,73.15,20250900
2025-06-23 06:00:00,72.99,20250900,74.9,20250800,72.99,20250900
2025-06-23 07:00:00,72.38,20250900,74.15,20250800,72.38,20250900
2025-06-23 08:00:00,71.93,20250900,73.75,20250800,71.93,20250900
2025-06-23 09:00:00,72.53,20250900,74.35,20250800,72.53,20250900
2025-06-23 10:00:00,72.76,20250900,74.6,20250800,72.76,20250900
2025-06-23 11:00:00,72.53,20250900,74.35,20250800,72.53,20250900
2025-06-23 12:00:00,71.95,20250900,73.76,20250800,71.95,20250900
2025-06-23 13:00:00,71.98,20250900,73.68,20250800,71.98,20250900
2025-06-23 14:00:00,71.39,20250900,73.03,20250800,71.39,20250900
2025-06-23 15:00:00,72.15,20250900,73.75,20250800,72.15,20250900
2025-06-23 16:00:00,70.71,20250900,72.33,20250800,70.71,20250900
2025-06-23 17:00:00,67.91,20250900,69.33,20250800,67.91,20250900
2025-06-23 18:00:00,67.27,20250900,68.48,20250800,67.27,20250900
2025-06-23 19:00:00,66.77,20250900,67.97,20250800,66.77,20250900
2025-06-23 20:00:00,66.05,20250900,67.29,20250800,66.05,20250900
2025-06-23 21:00:00,66.05,20250900,67.62,20250800,66.05,20250900
2025-06-23 23:00:00,67.27,20250900,75.9,20250800,67.27,20250900
2025-06-24 01:00:00,65.32,20250900,66.41,20250800,65.32,20250900
2025-06-24 02:00:00,65.76,20250900,66.87,20250800,65.76,20250900
2025-06-24 03:00:00,65.72,20250900,66.88,20250800,65.72,20250900
2025-06-24 04:00:00,65.5,20250900,66.59,20250800,65.5,20250900
2025-06-24 05:00:00,64.77,20250900,65.84,20250800,64.77,20250900
2025-06-24 06:00:00,64.28,20250900,65.48,20250800,64.28,20250900
2025-06-24 07:00:00,65.2,20250900,66.43,20250800,65.2,20250900
2025-06-24 08:00:00,65.08,20250900,66.27,20250800,65.08,20250900
2025-06-24 09:00:00,65.12,20250900,66.29,20250800,65.12,20250900
2025-06-24 10:00:00,65.43,20250900,66.62,20250800,65.43,20250900
2025-06-24 11:00:00,64.89,20250900,66.09,20250800,64.89,20250900
2025-06-24 12:00:00,64.68,20250900,65.82,20250800,64.68,20250900
2025-06-24 13:00:00,64.35,20250900,65.49,20250800,64.35,20250900
2025-06-24 14:00:00,64.05,20250900,65.23,20250800,64.05,20250900
2025-06-24 15:00:00,63.35,20250900,64.56,20250800,63.35,20250900
2025-06-24 16:00:00,63.01,20250900,64.2,20250800,63.01,20250900
2025-06-24 17:00:00,63.61,20250900,64.84,20250800,63.61,20250900
2025-06-24 18:00:00,63.46,20250900,64.67,20250800,63.46,20250900
2025-06-24 19:00:00,63.76,20250900,65.01,20250800,63.76,20250900
2025-06-24 20:00:00,63.81,20250900,65.04,20250800,63.81,20250900
2025-06-24 21:00:00,63.81,20250900,65.04,20250800,63.81,20250900
2025-06-24 23:00:00,64.89,20250900,65.07,20250800,64.89,20250900
2025-06-25 01:00:00,64.03,20250900,65.21,20250800,64.03,20250900
2025-06-25 02:00:00,63.94,20250900,65.18,20250800,63.94,20250900
2025-06-25 03:00:00,63.98,20250900,65.22,20250800,63.98,20250900
2025-06-25 04:00:00,63.89,20250900,65.14,20250800,63.89,20250900
2025-06-25 05:00:00,64.22,20250900,65.44,20250800,64.22,20250900
2025-06-25 06:00:00,64.22,20250900,65.47,20250800,64.22,20250900
2025-06-25 07:00:00,64.19,20250900,65.52,20250800,64.19,20250900
2025-06-25 08:00:00,64.03,20250900,65.37,20250800,64.03,20250900
2025-06-25 09:00:00,63.82,20250900,65.15,20250800,63.82,20250900
2025-06-25 10:00:00,63.66,20250900,64.99,20250800,63.66,20250900
2025-06-25 11:00:00,63.49,20250900,64.78,20250800,63.49,20250900
2025-06-25 12:00:00,63.71,20250900,65.02,20250800,63.71,20250900
2025-06-25 13:00:00,63.59,20250900,64.86,20250800,63.59,20250900
2025-06-25 14:00:00,63.9,20250900,65.21,20250800,63.9,20250900
2025-06-25 15:00:00,64.12,20250900,65.54,20250800,64.12,20250900
