DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-03-20 23:00:00,81.15,20240600,80.47,20240700,,20240800
2024-03-21 00:00:00,81.17,20240600,80.54,20240700,79.87,20240800
2024-03-21 01:00:00,81.23,20240600,,20240700,,20240800
2024-03-21 02:00:00,81.12,20240600,80.53,20240700,79.85,20240800
2024-03-21 03:00:00,81.23,20240600,,20240700,,20240800
2024-03-21 04:00:00,81.3,20240600,80.7,20240700,80.0,20240800
2024-03-21 05:00:00,81.23,20240600,80.09,20240700,79.45,20240800
2024-03-21 06:00:00,81.14,20240600,80.5,20240700,,20240800
2024-03-21 07:00:00,81.18,20240600,80.58,20240700,79.83,20240800
2024-03-21 08:00:00,80.69,20240600,80.31,20240700,79.5,20240800
2024-03-21 09:00:00,80.53,20240600,80.14,20240700,79.44,20240800
2024-03-21 10:00:00,80.66,20240600,80.09,20240700,,20240800
2024-03-21 11:00:00,80.31,20240600,79.63,20240700,79.1,20240800
2024-03-21 12:00:00,80.59,20240600,80.13,20240700,79.4,20240800
2024-03-21 13:00:00,80.63,20240600,80.0,20240700,79.41,20240800
2024-03-21 14:00:00,79.98,20240600,79.45,20240700,79.0,20240800
2024-03-21 15:00:00,80.19,20240600,79.68,20240700,78.77,20240800
2024-03-21 16:00:00,80.21,20240600,79.69,20240700,79.08,20240800
2024-03-21 17:00:00,80.52,20240600,80.0,20240700,,20240800
2024-03-21 18:00:00,80.54,20240600,80.0,20240700,,20240800
2024-03-21 19:00:00,80.61,20240600,,20240700,,20240800
2024-03-21 20:00:00,80.38,20240600,79.8,20240700,79.27,20240800
2024-03-21 22:00:00,80.44,20240600,,20240700,,20240800
2024-03-21 23:00:00,80.5,20240600,79.94,20240700,,20240800
2024-03-22 00:00:00,80.4,20240600,79.9,20240700,,20240800
2024-03-22 01:00:00,80.14,20240600,79.72,20240700,,20240800
2024-03-22 02:00:00,80.05,20240600,79.5,20240700,78.96,20240800
2024-03-22 03:00:00,80.07,20240600,79.55,20240700,78.9,20240800
2024-03-22 04:00:00,80.1,20240600,79.55,20240700,,20240800
2024-03-22 05:00:00,80.17,20240600,79.61,20240700,78.95,20240800
2024-03-22 06:00:00,80.14,20240600,79.63,20240700,,20240800
2024-03-22 07:00:00,80.28,20240600,79.76,20240700,79.05,20240800
2024-03-22 08:00:00,80.59,20240600,80.04,20240700,,20240800
2024-03-22 09:00:00,80.58,20240600,80.01,20240700,,20240800
2024-03-22 10:00:00,80.73,20240600,80.14,20240700,79.54,20240800
2024-03-22 11:00:00,80.55,20240600,79.97,20240700,79.23,20240800
2024-03-22 12:00:00,80.81,20240600,80.23,20240700,79.51,20240800
2024-03-22 13:00:00,80.41,20240600,79.85,20240700,79.24,20240800
2024-03-22 14:00:00,80.43,20240600,79.85,20240700,,20240800
2024-03-22 15:00:00,80.33,20240600,79.81,20240700,79.15,20240800
2024-03-22 16:00:00,80.12,20240600,79.5,20240700,78.85,20240800
2024-03-22 17:00:00,80.25,20240600,79.66,20240700,,20240800
2024-03-22 18:00:00,80.23,20240600,79.58,20240700,79.07,20240800
2024-03-22 19:00:00,80.33,20240600,,20240700,79.0,20240800
2024-03-22 20:00:00,80.31,20240600,79.79,20240700,,20240800
2024-03-24 22:00:00,80.32,20240600,79.79,20240700,,20240800
2024-03-24 23:00:00,80.41,20240600,79.75,20240700,,20240800
2024-03-25 00:00:00,80.44,20240600,,20240700,,20240800
2024-03-25 01:00:00,80.65,20240600,79.99,20240700,,20240800
2024-03-25 02:00:00,80.71,20240600,80.07,20240700,,20240800
2024-03-25 03:00:00,80.68,20240600,80.16,20240700,,20240800
2024-03-25 04:00:00,80.63,20240600,,20240700,,20240800
2024-03-25 05:00:00,81.38,20240600,80.77,20240700,80.06,20240800
2024-03-25 06:00:00,80.48,20240600,79.93,20240700,,20240800
2024-03-25 07:00:00,80.51,20240600,80.14,20240700,79.43,20240800
2024-03-25 08:00:00,80.58,20240600,79.84,20240700,79.1,20240800
2024-03-25 09:00:00,80.65,20240600,80.13,20240700,79.5,20240800
2024-03-25 10:00:00,80.59,20240600,80.08,20240700,79.41,20240800
2024-03-25 11:00:00,80.43,20240600,79.86,20240700,79.3,20240800
2024-03-25 12:00:00,80.51,20240600,79.97,20240700,79.25,20240800
2024-03-25 13:00:00,81.17,20240600,80.57,20240700,79.79,20240800
2024-03-25 14:00:00,81.5,20240600,81.08,20240700,80.27,20240800
2024-03-25 15:00:00,81.4,20240600,80.83,20240700,80.08,20240800
2024-03-25 16:00:00,81.25,20240600,80.63,20240700,,20240800
2024-03-25 17:00:00,81.22,20240600,80.58,20240700,,20240800
2024-03-25 18:00:00,81.57,20240600,80.89,20240700,,20240800
2024-03-25 19:00:00,81.42,20240600,80.86,20240700,,20240800
2024-03-25 20:00:00,81.44,20240600,,20240700,,20240800
2024-03-25 22:00:00,81.45,20240600,,20240700,,20240800
2024-03-25 23:00:00,81.48,20240600,,20240700,,20240800
2024-03-26 00:00:00,81.57,20240600,80.96,20240700,,20240800
2024-03-26 01:00:00,81.68,20240600,81.0,20240700,80.5,20240800
2024-03-26 02:00:00,81.46,20240600,80.86,20240700,80.5,20240800
2024-03-26 03:00:00,81.37,20240600,80.78,20240700,80.15,20240800
2024-03-26 04:00:00,81.45,20240600,80.8,20240700,,20240800
