DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-03-20 00:00:00,82.5,20240500,81.85,20240600,,20240700
2024-03-20 01:00:00,82.525,20240500,81.9,20240600,,20240700
2024-03-20 02:00:00,82.45,20240500,,20240600,,20240700
2024-03-20 03:00:00,82.55,20240500,81.875,20240600,,20240700
2024-03-20 04:00:00,82.525,20240500,,20240600,,20240700
2024-03-20 05:00:00,81.27,20240500,80.78,20240600,80.18,20240700
2024-03-20 06:00:00,82.45,20240500,81.85,20240600,,20240700
2024-03-20 07:00:00,82.3,20240500,81.7,20240600,,20240700
2024-03-20 08:00:00,82.225,20240500,81.65,20240600,,20240700
2024-03-20 09:00:00,82.075,20240500,81.375,20240600,,20240700
2024-03-20 10:00:00,81.7,20240500,81.15,20240600,,20240700
2024-03-20 11:00:00,82.05,20240500,81.55,20240600,,20240700
2024-03-20 12:00:00,81.65,20240500,81.0,20240600,80.1,20240700
2024-03-20 13:00:00,81.5,20240500,81.0,20240600,80.35,20240700
2024-03-20 14:00:00,81.35,20240500,80.75,20240600,80.15,20240700
2024-03-20 15:00:00,81.15,20240500,80.675,20240600,,20240700
2024-03-20 16:00:00,80.925,20240500,80.55,20240600,79.9,20240700
2024-03-20 17:00:00,80.975,20240500,80.5,20240600,79.975,20240700
2024-03-20 18:00:00,81.25,20240500,80.75,20240600,80.2,20240700
2024-03-20 19:00:00,81.45,20240500,80.85,20240600,80.275,20240700
2024-03-20 20:00:00,81.425,20240500,80.95,20240600,,20240700
2024-03-20 22:00:00,81.55,20240500,,20240600,,20240700
2024-03-20 23:00:00,81.65,20240500,81.125,20240600,,20240700
2024-03-21 00:00:00,81.65,20240500,81.175,20240600,,20240700
2024-03-21 01:00:00,81.75,20240500,81.2,20240600,80.6,20240700
2024-03-21 02:00:00,81.65,20240500,81.15,20240600,,20240700
2024-03-21 03:00:00,81.75,20240500,81.175,20240600,,20240700
2024-03-21 04:00:00,81.825,20240500,81.325,20240600,,20240700
2024-03-21 05:00:00,81.07,20240500,80.64,20240600,80.09,20240700
2024-03-21 06:00:00,81.65,20240500,81.125,20240600,,20240700
2024-03-21 07:00:00,81.7,20240500,81.175,20240600,80.575,20240700
2024-03-21 08:00:00,81.175,20240500,80.675,20240600,,20240700
2024-03-21 09:00:00,81.05,20240500,80.575,20240600,79.975,20240700
2024-03-21 10:00:00,81.125,20240500,80.65,20240600,,20240700
2024-03-21 11:00:00,80.775,20240500,80.325,20240600,,20240700
2024-03-21 12:00:00,81.025,20240500,80.55,20240600,,20240700
2024-03-21 13:00:00,81.05,20240500,80.55,20240600,80.25,20240700
