DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-03-15 09:00:00,331.1,,,20240600,20240900,20240900
2024-03-15 10:00:00,331.4,,,20240600,20240900,20240900
2024-03-15 15:00:00,330.3,,,20240600,20240900,20240900
2024-03-15 16:00:00,329.6,,,20240600,20240900,20240900
2024-03-15 17:00:00,327.9,,,20240600,20240900,20240900
2024-03-18 05:00:00,329.1,332.4,332.4,20240600,20240900,20240900
2024-03-18 08:00:00,330.1,,,20240600,20240900,20240900
2024-03-18 15:00:00,328.8,,,20240600,20240900,20240900
2024-03-18 16:00:00,329.1,,,20240600,20240900,20240900
2024-03-19 05:00:00,330.0,333.3,333.3,20240600,20240900,20240900
2024-03-19 08:00:00,328.0,,,20240600,20240900,20240900
2024-03-19 09:00:00,328.0,,,20240600,20240900,20240900
2024-03-19 10:00:00,328.1,,,20240600,20240900,20240900
2024-03-19 15:00:00,329.2,,,20240600,20240900,20240900
2024-03-19 16:00:00,329.9,,,20240600,20240900,20240900
2024-03-20 05:00:00,330.5,333.8,333.8,20240600,20240900,20240900
2024-03-20 09:00:00,328.8,,,20240600,20240900,20240900
2024-03-20 10:00:00,330.0,,,20240600,20240900,20240900
2024-03-20 14:00:00,330.7,,,20240600,20240900,20240900
2024-03-20 15:00:00,330.6,,,20240600,20240900,20240900
2024-03-20 20:00:00,332.2,,,20240600,20240900,20240900
2024-03-21 05:00:00,334.1,337.4,337.4,20240600,20240900,20240900
2024-03-21 08:00:00,333.5,,,20240600,20240900,20240900
2024-03-21 09:00:00,333.7,,,20240600,20240900,20240900
2024-03-21 12:00:00,333.1,,,20240600,20240900,20240900
2024-03-21 13:00:00,333.3,,,20240600,20240900,20240900
2024-03-21 14:00:00,333.3,,,20240600,20240900,20240900
2024-03-21 16:00:00,333.9,,,20240600,20240900,20240900
2024-03-22 05:00:00,334.3,336.5,336.5,20240600,20240900,20240900
2024-03-22 08:00:00,334.0,,,20240600,20240900,20240900
2024-03-22 09:00:00,334.4,,,20240600,20240900,20240900
2024-03-22 10:00:00,333.9,,,20240600,20240900,20240900
2024-03-22 11:00:00,333.4,,,20240600,20240900,20240900
2024-03-22 12:00:00,333.4,,,20240600,20240900,20240900
2024-03-22 14:00:00,333.8,,,20240600,20240900,20240900
2024-03-22 15:00:00,333.8,,,20240600,20240900,20240900
2024-03-22 16:00:00,334.4,,,20240600,20240900,20240900
2024-03-25 05:00:00,334.1,336.3,336.3,20240600,20240900,20240900
2024-03-25 08:00:00,333.4,,,20240600,20240900,20240900
2024-03-25 10:00:00,332.8,,,20240600,20240900,20240900
2024-03-25 14:00:00,333.8,,,20240600,20240900,20240900
2024-03-25 15:00:00,333.6,,,20240600,20240900,20240900
