DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-09 23:00:00,205.2,203.45,203.45,20250900,20251200,20251200
2025-06-10 09:00:00,203.5,,,20250900,20251200,20251200
2025-06-10 11:00:00,202.8,,,20250900,20251200,20251200
2025-06-10 12:00:00,202.6,,,20250900,20251200,20251200
2025-06-10 14:00:00,202.35,,,20250900,20251200,20251200
2025-06-10 15:00:00,201.45,,,20250900,20251200,20251200
2025-06-10 16:00:00,201.45,,,20250900,20251200,20251200
2025-06-10 17:00:00,201.65,,,20250900,20251200,20251200
2025-06-10 23:00:00,202.15,200.45,200.45,20250900,20251200,20251200
2025-06-11 08:00:00,201.8,,,20250900,20251200,20251200
2025-06-11 10:00:00,202.35,,,20250900,20251200,20251200
2025-06-11 11:00:00,202.1,,,20250900,20251200,20251200
2025-06-11 12:00:00,202.35,,,20250900,20251200,20251200
2025-06-11 15:00:00,201.45,,,20250900,20251200,20251200
2025-06-11 16:00:00,201.55,,,20250900,20251200,20251200
2025-06-11 19:00:00,201.1,,,20250900,20251200,20251200
2025-06-11 23:00:00,201.65,200.0,200.0,20250900,20251200,20251200
2025-06-12 01:00:00,200.55,,,20250900,20251200,20251200
2025-06-12 05:00:00,200.4,,,20250900,20251200,20251200
2025-06-12 06:00:00,199.55,,,20250900,20251200,20251200
2025-06-12 07:00:00,199.65,,,20250900,20251200,20251200
2025-06-12 08:00:00,199.65,,,20250900,20251200,20251200
2025-06-12 09:00:00,199.2,,,20250900,20251200,20251200
2025-06-12 11:00:00,200.25,,,20250900,20251200,20251200
2025-06-12 12:00:00,200.9,,,20250900,20251200,20251200
2025-06-12 13:00:00,201.8,,,20250900,20251200,20251200
2025-06-12 14:00:00,202.15,,,20250900,20251200,20251200
2025-06-12 15:00:00,201.4,,,20250900,20251200,20251200
2025-06-12 16:00:00,201.7,,,20250900,20251200,20251200
2025-06-12 18:00:00,201.9,,,20250900,20251200,20251200
2025-06-12 19:00:00,202.2,,,20250900,20251200,20251200
2025-06-12 23:00:00,201.7,199.9,199.9,20250900,20251200,20251200
2025-06-13 00:00:00,198.8,,,20250900,20251200,20251200
2025-06-13 00:15:00,198.8,,,20250900,20251200,20251200
2025-06-13 01:00:00,197.6,,,20250900,20251200,20251200
2025-06-13 04:00:00,197.7,,,20250900,20251200,20251200
2025-06-13 05:00:00,197.8,,,20250900,20251200,20251200
2025-06-13 06:00:00,197.3,,,20250900,20251200,20251200
2025-06-13 07:00:00,198.65,,,20250900,20251200,20251200
2025-06-13 08:00:00,197.8,,,20250900,20251200,20251200
2025-06-13 09:00:00,198.75,,,20250900,20251200,20251200
2025-06-13 10:00:00,198.25,,,20250900,20251200,20251200
2025-06-13 11:00:00,198.85,,,20250900,20251200,20251200
2025-06-13 12:00:00,198.5,,,20250900,20251200,20251200
2025-06-13 13:00:00,197.8,,,20250900,20251200,20251200
2025-06-13 14:00:00,198.35,,,20250900,20251200,20251200
2025-06-13 15:00:00,199.05,,,20250900,20251200,20251200
2025-06-13 16:00:00,199.3,,,20250900,20251200,20251200
2025-06-13 17:00:00,199.0,,,20250900,20251200,20251200
2025-06-13 18:00:00,198.6,,,20250900,20251200,20251200
2025-06-13 19:00:00,198.9,,,20250900,20251200,20251200
2025-06-13 23:00:00,198.55,196.6,196.6,20250900,20251200,20251200
2025-06-16 00:00:00,198.5,,,20250900,20251200,20251200
2025-06-16 00:15:00,198.5,,,20250900,20251200,20251200
2025-06-16 05:00:00,199.35,,,20250900,20251200,20251200
2025-06-16 06:00:00,199.85,,,20250900,20251200,20251200
2025-06-16 07:00:00,201.75,,,20250900,20251200,20251200
2025-06-16 08:00:00,202.0,,,20250900,20251200,20251200
2025-06-16 09:00:00,201.4,,,20250900,20251200,20251200
2025-06-16 10:00:00,201.95,,,20250900,20251200,20251200
2025-06-16 11:00:00,202.5,,,20250900,20251200,20251200
2025-06-16 12:00:00,202.65,,,20250900,20251200,20251200
2025-06-16 13:00:00,202.65,,,20250900,20251200,20251200
2025-06-16 14:00:00,203.3,,,20250900,20251200,20251200
2025-06-16 15:00:00,203.55,,,20250900,20251200,20251200
2025-06-16 16:00:00,203.25,,,20250900,20251200,20251200
2025-06-16 17:00:00,203.35,,,20250900,20251200,20251200
2025-06-16 18:00:00,203.2,,,20250900,20251200,20251200
2025-06-16 19:00:00,203.15,,,20250900,20251200,20251200
2025-06-16 23:00:00,203.2,201.45,201.45,20250900,20251200,20251200
2025-06-17 00:00:00,202.0,,,20250900,20251200,20251200
2025-06-17 00:15:00,202.0,,,20250900,20251200,20251200
2025-06-17 01:00:00,202.55,,,20250900,20251200,20251200
2025-06-17 02:00:00,202.45,,,20250900,20251200,20251200
2025-06-17 03:00:00,202.5,,,20250900,20251200,20251200
2025-06-17 04:00:00,202.65,,,20250900,20251200,20251200
2025-06-17 05:00:00,202.65,,,20250900,20251200,20251200
2025-06-17 06:00:00,202.0,,,20250900,20251200,20251200
2025-06-17 07:00:00,199.85,,,20250900,20251200,20251200
2025-06-17 08:00:00,199.6,,,20250900,20251200,20251200
2025-06-17 09:00:00,198.15,,,20250900,20251200,20251200
2025-06-17 10:00:00,198.8,,,20250900,20251200,20251200
2025-06-17 11:00:00,199.55,,,20250900,20251200,20251200
2025-06-17 12:00:00,199.15,,,20250900,20251200,20251200
2025-06-17 13:00:00,199.5,,,20250900,20251200,20251200
2025-06-17 14:00:00,199.4,,,20250900,20251200,20251200
2025-06-17 15:00:00,199.35,,,20250900,20251200,20251200
2025-06-17 16:00:00,198.9,,,20250900,20251200,20251200
2025-06-17 17:00:00,198.2,,,20250900,20251200,20251200
2025-06-17 18:00:00,197.7,,,20250900,20251200,20251200
2025-06-17 19:00:00,197.5,,,20250900,20251200,20251200
2025-06-17 23:00:00,198.85,197.25,197.25,20250900,20251200,20251200
2025-06-18 01:00:00,198.45,,,20250900,20251200,20251200
2025-06-18 02:00:00,198.25,,,20250900,20251200,20251200
2025-06-18 04:00:00,197.85,,,20250900,20251200,20251200
2025-06-18 05:00:00,198.35,,,20250900,20251200,20251200
2025-06-18 06:00:00,198.65,,,20250900,20251200,20251200
2025-06-18 07:00:00,199.4,,,20250900,20251200,20251200
2025-06-18 08:00:00,199.7,,,20250900,20251200,20251200
2025-06-18 09:00:00,199.7,,,20250900,20251200,20251200
2025-06-18 10:00:00,198.6,,,20250900,20251200,20251200
2025-06-18 11:00:00,199.55,,,20250900,20251200,20251200
2025-06-18 12:00:00,198.95,,,20250900,20251200,20251200
2025-06-18 13:00:00,198.75,,,20250900,20251200,20251200
2025-06-18 14:00:00,200.1,,,20250900,20251200,20251200
2025-06-18 15:00:00,200.3,,,20250900,20251200,20251200
2025-06-18 16:00:00,200.0,,,20250900,20251200,20251200
2025-06-18 17:00:00,200.0,,,20250900,20251200,20251200
2025-06-18 18:00:00,199.7,,,20250900,20251200,20251200
2025-06-18 19:00:00,200.05,,,20250900,20251200,20251200
2025-06-18 23:00:00,200.25,198.55,198.55,20250900,20251200,20251200
