DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-03-15 05:00:00,445.0,445.6,445.6,20240600,20240900,20240900
2024-03-15 10:00:00,445.6,,,20240600,20240900,20240900
2024-03-15 12:00:00,447.2,,,20240600,20240900,20240900
2024-03-15 13:00:00,445.9,,,20240600,20240900,20240900
2024-03-15 14:00:00,445.8,,,20240600,20240900,20240900
2024-03-15 15:00:00,445.5,,,20240600,20240900,20240900
2024-03-15 16:00:00,444.9,,,20240600,20240900,20240900
2024-03-18 05:00:00,443.9,444.5,444.5,20240600,20240900,20240900
2024-03-18 08:00:00,443.6,,,20240600,20240900,20240900
2024-03-18 09:00:00,443.3,,,20240600,20240900,20240900
2024-03-18 11:00:00,444.8,,,20240600,20240900,20240900
2024-03-18 12:00:00,444.0,,,20240600,20240900,20240900
2024-03-18 13:00:00,443.3,,,20240600,20240900,20240900
2024-03-18 14:00:00,442.8,,,20240600,20240900,20240900
2024-03-18 15:00:00,443.6,,,20240600,20240900,20240900
2024-03-18 16:00:00,443.7,,,20240600,20240900,20240900
2024-03-19 05:00:00,444.8,445.4,445.4,20240600,20240900,20240900
2024-03-19 08:00:00,443.1,,,20240600,20240900,20240900
2024-03-19 12:00:00,443.3,,,20240600,20240900,20240900
2024-03-19 13:00:00,442.6,,,20240600,20240900,20240900
2024-03-19 14:00:00,442.9,,,20240600,20240900,20240900
2024-03-19 15:00:00,444.0,,,20240600,20240900,20240900
2024-03-19 16:00:00,444.8,,,20240600,20240900,20240900
2024-03-20 05:00:00,445.3,445.8,445.8,20240600,20240900,20240900
2024-03-20 08:00:00,445.0,,,20240600,20240900,20240900
2024-03-20 09:00:00,446.1,,,20240600,20240900,20240900
2024-03-20 12:00:00,446.1,,,20240600,20240900,20240900
2024-03-20 13:00:00,446.3,,,20240600,20240900,20240900
2024-03-20 14:00:00,446.1,,,20240600,20240900,20240900
2024-03-20 15:00:00,445.1,,,20240600,20240900,20240900
2024-03-20 16:00:00,445.2,,,20240600,20240900,20240900
2024-03-21 05:00:00,448.7,449.2,449.2,20240600,20240900,20240900
2024-03-21 08:00:00,447.4,,,20240600,20240900,20240900
2024-03-21 09:00:00,446.5,,,20240600,20240900,20240900
2024-03-21 12:00:00,447.0,,,20240600,20240900,20240900
2024-03-21 13:00:00,447.1,,,20240600,20240900,20240900
2024-03-21 14:00:00,447.9,,,20240600,20240900,20240900
2024-03-21 15:00:00,448.6,,,20240600,20240900,20240900
2024-03-21 16:00:00,448.9,,,20240600,20240900,20240900
2024-03-22 05:00:00,450.6,451.1,451.1,20240600,20240900,20240900
2024-03-22 08:00:00,449.2,,,20240600,20240900,20240900
2024-03-22 11:00:00,448.3,,,20240600,20240900,20240900
2024-03-22 12:00:00,449.2,,,20240600,20240900,20240900
2024-03-22 13:00:00,449.6,,,20240600,20240900,20240900
2024-03-22 14:00:00,449.5,,,20240600,20240900,20240900
2024-03-22 15:00:00,450.7,,,20240600,20240900,20240900
2024-03-22 16:00:00,450.9,,,20240600,20240900,20240900
2024-03-25 05:00:00,447.9,448.4,448.4,20240600,20240900,20240900
2024-03-25 08:00:00,449.9,,,20240600,20240900,20240900
2024-03-25 12:00:00,449.0,,,20240600,20240900,20240900
2024-03-25 13:00:00,447.6,,,20240600,20240900,20240900
2024-03-25 14:00:00,449.0,,,20240600,20240900,20240900
2024-03-25 15:00:00,448.5,,,20240600,20240900,20240900
2024-03-25 16:00:00,447.6,,,20240600,20240900,20240900
2024-03-26 05:00:00,447.9,448.6,448.6,20240600,20240900,20240900
2024-03-26 08:00:00,447.7,,,20240600,20240900,20240900
2024-03-26 09:00:00,448.8,,,20240600,20240900,20240900
2024-03-26 10:00:00,448.8,,,20240600,20240900,20240900
2024-03-26 12:00:00,448.0,,,20240600,20240900,20240900
2024-03-26 13:00:00,446.5,,,20240600,20240900,20240900
2024-03-26 14:00:00,447.4,,,20240600,20240900,20240900
2024-03-26 15:00:00,446.7,,,20240600,20240900,20240900
2024-03-26 16:00:00,447.5,,,20240600,20240900,20240900
2024-03-27 05:00:00,450.1,450.8,450.8,20240600,20240900,20240900
2024-03-27 09:00:00,448.4,,,20240600,20240900,20240900
2024-03-27 10:00:00,448.9,,,20240600,20240900,20240900
2024-03-27 12:00:00,449.4,,,20240600,20240900,20240900
2024-03-27 13:00:00,450.1,,,20240600,20240900,20240900
