DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-12 15:00:00,854.7,,,20250900,20251200,20251200
2025-06-12 23:00:00,852.8,857.0,857.0,20250900,20251200,20251200
2025-06-13 15:00:00,840.7,,,20250900,20251200,20251200
2025-06-13 23:00:00,840.3,843.6,843.6,20250900,20251200,20251200
2025-06-16 07:00:00,839.8,,,20250900,20251200,20251200
2025-06-16 09:00:00,838.7,,,20250900,20251200,20251200
2025-06-16 10:00:00,838.4,,,20250900,20251200,20251200
2025-06-16 11:00:00,840.5,,,20250900,20251200,20251200
2025-06-16 12:00:00,841.7,,,20250900,20251200,20251200
2025-06-16 13:00:00,842.0,,,20250900,20251200,20251200
2025-06-16 14:00:00,845.0,,,20250900,20251200,20251200
2025-06-16 15:00:00,847.8,,,20250900,20251200,20251200
2025-06-16 23:00:00,847.4,850.6,850.6,20250900,20251200,20251200
2025-06-17 07:00:00,839.6,,,20250900,20251200,20251200
2025-06-17 08:00:00,842.2,,,20250900,20251200,20251200
2025-06-17 09:00:00,838.8,,,20250900,20251200,20251200
2025-06-17 10:00:00,835.7,,,20250900,20251200,20251200
2025-06-17 11:00:00,836.4,,,20250900,20251200,20251200
2025-06-17 12:00:00,840.2,,,20250900,20251200,20251200
2025-06-17 13:00:00,839.0,,,20250900,20251200,20251200
2025-06-17 14:00:00,841.9,,,20250900,20251200,20251200
2025-06-17 15:00:00,841.5,,,20250900,20251200,20251200
2025-06-17 23:00:00,841.1,844.5,844.5,20250900,20251200,20251200
2025-06-18 08:00:00,838.3,,,20250900,20251200,20251200
2025-06-18 09:00:00,838.7,,,20250900,20251200,20251200
2025-06-18 10:00:00,838.8,,,20250900,20251200,20251200
2025-06-18 14:00:00,836.5,,,20250900,20251200,20251200
2025-06-18 15:00:00,835.3,,,20250900,20251200,20251200
2025-06-18 23:00:00,835.4,838.9,838.9,20250900,20251200,20251200
2025-06-19 07:00:00,825.2,,,20250900,20251200,20251200
2025-06-19 08:00:00,825.8,,,20250900,20251200,20251200
2025-06-19 09:00:00,828.2,,,20250900,20251200,20251200
2025-06-19 11:00:00,829.6,,,20250900,20251200,20251200
2025-06-19 13:00:00,825.5,,,20250900,20251200,20251200
2025-06-19 15:00:00,824.3,,,20250900,20251200,20251200
2025-06-19 23:00:00,823.9,827.4,827.4,20250900,20251200,20251200
2025-06-20 07:00:00,832.7,,,20250900,20251200,20251200
2025-06-20 08:00:00,830.5,,,20250900,20251200,20251200
2025-06-20 09:00:00,832.4,,,20250900,20251200,20251200
2025-06-20 10:00:00,831.9,,,20250900,20251200,20251200
2025-06-20 11:00:00,835.1,,,20250900,20251200,20251200
2025-06-20 12:00:00,834.8,,,20250900,20251200,20251200
2025-06-20 13:00:00,830.5,,,20250900,20251200,20251200
2025-06-20 14:00:00,821.3,,,20250900,20251200,20251200
2025-06-20 15:00:00,823.0,,,20250900,20251200,20251200
2025-06-20 18:00:00,821.2,,,20250900,20251200,20251200
2025-06-20 23:00:00,823.2,826.9,826.9,20250900,20251200,20251200
2025-06-23 07:00:00,829.8,,,20250900,20251200,20251200
2025-06-23 08:00:00,828.0,,,20250900,20251200,20251200
2025-06-23 09:00:00,828.6,,,20250900,20251200,20251200
2025-06-23 10:00:00,828.4,,,20250900,20251200,20251200
2025-06-23 11:00:00,825.5,,,20250900,20251200,20251200
2025-06-23 12:00:00,827.0,,,20250900,20251200,20251200
2025-06-23 13:00:00,827.3,,,20250900,20251200,20251200
2025-06-23 14:00:00,830.2,,,20250900,20251200,20251200
2025-06-23 15:00:00,829.3,,,20250900,20251200,20251200
2025-06-23 23:00:00,829.9,833.7,833.7,20250900,20251200,20251200
2025-06-24 07:00:00,848.6,,,20250900,20251200,20251200
2025-06-24 08:00:00,847.7,,,20250900,20251200,20251200
2025-06-24 09:00:00,846.6,,,20250900,20251200,20251200
2025-06-24 10:00:00,845.6,,,20250900,20251200,20251200
2025-06-24 11:00:00,843.9,,,20250900,20251200,20251200
2025-06-24 12:00:00,844.1,,,20250900,20251200,20251200
2025-06-24 13:00:00,842.9,,,20250900,20251200,20251200
2025-06-24 14:00:00,846.0,,,20250900,20251200,20251200
2025-06-24 15:00:00,844.9,,,20250900,20251200,20251200
2025-06-24 23:00:00,845.0,848.9,848.9,20250900,20251200,20251200
2025-06-25 07:00:00,850.1,,,20250900,20251200,20251200
2025-06-25 08:00:00,849.3,,,20250900,20251200,20251200
2025-06-25 09:00:00,849.4,,,20250900,20251200,20251200
2025-06-25 10:00:00,848.0,,,20250900,20251200,20251200
2025-06-25 11:00:00,849.8,,,20250900,20251200,20251200
2025-06-25 12:00:00,847.6,,,20250900,20251200,20251200
2025-06-25 13:00:00,847.1,,,20250900,20251200,20251200
2025-06-25 14:00:00,842.8,,,20250900,20251200,20251200
2025-06-25 15:00:00,841.2,,,20250900,20251200,20251200
2025-06-25 23:00:00,841.5,845.4,845.4,20250900,20251200,20251200
2025-06-26 07:00:00,840.3,,,20250900,20251200,20251200
2025-06-26 08:00:00,841.0,,,20250900,20251200,20251200
2025-06-26 09:00:00,839.2,,,20250900,20251200,20251200
2025-06-26 10:00:00,836.5,,,20250900,20251200,20251200
2025-06-26 11:00:00,838.1,,,20250900,20251200,20251200
2025-06-26 12:00:00,835.7,,,20250900,20251200,20251200
2025-06-26 13:00:00,833.6,,,20250900,20251200,20251200
2025-06-26 14:00:00,836.3,,,20250900,20251200,20251200
2025-06-26 15:00:00,837.0,,,20250900,20251200,20251200
2025-06-26 23:00:00,835.8,839.6,839.6,20250900,20251200,20251200
2025-06-27 07:00:00,842.4,,,20250900,20251200,20251200
2025-06-27 08:00:00,844.4,,,20250900,20251200,20251200
2025-06-27 09:00:00,841.4,,,20250900,20251200,20251200
2025-06-27 10:00:00,840.1,,,20250900,20251200,20251200
2025-06-27 11:00:00,841.4,,,20250900,20251200,20251200
2025-06-27 12:00:00,842.6,,,20250900,20251200,20251200
2025-06-27 13:00:00,843.9,,,20250900,20251200,20251200
