DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2025-03-21 07:00:00,,20260900,75.86,20261200,78.28,20271200
2025-03-21 08:00:00,,20260900,75.3,20261200,78.12,20271200
2025-03-21 09:00:00,,20260900,75.21,20261200,78.12,20271200
2025-03-21 10:00:00,,20260900,75.41,20261200,78.12,20271200
2025-03-21 11:00:00,,20260900,74.99,20261200,78.12,20271200
2025-03-21 12:00:00,,20260900,74.45,20261200,77.31,20271200
2025-03-21 13:00:00,,20260900,74.31,20261200,76.77,20271200
2025-03-21 14:00:00,,20260900,73.91,20261200,76.34,20271200
2025-03-21 15:00:00,,20260900,73.48,20261200,76.06,20271200
2025-03-21 16:00:00,,20260900,73.35,20261200,76.03,20271200
2025-03-21 23:00:00,73.12,20260900,75.41,20261200,78.12,20271200
2025-03-24 07:00:00,,20260900,73.65,20261200,76.19,20271200
2025-03-24 08:00:00,,20260900,73.15,20261200,76.19,20271200
2025-03-24 09:00:00,,20260900,73.36,20261200,75.6,20271200
2025-03-24 10:00:00,,20260900,73.01,20261200,75.47,20271200
2025-03-24 11:00:00,,20260900,73.18,20261200,75.63,20271200
2025-03-24 12:00:00,,20260900,73.39,20261200,75.79,20271200
2025-03-24 13:00:00,,20260900,73.22,20261200,75.79,20271200
2025-03-24 14:00:00,,20260900,73.13,20261200,75.76,20271200
2025-03-24 15:00:00,,20260900,73.38,20261200,75.66,20271200
2025-03-24 16:00:00,,20260900,73.54,20261200,75.66,20271200
2025-03-24 23:00:00,73.19,20260900,73.6,20261200,76.02,20271200
2025-03-25 07:00:00,,20260900,73.09,20261200,,20271200
2025-03-25 08:00:00,,20260900,72.76,20261200,75.14,20271200
2025-03-25 09:00:00,,20260900,73.25,20261200,75.79,20271200
2025-03-25 10:00:00,,20260900,72.65,20261200,74.97,20271200
2025-03-25 11:00:00,,20260900,72.45,20261200,74.98,20271200
2025-03-25 12:00:00,,20260900,72.71,20261200,74.81,20271200
2025-03-25 13:00:00,,20260900,73.17,20261200,75.46,20271200
2025-03-25 14:00:00,,20260900,72.96,20261200,75.47,20271200
2025-03-25 15:00:00,,20260900,73.02,20261200,75.47,20271200
2025-03-25 16:00:00,,20260900,72.36,20261200,74.75,20271200
2025-03-25 23:00:00,72.14,20260900,72.54,20261200,74.94,20271200
2025-03-26 07:00:00,,20260900,71.95,20261200,74.3,20271200
2025-03-26 08:00:00,,20260900,72.13,20261200,74.59,20271200
2025-03-26 09:00:00,,20260900,72.01,20261200,74.45,20271200
2025-03-26 10:00:00,,20260900,72.76,20261200,74.9,20271200
2025-03-26 11:00:00,,20260900,72.45,20261200,74.9,20271200
2025-03-26 12:00:00,,20260900,72.26,20261200,74.63,20271200
2025-03-26 13:00:00,,20260900,73.34,20261200,75.4,20271200
2025-03-26 14:00:00,,20260900,73.51,20261200,76.19,20271200
2025-03-26 15:00:00,,20260900,72.88,20261200,75.55,20271200
2025-03-26 16:00:00,,20260900,72.77,20261200,75.47,20271200
2025-03-26 23:00:00,72.52,20260900,72.92,20261200,75.35,20271200
2025-03-27 07:00:00,,20260900,72.42,20261200,74.74,20271200
2025-03-27 08:00:00,,20260900,72.26,20261200,74.65,20271200
2025-03-27 09:00:00,,20260900,71.91,20261200,74.31,20271200
2025-03-27 10:00:00,,20260900,72.03,20261200,74.44,20271200
2025-03-27 11:00:00,,20260900,70.51,20261200,73.19,20271200
2025-03-27 12:00:00,,20260900,70.23,20261200,72.52,20271200
2025-03-27 13:00:00,,20260900,70.6,20261200,72.9,20271200
2025-03-27 14:00:00,,20260900,70.72,20261200,72.9,20271200
2025-03-27 15:00:00,,20260900,70.55,20261200,73.33,20271200
2025-03-27 16:00:00,,20260900,70.17,20261200,72.51,20271200
2025-03-27 23:00:00,70.15,20260900,70.52,20261200,72.87,20271200
2025-03-28 07:00:00,,20260900,70.46,20261200,72.8,20271200
2025-03-28 08:00:00,,20260900,70.45,20261200,72.49,20271200
2025-03-28 09:00:00,,20260900,70.73,20261200,72.85,20271200
2025-03-28 10:00:00,,20260900,71.16,20261200,72.85,20271200
2025-03-28 11:00:00,,20260900,71.1,20261200,73.54,20271200
2025-03-28 12:00:00,,20260900,70.75,20261200,73.56,20271200
2025-03-28 13:00:00,,20260900,70.63,20261200,72.89,20271200
2025-03-28 14:00:00,,20260900,70.82,20261200,73.17,20271200
2025-03-28 15:00:00,,20260900,70.85,20261200,73.17,20271200
2025-03-28 16:00:00,,20260900,70.84,20261200,72.97,20271200
2025-03-28 23:00:00,70.42,20260900,70.79,20261200,73.11,20271200
2025-03-31 07:00:00,,20260900,71.04,20261200,73.39,20271200
2025-03-31 08:00:00,,20260900,69.92,20261200,72.33,20271200
