DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2025-06-11 14:00:00,,20251200,1.5702,20250900,,20251200
2025-06-11 15:00:00,,20251200,1.5702,20250900,,20251200
2025-06-11 16:00:00,,20251200,1.5725,20250900,,20251200
2025-06-11 17:00:00,,20251200,1.5725,20250900,,20251200
2025-06-11 18:00:00,,20251200,1.5725,20250900,,20251200
2025-06-11 19:00:00,,20251200,1.5725,20250900,,20251200
2025-06-11 20:00:00,,20251200,1.5725,20250900,,20251200
2025-06-11 23:00:00,1.5746,20251200,1.572,20250900,1.5746,20251200
2025-06-12 13:30:00,,20251200,1.5807,20250900,,20251200
2025-06-12 14:00:00,,20251200,1.579,20250900,,20251200
2025-06-12 15:00:00,,20251200,1.579,20250900,,20251200
2025-06-12 16:00:00,,20251200,1.579,20250900,,20251200
2025-06-12 17:00:00,,20251200,1.579,20250900,,20251200
2025-06-12 18:00:00,,20251200,1.579,20250900,,20251200
2025-06-12 19:00:00,,20251200,1.579,20250900,,20251200
2025-06-12 20:00:00,,20251200,1.579,20250900,,20251200
2025-06-12 23:00:00,1.58,20251200,1.579,20250900,1.58,20251200
2025-06-13 13:30:00,,20251200,1.5719,20250900,,20251200
2025-06-13 14:00:00,,20251200,1.5719,20250900,,20251200
2025-06-13 15:00:00,,20251200,1.5713,20250900,,20251200
2025-06-13 16:00:00,,20251200,1.5713,20250900,,20251200
2025-06-13 17:00:00,,20251200,1.5713,20250900,,20251200
2025-06-13 18:00:00,,20251200,1.5713,20250900,,20251200
2025-06-13 19:00:00,,20251200,1.5713,20250900,,20251200
2025-06-13 20:00:00,,20251200,1.5713,20250900,,20251200
2025-06-13 23:00:00,1.5742,20251200,1.5716,20250900,1.5742,20251200
2025-06-16 13:30:00,,20251200,1.5741,20250900,,20251200
2025-06-16 14:00:00,,20251200,1.5741,20250900,,20251200
2025-06-16 15:00:00,,20251200,1.5739,20250900,,20251200
2025-06-16 16:00:00,,20251200,1.5739,20250900,,20251200
2025-06-16 17:00:00,,20251200,1.5739,20250900,,20251200
2025-06-16 18:00:00,,20251200,1.5739,20250900,,20251200
2025-06-16 19:00:00,,20251200,1.5739,20250900,,20251200
2025-06-16 20:00:00,,20251200,1.5739,20250900,,20251200
2025-06-16 23:00:00,1.5754,20251200,1.5726,20250900,1.5754,20251200
2025-06-17 13:30:00,,20251200,1.5717,20250900,,20251200
2025-06-17 14:00:00,,20251200,1.5701,20250900,,20251200
2025-06-17 15:00:00,,20251200,1.5701,20250900,,20251200
2025-06-17 16:00:00,,20251200,1.5701,20250900,,20251200
2025-06-17 17:00:00,,20251200,1.5677,20250900,,20251200
2025-06-17 18:00:00,,20251200,1.5677,20250900,,20251200
2025-06-17 19:00:00,,20251200,1.5686,20250900,,20251200
2025-06-17 20:00:00,,20251200,1.5709,20250900,,20251200
2025-06-17 23:00:00,1.5714,20251200,1.5687,20250900,1.5714,20251200
2025-06-18 13:30:00,,20251200,1.5729,20250900,,20251200
2025-06-18 14:00:00,,20251200,1.5729,20250900,,20251200
2025-06-18 15:00:00,,20251200,1.579,20250900,,20251200
2025-06-18 16:00:00,,20251200,1.579,20250900,,20251200
2025-06-18 17:00:00,,20251200,1.579,20250900,,20251200
2025-06-18 18:00:00,,20251200,1.579,20250900,,20251200
2025-06-18 19:00:00,,20251200,1.579,20250900,,20251200
2025-06-18 20:00:00,,20251200,1.579,20250900,,20251200
