DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-12 23:00:00,590.6,592.9,592.9,20250900,20251200,20251200
2025-06-13 23:00:00,583.2,585.3,585.3,20250900,20251200,20251200
2025-06-16 23:00:00,588.3,590.2,590.2,20250900,20251200,20251200
2025-06-17 09:00:00,583.1,,,20250900,20251200,20251200
2025-06-17 23:00:00,582.7,584.8,584.8,20250900,20251200,20251200
2025-06-18 23:00:00,580.8,583.0,583.0,20250900,20251200,20251200
2025-06-19 23:00:00,573.0,575.5,575.5,20250900,20251200,20251200
2025-06-20 10:00:00,578.1,,,20250900,20251200,20251200
2025-06-20 12:00:00,579.9,,,20250900,20251200,20251200
2025-06-20 23:00:00,576.3,577.4,577.4,20250900,20251200,20251200
2025-06-23 08:00:00,577.6,,,20250900,20251200,20251200
2025-06-23 23:00:00,575.7,576.8,576.8,20250900,20251200,20251200
2025-06-24 07:00:00,583.8,,,20250900,20251200,20251200
2025-06-24 13:00:00,584.2,,,20250900,20251200,20251200
2025-06-24 15:00:00,584.2,,,20250900,20251200,20251200
2025-06-24 23:00:00,584.5,585.7,585.7,20250900,20251200,20251200
2025-06-25 08:00:00,584.0,,,20250900,20251200,20251200
2025-06-25 09:00:00,583.6,,,20250900,20251200,20251200
2025-06-25 23:00:00,579.5,580.6,580.6,20250900,20251200,20251200
2025-06-26 10:00:00,580.2,,,20250900,20251200,20251200
2025-06-26 11:00:00,579.8,,,20250900,20251200,20251200
2025-06-26 13:00:00,578.3,,,20250900,20251200,20251200
2025-06-26 23:00:00,579.0,580.1,580.1,20250900,20251200,20251200
2025-06-27 11:00:00,584.8,,,20250900,20251200,20251200
2025-06-27 23:00:00,584.8,588.4,588.4,20250900,20251200,20251200
2025-06-30 12:00:00,587.2,,,20250900,20251200,20251200
2025-06-30 23:00:00,586.0,587.2,587.2,20250900,20251200,20251200
2025-07-01 12:00:00,581.8,,,20250900,20251200,20251200
2025-07-01 23:00:00,583.3,584.4,584.4,20250900,20251200,20251200
2025-07-02 09:00:00,586.5,,,20250900,20251200,20251200
2025-07-02 12:00:00,583.8,,,20250900,20251200,20251200
2025-07-02 23:00:00,586.4,587.6,587.6,20250900,20251200,20251200
2025-07-03 23:00:00,588.5,589.5,589.5,20250900,20251200,20251200
2025-07-04 08:00:00,582.7,,,20250900,20251200,20251200
2025-07-04 23:00:00,582.7,585.1,585.1,20250900,20251200,20251200
2025-07-07 23:00:00,588.6,589.8,589.8,20250900,20251200,20251200
2025-07-08 08:00:00,588.4,,,20250900,20251200,20251200
2025-07-08 15:00:00,591.6,,,20250900,20251200,20251200
2025-07-08 23:00:00,591.1,592.2,592.2,20250900,20251200,20251200
2025-07-09 10:00:00,597.8,,,20250900,20251200,20251200
2025-07-09 23:00:00,599.0,600.2,600.2,20250900,20251200,20251200
2025-07-10 10:00:00,600.9,,,20250900,20251200,20251200
2025-07-10 14:00:00,598.9,,,20250900,20251200,20251200
2025-07-10 15:00:00,598.7,,,20250900,20251200,20251200
2025-07-10 23:00:00,598.9,600.1,600.1,20250900,20251200,20251200
2025-07-11 07:00:00,595.5,,,20250900,20251200,20251200
2025-07-11 09:00:00,593.0,,,20250900,20251200,20251200
2025-07-11 23:00:00,592.9,594.1,594.1,20250900,20251200,20251200
2025-07-14 23:00:00,592.1,593.4,593.4,20250900,20251200,20251200
2025-07-15 12:00:00,593.4,,,20250900,20251200,20251200
2025-07-15 23:00:00,590.3,591.6,591.6,20250900,20251200,20251200
2025-07-16 15:00:00,587.4,,,20250900,20251200,20251200
2025-07-16 23:00:00,586.3,587.5,587.5,20250900,20251200,20251200
2025-07-17 23:00:00,592.9,594.1,594.1,20250900,20251200,20251200
2025-07-18 15:00:00,591.6,,,20250900,20251200,20251200
2025-07-18 23:00:00,591.5,592.7,592.7,20250900,20251200,20251200
2025-07-21 08:00:00,590.5,,,20250900,20251200,20251200
2025-07-21 15:00:00,590.6,,,20250900,20251200,20251200
2025-07-21 23:00:00,590.3,591.5,591.5,20250900,20251200,20251200
2025-07-22 15:00:00,585.6,,,20250900,20251200,20251200
2025-07-22 23:00:00,585.6,586.7,586.7,20250900,20251200,20251200
2025-07-23 13:00:00,590.8,,,20250900,20251200,20251200
2025-07-23 23:00:00,591.6,593.0,593.0,20250900,20251200,20251200
2025-07-24 07:00:00,595.5,,,20250900,20251200,20251200
2025-07-24 12:00:00,594.3,,,20250900,20251200,20251200
2025-07-24 13:00:00,592.6,,,20250900,20251200,20251200
2025-07-24 15:00:00,593.3,,,20250900,20251200,20251200
2025-07-24 23:00:00,593.4,594.8,594.8,20250900,20251200,20251200
2025-07-25 23:00:00,593.0,594.4,594.4,20250900,20251200,20251200
2025-07-28 07:00:00,598.4,,,20250900,20251200,20251200
2025-07-28 23:00:00,589.6,591.1,591.1,20250900,20251200,20251200
2025-07-29 23:00:00,594.4,595.8,595.8,20250900,20251200,20251200
2025-07-30 23:00:00,596.7,598.1,598.1,20250900,20251200,20251200
2025-07-31 07:00:00,599.3,,,20250900,20251200,20251200
2025-07-31 08:00:00,599.0,,,20250900,20251200,20251200
2025-07-31 12:00:00,594.2,,,20250900,20251200,20251200
2025-07-31 14:00:00,591.5,,,20250900,20251200,20251200
2025-07-31 23:00:00,591.0,592.3,592.3,20250900,20251200,20251200
2025-08-01 10:00:00,580.4,,,20250900,20251200,20251200
2025-08-01 11:00:00,579.6,,,20250900,20251200,20251200
2025-08-01 14:00:00,575.6,,,20250900,20251200,20251200
2025-08-01 23:00:00,575.4,576.6,576.6,20250900,20251200,20251200
2025-08-04 23:00:00,582.6,583.9,583.9,20250900,20251200,20251200
2025-08-05 07:00:00,585.2,,,20250900,20251200,20251200
2025-08-05 08:00:00,582.5,,,20250900,20251200,20251200
2025-08-05 12:00:00,585.3,,,20250900,20251200,20251200
2025-08-05 23:00:00,583.8,585.1,585.1,20250900,20251200,20251200
2025-08-06 23:00:00,584.9,586.3,586.3,20250900,20251200,20251200
2025-08-07 08:00:00,587.6,,,20250900,20251200,20251200
2025-08-07 09:00:00,592.8,,,20250900,20251200,20251200
2025-08-07 10:00:00,592.7,,,20250900,20251200,20251200
2025-08-07 11:00:00,593.1,,,20250900,20251200,20251200
2025-08-07 13:00:00,593.0,,,20250900,20251200,20251200
2025-08-07 23:00:00,591.9,593.4,593.4,20250900,20251200,20251200
2025-08-08 14:00:00,593.0,,,20250900,20251200,20251200
2025-08-08 23:00:00,594.4,596.0,596.0,20250900,20251200,20251200
2025-08-11 07:00:00,594.1,,,20250900,20251200,20251200
2025-08-11 23:00:00,592.0,593.6,593.6,20250900,20251200,20251200
2025-08-12 12:00:00,592.9,,,20250900,20251200,20251200
2025-08-12 23:00:00,593.8,595.5,595.5,20250900,20251200,20251200
2025-08-13 23:00:00,598.0,599.7,599.7,20250900,20251200,20251200
2025-08-14 07:00:00,598.3,,,20250900,20251200,20251200
2025-08-14 23:00:00,602.0,603.7,603.7,20250900,20251200,20251200
2025-08-15 07:00:00,604.4,,,20250900,20251200,20251200
2025-08-15 08:00:00,605.6,,,20250900,20251200,20251200
2025-08-15 09:00:00,604.7,,,20250900,20251200,20251200
2025-08-15 12:00:00,603.6,,,20250900,20251200,20251200
2025-08-15 23:00:00,604.5,606.2,606.2,20250900,20251200,20251200
