DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-11 23:00:00,21536.0,21591.0,21591.0,20250900,20251200,20251200
2025-06-12 06:00:00,21610.0,,,20250900,20251200,20251200
2025-06-12 23:00:00,21429.0,21484.0,21484.0,20250900,20251200,20251200
2025-06-13 07:00:00,21211.0,,,20250900,20251200,20251200
2025-06-13 23:00:00,21195.0,21250.0,21250.0,20250900,20251200,20251200
2025-06-16 10:00:00,21343.0,,,20250900,20251200,20251200
2025-06-16 12:00:00,21309.0,,,20250900,20251200,20251200
2025-06-16 13:00:00,21295.0,,,20250900,20251200,20251200
2025-06-16 14:00:00,21345.0,,,20250900,20251200,20251200
2025-06-16 15:00:00,21325.0,,,20250900,20251200,20251200
2025-06-16 23:00:00,21305.0,21360.0,21360.0,20250900,20251200,20251200
2025-06-17 07:00:00,21222.0,,,20250900,20251200,20251200
2025-06-17 08:00:00,21296.0,,,20250900,20251200,20251200
2025-06-17 10:00:00,21235.0,,,20250900,20251200,20251200
2025-06-17 11:00:00,21248.0,,,20250900,20251200,20251200
2025-06-17 12:00:00,21255.0,,,20250900,20251200,20251200
2025-06-17 13:00:00,21245.0,,,20250900,20251200,20251200
2025-06-17 14:00:00,21223.0,,,20250900,20251200,20251200
2025-06-17 15:00:00,21215.0,,,20250900,20251200,20251200
2025-06-17 16:00:00,21277.0,,,20250900,20251200,20251200
2025-06-17 23:00:00,21238.0,21293.0,21293.0,20250900,20251200,20251200
2025-06-18 07:00:00,21265.0,,,20250900,20251200,20251200
2025-06-18 08:00:00,21260.0,,,20250900,20251200,20251200
2025-06-18 09:00:00,21260.0,,,20250900,20251200,20251200
2025-06-18 10:00:00,21276.0,,,20250900,20251200,20251200
2025-06-18 11:00:00,21225.0,,,20250900,20251200,20251200
2025-06-18 12:00:00,21219.0,,,20250900,20251200,20251200
2025-06-18 13:00:00,21285.0,,,20250900,20251200,20251200
2025-06-18 14:00:00,21342.0,,,20250900,20251200,20251200
2025-06-18 15:00:00,21262.0,,,20250900,20251200,20251200
2025-06-18 23:00:00,21334.0,21389.0,21389.0,20250900,20251200,20251200
2025-06-19 07:00:00,21124.0,,,20250900,20251200,20251200
2025-06-19 08:00:00,21142.0,,,20250900,20251200,20251200
2025-06-19 09:00:00,21188.0,,,20250900,20251200,20251200
2025-06-19 10:00:00,21209.0,,,20250900,20251200,20251200
2025-06-19 11:00:00,21166.0,,,20250900,20251200,20251200
2025-06-19 12:00:00,21208.0,,,20250900,20251200,20251200
2025-06-19 13:00:00,21190.0,,,20250900,20251200,20251200
2025-06-19 14:00:00,21190.0,,,20250900,20251200,20251200
2025-06-19 15:00:00,21065.0,,,20250900,20251200,20251200
2025-06-19 16:00:00,21032.0,,,20250900,20251200,20251200
2025-06-19 23:00:00,21131.0,21186.0,21186.0,20250900,20251200,20251200
2025-06-20 06:00:00,21179.0,,,20250900,20251200,20251200
2025-06-20 07:00:00,21285.0,,,20250900,20251200,20251200
2025-06-20 08:00:00,21226.0,,,20250900,20251200,20251200
2025-06-20 09:00:00,21265.0,,,20250900,20251200,20251200
2025-06-20 10:00:00,21225.0,,,20250900,20251200,20251200
2025-06-20 11:00:00,21246.0,,,20250900,20251200,20251200
2025-06-20 12:00:00,21230.0,,,20250900,20251200,20251200
2025-06-20 13:00:00,21214.0,,,20250900,20251200,20251200
2025-06-20 14:00:00,21185.0,,,20250900,20251200,20251200
2025-06-20 15:00:00,21221.0,,,20250900,20251200,20251200
2025-06-20 16:00:00,21210.0,,,20250900,20251200,20251200
2025-06-20 23:00:00,21200.0,21255.0,21255.0,20250900,20251200,20251200
2025-06-23 07:00:00,21176.0,,,20250900,20251200,20251200
2025-06-23 08:00:00,21182.0,,,20250900,20251200,20251200
2025-06-23 09:00:00,21156.0,,,20250900,20251200,20251200
2025-06-23 10:00:00,21146.0,,,20250900,20251200,20251200
2025-06-23 11:00:00,21069.0,,,20250900,20251200,20251200
2025-06-23 12:00:00,21112.0,,,20250900,20251200,20251200
2025-06-23 13:00:00,21120.0,,,20250900,20251200,20251200
2025-06-23 14:00:00,21125.0,,,20250900,20251200,20251200
2025-06-23 15:00:00,21118.0,,,20250900,20251200,20251200
2025-06-23 17:00:00,21063.0,,,20250900,20251200,20251200
2025-06-23 23:00:00,21137.0,21192.0,21192.0,20250900,20251200,20251200
2025-06-24 06:00:00,21269.0,,,20250900,20251200,20251200
2025-06-24 07:00:00,21305.0,,,20250900,20251200,20251200
2025-06-24 08:00:00,21323.0,,,20250900,20251200,20251200
2025-06-24 09:00:00,21338.0,,,20250900,20251200,20251200
2025-06-24 10:00:00,21359.0,,,20250900,20251200,20251200
2025-06-24 11:00:00,21359.0,,,20250900,20251200,20251200
2025-06-24 12:00:00,21369.0,,,20250900,20251200,20251200
2025-06-24 13:00:00,21358.0,,,20250900,20251200,20251200
2025-06-24 14:00:00,21399.0,,,20250900,20251200,20251200
2025-06-24 15:00:00,21288.0,,,20250900,20251200,20251200
2025-06-24 23:00:00,21392.0,21447.0,21447.0,20250900,20251200,20251200
2025-06-25 07:00:00,21407.0,,,20250900,20251200,20251200
2025-06-25 08:00:00,21413.0,,,20250900,20251200,20251200
2025-06-25 09:00:00,21382.0,,,20250900,20251200,20251200
2025-06-25 10:00:00,21360.0,,,20250900,20251200,20251200
2025-06-25 11:00:00,21366.0,,,20250900,20251200,20251200
2025-06-25 12:00:00,21328.0,,,20250900,20251200,20251200
2025-06-25 13:00:00,21301.0,,,20250900,20251200,20251200
2025-06-25 14:00:00,21287.0,,,20250900,20251200,20251200
2025-06-25 15:00:00,21320.0,,,20250900,20251200,20251200
2025-06-25 23:00:00,21329.0,21378.0,21378.0,20250900,20251200,20251200
2025-06-26 07:00:00,21369.0,,,20250900,20251200,20251200
2025-06-26 08:00:00,21407.0,,,20250900,20251200,20251200
2025-06-26 09:00:00,21371.0,,,20250900,20251200,20251200
2025-06-26 10:00:00,21452.0,,,20250900,20251200,20251200
2025-06-26 11:00:00,21457.0,,,20250900,20251200,20251200
2025-06-26 12:00:00,21437.0,,,20250900,20251200,20251200
2025-06-26 13:00:00,21435.0,,,20250900,20251200,20251200
2025-06-26 14:00:00,21464.0,,,20250900,20251200,20251200
2025-06-26 15:00:00,21477.0,,,20250900,20251200,20251200
2025-06-26 23:00:00,21502.0,21551.0,21551.0,20250900,20251200,20251200
2025-06-27 07:00:00,21606.0,,,20250900,20251200,20251200
2025-06-27 08:00:00,21652.0,,,20250900,20251200,20251200
2025-06-27 09:00:00,21640.0,,,20250900,20251200,20251200
2025-06-27 10:00:00,21616.0,,,20250900,20251200,20251200
2025-06-27 11:00:00,21666.0,,,20250900,20251200,20251200
2025-06-27 12:00:00,21666.0,,,20250900,20251200,20251200
2025-06-27 13:00:00,21678.0,,,20250900,20251200,20251200
2025-06-27 14:00:00,21663.0,,,20250900,20251200,20251200
2025-06-27 15:00:00,21781.0,,,20250900,20251200,20251200
2025-06-27 16:00:00,21746.0,,,20250900,20251200,20251200
