DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-03-28 23:00:00,,20240400,1.749,20240500,1.989,20240600
2024-03-31 22:00:00,1.744,20240500,,20240600,,20240700
2024-04-01 04:00:00,1.731,20240500,,20240600,,20240700
2024-04-01 05:00:00,1.736,20240500,2.074,20240600,2.405,20240700
2024-04-01 09:00:00,1.72,20240500,,20240600,,20240700
2024-04-01 11:00:00,1.758,20240500,1.993,20240600,,20240700
2024-04-01 12:00:00,1.817,20240500,,20240600,,20240700
2024-04-01 13:00:00,1.815,20240500,2.046,20240600,,20240700
2024-04-01 14:00:00,1.801,20240500,2.041,20240600,2.387,20240700
2024-04-01 15:00:00,1.837,20240500,,20240600,,20240700
2024-04-01 16:00:00,1.849,20240500,2.078,20240600,,20240700
2024-04-01 17:00:00,1.833,20240500,2.075,20240600,,20240700
2024-04-01 18:00:00,1.835,20240500,,20240600,,20240700
2024-04-01 19:00:00,1.838,20240500,,20240600,2.415,20240700
2024-04-01 20:00:00,1.839,20240500,,20240600,,20240700
2024-04-01 22:00:00,1.832,20240500,,20240600,,20240700
2024-04-01 23:00:00,1.834,20240500,,20240600,,20240700
2024-04-02 00:00:00,1.827,20240500,,20240600,,20240700
2024-04-02 02:00:00,,20240500,,20240600,2.405,20240700
2024-04-02 04:00:00,1.823,20240500,,20240600,,20240700
2024-04-02 05:00:00,1.862,20240500,2.105,20240600,2.43,20240700
2024-04-02 07:00:00,1.85,20240500,,20240600,,20240700
2024-04-02 08:00:00,1.833,20240500,,20240600,,20240700
2024-04-02 10:00:00,1.816,20240500,2.067,20240600,,20240700
2024-04-02 11:00:00,1.808,20240500,2.052,20240600,,20240700
2024-04-02 12:00:00,1.788,20240500,,20240600,,20240700
2024-04-02 13:00:00,1.809,20240500,,20240600,,20240700
2024-04-02 14:00:00,1.87,20240500,2.072,20240600,,20240700
2024-04-02 15:00:00,1.856,20240500,2.1,20240600,2.43,20240700
2024-04-02 16:00:00,1.861,20240500,,20240600,2.43,20240700
