DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-02-14 23:00:00,2.5305,20240500,2.4964,20240600,2.449,20240700
2024-02-15 00:00:00,2.5319,20240500,2.4947,20240600,,20240700
2024-02-15 01:00:00,2.5248,20240500,2.4918,20240600,,20240700
2024-02-15 02:00:00,2.5255,20240500,2.4908,20240600,2.4522,20240700
2024-02-15 03:00:00,2.5242,20240500,2.491,20240600,2.4503,20240700
2024-02-15 04:00:00,2.5239,20240500,2.49,20240600,,20240700
2024-02-15 05:00:00,2.5262,20240500,2.4924,20240600,2.4556,20240700
2024-02-15 06:00:00,2.5271,20240500,2.4936,20240600,2.4575,20240700
2024-02-15 07:00:00,2.5155,20240500,2.4826,20240600,2.4474,20240700
2024-02-15 08:00:00,2.5341,20240500,2.5006,20240600,2.4602,20240700
2024-02-15 09:00:00,2.5215,20240500,2.4889,20240600,2.4496,20240700
2024-02-15 10:00:00,2.5096,20240500,2.4773,20240600,2.4416,20240700
2024-02-15 11:00:00,2.5076,20240500,2.476,20240600,2.4346,20240700
2024-02-15 12:00:00,2.525,20240500,2.4904,20240600,2.4499,20240700
2024-02-15 13:00:00,2.5376,20240500,2.5035,20240600,2.4624,20240700
2024-02-15 14:00:00,2.5493,20240500,2.5121,20240600,2.4743,20240700
2024-02-15 15:00:00,2.5673,20240500,2.5313,20240600,2.4886,20240700
2024-02-15 16:00:00,2.5757,20240500,2.54,20240600,2.4984,20240700
2024-02-15 17:00:00,2.5578,20240500,2.5244,20240600,2.4849,20240700
2024-02-15 18:00:00,2.5576,20240500,2.5235,20240600,2.485,20240700
2024-02-15 19:00:00,2.5577,20240500,2.5241,20240600,2.4835,20240700
2024-02-15 20:00:00,2.5538,20240500,2.5202,20240600,2.4807,20240700
2024-02-15 21:00:00,2.552,20240500,2.5197,20240600,2.4802,20240700
2024-02-15 23:00:00,2.5525,20240500,,20240600,2.4846,20240700
2024-02-16 00:00:00,,20240500,2.5185,20240600,,20240700
2024-02-16 01:00:00,2.5455,20240500,,20240600,,20240700
2024-02-16 02:00:00,2.5472,20240500,,20240600,,20240700
2024-02-16 03:00:00,2.5465,20240500,,20240600,,20240700
2024-02-16 04:00:00,2.5487,20240500,2.5166,20240600,,20240700
2024-02-16 05:00:00,2.5502,20240500,2.5178,20240600,2.4794,20240700
2024-02-16 06:00:00,2.5509,20240500,2.5175,20240600,2.4894,20240700
2024-02-16 07:00:00,2.5476,20240500,,20240600,2.4759,20240700
2024-02-16 08:00:00,2.5344,20240500,2.5021,20240600,2.466,20240700
2024-02-16 09:00:00,2.5232,20240500,2.4906,20240600,2.4515,20240700
2024-02-16 10:00:00,2.5249,20240500,2.4927,20240600,2.4505,20240700
2024-02-16 11:00:00,2.5253,20240500,2.4943,20240600,2.4523,20240700
2024-02-16 12:00:00,2.5263,20240500,2.4939,20240600,2.4559,20240700
2024-02-16 13:00:00,2.543,20240500,2.5064,20240600,2.4659,20240700
2024-02-16 14:00:00,2.5297,20240500,2.4986,20240600,2.4602,20240700
