DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2025-06-29 22:00:00,2.0252,20250900,,20250800,2.0252,20250900
2025-06-29 23:00:00,2.0252,20250900,,20250800,2.0252,20250900
2025-06-30 01:00:00,2.0229,20250900,2.0503,20250800,2.0229,20250900
2025-06-30 02:00:00,2.0352,20250900,2.066,20250800,2.0352,20250900
2025-06-30 03:00:00,2.0352,20250900,2.066,20250800,2.0352,20250900
2025-06-30 04:00:00,2.0352,20250900,2.066,20250800,2.0352,20250900
2025-06-30 05:00:00,2.0403,20250900,2.0663,20250800,2.0403,20250900
2025-06-30 06:00:00,2.0342,20250900,2.0655,20250800,2.0342,20250900
2025-06-30 07:00:00,2.0298,20250900,2.0607,20250800,2.0298,20250900
2025-06-30 08:00:00,2.0385,20250900,2.0694,20250800,2.0385,20250900
2025-06-30 09:00:00,2.0344,20250900,2.0644,20250800,2.0344,20250900
2025-06-30 10:00:00,2.0415,20250900,2.069,20250800,2.0415,20250900
2025-06-30 11:00:00,2.04,20250900,2.0711,20250800,2.04,20250900
2025-06-30 12:00:00,2.0465,20250900,2.0789,20250800,2.0465,20250900
2025-06-30 13:00:00,2.046,20250900,2.0791,20250800,2.046,20250900
2025-06-30 14:00:00,2.0359,20250900,2.0689,20250800,2.0359,20250900
2025-06-30 15:00:00,2.0338,20250900,2.0628,20250800,2.0338,20250900
2025-06-30 16:00:00,2.0388,20250900,2.0654,20250800,2.0388,20250900
2025-06-30 17:00:00,2.0337,20250900,2.065,20250800,2.0337,20250900
2025-06-30 18:00:00,2.0399,20250900,2.0718,20250800,2.0399,20250900
2025-06-30 19:00:00,2.0399,20250900,2.07,20250800,2.0399,20250900
2025-06-30 20:00:00,2.0387,20250900,2.0683,20250800,2.0387,20250900
2025-06-30 21:00:00,2.0387,20250900,2.0683,20250800,2.0387,20250900
2025-06-30 23:00:00,2.0422,20250900,2.0721,20250800,2.0422,20250900
2025-07-01 01:00:00,2.0354,20250900,2.0656,20250800,2.0354,20250900
2025-07-01 02:00:00,2.0354,20250900,2.0656,20250800,2.0354,20250900
2025-07-01 03:00:00,2.0354,20250900,2.0656,20250800,2.0354,20250900
2025-07-01 04:00:00,2.0337,20250900,2.0633,20250800,2.0337,20250900
2025-07-01 05:00:00,2.0337,20250900,2.0627,20250800,2.0337,20250900
2025-07-01 23:00:00,2.0337,20250900,2.0627,20250800,2.0337,20250900
2025-07-02 01:00:00,2.0621,20250900,2.0923,20250800,2.0621,20250900
2025-07-02 02:00:00,2.0621,20250900,2.0923,20250800,2.0621,20250900
2025-07-02 03:00:00,2.0628,20250900,2.094,20250800,2.0628,20250900
2025-07-02 04:00:00,2.0628,20250900,2.094,20250800,2.0628,20250900
2025-07-02 05:00:00,2.0635,20250900,2.094,20250800,2.0635,20250900
2025-07-02 06:00:00,2.0628,20250900,2.0934,20250800,2.0628,20250900
2025-07-02 07:00:00,2.0697,20250900,2.103,20250800,2.0697,20250900
2025-07-02 08:00:00,2.0718,20250900,2.1045,20250800,2.0718,20250900
2025-07-02 09:00:00,2.0751,20250900,2.1074,20250800,2.0751,20250900
2025-07-02 10:00:00,2.0819,20250900,2.1137,20250800,2.0819,20250900
2025-07-02 11:00:00,2.0834,20250900,2.1171,20250800,2.0834,20250900
2025-07-02 12:00:00,2.0784,20250900,2.1095,20250800,2.0784,20250900
2025-07-02 13:00:00,2.0691,20250900,2.0994,20250800,2.0691,20250900
2025-07-02 14:00:00,2.0581,20250900,2.0869,20250800,2.0581,20250900
2025-07-02 15:00:00,2.0781,20250900,2.1097,20250800,2.0781,20250900
2025-07-02 16:00:00,2.0824,20250900,2.111,20250800,2.0824,20250900
2025-07-02 17:00:00,2.0927,20250900,2.1234,20250800,2.0927,20250900
2025-07-02 18:00:00,2.0887,20250900,2.1194,20250800,2.0887,20250900
2025-07-02 19:00:00,2.0885,20250900,2.1194,20250800,2.0885,20250900
2025-07-02 20:00:00,2.0919,20250900,2.1234,20250800,2.0919,20250900
2025-07-02 21:00:00,2.0919,20250900,2.1234,20250800,2.0919,20250900
2025-07-02 23:00:00,2.0622,20250900,2.1229,20250800,2.0622,20250900
2025-07-03 01:00:00,2.0811,20250900,2.1115,20250800,2.0811,20250900
2025-07-03 02:00:00,2.0786,20250900,2.1115,20250800,2.0786,20250900
2025-07-03 03:00:00,2.078,20250900,2.1105,20250800,2.078,20250900
2025-07-03 04:00:00,2.078,20250900,2.1105,20250800,2.078,20250900
2025-07-03 05:00:00,2.0792,20250900,2.1097,20250800,2.0792,20250900
2025-07-03 06:00:00,2.0808,20250900,2.1106,20250800,2.0808,20250900
2025-07-03 07:00:00,2.0824,20250900,2.1133,20250800,2.0824,20250900
2025-07-03 08:00:00,2.0832,20250900,2.1133,20250800,2.0832,20250900
2025-07-03 09:00:00,2.0802,20250900,2.111,20250800,2.0802,20250900
2025-07-03 10:00:00,,20250900,2.1196,20250800,,20250900
2025-07-03 11:00:00,,20250900,2.1236,20250800,,20250900
2025-07-03 12:00:00,,20250900,2.1163,20250800,,20250900
2025-07-03 13:00:00,,20250900,2.1136,20250800,,20250900
2025-07-03 14:00:00,,20250900,2.1094,20250800,,20250900
2025-07-03 15:00:00,,20250900,2.1183,20250800,,20250900
2025-07-03 16:00:00,,20250900,2.1184,20250800,,20250900
2025-07-03 17:00:00,,20250900,2.121,20250800,,20250900
2025-07-03 18:00:00,,20250900,2.1157,20250800,,20250900
2025-07-03 19:00:00,,20250900,2.1157,20250800,,20250900
2025-07-03 20:00:00,,20250900,2.1157,20250800,,20250900
2025-07-03 21:00:00,,20250900,2.1157,20250800,,20250900
2025-07-03 23:00:00,2.0802,20250900,2.111,20250800,2.0802,20250900
2025-07-04 01:00:00,2.0844,20250900,,20250800,2.0844,20250900
2025-07-04 02:00:00,2.0844,20250900,,20250800,2.0844,20250900
2025-07-04 03:00:00,2.0844,20250900,,20250800,2.0844,20250900
2025-07-04 04:00:00,2.0831,20250900,,20250800,2.0831,20250900
2025-07-04 05:00:00,2.0867,20250900,,20250800,2.0867,20250900
2025-07-04 06:00:00,2.0831,20250900,2.1095,20250800,2.0831,20250900
2025-07-04 07:00:00,2.0944,20250900,2.1228,20250800,2.0944,20250900
2025-07-04 08:00:00,2.0818,20250900,2.113,20250800,2.0818,20250900
2025-07-04 09:00:00,2.0788,20250900,2.1082,20250800,2.0788,20250900
2025-07-04 10:00:00,2.0861,20250900,2.1082,20250800,2.0861,20250900
2025-07-04 11:00:00,2.0873,20250900,2.116,20250800,2.0873,20250900
2025-07-04 12:00:00,2.088,20250900,2.1234,20250800,2.088,20250900
2025-07-04 13:00:00,2.0855,20250900,2.1161,20250800,2.0855,20250900
2025-07-04 14:00:00,2.0904,20250900,2.1202,20250800,2.0904,20250900
2025-07-04 15:00:00,2.0866,20250900,2.1212,20250800,2.0866,20250900
2025-07-04 16:00:00,2.0875,20250900,2.1164,20250800,2.0875,20250900
2025-07-04 17:00:00,2.0893,20250900,2.1188,20250800,2.0893,20250900
2025-07-04 23:00:00,2.09,20250900,2.117,20250800,2.09,20250900
2025-07-06 22:00:00,2.0734,20250900,,20250800,2.0734,20250900
2025-07-06 23:00:00,2.0734,20250900,,20250800,2.0734,20250900
2025-07-07 01:00:00,2.0715,20250900,2.1008,20250800,2.0715,20250900
2025-07-07 02:00:00,2.0729,20250900,2.1008,20250800,2.0729,20250900
2025-07-07 03:00:00,2.077,20250900,2.1075,20250800,2.077,20250900
2025-07-07 04:00:00,2.0815,20250900,2.1075,20250800,2.0815,20250900
2025-07-07 05:00:00,2.0832,20250900,2.114,20250800,2.0832,20250900
2025-07-07 06:00:00,2.0856,20250900,2.115,20250800,2.0856,20250900
2025-07-07 07:00:00,2.0921,20250900,2.1211,20250800,2.0921,20250900
2025-07-07 08:00:00,2.0978,20250900,2.1293,20250800,2.0978,20250900
2025-07-07 09:00:00,2.1022,20250900,2.1291,20250800,2.1022,20250900
2025-07-07 10:00:00,2.0997,20250900,2.1344,20250800,2.0997,20250900
2025-07-07 11:00:00,2.1016,20250900,2.1338,20250800,2.1016,20250900
2025-07-07 12:00:00,2.0997,20250900,2.1309,20250800,2.0997,20250900
2025-07-07 13:00:00,2.0999,20250900,2.1333,20250800,2.0999,20250900
2025-07-07 14:00:00,2.1037,20250900,2.135,20250800,2.1037,20250900
2025-07-07 15:00:00,2.1107,20250900,2.1434,20250800,2.1107,20250900
2025-07-07 16:00:00,2.1155,20250900,2.1506,20250800,2.1155,20250900
2025-07-07 17:00:00,2.1136,20250900,2.1462,20250800,2.1136,20250900
2025-07-07 18:00:00,2.1229,20250900,2.1565,20250800,2.1229,20250900
2025-07-07 19:00:00,2.1217,20250900,2.1555,20250800,2.1217,20250900
2025-07-07 20:00:00,2.1193,20250900,2.1557,20250800,2.1193,20250900
2025-07-07 21:00:00,2.1193,20250900,2.1557,20250800,2.1193,20250900
2025-07-07 23:00:00,2.0714,20250900,2.1522,20250800,2.0714,20250900
2025-07-08 01:00:00,2.1123,20250900,2.1457,20250800,2.1123,20250900
2025-07-08 02:00:00,2.1173,20250900,2.1502,20250800,2.1173,20250900
2025-07-08 03:00:00,2.1172,20250900,2.151,20250800,2.1172,20250900
2025-07-08 04:00:00,2.1172,20250900,2.151,20250800,2.1172,20250900
2025-07-08 05:00:00,2.1195,20250900,2.1491,20250800,2.1195,20250900
2025-07-08 06:00:00,2.1146,20250900,2.154,20250800,2.1146,20250900
2025-07-08 07:00:00,2.1164,20250900,2.1552,20250800,2.1164,20250900
2025-07-08 08:00:00,2.1131,20250900,2.1471,20250800,2.1131,20250900
2025-07-08 09:00:00,2.1158,20250900,2.149,20250800,2.1158,20250900
2025-07-08 10:00:00,2.1273,20250900,2.1608,20250800,2.1273,20250900
2025-07-08 11:00:00,2.1316,20250900,2.166,20250800,2.1316,20250900
2025-07-08 12:00:00,2.1339,20250900,2.1704,20250800,2.1339,20250900
2025-07-08 13:00:00,2.1364,20250900,2.1706,20250800,2.1364,20250900
2025-07-08 14:00:00,2.1432,20250900,2.1835,20250800,2.1432,20250900
2025-07-08 15:00:00,2.1493,20250900,2.189,20250800,2.1493,20250900
2025-07-08 16:00:00,2.1539,20250900,2.1932,20250800,2.1539,20250900
2025-07-08 17:00:00,,20250900,2.1883,20250800,,20250900
2025-07-08 18:00:00,,20250900,2.186,20250800,,20250900
2025-07-08 19:00:00,,20250900,2.1888,20250800,,20250900
2025-07-08 20:00:00,,20250900,2.1861,20250800,,20250900
2025-07-08 21:00:00,,20250900,2.1861,20250800,,20250900
2025-07-08 23:00:00,2.1539,20250900,2.1932,20250800,2.1539,20250900
2025-07-09 01:00:00,2.1475,20250900,2.1851,20250800,2.1475,20250900
2025-07-09 02:00:00,2.1488,20250900,2.1876,20250800,2.1488,20250900
2025-07-09 03:00:00,2.1488,20250900,2.1876,20250800,2.1488,20250900
2025-07-09 04:00:00,2.1488,20250900,2.1876,20250800,2.1488,20250900
