DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-03-07 06:00:00,2.5206,20240600,2.5466,20240500,2.5206,20240600
2024-03-08 06:00:00,2.4966,20240600,2.5214,20240500,2.4966,20240600
2024-03-11 05:00:00,2.541,20240600,2.5724,20240500,2.541,20240600
2024-03-12 05:00:00,2.5453,20240600,2.5779,20240500,2.5453,20240600
2024-03-13 05:00:00,2.6182,20240600,2.6534,20240500,2.6182,20240600
2024-03-14 05:00:00,2.6556,20240600,2.6926,20240500,2.6556,20240600
2024-03-15 05:00:00,2.6656,20240600,2.7068,20240500,2.6656,20240600
2024-03-18 05:00:00,2.7074,20240600,2.7454,20240500,2.7074,20240600
2024-03-19 05:00:00,2.7116,20240600,2.7489,20240500,2.7116,20240600
2024-03-20 05:00:00,2.6814,20240600,2.7193,20240500,2.6814,20240600
2024-03-21 05:00:00,2.6755,20240600,2.7122,20240500,2.6755,20240600
2024-03-22 05:00:00,2.6762,20240600,2.717,20240500,2.6762,20240600
2024-03-25 05:00:00,2.6917,20240600,2.7284,20240500,2.6917,20240600
2024-03-26 05:00:00,2.655,20240600,2.6853,20240500,2.655,20240600
2024-03-27 05:00:00,2.6433,20240600,2.6719,20240500,2.6433,20240600
2024-03-28 05:00:00,2.6885,20240600,2.7206,20240500,2.6885,20240600
2024-04-01 05:00:00,2.681,20240600,2.71,20240500,2.681,20240600
2024-04-02 05:00:00,2.7263,20240600,2.7589,20240500,2.7263,20240600
2024-04-03 05:00:00,2.7344,20240600,2.7609,20240500,2.7344,20240600
2024-04-04 05:00:00,2.7678,20240600,2.7942,20240500,2.7678,20240600
2024-04-05 05:00:00,2.7657,20240600,2.7886,20240500,2.7657,20240600
2024-04-08 05:00:00,2.7295,20240600,2.7486,20240500,2.7295,20240600
2024-04-09 05:00:00,2.7302,20240600,2.7556,20240500,2.7302,20240600
2024-04-10 05:00:00,2.7569,20240600,2.7816,20240500,2.7569,20240600
2024-04-11 05:00:00,2.7485,20240600,2.7741,20240500,2.7485,20240600
2024-04-12 05:00:00,2.7761,20240600,2.8029,20240500,2.7761,20240600
