DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-08-22 15:00:00,3.157,3.743,2.805,20251100,20251200,20251000
2025-08-22 16:00:00,3.158,3.75,2.801,20251100,20251200,20251000
2025-08-22 17:00:00,3.152,3.743,2.788,20251100,20251200,20251000
2025-08-22 18:00:00,3.159,3.749,2.796,20251100,20251200,20251000
2025-08-22 19:00:00,3.16,3.75,2.802,20251100,20251200,20251000
2025-08-22 20:00:00,3.157,3.744,2.801,20251100,20251200,20251000
2025-08-22 23:00:00,3.157,3.744,2.801,20251100,20251200,20251000
2025-08-24 22:00:00,,3.708,2.747,20251100,20251200,20251000
2025-08-24 23:00:00,,3.71,2.755,20251100,20251200,20251000
2025-08-25 00:00:00,,3.712,2.763,20251100,20251200,20251000
2025-08-25 01:00:00,,3.707,2.759,20251100,20251200,20251000
2025-08-25 02:00:00,,3.706,2.758,20251100,20251200,20251000
2025-08-25 03:00:00,,3.702,2.751,20251100,20251200,20251000
2025-08-25 04:00:00,,3.701,2.749,20251100,20251200,20251000
2025-08-25 05:00:00,,3.686,2.748,20251100,20251200,20251000
2025-08-25 06:00:00,,3.701,2.771,20251100,20251200,20251000
2025-08-25 07:00:00,,3.706,2.772,20251100,20251200,20251000
2025-08-25 08:00:00,,3.698,2.76,20251100,20251200,20251000
2025-08-25 09:00:00,,3.695,2.76,20251100,20251200,20251000
2025-08-25 10:00:00,,3.704,2.765,20251100,20251200,20251000
2025-08-25 11:00:00,,3.689,2.756,20251100,20251200,20251000
2025-08-25 12:00:00,,3.701,2.771,20251100,20251200,20251000
2025-08-25 13:00:00,,3.705,2.789,20251100,20251200,20251000
2025-08-25 13:30:00,3.137,,,20251100,20251200,20251000
2025-08-25 14:00:00,3.148,3.719,2.81,20251100,20251200,20251000
2025-08-25 15:00:00,3.153,3.722,2.804,20251100,20251200,20251000
2025-08-25 16:00:00,3.146,3.715,2.796,20251100,20251200,20251000
2025-08-25 17:00:00,3.129,3.7,2.779,20251100,20251200,20251000
2025-08-25 18:00:00,3.155,3.715,2.818,20251100,20251200,20251000
2025-08-25 19:00:00,3.148,3.708,2.811,20251100,20251200,20251000
2025-08-25 20:00:00,3.148,3.709,2.822,20251100,20251200,20251000
2025-08-25 22:00:00,,3.704,2.811,20251100,20251200,20251000
2025-08-25 23:00:00,3.153,3.704,2.812,20251100,20251200,20251000
2025-08-26 00:00:00,,3.704,2.801,20251100,20251200,20251000
2025-08-26 01:00:00,,3.695,2.807,20251100,20251200,20251000
2025-08-26 02:00:00,,3.698,2.808,20251100,20251200,20251000
2025-08-26 03:00:00,,3.692,2.803,20251100,20251200,20251000
2025-08-26 04:00:00,,3.691,2.798,20251100,20251200,20251000
2025-08-26 05:00:00,,3.69,2.798,20251100,20251200,20251000
2025-08-26 06:00:00,,3.683,2.795,20251100,20251200,20251000
2025-08-26 07:00:00,,3.674,2.784,20251100,20251200,20251000
2025-08-26 08:00:00,,3.669,2.787,20251100,20251200,20251000
2025-08-26 09:00:00,,3.677,2.797,20251100,20251200,20251000
2025-08-26 10:00:00,,3.686,2.807,20251100,20251200,20251000
2025-08-26 11:00:00,,3.688,2.821,20251100,20251200,20251000
2025-08-26 12:00:00,,3.686,2.815,20251100,20251200,20251000
2025-08-26 13:00:00,,3.661,2.759,20251100,20251200,20251000
2025-08-26 13:30:00,3.098,,,20251100,20251200,20251000
2025-08-26 14:00:00,3.145,3.708,2.806,20251100,20251200,20251000
2025-08-26 15:00:00,3.151,3.714,2.814,20251100,20251200,20251000
2025-08-26 16:00:00,3.127,3.7,2.785,20251100,20251200,20251000
2025-08-26 17:00:00,3.129,3.703,2.786,20251100,20251200,20251000
2025-08-26 18:00:00,3.149,3.72,2.81,20251100,20251200,20251000
2025-08-26 19:00:00,3.152,3.723,2.817,20251100,20251200,20251000
2025-08-26 20:00:00,3.158,3.732,2.825,20251100,20251200,20251000
2025-08-26 22:00:00,,3.722,2.814,20251100,20251200,20251000
2025-08-26 23:00:00,3.16,3.72,2.825,20251100,20251200,20251000
2025-08-27 00:00:00,,3.724,2.817,20251100,20251200,20251000
2025-08-27 01:00:00,,3.721,2.814,20251100,20251200,20251000
2025-08-27 02:00:00,,,2.815,20251100,20251200,20251000
2025-08-27 03:00:00,,3.725,2.821,20251100,20251200,20251000
2025-08-27 04:00:00,,3.729,2.827,20251100,20251200,20251000
2025-08-27 05:00:00,,3.733,2.822,20251100,20251200,20251000
2025-08-27 06:00:00,,3.715,2.81,20251100,20251200,20251000
2025-08-27 07:00:00,,3.709,2.801,20251100,20251200,20251000
2025-08-27 08:00:00,,3.712,2.804,20251100,20251200,20251000
2025-08-27 09:00:00,,3.709,2.803,20251100,20251200,20251000
2025-08-27 10:00:00,,3.697,2.784,20251100,20251200,20251000
2025-08-27 11:00:00,,3.728,2.824,20251100,20251200,20251000
2025-08-27 12:00:00,,3.762,2.86,20251100,20251200,20251000
2025-08-27 13:00:00,,3.774,2.887,20251100,20251200,20251000
2025-08-27 13:30:00,3.211,,,20251100,20251200,20251000
2025-08-27 14:00:00,3.203,3.774,2.864,20251100,20251200,20251000
2025-08-27 15:00:00,3.206,3.783,2.868,20251100,20251200,20251000
2025-08-27 16:00:00,3.223,3.793,2.892,20251100,20251200,20251000
2025-08-27 17:00:00,3.232,3.799,2.906,20251100,20251200,20251000
2025-08-27 18:00:00,3.207,3.776,2.875,20251100,20251200,20251000
2025-08-27 19:00:00,3.198,3.762,2.869,20251100,20251200,20251000
2025-08-27 20:00:00,3.198,3.77,2.879,20251100,20251200,20251000
2025-08-27 22:00:00,,3.767,2.867,20251100,20251200,20251000
2025-08-27 23:00:00,3.204,3.766,2.867,20251100,20251200,20251000
2025-08-28 00:00:00,,3.769,2.874,20251100,20251200,20251000
2025-08-28 01:00:00,,3.771,2.874,20251100,20251200,20251000
2025-08-28 02:00:00,,3.767,2.874,20251100,20251200,20251000
2025-08-28 03:00:00,,3.773,2.879,20251100,20251200,20251000
2025-08-28 04:00:00,,3.774,2.882,20251100,20251200,20251000
2025-08-28 05:00:00,,3.785,2.896,20251100,20251200,20251000
2025-08-28 06:00:00,,3.785,2.897,20251100,20251200,20251000
2025-08-28 07:00:00,,3.778,2.886,20251100,20251200,20251000
2025-08-28 08:00:00,,3.779,2.886,20251100,20251200,20251000
2025-08-28 09:00:00,,3.791,2.895,20251100,20251200,20251000
2025-08-28 10:00:00,,3.778,2.881,20251100,20251200,20251000
2025-08-28 11:00:00,,3.753,2.856,20251100,20251200,20251000
2025-08-28 12:00:00,,3.765,2.887,20251100,20251200,20251000
2025-08-28 13:00:00,,3.755,2.879,20251100,20251200,20251000
2025-08-28 13:30:00,3.2,,,20251100,20251200,20251000
2025-08-28 14:00:00,3.276,3.835,2.968,20251100,20251200,20251000
2025-08-28 15:00:00,3.282,3.837,2.972,20251100,20251200,20251000
2025-08-28 16:00:00,3.299,3.852,2.993,20251100,20251200,20251000
2025-08-28 17:00:00,3.295,3.848,2.983,20251100,20251200,20251000
