DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-03-05 00:00:00,,20240900,1.27,20240600,,20240900
2024-03-05 01:00:00,,20240900,1.2695,20240600,,20240900
2024-03-05 02:00:00,,20240900,1.2693,20240600,,20240900
2024-03-05 03:00:00,,20240900,1.2698,20240600,,20240900
2024-03-05 04:00:00,,20240900,1.2695,20240600,,20240900
2024-03-05 05:00:00,,20240900,1.2688,20240600,,20240900
2024-03-05 06:00:00,1.2713,20240900,1.2709,20240600,1.2713,20240900
2024-03-05 07:00:00,,20240900,1.2683,20240600,,20240900
2024-03-05 08:00:00,,20240900,1.2682,20240600,,20240900
2024-03-05 09:00:00,,20240900,1.2692,20240600,,20240900
2024-03-05 10:00:00,,20240900,1.2691,20240600,,20240900
2024-03-05 11:00:00,,20240900,1.2685,20240600,,20240900
2024-03-05 12:00:00,,20240900,1.2682,20240600,,20240900
2024-03-05 13:00:00,,20240900,1.2697,20240600,,20240900
2024-03-05 14:00:00,,20240900,1.2705,20240600,,20240900
2024-03-05 15:00:00,1.2742,20240900,1.2739,20240600,1.2742,20240900
2024-03-05 16:00:00,,20240900,1.2716,20240600,,20240900
2024-03-05 17:00:00,,20240900,1.2719,20240600,,20240900
2024-03-05 18:00:00,,20240900,1.2713,20240600,,20240900
2024-03-05 19:00:00,,20240900,1.2709,20240600,,20240900
2024-03-05 20:00:00,,20240900,1.2707,20240600,,20240900
2024-03-05 21:00:00,,20240900,1.2713,20240600,,20240900
2024-03-05 23:00:00,,20240900,1.2713,20240600,,20240900
2024-03-06 00:00:00,,20240900,1.2703,20240600,,20240900
2024-03-06 01:00:00,,20240900,1.27,20240600,,20240900
2024-03-06 02:00:00,,20240900,1.2708,20240600,,20240900
2024-03-06 04:00:00,,20240900,1.2708,20240600,,20240900
2024-03-06 05:00:00,,20240900,1.2712,20240600,,20240900
2024-03-06 06:00:00,1.2752,20240900,1.2711,20240600,1.2752,20240900
2024-03-06 07:00:00,,20240900,1.2718,20240600,,20240900
2024-03-06 08:00:00,,20240900,1.2725,20240600,,20240900
2024-03-06 09:00:00,,20240900,1.2738,20240600,,20240900
2024-03-06 10:00:00,,20240900,1.273,20240600,,20240900
2024-03-06 11:00:00,,20240900,1.273,20240600,,20240900
2024-03-06 12:00:00,,20240900,1.2718,20240600,,20240900
2024-03-06 13:00:00,1.2734,20240900,1.2731,20240600,1.2734,20240900
2024-03-06 14:00:00,,20240900,1.2732,20240600,,20240900
2024-03-06 15:00:00,1.275,20240900,1.2749,20240600,1.275,20240900
2024-03-06 16:00:00,1.2771,20240900,1.2763,20240600,1.2771,20240900
2024-03-06 17:00:00,,20240900,1.2752,20240600,,20240900
