DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-13 01:00:00,1.3573,,,20250900,20251200,20251200
2025-06-13 02:00:00,1.3564,,,20250900,20251200,20251200
2025-06-13 03:00:00,1.3558,,,20250900,20251200,20251200
2025-06-13 04:00:00,1.354,,,20250900,20251200,20251200
2025-06-13 05:00:00,1.3547,,,20250900,20251200,20251200
2025-06-13 06:00:00,1.3548,,,20250900,20251200,20251200
2025-06-13 07:00:00,1.357,,,20250900,20251200,20251200
2025-06-13 08:00:00,1.3566,,,20250900,20251200,20251200
2025-06-13 09:00:00,1.3552,,,20250900,20251200,20251200
2025-06-13 10:00:00,1.3543,,,20250900,20251200,20251200
2025-06-13 11:00:00,1.3545,,,20250900,20251200,20251200
2025-06-13 12:00:00,1.354,,,20250900,20251200,20251200
2025-06-13 13:00:00,1.3549,,,20250900,20251200,20251200
2025-06-13 14:00:00,1.3582,,,20250900,20251200,20251200
2025-06-13 15:00:00,1.36,,,20250900,20251200,20251200
2025-06-13 16:00:00,1.3603,,,20250900,20251200,20251200
2025-06-13 17:00:00,1.3591,,,20250900,20251200,20251200
2025-06-13 18:00:00,1.3571,,,20250900,20251200,20251200
2025-06-13 19:00:00,1.3578,,,20250900,20251200,20251200
2025-06-13 20:00:00,1.3581,,,20250900,20251200,20251200
2025-06-13 23:00:00,1.357,,,20250900,20251200,20251200
2025-06-15 22:00:00,1.3563,,,20250900,20251200,20251200
2025-06-15 23:00:00,1.3557,,,20250900,20251200,20251200
2025-06-16 00:00:00,1.3555,,,20250900,20251200,20251200
2025-06-16 01:00:00,1.3556,,,20250900,20251200,20251200
2025-06-16 02:00:00,1.355,,,20250900,20251200,20251200
2025-06-16 03:00:00,1.3543,,,20250900,20251200,20251200
2025-06-16 04:00:00,1.3555,,,20250900,20251200,20251200
2025-06-16 05:00:00,1.358,,,20250900,20251200,20251200
2025-06-16 06:00:00,1.3593,,,20250900,20251200,20251200
2025-06-16 07:00:00,1.3591,,,20250900,20251200,20251200
2025-06-16 08:00:00,1.3586,,,20250900,20251200,20251200
2025-06-16 09:00:00,1.3594,,,20250900,20251200,20251200
2025-06-16 10:00:00,1.3589,,,20250900,20251200,20251200
2025-06-16 11:00:00,1.3588,,,20250900,20251200,20251200
2025-06-16 12:00:00,1.359,,,20250900,20251200,20251200
2025-06-16 13:00:00,1.3622,,,20250900,20251200,20251200
