DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2025-07-08 23:00:00,550.3,20250900,547.8,20250800,550.3,20250900
2025-07-09 13:30:00,,20250900,546.75,20250800,,20250900
2025-07-09 14:00:00,,20250900,546.75,20250800,,20250900
2025-07-09 15:00:00,,20250900,546.75,20250800,,20250900
2025-07-09 16:00:00,,20250900,546.75,20250800,,20250900
2025-07-09 17:00:00,,20250900,546.75,20250800,,20250900
2025-07-09 18:00:00,,20250900,546.75,20250800,,20250900
2025-07-09 19:00:00,,20250900,546.75,20250800,,20250900
2025-07-09 20:00:00,,20250900,548.4,20250800,,20250900
2025-07-09 23:00:00,544.3,20250900,546.8,20250800,544.3,20250900
2025-07-10 14:00:00,,20250900,545.05,20250800,,20250900
2025-07-10 15:00:00,,20250900,545.05,20250800,,20250900
2025-07-10 16:00:00,,20250900,545.05,20250800,,20250900
2025-07-10 17:00:00,,20250900,545.05,20250800,,20250900
2025-07-10 18:00:00,,20250900,545.05,20250800,,20250900
2025-07-10 19:00:00,,20250900,545.05,20250800,,20250900
2025-07-10 20:00:00,,20250900,545.05,20250800,,20250900
2025-07-10 23:00:00,547.55,20250900,545.05,20250800,547.55,20250900
2025-07-11 14:00:00,,20250900,548.55,20250800,,20250900
2025-07-11 15:00:00,,20250900,548.55,20250800,,20250900
2025-07-11 16:00:00,,20250900,551.15,20250800,,20250900
2025-07-11 17:00:00,,20250900,551.25,20250800,,20250900
2025-07-11 18:00:00,,20250900,551.25,20250800,,20250900
2025-07-11 19:00:00,,20250900,551.25,20250800,,20250900
2025-07-11 20:00:00,,20250900,551.25,20250800,,20250900
2025-07-11 23:00:00,548.75,20250900,551.25,20250800,548.75,20250900
2025-07-14 13:30:00,,20250900,550.05,20250800,,20250900
2025-07-14 14:00:00,,20250900,550.05,20250800,,20250900
2025-07-14 15:00:00,,20250900,550.05,20250800,,20250900
2025-07-14 16:00:00,,20250900,550.05,20250800,,20250900
2025-07-14 17:00:00,,20250900,550.05,20250800,,20250900
2025-07-14 18:00:00,,20250900,550.05,20250800,,20250900
2025-07-14 19:00:00,,20250900,545.0,20250800,,20250900
2025-07-14 20:00:00,,20250900,545.0,20250800,,20250900
2025-07-14 23:00:00,549.2,20250900,546.7,20250800,549.2,20250900
2025-07-15 23:00:00,543.2,20250900,545.7,20250800,543.2,20250900
2025-07-16 13:30:00,,20250900,543.35,20250800,,20250900
2025-07-16 14:00:00,,20250900,543.35,20250800,,20250900
2025-07-16 15:00:00,,20250900,543.35,20250800,,20250900
2025-07-16 16:00:00,,20250900,543.35,20250800,,20250900
2025-07-16 17:00:00,,20250900,543.35,20250800,,20250900
2025-07-16 18:00:00,,20250900,543.35,20250800,,20250900
2025-07-16 19:00:00,,20250900,546.6,20250800,,20250900
2025-07-16 20:00:00,,20250900,546.6,20250800,,20250900
2025-07-16 23:00:00,542.4,20250900,544.9,20250800,542.4,20250900
2025-07-17 15:00:00,,20250900,547.8,20250800,,20250900
