DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-03-14 17:00:00,,20240900,98.33,20240600,,20240900
2024-03-15 05:00:00,98.37,20240900,98.32,20240600,98.37,20240900
2024-03-15 08:00:00,,20240900,98.29,20240600,,20240900
2024-03-15 09:00:00,,20240900,98.27,20240600,,20240900
2024-03-15 10:00:00,,20240900,98.3,20240600,,20240900
2024-03-15 11:00:00,,20240900,98.35,20240600,,20240900
2024-03-15 12:00:00,,20240900,98.17,20240600,,20240900
2024-03-15 13:00:00,,20240900,98.16,20240600,,20240900
2024-03-15 14:00:00,,20240900,98.3,20240600,,20240900
2024-03-15 15:00:00,,20240900,98.34,20240600,,20240900
2024-03-15 16:00:00,,20240900,98.28,20240600,,20240900
2024-03-15 17:00:00,,20240900,98.39,20240600,,20240900
2024-03-18 05:00:00,98.48,20240900,98.41,20240600,98.48,20240900
2024-03-18 08:00:00,,20240900,98.35,20240600,,20240900
2024-03-18 09:00:00,,20240900,98.3,20240600,,20240900
2024-03-18 10:00:00,,20240900,98.27,20240600,,20240900
2024-03-18 11:00:00,,20240900,98.44,20240600,,20240900
2024-03-18 12:00:00,,20240900,98.33,20240600,,20240900
2024-03-18 13:00:00,,20240900,98.53,20240600,,20240900
2024-03-18 14:00:00,,20240900,98.44,20240600,,20240900
2024-03-18 15:00:00,,20240900,98.39,20240600,,20240900
2024-03-18 16:00:00,,20240900,98.36,20240600,,20240900
2024-03-18 17:00:00,,20240900,98.29,20240600,,20240900
2024-03-19 05:00:00,98.8,20240900,98.73,20240600,98.8,20240900
2024-03-19 08:00:00,,20240900,98.54,20240600,,20240900
2024-03-19 09:00:00,,20240900,98.61,20240600,,20240900
2024-03-19 10:00:00,,20240900,98.81,20240600,,20240900
2024-03-19 11:00:00,,20240900,98.73,20240600,,20240900
2024-03-19 12:00:00,,20240900,98.83,20240600,,20240900
2024-03-19 13:00:00,,20240900,98.73,20240600,,20240900
2024-03-19 14:00:00,,20240900,98.8,20240600,,20240900
2024-03-19 15:00:00,,20240900,98.75,20240600,,20240900
2024-03-19 16:00:00,,20240900,98.65,20240600,,20240900
2024-03-19 17:00:00,,20240900,98.7,20240600,,20240900
2024-03-20 05:00:00,99.13,20240900,99.06,20240600,99.13,20240900
2024-03-20 08:00:00,,20240900,99.17,20240600,,20240900
2024-03-20 09:00:00,,20240900,99.13,20240600,,20240900
2024-03-20 10:00:00,,20240900,99.08,20240600,,20240900
2024-03-20 11:00:00,,20240900,98.96,20240600,,20240900
2024-03-20 12:00:00,,20240900,98.98,20240600,,20240900
2024-03-20 13:00:00,,20240900,98.91,20240600,,20240900
2024-03-20 14:00:00,,20240900,98.99,20240600,,20240900
2024-03-20 15:00:00,,20240900,99.02,20240600,,20240900
2024-03-20 16:00:00,,20240900,99.04,20240600,,20240900
2024-03-20 17:00:00,,20240900,99.0,20240600,,20240900
2024-03-21 05:00:00,99.4,20240900,99.33,20240600,99.4,20240900
2024-03-21 08:00:00,,20240900,99.43,20240600,,20240900
2024-03-21 09:00:00,,20240900,99.48,20240600,,20240900
2024-03-21 10:00:00,,20240900,99.45,20240600,,20240900
2024-03-21 11:00:00,,20240900,99.57,20240600,,20240900
2024-03-21 12:00:00,,20240900,99.43,20240600,,20240900
2024-03-21 13:00:00,,20240900,99.28,20240600,,20240900
2024-03-21 14:00:00,,20240900,99.17,20240600,,20240900
2024-03-21 15:00:00,,20240900,99.36,20240600,,20240900
2024-03-21 16:00:00,,20240900,99.21,20240600,,20240900
2024-03-21 17:00:00,,20240900,99.15,20240600,,20240900
2024-03-22 05:00:00,99.89,20240900,99.82,20240600,99.89,20240900
2024-03-22 08:00:00,,20240900,99.51,20240600,,20240900
2024-03-22 09:00:00,,20240900,99.59,20240600,,20240900
