DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-03-26 17:00:00,2.6074,20240700,2.6112,20240600,2.6074,20240700
2024-03-26 18:00:00,2.5975,20240700,2.6018,20240600,2.5975,20240700
2024-03-26 19:00:00,2.5985,20240700,2.6013,20240600,2.5985,20240700
2024-03-26 20:00:00,2.5932,20240700,2.5961,20240600,2.5932,20240700
2024-03-27 00:00:00,,20240700,2.597,20240600,,20240700
2024-03-27 04:00:00,,20240700,2.593,20240600,,20240700
2024-03-27 05:00:00,2.5957,20240700,2.591,20240600,2.5957,20240700
2024-03-27 07:00:00,,20240700,2.5875,20240600,,20240700
2024-03-27 08:00:00,2.5772,20240700,2.5755,20240600,2.5772,20240700
2024-03-27 09:00:00,2.5792,20240700,2.5824,20240600,2.5792,20240700
2024-03-27 10:00:00,2.5836,20240700,2.5906,20240600,2.5836,20240700
2024-03-27 11:00:00,2.588,20240700,2.5971,20240600,2.588,20240700
2024-03-27 12:00:00,2.5845,20240700,2.5882,20240600,2.5845,20240700
2024-03-27 13:00:00,2.5864,20240700,2.5896,20240600,2.5864,20240700
2024-03-27 14:00:00,2.5918,20240700,2.5953,20240600,2.5918,20240700
2024-03-27 15:00:00,2.597,20240700,2.5989,20240600,2.597,20240700
2024-03-27 16:00:00,2.5922,20240700,2.5909,20240600,2.5922,20240700
2024-03-27 17:00:00,2.5941,20240700,2.5993,20240600,2.5941,20240700
2024-03-27 18:00:00,2.5962,20240700,2.5978,20240600,2.5962,20240700
2024-03-27 19:00:00,2.5954,20240700,2.5968,20240600,2.5954,20240700
2024-03-27 20:00:00,,20240700,2.6018,20240600,,20240700
2024-03-28 00:00:00,,20240700,2.599,20240600,,20240700
2024-03-28 03:00:00,,20240700,2.5905,20240600,,20240700
2024-03-28 05:00:00,2.6185,20240700,2.5971,20240600,2.6185,20240700
2024-03-28 07:00:00,,20240700,2.5968,20240600,,20240700
2024-03-28 08:00:00,,20240700,2.5969,20240600,,20240700
2024-03-28 09:00:00,,20240700,2.5982,20240600,,20240700
2024-03-28 10:00:00,,20240700,2.6035,20240600,,20240700
2024-03-28 11:00:00,2.6093,20240700,2.6118,20240600,2.6093,20240700
2024-03-28 12:00:00,2.613,20240700,2.6108,20240600,2.613,20240700
2024-03-28 13:00:00,2.6014,20240700,2.6041,20240600,2.6014,20240700
2024-03-28 14:00:00,2.6183,20240700,2.6224,20240600,2.6183,20240700
2024-03-28 15:00:00,2.6122,20240700,2.615,20240600,2.6122,20240700
2024-03-28 16:00:00,2.6133,20240700,2.6152,20240600,2.6133,20240700
2024-03-28 17:00:00,2.6137,20240700,2.6173,20240600,2.6137,20240700
2024-03-28 18:00:00,2.6158,20240700,2.6139,20240600,2.6158,20240700
2024-03-28 19:00:00,,20240700,2.613,20240600,,20240700
2024-03-28 20:00:00,,20240700,2.6146,20240600,,20240700
2024-04-01 05:00:00,2.6254,20240700,2.6258,20240600,2.6254,20240700
2024-04-01 06:00:00,,20240700,2.6229,20240600,,20240700
2024-04-01 07:00:00,2.6284,20240700,2.6305,20240600,2.6284,20240700
2024-04-01 08:00:00,2.6047,20240700,2.6047,20240600,2.6047,20240700
2024-04-01 09:00:00,,20240700,2.6002,20240600,,20240700
2024-04-01 10:00:00,2.5993,20240700,2.593,20240600,2.5993,20240700
2024-04-01 11:00:00,2.5891,20240700,2.5886,20240600,2.5891,20240700
2024-04-01 12:00:00,2.6019,20240700,2.6036,20240600,2.6019,20240700
2024-04-01 13:00:00,2.5989,20240700,2.6072,20240600,2.5989,20240700
2024-04-01 14:00:00,2.6179,20240700,2.6183,20240600,2.6179,20240700
2024-04-01 15:00:00,2.6281,20240700,2.6247,20240600,2.6281,20240700
2024-04-01 16:00:00,2.6298,20240700,2.6297,20240600,2.6298,20240700
2024-04-01 17:00:00,2.6265,20240700,2.6272,20240600,2.6265,20240700
2024-04-01 18:00:00,2.6271,20240700,2.6274,20240600,2.6271,20240700
