DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-05-30 14:00:00,171.44,,,20250900,20251200,20251200
2025-05-30 15:00:00,171.52,,,20250900,20251200,20251200
2025-05-30 16:00:00,171.29,,,20250900,20251200,20251200
2025-05-30 17:00:00,171.45,,,20250900,20251200,20251200
2025-05-30 18:00:00,171.51,,,20250900,20251200,20251200
2025-05-30 19:00:00,171.74,,,20250900,20251200,20251200
2025-05-30 23:00:00,171.63,173.31,173.31,20250900,20251200,20251200
2025-06-02 09:00:00,171.3,,,20250900,20251200,20251200
2025-06-02 12:00:00,171.27,173.0,173.0,20250900,20251200,20251200
2025-06-02 12:50:30,,173.0,173.0,20250900,20251200,20251200
2025-06-02 13:00:00,171.39,,,20250900,20251200,20251200
2025-06-02 14:00:00,171.42,173.12,173.12,20250900,20251200,20251200
2025-06-02 15:00:00,171.43,173.12,173.12,20250900,20251200,20251200
2025-06-02 16:00:00,171.42,,,20250900,20251200,20251200
2025-06-02 17:00:00,171.42,173.08,173.08,20250900,20251200,20251200
2025-06-02 18:00:00,171.55,173.23,173.23,20250900,20251200,20251200
2025-06-02 19:00:00,171.49,173.15,173.15,20250900,20251200,20251200
2025-06-02 23:00:00,171.51,173.19,173.19,20250900,20251200,20251200
2025-06-03 13:00:00,171.59,173.3,173.3,20250900,20251200,20251200
2025-06-03 14:00:00,171.67,173.41,173.41,20250900,20251200,20251200
2025-06-03 15:00:00,171.7,173.44,173.44,20250900,20251200,20251200
2025-06-03 16:00:00,171.75,173.45,173.45,20250900,20251200,20251200
2025-06-03 17:00:00,171.73,173.42,173.42,20250900,20251200,20251200
2025-06-03 18:00:00,171.8,173.38,173.38,20250900,20251200,20251200
2025-06-03 19:00:00,171.79,173.47,173.47,20250900,20251200,20251200
2025-06-03 23:00:00,171.81,173.47,173.47,20250900,20251200,20251200
2025-06-04 12:00:00,171.85,,,20250900,20251200,20251200
2025-06-04 13:00:00,172.17,,,20250900,20251200,20251200
2025-06-04 14:00:00,171.95,173.64,173.64,20250900,20251200,20251200
2025-06-04 15:00:00,171.93,173.59,173.59,20250900,20251200,20251200
2025-06-04 16:00:00,172.02,173.68,173.68,20250900,20251200,20251200
2025-06-04 17:00:00,172.05,,,20250900,20251200,20251200
2025-06-04 18:00:00,172.08,173.77,173.77,20250900,20251200,20251200
2025-06-04 19:00:00,172.08,173.74,173.74,20250900,20251200,20251200
2025-06-04 20:00:00,172.25,,,20250900,20251200,20251200
2025-06-04 23:00:00,172.06,173.67,173.67,20250900,20251200,20251200
2025-06-05 09:00:00,171.95,,,20250900,20251200,20251200
2025-06-05 12:00:00,172.25,174.11,174.11,20250900,20251200,20251200
2025-06-05 13:00:00,171.97,,,20250900,20251200,20251200
2025-06-05 14:00:00,172.07,,,20250900,20251200,20251200
2025-06-05 15:00:00,171.95,173.61,173.61,20250900,20251200,20251200
2025-06-05 16:00:00,171.82,,,20250900,20251200,20251200
2025-06-05 17:00:00,171.91,173.55,173.55,20250900,20251200,20251200
2025-06-05 18:00:00,171.86,173.46,173.46,20250900,20251200,20251200
2025-06-05 19:00:00,171.75,173.4,173.4,20250900,20251200,20251200
2025-06-05 23:00:00,171.71,173.35,173.35,20250900,20251200,20251200
2025-06-06 13:00:00,171.74,173.39,173.39,20250900,20251200,20251200
2025-06-06 14:00:00,171.73,173.4,173.4,20250900,20251200,20251200
2025-06-06 15:00:00,171.61,173.37,173.37,20250900,20251200,20251200
2025-06-06 16:00:00,171.61,173.4,173.4,20250900,20251200,20251200
2025-06-06 17:00:00,171.72,,,20250900,20251200,20251200
2025-06-06 18:00:00,171.69,,,20250900,20251200,20251200
2025-06-06 19:00:00,171.66,173.31,173.31,20250900,20251200,20251200
2025-06-06 23:00:00,171.62,173.26,173.26,20250900,20251200,20251200
2025-06-09 13:00:00,171.83,173.44,173.44,20250900,20251200,20251200
2025-06-09 14:00:00,171.72,173.43,173.43,20250900,20251200,20251200
2025-06-09 15:00:00,171.74,173.4,173.4,20250900,20251200,20251200
2025-06-09 16:00:00,171.8,173.45,173.45,20250900,20251200,20251200
2025-06-09 19:00:00,171.84,173.49,173.49,20250900,20251200,20251200
2025-06-09 23:00:00,171.82,173.44,173.44,20250900,20251200,20251200
2025-06-10 11:00:00,171.82,,,20250900,20251200,20251200
2025-06-10 12:00:00,171.85,173.5,173.5,20250900,20251200,20251200
2025-06-10 13:00:00,171.87,173.51,173.51,20250900,20251200,20251200
2025-06-10 14:00:00,171.81,173.53,173.53,20250900,20251200,20251200
2025-06-10 15:00:00,171.86,,,20250900,20251200,20251200
2025-06-10 16:00:00,171.99,,,20250900,20251200,20251200
2025-06-10 17:00:00,172.0,173.69,173.69,20250900,20251200,20251200
2025-06-10 19:00:00,172.19,173.83,173.83,20250900,20251200,20251200
2025-06-10 23:00:00,172.16,173.78,173.78,20250900,20251200,20251200
2025-06-11 12:00:00,172.45,174.12,174.12,20250900,20251200,20251200
2025-06-11 13:00:00,172.37,173.95,173.95,20250900,20251200,20251200
2025-06-11 14:00:00,172.3,173.92,173.92,20250900,20251200,20251200
2025-06-11 15:00:00,172.36,173.97,173.97,20250900,20251200,20251200
2025-06-11 16:00:00,172.34,173.96,173.96,20250900,20251200,20251200
2025-06-11 18:00:00,172.32,,,20250900,20251200,20251200
2025-06-11 19:00:00,172.31,173.78,173.78,20250900,20251200,20251200
2025-06-11 23:00:00,172.16,173.79,173.79,20250900,20251200,20251200
2025-06-12 12:00:00,,173.66,173.66,20250900,20251200,20251200
2025-06-12 13:00:00,172.14,173.75,173.75,20250900,20251200,20251200
2025-06-12 15:00:00,172.18,,,20250900,20251200,20251200
2025-06-12 17:00:00,172.19,,,20250900,20251200,20251200
2025-06-12 18:00:00,172.13,,,20250900,20251200,20251200
2025-06-12 19:00:00,172.26,173.91,173.91,20250900,20251200,20251200
2025-06-12 23:00:00,172.27,173.91,173.91,20250900,20251200,20251200
2025-06-13 08:00:00,171.8,,,20250900,20251200,20251200
2025-06-13 09:00:00,171.75,,,20250900,20251200,20251200
2025-06-13 13:00:00,171.88,173.51,173.51,20250900,20251200,20251200
2025-06-13 14:00:00,171.82,,,20250900,20251200,20251200
2025-06-13 15:00:00,171.87,173.53,173.53,20250900,20251200,20251200
2025-06-13 16:00:00,171.81,173.47,173.47,20250900,20251200,20251200
2025-06-13 17:00:00,171.79,,,20250900,20251200,20251200
2025-06-13 18:00:00,171.74,173.42,173.42,20250900,20251200,20251200
2025-06-13 19:00:00,171.62,,,20250900,20251200,20251200
2025-06-13 23:00:00,171.74,173.35,173.35,20250900,20251200,20251200
2025-06-16 07:00:00,171.7,,,20250900,20251200,20251200
2025-06-16 13:00:00,172.13,,,20250900,20251200,20251200
2025-06-16 14:00:00,172.2,173.85,173.85,20250900,20251200,20251200
2025-06-16 15:00:00,172.14,173.79,173.79,20250900,20251200,20251200
2025-06-16 16:00:00,172.07,,,20250900,20251200,20251200
2025-06-16 17:00:00,172.06,173.72,173.72,20250900,20251200,20251200
2025-06-16 18:00:00,172.13,173.71,173.71,20250900,20251200,20251200
2025-06-16 19:00:00,172.12,173.74,173.74,20250900,20251200,20251200
2025-06-16 23:00:00,172.14,173.78,173.78,20250900,20251200,20251200
2025-06-17 14:00:00,172.08,173.72,173.72,20250900,20251200,20251200
2025-06-17 15:00:00,171.95,173.62,173.62,20250900,20251200,20251200
2025-06-17 16:00:00,171.86,173.64,173.64,20250900,20251200,20251200
2025-06-17 17:00:00,171.77,173.47,173.47,20250900,20251200,20251200
2025-06-17 18:00:00,171.84,173.48,173.48,20250900,20251200,20251200
2025-06-17 19:00:00,171.81,173.47,173.47,20250900,20251200,20251200
2025-06-17 23:00:00,171.82,173.45,173.45,20250900,20251200,20251200
2025-06-18 14:00:00,172.1,173.68,173.68,20250900,20251200,20251200
2025-06-18 15:00:00,172.13,173.74,173.74,20250900,20251200,20251200
2025-06-18 16:00:00,172.18,173.82,173.82,20250900,20251200,20251200
2025-06-18 17:00:00,172.09,173.75,173.75,20250900,20251200,20251200
2025-06-18 18:00:00,172.06,173.85,173.85,20250900,20251200,20251200
2025-06-18 23:00:00,172.1,173.73,173.73,20250900,20251200,20251200
2025-06-20 00:00:00,171.72,,,20250900,20251200,20251200
2025-06-20 11:00:00,172.08,173.57,173.57,20250900,20251200,20251200
2025-06-20 13:00:00,172.16,173.76,173.76,20250900,20251200,20251200
2025-06-20 14:00:00,172.21,173.85,173.85,20250900,20251200,20251200
2025-06-20 15:00:00,172.36,174.01,174.01,20250900,20251200,20251200
2025-06-20 16:00:00,172.41,173.99,173.99,20250900,20251200,20251200
2025-06-20 17:00:00,172.45,174.08,174.08,20250900,20251200,20251200
2025-06-20 18:00:00,172.46,174.1,174.1,20250900,20251200,20251200
2025-06-20 19:00:00,172.63,,,20250900,20251200,20251200
2025-06-20 20:00:00,172.16,174.26,174.26,20250900,20251200,20251200
2025-06-20 23:00:00,172.55,174.16,174.16,20250900,20251200,20251200
2025-06-23 13:00:00,172.64,174.28,174.28,20250900,20251200,20251200
2025-06-23 14:00:00,172.74,174.36,174.36,20250900,20251200,20251200
2025-06-23 15:00:00,172.75,174.38,174.38,20250900,20251200,20251200
2025-06-23 16:00:00,172.66,,,20250900,20251200,20251200
2025-06-23 17:00:00,172.7,174.34,174.34,20250900,20251200,20251200
2025-06-23 19:00:00,172.84,,,20250900,20251200,20251200
