DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-10-06 07:00:00,15460.0,,,20251100,20251200,20251200
2025-10-06 08:00:00,15530.0,,,20251100,20251200,20251200
2025-10-06 09:00:00,15545.0,,,20251100,20251200,20251200
2025-10-06 10:00:00,15540.0,,,20251100,20251200,20251200
2025-10-06 13:00:00,15530.0,,,20251100,20251200,20251200
2025-10-06 14:00:00,15515.0,,,20251100,20251200,20251200
2025-10-06 23:00:00,15520.0,15500.0,15500.0,20251100,20251200,20251200
2025-10-07 06:00:00,15420.0,,,20251100,20251200,20251200
2025-10-07 07:00:00,15480.0,,,20251100,20251200,20251200
2025-10-07 09:00:00,15520.0,,,20251100,20251200,20251200
2025-10-07 10:00:00,15560.0,,,20251100,20251200,20251200
2025-10-07 11:00:00,15565.0,,,20251100,20251200,20251200
2025-10-07 14:00:00,15490.0,,,20251100,20251200,20251200
2025-10-07 15:00:00,15490.0,,,20251100,20251200,20251200
2025-10-07 17:00:00,15450.0,,,20251100,20251200,20251200
2025-10-07 23:00:00,15480.0,15460.0,15460.0,20251100,20251200,20251200
2025-10-08 07:00:00,15560.0,,,20251100,20251200,20251200
2025-10-08 08:00:00,15590.0,,,20251100,20251200,20251200
2025-10-08 09:00:00,15575.0,,,20251100,20251200,20251200
2025-10-08 10:00:00,15555.0,,,20251100,20251200,20251200
2025-10-08 11:00:00,15575.0,,,20251100,20251200,20251200
2025-10-08 14:00:00,15685.0,,,20251100,20251200,20251200
2025-10-08 15:00:00,15615.0,,,20251100,20251200,20251200
2025-10-08 16:00:00,,15670.0,15670.0,20251100,20251200,20251200
2025-10-08 23:00:00,15663.0,15633.0,15633.0,20251100,20251200,20251200
2025-10-09 06:00:00,15640.0,,,20251100,20251200,20251200
2025-10-09 07:00:00,15595.0,,,20251100,20251200,20251200
2025-10-09 08:00:00,15590.0,,,20251100,20251200,20251200
2025-10-09 09:00:00,15585.0,,,20251100,20251200,20251200
2025-10-09 10:00:00,15555.0,,,20251100,20251200,20251200
2025-10-09 11:00:00,15595.0,,,20251100,20251200,20251200
2025-10-09 12:00:00,15560.0,,,20251100,20251200,20251200
2025-10-09 13:00:00,15525.0,,,20251100,20251200,20251200
2025-10-09 16:00:00,15580.0,,,20251100,20251200,20251200
2025-10-09 17:00:00,15545.0,,,20251100,20251200,20251200
2025-10-09 23:00:00,15545.0,15525.0,15525.0,20251100,20251200,20251200
2025-10-10 06:00:00,15585.0,,,20251100,20251200,20251200
2025-10-10 07:00:00,15650.0,,,20251100,20251200,20251200
2025-10-10 09:00:00,15550.0,,,20251100,20251200,20251200
2025-10-10 12:00:00,15585.0,,,20251100,20251200,20251200
2025-10-10 13:00:00,15600.0,,,20251100,20251200,20251200
2025-10-10 14:00:00,15550.0,,,20251100,20251200,20251200
2025-10-10 15:00:00,15440.0,15400.0,15400.0,20251100,20251200,20251200
2025-10-10 16:00:00,15370.0,,,20251100,20251200,20251200
2025-10-10 17:00:00,15370.0,15300.0,15300.0,20251100,20251200,20251200
2025-10-10 18:00:00,15360.0,,,20251100,20251200,20251200
2025-10-10 19:00:00,15350.0,,,20251100,20251200,20251200
