DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-09-08 23:00:00,113.36,113.18,113.18,20251000,20251100,20251100
2025-09-09 09:00:00,113.17,,,20251000,20251100,20251100
2025-09-09 10:00:00,113.17,,,20251000,20251100,20251100
2025-09-09 23:00:00,113.05,112.87,112.87,20251000,20251100,20251100
2025-09-10 07:00:00,113.15,,,20251000,20251100,20251100
2025-09-10 23:00:00,113.29,113.1,113.1,20251000,20251100,20251100
2025-09-11 10:00:00,112.74,,,20251000,20251100,20251100
2025-09-11 14:00:00,113.03,,,20251000,20251100,20251100
2025-09-11 23:00:00,112.98,112.79,112.79,20251000,20251100,20251100
2025-09-12 07:00:00,113.01,,,20251000,20251100,20251100
2025-09-12 23:00:00,113.01,112.82,112.82,20251000,20251100,20251100
2025-09-15 16:00:00,113.16,,,20251000,20251100,20251100
2025-09-15 23:00:00,113.19,113.01,113.01,20251000,20251100,20251100
2025-09-16 18:00:00,113.47,,,20251000,20251100,20251100
2025-09-16 19:00:00,113.43,,,20251000,20251100,20251100
2025-09-16 20:00:00,113.48,,,20251000,20251100,20251100
2025-09-16 23:00:00,113.47,113.29,113.29,20251000,20251100,20251100
2025-09-17 23:00:00,113.53,113.35,113.35,20251000,20251100,20251100
2025-09-18 23:00:00,113.13,112.93,112.93,20251000,20251100,20251100
2025-09-19 14:00:00,113.19,,,20251000,20251100,20251100
2025-09-19 23:00:00,113.26,113.09,113.09,20251000,20251100,20251100
2025-09-22 18:00:00,113.02,,,20251000,20251100,20251100
2025-09-22 20:00:00,112.99,,,20251000,20251100,20251100
2025-09-22 23:00:00,113.01,112.84,112.84,20251000,20251100,20251100
2025-09-23 13:30:00,112.35,,,20251000,20251100,20251100
2025-09-23 14:00:00,112.4,,,20251000,20251100,20251100
2025-09-23 15:00:00,112.37,,,20251000,20251100,20251100
2025-09-23 20:00:00,112.39,,,20251000,20251100,20251100
2025-09-23 23:00:00,112.35,112.14,112.14,20251000,20251100,20251100
2025-09-24 13:30:00,112.41,,,20251000,20251100,20251100
2025-09-24 14:00:00,112.4,,,20251000,20251100,20251100
2025-09-24 15:00:00,112.43,,,20251000,20251100,20251100
2025-09-24 23:00:00,112.4,112.15,112.15,20251000,20251100,20251100
2025-09-25 14:00:00,112.43,,,20251000,20251100,20251100
2025-09-25 15:00:00,112.46,,,20251000,20251100,20251100
2025-09-25 16:00:00,112.42,,,20251000,20251100,20251100
2025-09-25 17:00:00,112.34,,,20251000,20251100,20251100
2025-09-25 20:00:00,112.25,,,20251000,20251100,20251100
2025-09-25 23:00:00,112.36,112.1,112.1,20251000,20251100,20251100
2025-09-26 13:30:00,112.49,,,20251000,20251100,20251100
2025-09-26 14:00:00,112.51,,,20251000,20251100,20251100
2025-09-26 15:00:00,112.56,,,20251000,20251100,20251100
2025-09-26 16:00:00,112.58,,,20251000,20251100,20251100
2025-09-26 17:00:00,112.57,,,20251000,20251100,20251100
2025-09-26 20:00:00,112.47,,,20251000,20251100,20251100
2025-09-26 23:00:00,112.57,112.38,112.38,20251000,20251100,20251100
2025-09-29 13:30:00,112.54,,,20251000,20251100,20251100
2025-09-29 14:00:00,112.51,,,20251000,20251100,20251100
2025-09-29 15:00:00,112.55,,,20251000,20251100,20251100
2025-09-29 16:00:00,112.5,,,20251000,20251100,20251100
2025-09-29 18:00:00,112.51,,,20251000,20251100,20251100
2025-09-29 19:00:00,112.52,,,20251000,20251100,20251100
2025-09-29 20:00:00,112.51,,,20251000,20251100,20251100
2025-09-29 23:00:00,112.54,112.35,112.35,20251000,20251100,20251100
2025-09-30 13:30:00,112.41,,,20251000,20251100,20251100
2025-09-30 14:00:00,112.38,,,20251000,20251100,20251100
2025-09-30 15:00:00,112.33,,,20251000,20251100,20251100
2025-09-30 16:00:00,112.37,,,20251000,20251100,20251100
2025-09-30 17:00:00,112.34,,,20251000,20251100,20251100
2025-09-30 19:00:00,112.36,,,20251000,20251100,20251100
2025-09-30 20:00:00,112.37,,,20251000,20251100,20251100
2025-09-30 23:00:00,112.35,112.17,112.17,20251000,20251100,20251100
2025-10-01 13:30:00,112.62,,,20251000,20251100,20251100
2025-10-01 14:00:00,112.64,,,20251000,20251100,20251100
2025-10-01 15:00:00,112.66,,,20251000,20251100,20251100
2025-10-01 16:00:00,112.66,,,20251000,20251100,20251100
2025-10-01 17:00:00,112.67,,,20251000,20251100,20251100
2025-10-01 18:00:00,112.63,,,20251000,20251100,20251100
2025-10-01 19:00:00,112.61,,,20251000,20251100,20251100
2025-10-01 20:00:00,112.6,,,20251000,20251100,20251100
2025-10-01 23:00:00,112.63,112.45,112.45,20251000,20251100,20251100
2025-10-02 13:30:00,112.53,,,20251000,20251100,20251100
2025-10-02 14:00:00,112.48,,,20251000,20251100,20251100
2025-10-02 15:00:00,112.51,,,20251000,20251100,20251100
2025-10-02 16:00:00,112.51,,,20251000,20251100,20251100
2025-10-02 17:00:00,112.54,,,20251000,20251100,20251100
2025-10-02 19:00:00,112.56,,,20251000,20251100,20251100
2025-10-02 20:00:00,112.58,,,20251000,20251100,20251100
2025-10-02 23:00:00,112.55,112.36,112.36,20251000,20251100,20251100
2025-10-03 13:30:00,112.49,,,20251000,20251100,20251100
2025-10-03 14:00:00,112.53,,,20251000,20251100,20251100
