DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-09-11 23:45:00,459.96,461.0,461.0,20251000,20251100,20251100
2025-09-12 00:00:00,,461.02,461.02,20251000,20251100,20251100
2025-09-12 01:00:00,462.22,463.14,463.14,20251000,20251100,20251100
2025-09-12 02:00:00,461.68,461.88,461.88,20251000,20251100,20251100
2025-09-12 03:00:00,461.76,461.98,461.98,20251000,20251100,20251100
2025-09-12 04:00:00,462.14,462.68,462.68,20251000,20251100,20251100
2025-09-12 05:00:00,462.3,462.6,462.6,20251000,20251100,20251100
2025-09-12 06:00:00,462.74,463.62,463.62,20251000,20251100,20251100
2025-09-12 09:00:00,,463.9,463.9,20251000,20251100,20251100
2025-09-12 10:00:00,,463.74,463.74,20251000,20251100,20251100
2025-09-12 12:00:00,,464.16,464.16,20251000,20251100,20251100
2025-09-12 13:00:00,,464.5,464.5,20251000,20251100,20251100
2025-09-12 14:00:00,,464.4,464.4,20251000,20251100,20251100
2025-09-12 17:00:00,,464.5,464.5,20251000,20251100,20251100
2025-09-12 19:00:00,,464.86,464.86,20251000,20251100,20251100
2025-09-12 20:00:00,,464.86,464.86,20251000,20251100,20251100
2025-09-12 23:00:00,460.52,463.62,463.62,20251000,20251100,20251100
2025-09-14 23:45:00,465.78,465.98,465.98,20251000,20251100,20251100
2025-09-15 01:00:00,464.3,464.5,464.5,20251000,20251100,20251100
2025-09-15 02:00:00,465.92,466.16,466.16,20251000,20251100,20251100
2025-09-15 03:00:00,466.76,467.14,467.14,20251000,20251100,20251100
2025-09-15 04:00:00,465.86,466.5,466.5,20251000,20251100,20251100
2025-09-15 05:00:00,465.46,466.34,466.34,20251000,20251100,20251100
2025-09-15 06:00:00,465.24,465.3,465.3,20251000,20251100,20251100
2025-09-15 23:00:00,465.24,464.72,464.72,20251000,20251100,20251100
2025-09-15 23:45:00,466.54,466.9,466.9,20251000,20251100,20251100
2025-09-16 01:00:00,470.74,471.22,471.22,20251000,20251100,20251100
2025-09-16 02:00:00,472.44,473.0,473.0,20251000,20251100,20251100
2025-09-16 03:00:00,473.12,473.86,473.86,20251000,20251100,20251100
2025-09-16 04:00:00,472.58,473.14,473.14,20251000,20251100,20251100
2025-09-16 05:00:00,473.36,474.14,474.14,20251000,20251100,20251100
2025-09-16 06:00:00,472.72,473.14,473.14,20251000,20251100,20251100
2025-09-16 23:00:00,468.46,468.92,468.92,20251000,20251100,20251100
2025-09-16 23:45:00,470.54,471.46,471.46,20251000,20251100,20251100
2025-09-17 01:00:00,466.1,466.64,466.64,20251000,20251100,20251100
2025-09-17 02:00:00,468.02,468.4,468.4,20251000,20251100,20251100
2025-09-17 03:00:00,468.6,469.3,469.3,20251000,20251100,20251100
2025-09-17 04:00:00,468.72,469.54,469.54,20251000,20251100,20251100
2025-09-17 05:00:00,467.06,467.76,467.76,20251000,20251100,20251100
2025-09-17 06:00:00,467.24,467.9,467.9,20251000,20251100,20251100
2025-09-17 23:00:00,467.52,467.9,467.9,20251000,20251100,20251100
2025-09-17 23:45:00,470.26,470.78,470.78,20251000,20251100,20251100
2025-09-18 01:00:00,472.26,472.84,472.84,20251000,20251100,20251100
2025-09-18 02:00:00,473.36,474.0,474.0,20251000,20251100,20251100
2025-09-18 03:00:00,475.0,475.64,475.64,20251000,20251100,20251100
2025-09-18 04:00:00,474.86,475.44,475.44,20251000,20251100,20251100
2025-09-18 05:00:00,474.82,475.32,475.32,20251000,20251100,20251100
2025-09-18 06:00:00,474.46,475.26,475.26,20251000,20251100,20251100
2025-09-18 23:00:00,470.18,475.26,475.26,20251000,20251100,20251100
2025-09-18 23:45:00,476.32,477.02,477.02,20251000,20251100,20251100
2025-09-19 01:00:00,473.28,473.0,473.0,20251000,20251100,20251100
2025-09-19 02:00:00,473.34,473.58,473.58,20251000,20251100,20251100
2025-09-19 03:00:00,472.9,473.6,473.6,20251000,20251100,20251100
2025-09-19 04:00:00,472.74,473.5,473.5,20251000,20251100,20251100
2025-09-19 05:00:00,472.72,473.16,473.16,20251000,20251100,20251100
2025-09-19 06:00:00,473.82,474.4,474.4,20251000,20251100,20251100
2025-09-19 23:00:00,473.82,474.0,474.0,20251000,20251100,20251100
2025-09-21 23:45:00,476.66,477.2,477.2,20251000,20251100,20251100
2025-09-22 01:00:00,479.92,480.6,480.6,20251000,20251100,20251100
2025-09-22 02:00:00,479.7,480.18,480.18,20251000,20251100,20251100
2025-09-22 03:00:00,479.92,480.56,480.56,20251000,20251100,20251100
2025-09-22 04:00:00,477.62,478.14,478.14,20251000,20251100,20251100
2025-09-22 05:00:00,478.28,478.6,478.6,20251000,20251100,20251100
2025-09-22 06:00:00,477.72,478.36,478.36,20251000,20251100,20251100
2025-09-22 23:00:00,477.76,478.8,478.8,20251000,20251100,20251100
2025-09-22 23:45:00,481.64,482.4,482.4,20251000,20251100,20251100
2025-09-23 01:00:00,478.6,479.62,479.62,20251000,20251100,20251100
2025-09-23 02:00:00,480.44,480.8,480.8,20251000,20251100,20251100
2025-09-23 03:00:00,481.98,482.54,482.54,20251000,20251100,20251100
2025-09-23 04:00:00,482.44,483.0,483.0,20251000,20251100,20251100
2025-09-23 05:00:00,481.84,482.4,482.4,20251000,20251100,20251100
2025-09-23 06:00:00,481.68,482.14,482.14,20251000,20251100,20251100
2025-09-23 23:00:00,481.7,482.44,482.44,20251000,20251100,20251100
