DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-03-18 23:00:00,,20240900,113.09,20240600,,20240900
2024-03-19 23:00:00,,20240900,112.65,20240600,,20240900
2024-03-20 23:00:00,,20240900,113.01,20240600,,20240900
2024-03-21 23:00:00,113.38,20240900,113.33,20240600,113.38,20240900
2024-03-22 23:00:00,113.37,20240900,113.74,20240600,113.37,20240900
2024-03-25 23:00:00,113.83,20240900,113.62,20240600,113.83,20240900
2024-03-26 23:00:00,113.61,20240900,113.38,20240600,113.61,20240900
2024-03-27 23:00:00,113.59,20240900,113.7,20240600,113.59,20240900
2024-03-28 23:00:00,113.58,20240900,113.58,20240600,113.58,20240900
2024-03-29 23:00:00,113.3,20240900,113.39,20240600,113.3,20240900
2024-04-01 23:00:00,113.27,20240900,113.64,20240600,113.27,20240900
2024-04-02 23:00:00,113.26,20240900,113.13,20240600,113.26,20240900
2024-04-03 23:00:00,112.94,20240900,112.93,20240600,112.94,20240900
2024-04-04 23:00:00,112.94,20240900,112.86,20240600,112.94,20240900
2024-04-05 23:00:00,113.44,20240900,113.05,20240600,113.44,20240900
2024-04-08 23:00:00,112.54,20240900,112.54,20240600,112.54,20240900
2024-04-09 23:00:00,112.43,20240900,112.43,20240600,112.43,20240900
2024-04-11 23:00:00,111.61,20240900,111.6,20240600,111.61,20240900
2024-04-12 23:00:00,112.1,20240900,112.11,20240600,112.1,20240900
2024-04-15 23:00:00,111.93,20240900,111.94,20240600,111.93,20240900
2024-04-16 23:00:00,111.23,20240900,111.25,20240600,111.23,20240900
2024-04-17 23:00:00,111.27,20240900,111.3,20240600,111.27,20240900
2024-04-18 23:00:00,111.88,20240900,111.9,20240600,111.88,20240900
2024-04-19 23:00:00,111.59,20240900,111.6,20240600,111.59,20240900
2024-04-22 23:00:00,110.96,20240900,110.99,20240600,110.96,20240900
2024-04-23 23:00:00,111.21,20240900,111.24,20240600,111.21,20240900
2024-04-24 23:00:00,110.99,20240900,111.02,20240600,110.99,20240900
2024-04-25 23:00:00,110.39,20240900,110.44,20240600,110.39,20240900
2024-04-26 23:00:00,110.26,20240900,110.64,20240600,110.26,20240900
2024-04-29 23:00:00,110.61,20240900,110.65,20240600,110.61,20240900
2024-04-30 23:00:00,110.97,20240900,111.0,20240600,110.97,20240900
2024-05-02 23:00:00,111.11,20240900,111.13,20240600,111.11,20240900
2024-05-03 23:00:00,111.31,20240900,111.32,20240600,111.31,20240900
2024-05-07 23:00:00,112.0,20240900,112.06,20240600,112.0,20240900
2024-05-08 23:00:00,112.2,20240900,112.2,20240600,112.2,20240900
2024-05-09 23:00:00,111.87,20240900,111.86,20240600,111.87,20240900
2024-05-10 23:00:00,112.15,20240900,112.14,20240600,112.15,20240900
2024-05-13 23:00:00,111.97,20240900,111.97,20240600,111.97,20240900
2024-05-14 23:00:00,112.07,20240900,112.07,20240600,112.07,20240900
2024-05-16 23:00:00,112.96,20240900,112.85,20240600,112.96,20240900
2024-05-17 23:00:00,113.0,20240900,112.96,20240600,113.0,20240900
2024-05-20 23:00:00,112.66,20240900,112.51,20240600,112.66,20240900
2024-05-21 23:00:00,112.52,20240900,112.56,20240600,112.52,20240900
2024-05-22 23:00:00,112.7,20240900,112.62,20240600,112.7,20240900
2024-05-23 23:00:00,112.74,20240900,112.78,20240600,112.74,20240900
2024-05-24 23:00:00,112.42,20240900,112.39,20240600,112.42,20240900
2024-05-27 23:00:00,112.55,20240900,112.52,20240600,112.55,20240900
2024-05-28 23:00:00,113.55,20240900,112.7,20240600,113.55,20240900
2024-05-29 23:00:00,112.0,20240900,112.19,20240600,112.0,20240900
2024-05-30 23:00:00,111.91,20240900,111.9,20240600,111.91,20240900
2024-05-31 23:00:00,112.03,20240900,111.78,20240600,112.03,20240900
2024-06-03 23:00:00,112.2,20240900,112.17,20240600,112.2,20240900
2024-06-04 23:00:00,112.7,20240900,112.73,20240600,112.7,20240900
2024-06-05 23:00:00,113.21,20240900,113.18,20240600,113.21,20240900
2024-06-07 01:00:00,,20240900,113.36,20240600,,20240900
2024-06-07 02:00:00,,20240900,113.46,20240600,,20240900
2024-06-07 03:00:00,113.5,20240900,113.51,20240600,113.5,20240900
2024-06-07 04:00:00,113.57,20240900,113.52,20240600,113.57,20240900
2024-06-07 05:00:00,113.57,20240900,113.6,20240600,113.57,20240900
2024-06-07 06:00:00,113.63,20240900,113.62,20240600,113.63,20240900
2024-06-07 07:00:00,113.7,20240900,113.7,20240600,113.7,20240900
2024-06-07 23:00:00,113.68,20240900,113.55,20240600,113.68,20240900
2024-06-10 01:00:00,113.05,20240900,113.01,20240600,113.05,20240900
2024-06-10 02:00:00,113.05,20240900,112.97,20240600,113.05,20240900
2024-06-10 03:00:00,113.17,20240900,112.99,20240600,113.17,20240900
2024-06-10 04:00:00,113.39,20240900,112.98,20240600,113.39,20240900
2024-06-10 05:00:00,113.15,20240900,112.96,20240600,113.15,20240900
2024-06-10 06:00:00,113.12,20240900,112.96,20240600,113.12,20240900
2024-06-10 07:00:00,113.09,20240900,112.91,20240600,113.09,20240900
2024-06-10 23:00:00,113.09,20240900,112.87,20240600,113.09,20240900
2024-06-11 01:00:00,113.12,20240900,113.02,20240600,113.12,20240900
2024-06-11 02:00:00,113.18,20240900,113.09,20240600,113.18,20240900
2024-06-11 03:00:00,113.13,20240900,113.07,20240600,113.13,20240900
2024-06-11 04:00:00,113.13,20240900,113.05,20240600,113.13,20240900
2024-06-11 05:00:00,113.04,20240900,112.94,20240600,113.04,20240900
2024-06-11 06:00:00,112.99,20240900,112.9,20240600,112.99,20240900
2024-06-11 07:00:00,113.08,20240900,112.95,20240600,113.08,20240900
2024-06-11 23:00:00,113.15,20240900,113.05,20240600,113.15,20240900
2024-06-12 01:00:00,113.33,20240900,113.18,20240600,113.33,20240900
2024-06-12 02:00:00,113.38,20240900,113.23,20240600,113.38,20240900
2024-06-12 03:00:00,113.36,20240900,113.23,20240600,113.36,20240900
2024-06-12 04:00:00,113.34,20240900,113.22,20240600,113.34,20240900
2024-06-12 05:00:00,113.38,20240900,113.27,20240600,113.38,20240900
2024-06-12 06:00:00,113.45,20240900,113.33,20240600,113.45,20240900
2024-06-12 07:00:00,113.53,20240900,113.41,20240600,113.53,20240900
2024-06-12 23:00:00,113.62,20240900,113.5,20240600,113.62,20240900
2024-06-13 01:00:00,113.97,20240900,113.86,20240600,113.97,20240900
2024-06-13 02:00:00,113.9,20240900,113.77,20240600,113.9,20240900
2024-06-13 03:00:00,113.95,20240900,113.85,20240600,113.95,20240900
2024-06-13 04:00:00,113.93,20240900,113.82,20240600,113.93,20240900
2024-06-13 05:00:00,113.91,20240900,113.81,20240600,113.91,20240900
2024-06-13 06:00:00,113.87,20240900,113.76,20240600,113.87,20240900
2024-06-13 07:00:00,113.92,20240900,113.82,20240600,113.92,20240900
2024-06-13 23:00:00,113.88,20240900,113.75,20240600,113.88,20240900
2024-06-14 01:00:00,114.14,20240900,114.03,20240600,114.14,20240900
2024-06-14 02:00:00,114.14,20240900,114.04,20240600,114.14,20240900
2024-06-14 03:00:00,114.21,20240900,114.1,20240600,114.21,20240900
2024-06-14 04:00:00,114.25,20240900,114.15,20240600,114.25,20240900
2024-06-14 05:00:00,114.17,20240900,114.06,20240600,114.17,20240900
2024-06-14 06:00:00,114.19,20240900,114.08,20240600,114.19,20240900
2024-06-14 07:00:00,114.25,20240900,114.15,20240600,114.25,20240900
2024-06-14 23:00:00,114.23,20240900,114.17,20240600,114.23,20240900
2024-06-17 01:00:00,114.44,20240900,114.36,20240600,114.44,20240900
2024-06-17 02:00:00,114.38,20240900,114.33,20240600,114.38,20240900
2024-06-17 03:00:00,114.43,20240900,114.37,20240600,114.43,20240900
2024-06-17 04:00:00,114.43,20240900,114.36,20240600,114.43,20240900
2024-06-17 05:00:00,114.46,20240900,114.4,20240600,114.46,20240900
2024-06-17 06:00:00,114.4,20240900,114.35,20240600,114.4,20240900
2024-06-17 07:00:00,114.44,20240900,114.39,20240600,114.44,20240900
2024-06-17 23:00:00,114.45,20240900,114.43,20240600,114.45,20240900
2024-06-18 01:00:00,114.64,20240900,114.59,20240600,114.64,20240900
2024-06-18 02:00:00,,20241200,114.59,20240900,,20241200
2024-06-18 03:00:00,,20241200,114.46,20240900,,20241200
2024-06-18 04:00:00,,20241200,114.45,20240900,,20241200
2024-06-18 05:00:00,,20241200,114.51,20240900,,20241200
2024-06-18 06:00:00,,20241200,114.41,20240900,,20241200
2024-06-18 07:00:00,,20241200,114.46,20240900,,20241200
2024-06-18 23:00:00,,20241200,114.49,20240900,,20241200
2024-06-19 01:00:00,,20241200,114.71,20240900,,20241200
2024-06-19 02:00:00,,20241200,114.72,20240900,,20241200
