DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-19 00:00:00,107.12,,,20250900,20251200,20251200
2025-06-19 01:00:00,107.09,,,20250900,20251200,20251200
2025-06-19 02:00:00,107.05,,,20250900,20251200,20251200
2025-06-19 03:00:00,107.07,,,20250900,20251200,20251200
2025-06-19 04:00:00,107.09,,,20250900,20251200,20251200
2025-06-19 05:00:00,107.07,,,20250900,20251200,20251200
2025-06-19 06:00:00,107.11,,,20250900,20251200,20251200
2025-06-19 10:00:00,107.08,,,20250900,20251200,20251200
2025-06-19 11:00:00,107.06,,,20250900,20251200,20251200
2025-06-19 12:00:00,107.07,,,20250900,20251200,20251200
2025-06-19 13:00:00,107.07,,,20250900,20251200,20251200
2025-06-19 14:00:00,107.07,,,20250900,20251200,20251200
2025-06-19 15:00:00,107.07,,,20250900,20251200,20251200
2025-06-19 18:00:00,107.05,,,20250900,20251200,20251200
2025-06-19 23:00:00,107.11,,,20250900,20251200,20251200
2025-06-20 00:00:00,107.03,,,20250900,20251200,20251200
2025-06-20 01:00:00,107.09,,,20250900,20251200,20251200
2025-06-20 02:00:00,107.07,,,20250900,20251200,20251200
2025-06-20 03:00:00,107.09,,,20250900,20251200,20251200
2025-06-20 04:00:00,107.06,,,20250900,20251200,20251200
2025-06-20 05:00:00,107.08,,,20250900,20251200,20251200
2025-06-20 06:00:00,107.15,,,20250900,20251200,20251200
2025-06-20 09:00:00,107.11,,,20250900,20251200,20251200
2025-06-20 10:00:00,107.11,,,20250900,20251200,20251200
2025-06-20 11:00:00,107.12,,,20250900,20251200,20251200
2025-06-20 12:00:00,107.11,,,20250900,20251200,20251200
2025-06-20 13:00:00,107.05,,,20250900,20251200,20251200
2025-06-20 15:00:00,107.1,,,20250900,20251200,20251200
2025-06-20 16:00:00,107.14,,,20250900,20251200,20251200
2025-06-20 20:00:00,107.13,,,20250900,20251200,20251200
2025-06-20 23:00:00,107.15,,,20250900,20251200,20251200
2025-06-23 00:00:00,107.04,,,20250900,20251200,20251200
2025-06-23 01:00:00,107.04,,,20250900,20251200,20251200
2025-06-23 02:00:00,107.06,,,20250900,20251200,20251200
2025-06-23 03:00:00,107.06,,,20250900,20251200,20251200
2025-06-23 04:00:00,107.07,,,20250900,20251200,20251200
2025-06-23 05:00:00,107.07,,,20250900,20251200,20251200
2025-06-23 06:00:00,107.04,,,20250900,20251200,20251200
2025-06-23 10:00:00,107.04,,,20250900,20251200,20251200
2025-06-23 11:00:00,107.06,,,20250900,20251200,20251200
2025-06-23 12:00:00,107.07,,,20250900,20251200,20251200
2025-06-23 13:00:00,107.07,,,20250900,20251200,20251200
2025-06-23 14:00:00,107.11,,,20250900,20251200,20251200
2025-06-23 15:00:00,107.16,,,20250900,20251200,20251200
2025-06-23 17:00:00,107.14,,,20250900,20251200,20251200
2025-06-23 20:00:00,107.15,,,20250900,20251200,20251200
2025-06-23 23:00:00,107.04,,,20250900,20251200,20251200
2025-06-24 00:00:00,107.14,,,20250900,20251200,20251200
2025-06-24 01:00:00,107.19,,,20250900,20251200,20251200
2025-06-24 02:00:00,107.18,,,20250900,20251200,20251200
2025-06-24 03:00:00,107.18,,,20250900,20251200,20251200
2025-06-24 04:00:00,107.19,,,20250900,20251200,20251200
2025-06-24 05:00:00,107.22,,,20250900,20251200,20251200
2025-06-24 06:00:00,107.17,,,20250900,20251200,20251200
2025-06-24 09:00:00,107.15,,,20250900,20251200,20251200
2025-06-24 10:00:00,107.17,,,20250900,20251200,20251200
2025-06-24 14:00:00,107.21,,,20250900,20251200,20251200
2025-06-24 15:00:00,107.22,,,20250900,20251200,20251200
2025-06-24 16:00:00,107.23,,,20250900,20251200,20251200
2025-06-24 19:00:00,107.23,,,20250900,20251200,20251200
2025-06-24 23:00:00,107.17,,,20250900,20251200,20251200
2025-06-25 00:00:00,107.21,,,20250900,20251200,20251200
2025-06-25 01:00:00,107.18,,,20250900,20251200,20251200
2025-06-25 02:00:00,107.18,,,20250900,20251200,20251200
2025-06-25 03:00:00,107.17,,,20250900,20251200,20251200
2025-06-25 04:00:00,107.19,,,20250900,20251200,20251200
2025-06-25 05:00:00,107.2,,,20250900,20251200,20251200
2025-06-25 06:00:00,107.16,,,20250900,20251200,20251200
2025-06-25 09:00:00,107.16,,,20250900,20251200,20251200
2025-06-25 12:00:00,107.16,,,20250900,20251200,20251200
2025-06-25 14:00:00,107.13,,,20250900,20251200,20251200
2025-06-25 15:00:00,107.14,,,20250900,20251200,20251200
2025-06-25 16:00:00,107.14,,,20250900,20251200,20251200
2025-06-25 19:00:00,107.17,,,20250900,20251200,20251200
2025-06-25 20:00:00,107.13,,,20250900,20251200,20251200
