DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-10-06 02:00:00,0.7096,,,20251100,20251200,20251200
2025-10-06 03:00:00,,0.7102,0.7102,20251100,20251200,20251200
2025-10-06 04:00:00,0.7091,,,20251100,20251200,20251200
2025-10-06 05:00:00,0.7079,,,20251100,20251200,20251200
2025-10-06 06:00:00,0.7082,,,20251100,20251200,20251200
2025-10-06 07:00:00,0.7086,0.7101,0.7101,20251100,20251200,20251200
2025-10-06 08:00:00,0.7082,,,20251100,20251200,20251200
2025-10-06 10:00:00,0.7083,,,20251100,20251200,20251200
2025-10-06 11:50:00,0.7092,,,20251100,20251200,20251200
2025-10-06 12:00:00,0.7097,,,20251100,20251200,20251200
2025-10-06 13:00:00,0.7105,,,20251100,20251200,20251200
2025-10-06 14:00:00,0.7105,,,20251100,20251200,20251200
2025-10-06 15:00:00,0.71,,,20251100,20251200,20251200
2025-10-06 16:00:00,0.71,0.7104,0.7104,20251100,20251200,20251200
2025-10-06 17:00:00,0.7102,,,20251100,20251200,20251200
2025-10-06 18:00:00,0.7101,,,20251100,20251200,20251200
2025-10-06 19:00:00,0.7103,,,20251100,20251200,20251200
2025-10-06 20:00:00,0.7103,,,20251100,20251200,20251200
2025-10-06 23:00:00,0.709,0.71,0.71,20251100,20251200,20251200
2025-10-07 01:00:00,0.7091,,,20251100,20251200,20251200
2025-10-07 02:00:00,0.7091,,,20251100,20251200,20251200
2025-10-07 03:00:00,0.7099,,,20251100,20251200,20251200
2025-10-07 04:00:00,0.7106,0.712,0.712,20251100,20251200,20251200
2025-10-07 05:00:00,0.71,0.7109,0.7109,20251100,20251200,20251200
2025-10-07 06:00:00,0.7094,,,20251100,20251200,20251200
2025-10-07 07:00:00,0.7087,0.7098,0.7098,20251100,20251200,20251200
2025-10-07 08:00:00,0.7088,,,20251100,20251200,20251200
2025-10-07 10:00:00,0.7091,,,20251100,20251200,20251200
2025-10-07 13:00:00,0.7089,,,20251100,20251200,20251200
