DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-08-18 13:30:00,83.375,86.2,90.025,20251200,20260200,20251000
2025-08-18 14:00:00,83.725,86.525,90.5,20251200,20260200,20251000
2025-08-18 15:00:00,83.85,86.6,90.5,20251200,20260200,20251000
2025-08-18 16:00:00,83.825,86.55,90.5,20251200,20260200,20251000
2025-08-18 17:00:00,83.45,86.225,90.175,20251200,20260200,20251000
2025-08-18 18:00:00,83.425,86.175,90.3,20251200,20260200,20251000
2025-08-18 23:00:00,83.425,86.175,90.3,20251200,20260200,20251000
2025-08-19 13:30:00,83.5,86.3,90.25,20251200,20260200,20251000
2025-08-19 14:00:00,82.85,85.8,89.5,20251200,20260200,20251000
2025-08-19 15:00:00,82.875,85.8,89.8,20251200,20260200,20251000
2025-08-19 16:00:00,82.925,85.75,90.125,20251200,20260200,20251000
2025-08-19 17:00:00,83.0,85.8,90.175,20251200,20260200,20251000
2025-08-19 18:00:00,83.025,85.825,90.1,20251200,20260200,20251000
2025-08-19 23:00:00,83.025,85.825,90.1,20251200,20260200,20251000
2025-08-20 13:30:00,82.1,85.05,88.9,20251200,20260200,20251000
2025-08-20 14:00:00,82.35,85.4,88.95,20251200,20260200,20251000
2025-08-20 15:00:00,83.275,86.125,90.15,20251200,20260200,20251000
2025-08-20 16:00:00,82.9,85.75,89.75,20251200,20260200,20251000
2025-08-20 17:00:00,82.95,85.9,89.95,20251200,20260200,20251000
2025-08-20 18:00:00,83.0,85.875,90.0,20251200,20260200,20251000
2025-08-20 23:00:00,83.0,85.875,90.0,20251200,20260200,20251000
2025-08-21 13:30:00,83.125,86.1,89.975,20251200,20260200,20251000
2025-08-21 14:00:00,83.15,86.175,89.9,20251200,20260200,20251000
2025-08-21 15:00:00,83.075,86.125,89.8,20251200,20260200,20251000
2025-08-21 16:00:00,83.125,86.2,89.8,20251200,20260200,20251000
2025-08-21 17:00:00,83.05,86.05,89.925,20251200,20260200,20251000
2025-08-21 18:00:00,83.075,86.05,89.9,20251200,20260200,20251000
2025-08-21 23:00:00,83.075,86.05,89.9,20251200,20260200,20251000
2025-08-22 13:30:00,84.0,86.75,90.95,20251200,20260200,20251000
2025-08-22 14:00:00,84.325,87.0,91.45,20251200,20260200,20251000
2025-08-22 15:00:00,84.4,87.025,91.5,20251200,20260200,20251000
2025-08-22 16:00:00,84.325,87.1,91.275,20251200,20260200,20251000
2025-08-22 17:00:00,84.35,87.125,91.225,20251200,20260200,20251000
2025-08-22 18:00:00,84.425,87.175,91.275,20251200,20260200,20251000
2025-08-22 23:00:00,84.425,87.175,91.275,20251200,20260200,20251000
2025-08-25 13:30:00,84.475,87.25,91.45,20251200,20260200,20251000
2025-08-25 14:00:00,84.3,87.2,91.05,20251200,20260200,20251000
2025-08-25 15:00:00,84.9,87.575,91.7,20251200,20260200,20251000
2025-08-25 16:00:00,84.8,87.575,91.55,20251200,20260200,20251000
2025-08-25 17:00:00,84.725,87.45,91.4,20251200,20260200,20251000
2025-08-25 18:00:00,84.75,87.5,91.425,20251200,20260200,20251000
2025-08-25 23:00:00,84.75,87.5,91.425,20251200,20260200,20251000
2025-08-26 13:30:00,85.0,87.725,91.8,20251200,20260200,20251000
2025-08-26 14:00:00,85.5,87.95,92.775,20251200,20260200,20251000
2025-08-26 15:00:00,85.475,88.0,92.575,20251200,20260200,20251000
2025-08-26 16:00:00,85.65,88.1,92.9,20251200,20260200,20251000
2025-08-26 17:00:00,85.925,88.15,93.45,20251200,20260200,20251000
2025-08-26 18:00:00,85.85,88.125,93.4,20251200,20260200,20251000
2025-08-26 23:00:00,85.85,88.125,93.4,20251200,20260200,20251000
2025-08-27 13:30:00,86.2,88.325,93.975,20251200,20260200,20251000
2025-08-27 14:00:00,86.85,88.725,94.575,20251200,20260200,20251000
2025-08-27 15:00:00,87.125,88.975,94.825,20251200,20260200,20251000
2025-08-27 16:00:00,86.925,88.9,94.4,20251200,20260200,20251000
2025-08-27 17:00:00,86.5,88.6,93.9,20251200,20260200,20251000
2025-08-27 18:00:00,86.5,88.625,93.875,20251200,20260200,20251000
2025-08-27 23:00:00,86.5,88.6,93.875,20251200,20260200,20251000
2025-08-28 13:30:00,86.775,89.1,94.025,20251200,20260200,20251000
2025-08-28 14:00:00,86.7,89.075,93.825,20251200,20260200,20251000
2025-08-28 15:00:00,87.05,89.35,94.2,20251200,20260200,20251000
2025-08-28 16:00:00,86.95,89.25,94.275,20251200,20260200,20251000
2025-08-28 17:00:00,86.95,89.275,94.25,20251200,20260200,20251000
2025-08-28 18:00:00,86.85,89.2,94.275,20251200,20260200,20251000
2025-08-28 23:00:00,86.85,89.2,94.275,20251200,20260200,20251000
2025-08-29 13:30:00,86.95,89.3,94.425,20251200,20260200,20251000
2025-08-29 14:00:00,87.2,89.4,94.75,20251200,20260200,20251000
2025-08-29 15:00:00,87.675,89.725,95.1,20251200,20260200,20251000
2025-08-29 16:00:00,87.5,89.675,94.875,20251200,20260200,20251000
2025-08-29 17:00:00,87.4,89.65,94.975,20251200,20260200,20251000
2025-08-29 18:00:00,87.475,89.65,95.0,20251200,20260200,20251000
2025-08-29 23:00:00,87.475,89.65,95.0,20251200,20260200,20251000
2025-09-02 13:30:00,87.95,90.1,95.125,20251200,20260200,20251000
2025-09-02 14:00:00,87.925,89.925,95.125,20251200,20260200,20251000
2025-09-02 15:00:00,88.25,90.15,95.5,20251200,20260200,20251000
2025-09-02 16:00:00,88.1,90.1,95.375,20251200,20260200,20251000
2025-09-02 17:00:00,88.175,90.075,95.575,20251200,20260200,20251000
2025-09-02 18:00:00,88.075,90.025,95.5,20251200,20260200,20251000
2025-09-02 23:00:00,88.075,90.025,95.5,20251200,20260200,20251000
2025-09-03 13:30:00,87.8,89.8,94.875,20251200,20260200,20251000
2025-09-03 14:00:00,87.325,89.45,94.075,20251200,20260200,20251000
2025-09-03 15:00:00,87.5,89.475,94.575,20251200,20260200,20251000
2025-09-03 16:00:00,87.225,89.3,94.025,20251200,20260200,20251000
2025-09-03 17:00:00,87.05,89.2,93.775,20251200,20260200,20251000
2025-09-03 18:00:00,87.05,89.225,93.825,20251200,20260200,20251000
2025-09-03 23:00:00,87.05,89.225,93.825,20251200,20260200,20251000
2025-09-04 13:30:00,87.7,89.6,95.0,20251200,20260200,20251000
2025-09-04 14:00:00,87.85,89.9,95.3,20251200,20260200,20251000
2025-09-04 15:00:00,87.55,89.825,94.975,20251200,20260200,20251000
2025-09-04 16:00:00,87.125,89.5,94.6,20251200,20260200,20251000
2025-09-04 17:00:00,87.4,89.525,95.1,20251200,20260200,20251000
2025-09-04 18:00:00,87.375,89.575,95.1,20251200,20260200,20251000
2025-09-04 23:00:00,87.375,89.575,95.1,20251200,20260200,20251000
2025-09-05 13:30:00,88.275,90.325,96.4,20251200,20260200,20251000
2025-09-05 14:00:00,88.375,90.375,96.425,20251200,20260200,20251000
2025-09-05 15:00:00,88.6,90.475,96.875,20251200,20260200,20251000
2025-09-05 16:00:00,88.475,90.425,96.25,20251200,20260200,20251000
2025-09-05 17:00:00,88.325,90.35,96.0,20251200,20260200,20251000
2025-09-05 18:00:00,88.4,90.45,96.125,20251200,20260200,20251000
2025-09-05 23:00:00,88.4,90.45,96.125,20251200,20260200,20251000
2025-09-08 13:30:00,88.2,90.475,95.5,20251200,20260200,20251000
2025-09-08 14:00:00,88.475,90.675,95.775,20251200,20260200,20251000
2025-09-08 15:00:00,88.425,90.725,95.65,20251200,20260200,20251000
2025-09-08 16:00:00,88.2,90.575,95.25,20251200,20260200,20251000
2025-09-08 17:00:00,88.125,90.625,95.15,20251200,20260200,20251000
2025-09-08 18:00:00,88.125,90.7,95.25,20251200,20260200,20251000
2025-09-08 23:00:00,88.125,90.7,95.25,20251200,20260200,20251000
2025-09-09 13:30:00,88.225,90.45,96.0,20251200,20260200,20251000
2025-09-09 14:00:00,88.15,90.35,96.25,20251200,20260200,20251000
2025-09-09 15:00:00,87.75,90.05,95.725,20251200,20260200,20251000
2025-09-09 16:00:00,88.025,90.35,96.075,20251200,20260200,20251000
2025-09-09 17:00:00,87.85,90.25,96.125,20251200,20260200,20251000
2025-09-09 18:00:00,87.8,90.15,96.15,20251200,20260200,20251000
2025-09-09 23:00:00,87.8,90.15,96.15,20251200,20260200,20251000
2025-09-10 13:30:00,88.35,90.25,97.475,20251200,20260200,20251000
2025-09-10 14:00:00,88.25,90.275,97.175,20251200,20260200,20251000
2025-09-10 15:00:00,88.35,90.375,97.05,20251200,20260200,20251000
2025-09-10 16:00:00,88.375,90.425,97.225,20251200,20260200,20251000
2025-09-10 17:00:00,88.275,90.225,96.775,20251200,20260200,20251000
