DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-03-22 18:00:00,123.75,,,20241000,20241100,20240900
2024-03-25 05:00:00,123.75,125.0,123.0,20241000,20241100,20240900
2024-03-25 14:00:00,,,124.775,20241000,20241100,20240900
2024-03-25 17:00:00,,,123.0,20241000,20241100,20240900
2024-03-26 05:00:00,124.825,125.05,122.725,20241000,20241100,20240900
2024-03-26 13:00:00,,,124.0,20241000,20241100,20240900
2024-03-26 15:00:00,124.825,,123.025,20241000,20241100,20240900
2024-03-26 16:00:00,124.825,,,20241000,20241100,20240900
2024-03-26 19:00:00,123.775,,,20241000,20241100,20240900
2024-03-27 05:00:00,124.8,125.05,122.575,20241000,20241100,20240900
2024-03-27 08:00:00,,,121.85,20241000,20241100,20240900
2024-03-27 14:00:00,,,122.775,20241000,20241100,20240900
2024-03-27 18:00:00,123.2,,121.8,20241000,20241100,20240900
2024-03-27 19:00:00,,,121.8,20241000,20241100,20240900
2024-03-28 05:00:00,124.125,124.75,121.5,20241000,20241100,20240900
2024-03-28 15:00:00,,124.75,,20241000,20241100,20240900
2024-03-28 17:00:00,,,121.5,20241000,20241100,20240900
2024-03-28 18:00:00,,,121.5,20241000,20241100,20240900
2024-04-01 05:00:00,123.0,124.75,121.075,20241000,20241100,20240900
2024-04-01 15:00:00,123.0,124.75,121.075,20241000,20241100,20240900
2024-04-02 05:00:00,123.25,125.5,122.325,20241000,20241100,20240900
2024-04-02 12:00:00,,,124.0,20241000,20241100,20240900
2024-04-02 14:00:00,,125.5,,20241000,20241100,20240900
2024-04-02 17:00:00,,,122.325,20241000,20241100,20240900
2024-04-02 18:00:00,,,122.75,20241000,20241100,20240900
2024-04-02 20:00:00,,,122.75,20241000,20241100,20240900
2024-04-03 05:00:00,124.25,126.0,121.85,20241000,20241100,20240900
2024-04-03 12:00:00,,124.5,121.5,20241000,20241100,20240900
2024-04-03 15:00:00,,126.5,123.75,20241000,20241100,20240900
2024-04-03 16:00:00,,,123.5,20241000,20241100,20240900
2024-04-03 17:00:00,124.25,126.0,122.425,20241000,20241100,20240900
2024-04-03 18:00:00,124.25,126.0,121.85,20241000,20241100,20240900
2024-04-04 05:00:00,124.425,126.0,123.25,20241000,20241100,20240900
2024-04-04 16:00:00,,,123.25,20241000,20241100,20240900
2024-04-04 18:00:00,124.25,124.7,123.25,20241000,20241100,20240900
2024-04-04 20:00:00,,,122.375,20241000,20241100,20240900
2024-04-05 05:00:00,123.525,125.0,121.7,20241000,20241100,20240900
2024-04-05 17:00:00,,125.0,121.7,20241000,20241100,20240900
2024-04-05 18:00:00,123.525,125.0,,20241000,20241100,20240900
2024-04-08 05:00:00,123.525,125.0,121.825,20241000,20241100,20240900
2024-04-08 20:00:00,124.5,,123.55,20241000,20241100,20240900
2024-04-09 05:00:00,125.0,126.25,123.0,20241000,20241100,20240900
2024-04-09 10:00:00,123.4,,,20241000,20241100,20240900
2024-04-09 12:00:00,124.0,,123.85,20241000,20241100,20240900
2024-04-09 13:00:00,,,123.85,20241000,20241100,20240900
2024-04-09 14:00:00,124.0,,123.65,20241000,20241100,20240900
2024-04-09 15:00:00,,125.025,123.0,20241000,20241100,20240900
2024-04-09 16:00:00,125.0,,,20241000,20241100,20240900
2024-04-09 20:00:00,,126.25,,20241000,20241100,20240900
2024-04-10 05:00:00,125.0,126.25,123.5,20241000,20241100,20240900
2024-04-10 16:00:00,,126.25,122.95,20241000,20241100,20240900
2024-04-10 17:00:00,,,123.5,20241000,20241100,20240900
2024-04-10 18:00:00,,,123.5,20241000,20241100,20240900
2024-04-10 19:00:00,,,123.5,20241000,20241100,20240900
2024-04-11 05:00:00,125.25,126.25,124.0,20241000,20241100,20240900
2024-04-11 15:00:00,,,124.0,20241000,20241100,20240900
2024-04-11 17:00:00,125.25,,,20241000,20241100,20240900
2024-04-12 05:00:00,125.25,126.25,124.0,20241000,20241100,20240900
2024-04-15 05:00:00,125.25,126.25,124.0,20241000,20241100,20240900
2024-04-15 15:00:00,,,124.0,20241000,20241100,20240900
2024-04-15 18:00:00,,,124.0,20241000,20241100,20240900
2024-04-16 05:00:00,124.0,125.3,122.95,20241000,20241100,20240900
2024-04-16 14:00:00,125.25,,,20241000,20241100,20240900
2024-04-16 15:00:00,,,122.95,20241000,20241100,20240900
2024-04-16 18:00:00,,,122.5,20241000,20241100,20240900
2024-04-17 05:00:00,123.0,124.5,121.975,20241000,20241100,20240900
2024-04-17 15:00:00,,,122.25,20241000,20241100,20240900
2024-04-17 16:00:00,123.0,124.5,122.0,20241000,20241100,20240900
2024-04-17 17:00:00,123.0,,121.975,20241000,20241100,20240900
2024-04-17 18:00:00,123.0,,122.0,20241000,20241100,20240900
2024-04-17 19:00:00,,124.25,122.0,20241000,20241100,20240900
2024-04-18 05:00:00,122.5,123.825,121.525,20241000,20241100,20240900
2024-04-18 13:00:00,122.8,124.0,121.5,20241000,20241100,20240900
2024-04-18 15:00:00,,,121.5,20241000,20241100,20240900
2024-04-18 16:00:00,122.5,124.275,121.525,20241000,20241100,20240900
2024-04-18 17:00:00,,123.825,,20241000,20241100,20240900
2024-04-19 05:00:00,122.0,123.525,121.025,20241000,20241100,20240900
2024-04-19 14:00:00,,,121.525,20241000,20241100,20240900
2024-04-19 16:00:00,122.0,123.525,121.0,20241000,20241100,20240900
2024-04-22 05:00:00,122.5,124.0,121.0,20241000,20241100,20240900
2024-04-22 14:00:00,124.0,125.0,122.5,20241100,20241200,20241000
2024-04-22 15:00:00,123.5,124.525,,20241100,20241200,20241000
2024-04-22 16:00:00,124.0,124.6,,20241100,20241200,20241000
2024-04-22 17:00:00,,124.625,122.5,20241100,20241200,20241000
2024-04-22 18:00:00,123.6,,,20241100,20241200,20241000
2024-04-22 19:00:00,,125.0,,20241100,20241200,20241000
2024-04-22 20:00:00,,125.025,,20241100,20241200,20241000
2024-04-23 05:00:00,123.0,124.5,121.5,20241100,20241200,20241000
2024-04-23 12:00:00,,125.0,,20241100,20241200,20241000
2024-04-23 14:00:00,123.6,125.0,,20241100,20241200,20241000
2024-04-23 15:00:00,123.5,124.5,,20241100,20241200,20241000
2024-04-23 16:00:00,123.0,124.5,121.3,20241100,20241200,20241000
2024-04-23 17:00:00,,,121.5,20241100,20241200,20241000
2024-04-24 00:00:00,122.75,124.0,,20241100,20241200,20241000
2024-04-24 05:00:00,122.2,123.5,120.5,20241100,20241200,20241000
2024-04-24 14:00:00,122.75,123.75,121.5,20241100,20241200,20241000
2024-04-24 15:00:00,,123.75,,20241100,20241200,20241000
2024-04-24 16:00:00,,123.5,,20241100,20241200,20241000
2024-04-24 17:00:00,,123.5,120.5,20241100,20241200,20241000
2024-04-24 20:00:00,,123.8,,20241100,20241200,20241000
2024-04-25 05:00:00,123.7,123.9,122.6,20241100,20241200,20241000
2024-04-25 14:00:00,,123.9,,20241100,20241200,20241000
2024-04-25 15:00:00,,123.9,121.95,20241100,20241200,20241000
2024-04-25 16:00:00,123.7,,122.6,20241100,20241200,20241000
2024-04-25 17:00:00,123.7,,122.6,20241100,20241200,20241000
2024-04-25 19:00:00,,125.5,,20241100,20241200,20241000
2024-04-25 20:00:00,,125.5,,20241100,20241200,20241000
2024-04-26 05:00:00,122.0,123.775,120.575,20241100,20241200,20241000
2024-04-26 16:00:00,,124.0,,20241100,20241200,20241000
2024-04-26 18:00:00,122.0,123.0,120.5,20241100,20241200,20241000
2024-04-29 05:00:00,122.0,123.775,120.15,20241100,20241200,20241000
