DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-07-21 23:00:00,19.72,19.81,19.71,20251100,20251200,20251000
2025-07-22 23:00:00,19.72,19.75,19.7,20251100,20251200,20251000
2025-07-23 16:00:00,,,19.3,20251100,20251200,20251000
2025-07-23 23:00:00,19.39,19.48,19.3,20251100,20251200,20251000
2025-07-24 23:00:00,19.39,19.45,19.25,20251100,20251200,20251000
2025-07-25 18:00:00,,,19.35,20251100,20251200,20251000
2025-07-25 23:00:00,19.39,19.45,19.35,20251100,20251200,20251000
2025-07-28 13:00:00,,,19.35,20251100,20251200,20251000
2025-07-28 13:30:00,19.39,,,20251100,20251200,20251000
2025-07-28 15:00:00,19.5,19.45,,20251100,20251200,20251000
2025-07-28 16:00:00,19.6,,,20251100,20251200,20251000
2025-07-28 23:00:00,19.6,19.45,19.35,20251100,20251200,20251000
2025-07-29 23:00:00,19.58,19.5,19.53,20251100,20251200,20251000
2025-07-30 23:00:00,19.49,19.48,19.42,20251100,20251200,20251000
2025-07-31 23:00:00,19.49,19.35,19.42,20251100,20251200,20251000
2025-08-01 23:00:00,19.49,19.35,19.42,20251100,20251200,20251000
2025-08-04 23:00:00,19.49,19.35,19.42,20251100,20251200,20251000
2025-08-05 14:00:00,19.55,,,20251100,20251200,20251000
2025-08-05 23:00:00,19.55,19.35,19.42,20251100,20251200,20251000
2025-08-06 23:00:00,19.24,19.14,19.29,20251100,20251200,20251000
2025-08-07 17:00:00,,18.85,,20251100,20251200,20251000
2025-08-07 23:00:00,18.83,18.85,18.9,20251100,20251200,20251000
2025-08-08 16:00:00,,,18.75,20251100,20251200,20251000
2025-08-08 23:00:00,18.83,18.79,18.75,20251100,20251200,20251000
2025-08-11 18:00:00,18.61,,,20251100,20251200,20251000
2025-08-11 19:00:00,,18.64,18.58,20251100,20251200,20251000
2025-08-11 20:00:00,,18.7,,20251100,20251200,20251000
2025-08-11 23:00:00,18.61,18.7,18.58,20251100,20251200,20251000
2025-08-12 16:00:00,,,18.36,20251100,20251200,20251000
2025-08-12 23:00:00,18.3,18.46,18.36,20251100,20251200,20251000
2025-08-13 14:00:00,18.3,,18.3,20251100,20251200,20251000
2025-08-13 16:00:00,18.2,18.35,18.2,20251100,20251200,20251000
2025-08-13 23:00:00,18.2,18.35,18.2,20251100,20251200,20251000
2025-08-14 23:00:00,18.22,18.38,18.2,20251100,20251200,20251000
2025-08-15 23:00:00,18.27,18.5,18.29,20251100,20251200,20251000
2025-08-18 15:00:00,18.4,,,20251100,20251200,20251000
2025-08-18 16:00:00,18.5,18.75,,20251100,20251200,20251000
2025-08-18 18:00:00,,,18.5,20251100,20251200,20251000
2025-08-18 23:00:00,18.5,18.75,18.5,20251100,20251200,20251000
2025-08-19 15:00:00,,,18.57,20251200,20260100,20251100
2025-08-19 23:00:00,18.62,18.55,18.57,20251200,20260100,20251100
2025-08-20 16:00:00,,,18.27,20251200,20260100,20251100
2025-08-20 18:00:00,,18.35,,20251200,20260100,20251100
2025-08-20 19:00:00,,,18.2,20251200,20260100,20251100
2025-08-20 20:00:00,18.38,,18.2,20251200,20260100,20251100
2025-08-20 23:00:00,18.38,18.48,18.2,20251200,20260100,20251100
2025-08-21 13:30:00,,,18.24,20251200,20260100,20251100
2025-08-21 14:00:00,,18.3,18.2,20251200,20260100,20251100
2025-08-21 15:00:00,18.3,,18.11,20251200,20260100,20251100
2025-08-21 16:00:00,18.2,18.25,18.05,20251200,20260100,20251100
2025-08-21 20:00:00,18.2,,,20251200,20260100,20251100
2025-08-21 23:00:00,18.2,18.25,18.05,20251200,20260100,20251100
2025-08-22 23:00:00,18.15,18.17,17.96,20251200,20260100,20251100
2025-08-25 17:00:00,,18.3,,20251200,20260100,20251100
2025-08-25 23:00:00,18.15,18.29,17.96,20251200,20260100,20251100
2025-08-26 16:00:00,18.0,,17.75,20251200,20260100,20251100
2025-08-26 23:00:00,18.0,18.0,17.75,20251200,20260100,20251100
2025-08-27 16:00:00,,,17.45,20251200,20260100,20251100
2025-08-27 23:00:00,17.69,17.65,17.45,20251200,20260100,20251100
2025-08-28 14:00:00,,17.65,,20251200,20260100,20251100
2025-08-28 17:00:00,,17.7,,20251200,20260100,20251100
2025-08-28 18:00:00,17.8,17.7,17.62,20251200,20260100,20251100
2025-08-28 23:00:00,17.8,17.7,17.62,20251200,20260100,20251100
2025-08-29 16:00:00,17.6,,17.45,20251200,20260100,20251100
2025-08-29 17:00:00,17.6,,17.45,20251200,20260100,20251100
2025-08-29 18:00:00,17.56,,,20251200,20260100,20251100
2025-08-29 23:00:00,17.56,17.65,17.45,20251200,20260100,20251100
2025-09-02 14:00:00,17.37,,17.17,20251200,20260100,20251100
2025-09-02 15:00:00,17.25,17.37,,20251200,20260100,20251100
2025-09-02 23:00:00,17.25,17.33,17.17,20251200,20260100,20251100
2025-09-03 17:00:00,17.09,17.18,,20251200,20260100,20251100
2025-09-03 18:00:00,17.19,17.31,,20251200,20260100,20251100
2025-09-03 19:00:00,17.22,,,20251200,20260100,20251100
2025-09-03 23:00:00,17.22,17.18,16.9,20251200,20260100,20251100
2025-09-04 16:00:00,,,16.9,20251200,20260100,20251100
2025-09-04 23:00:00,17.18,17.22,16.9,20251200,20260100,20251100
