DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-12 06:00:00,778.7,,,20250900,20251200,20251200
2025-06-12 23:00:00,778.6,787.4,787.4,20250900,20251200,20251200
2025-06-13 11:00:00,766.3,,,20250900,20251200,20251200
2025-06-13 13:00:00,765.5,,,20250900,20251200,20251200
2025-06-13 14:00:00,767.1,,,20250900,20251200,20251200
2025-06-13 23:00:00,770.0,777.5,777.5,20250900,20251200,20251200
2025-06-16 06:00:00,773.7,,,20250900,20251200,20251200
2025-06-16 07:00:00,774.1,,,20250900,20251200,20251200
2025-06-16 12:00:00,774.4,,,20250900,20251200,20251200
2025-06-16 14:00:00,779.7,,,20250900,20251200,20251200
2025-06-16 15:00:00,779.9,,,20250900,20251200,20251200
2025-06-16 23:00:00,779.5,788.2,788.2,20250900,20251200,20251200
2025-06-17 07:00:00,772.8,,,20250900,20251200,20251200
2025-06-17 08:00:00,772.2,,,20250900,20251200,20251200
2025-06-17 09:00:00,770.8,,,20250900,20251200,20251200
2025-06-17 10:00:00,771.4,,,20250900,20251200,20251200
2025-06-17 11:00:00,772.2,,,20250900,20251200,20251200
2025-06-17 12:00:00,773.1,,,20250900,20251200,20251200
2025-06-17 13:00:00,772.4,,,20250900,20251200,20251200
2025-06-17 14:00:00,770.7,,,20250900,20251200,20251200
2025-06-17 23:00:00,771.0,779.7,779.7,20250900,20251200,20251200
2025-06-18 07:00:00,770.1,,,20250900,20251200,20251200
2025-06-18 08:00:00,770.3,,,20250900,20251200,20251200
2025-06-18 09:00:00,769.7,,,20250900,20251200,20251200
2025-06-18 10:00:00,766.9,,,20250900,20251200,20251200
2025-06-18 11:00:00,767.3,,,20250900,20251200,20251200
2025-06-18 12:00:00,767.9,,,20250900,20251200,20251200
2025-06-18 13:00:00,766.5,,,20250900,20251200,20251200
2025-06-18 14:00:00,769.4,,,20250900,20251200,20251200
2025-06-18 15:00:00,768.0,,,20250900,20251200,20251200
2025-06-18 23:00:00,768.5,777.6,777.6,20250900,20251200,20251200
2025-06-19 07:00:00,757.2,,,20250900,20251200,20251200
2025-06-19 08:00:00,756.9,,,20250900,20251200,20251200
2025-06-19 09:00:00,757.8,,,20250900,20251200,20251200
2025-06-19 10:00:00,757.0,,,20250900,20251200,20251200
2025-06-19 13:00:00,756.3,,,20250900,20251200,20251200
2025-06-19 14:00:00,754.5,,,20250900,20251200,20251200
2025-06-19 15:00:00,752.9,,,20250900,20251200,20251200
2025-06-19 23:00:00,753.9,762.7,762.7,20250900,20251200,20251200
2025-06-20 07:00:00,765.7,,,20250900,20251200,20251200
2025-06-20 08:00:00,765.9,,,20250900,20251200,20251200
2025-06-20 09:00:00,767.3,,,20250900,20251200,20251200
2025-06-20 10:00:00,767.8,,,20250900,20251200,20251200
2025-06-20 11:00:00,770.3,,,20250900,20251200,20251200
2025-06-20 12:00:00,769.8,,,20250900,20251200,20251200
2025-06-20 13:00:00,768.5,,,20250900,20251200,20251200
2025-06-20 14:00:00,762.6,,,20250900,20251200,20251200
2025-06-20 15:00:00,762.2,,,20250900,20251200,20251200
2025-06-20 16:00:00,763.5,,,20250900,20251200,20251200
2025-06-20 17:00:00,763.1,,,20250900,20251200,20251200
2025-06-20 23:00:00,762.7,778.0,778.0,20250900,20251200,20251200
2025-06-23 01:00:00,756.9,,,20250900,20251200,20251200
2025-06-23 02:00:00,757.5,,,20250900,20251200,20251200
2025-06-23 06:00:00,760.2,,,20250900,20251200,20251200
2025-06-23 07:00:00,760.9,,,20250900,20251200,20251200
2025-06-23 08:00:00,761.5,,,20250900,20251200,20251200
2025-06-23 09:00:00,760.3,,,20250900,20251200,20251200
2025-06-23 10:00:00,760.1,,,20250900,20251200,20251200
2025-06-23 11:00:00,757.6,,,20250900,20251200,20251200
2025-06-23 12:00:00,759.4,,,20250900,20251200,20251200
2025-06-23 13:00:00,759.1,,,20250900,20251200,20251200
2025-06-23 14:00:00,762.5,,,20250900,20251200,20251200
2025-06-23 15:00:00,763.8,,,20250900,20251200,20251200
2025-06-23 18:00:00,767.1,,,20250900,20251200,20251200
2025-06-23 23:00:00,763.4,771.5,771.5,20250900,20251200,20251200
2025-06-24 06:00:00,783.1,,,20250900,20251200,20251200
2025-06-24 07:00:00,782.8,,,20250900,20251200,20251200
2025-06-24 08:00:00,781.0,,,20250900,20251200,20251200
2025-06-24 09:00:00,781.8,,,20250900,20251200,20251200
2025-06-24 10:00:00,780.6,,,20250900,20251200,20251200
2025-06-24 11:00:00,780.1,,,20250900,20251200,20251200
2025-06-24 12:00:00,780.0,,,20250900,20251200,20251200
2025-06-24 13:00:00,779.5,,,20250900,20251200,20251200
2025-06-24 14:00:00,785.1,,,20250900,20251200,20251200
2025-06-24 23:00:00,786.2,794.5,794.5,20250900,20251200,20251200
2025-06-25 01:00:00,786.6,,,20250900,20251200,20251200
2025-06-25 02:00:00,785.9,,,20250900,20251200,20251200
2025-06-25 03:00:00,785.9,,,20250900,20251200,20251200
2025-06-25 04:00:00,786.6,,,20250900,20251200,20251200
2025-06-25 05:00:00,788.4,,,20250900,20251200,20251200
2025-06-25 06:00:00,789.1,,,20250900,20251200,20251200
2025-06-25 08:00:00,790.2,,,20250900,20251200,20251200
2025-06-25 09:00:00,789.4,,,20250900,20251200,20251200
2025-06-25 10:00:00,788.9,,,20250900,20251200,20251200
2025-06-25 11:00:00,789.2,,,20250900,20251200,20251200
2025-06-25 13:00:00,788.6,,,20250900,20251200,20251200
2025-06-25 14:00:00,788.8,,,20250900,20251200,20251200
2025-06-25 15:00:00,789.7,,,20250900,20251200,20251200
2025-06-25 23:00:00,789.3,797.7,797.7,20250900,20251200,20251200
2025-06-26 00:15:00,792.9,,,20250900,20251200,20251200
2025-06-26 02:00:00,789.4,,,20250900,20251200,20251200
2025-06-26 04:00:00,791.7,,,20250900,20251200,20251200
2025-06-26 06:00:00,790.5,,,20250900,20251200,20251200
2025-06-26 07:00:00,792.5,,,20250900,20251200,20251200
2025-06-26 08:00:00,793.4,,,20250900,20251200,20251200
2025-06-26 09:00:00,791.6,,,20250900,20251200,20251200
2025-06-26 11:00:00,792.2,,,20250900,20251200,20251200
2025-06-26 12:00:00,793.1,,,20250900,20251200,20251200
2025-06-26 13:00:00,792.1,,,20250900,20251200,20251200
2025-06-26 14:00:00,794.0,,,20250900,20251200,20251200
2025-06-26 15:00:00,794.0,,,20250900,20251200,20251200
2025-06-26 23:00:00,794.4,802.8,802.8,20250900,20251200,20251200
2025-06-27 01:00:00,792.8,,,20250900,20251200,20251200
2025-06-27 07:00:00,792.5,,,20250900,20251200,20251200
2025-06-27 08:00:00,791.9,,,20250900,20251200,20251200
2025-06-27 09:00:00,791.6,,,20250900,20251200,20251200
2025-06-27 10:00:00,790.5,,,20250900,20251200,20251200
2025-06-27 11:00:00,791.6,,,20250900,20251200,20251200
2025-06-27 13:00:00,790.5,,,20250900,20251200,20251200
2025-06-27 14:00:00,791.2,,,20250900,20251200,20251200
2025-06-27 15:00:00,793.1,,,20250900,20251200,20251200
2025-06-27 16:00:00,792.7,,,20250900,20251200,20251200
2025-06-27 19:00:00,792.0,,,20250900,20251200,20251200
2025-06-27 23:00:00,792.9,801.3,801.3,20250900,20251200,20251200
2025-06-30 01:00:00,793.0,,,20250900,20251200,20251200
2025-06-30 02:00:00,791.6,,,20250900,20251200,20251200
2025-06-30 04:00:00,790.4,,,20250900,20251200,20251200
2025-06-30 05:00:00,790.2,,,20250900,20251200,20251200
2025-06-30 06:00:00,789.7,,,20250900,20251200,20251200
2025-06-30 07:00:00,788.9,,,20250900,20251200,20251200
2025-06-30 08:00:00,788.2,,,20250900,20251200,20251200
2025-06-30 09:00:00,789.5,,,20250900,20251200,20251200
2025-06-30 10:00:00,788.5,,,20250900,20251200,20251200
2025-06-30 11:00:00,788.4,,,20250900,20251200,20251200
2025-06-30 12:00:00,787.7,,,20250900,20251200,20251200
2025-06-30 13:00:00,787.1,,,20250900,20251200,20251200
2025-06-30 14:00:00,787.4,,,20250900,20251200,20251200
2025-06-30 15:00:00,787.6,,,20250900,20251200,20251200
2025-06-30 23:00:00,787.9,796.2,796.2,20250900,20251200,20251200
2025-07-01 04:00:00,793.4,,,20250900,20251200,20251200
2025-07-01 05:00:00,793.6,,,20250900,20251200,20251200
2025-07-01 06:00:00,792.7,,,20250900,20251200,20251200
2025-07-01 08:00:00,793.5,,,20250900,20251200,20251200
2025-07-01 11:00:00,793.5,,,20250900,20251200,20251200
