DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-09-23 01:00:00,452.8,,,20251000,20251100,20251100
2025-09-23 02:00:00,453.05,,,20251000,20251100,20251100
2025-09-23 03:00:00,454.6,,,20251000,20251100,20251100
2025-09-23 04:00:00,454.25,,,20251000,20251100,20251100
2025-09-23 05:00:00,453.5,,,20251000,20251100,20251100
2025-09-23 06:00:00,453.35,,,20251000,20251100,20251100
2025-09-23 07:00:00,453.45,,,20251000,20251100,20251100
2025-09-23 08:00:00,454.0,,,20251000,20251100,20251100
2025-09-23 09:00:00,454.05,,,20251000,20251100,20251100
2025-09-23 10:00:00,453.7,,,20251000,20251100,20251100
2025-09-23 11:00:00,453.75,,,20251000,20251100,20251100
2025-09-23 12:00:00,453.65,,,20251000,20251100,20251100
2025-09-23 13:00:00,453.25,,,20251000,20251100,20251100
2025-09-23 14:00:00,452.45,,,20251000,20251100,20251100
2025-09-23 15:00:00,451.55,,,20251000,20251100,20251100
2025-09-23 16:00:00,451.4,,,20251000,20251100,20251100
2025-09-23 17:00:00,449.55,,,20251000,20251100,20251100
2025-09-23 19:00:00,448.7,,,20251000,20251100,20251100
2025-09-23 23:00:00,454.05,,,20251000,20251100,20251100
2025-09-24 00:30:00,448.8,,,20251000,20251100,20251100
2025-09-24 01:00:00,448.75,,,20251000,20251100,20251100
2025-09-24 02:00:00,448.35,,,20251000,20251100,20251100
2025-09-24 03:00:00,447.95,,,20251000,20251100,20251100
2025-09-24 04:00:00,448.5,,,20251000,20251100,20251100
2025-09-24 05:00:00,447.95,,,20251000,20251100,20251100
2025-09-24 06:00:00,447.9,,,20251000,20251100,20251100
2025-09-24 07:00:00,448.05,,,20251000,20251100,20251100
2025-09-24 08:00:00,447.1,,,20251000,20251100,20251100
2025-09-24 09:00:00,447.2,,,20251000,20251100,20251100
2025-09-24 09:35:00,447.15,,,20251000,20251100,20251100
2025-09-24 10:00:00,446.85,,,20251000,20251100,20251100
2025-09-24 11:00:00,446.75,,,20251000,20251100,20251100
2025-09-24 12:00:00,446.75,,,20251000,20251100,20251100
2025-09-24 13:00:00,448.0,,,20251000,20251100,20251100
2025-09-24 14:00:00,448.45,,,20251000,20251100,20251100
2025-09-24 15:00:00,447.45,,,20251000,20251100,20251100
2025-09-24 16:00:00,447.55,,,20251000,20251100,20251100
2025-09-24 17:00:00,448.2,,,20251000,20251100,20251100
2025-09-24 18:00:00,448.2,,,20251000,20251100,20251100
2025-09-24 19:00:00,447.5,,,20251000,20251100,20251100
2025-09-24 20:00:00,447.6,,,20251000,20251100,20251100
2025-09-24 23:00:00,446.45,,,20251000,20251100,20251100
2025-09-25 00:30:00,448.8,,,20251000,20251100,20251100
2025-09-25 01:00:00,447.75,,,20251000,20251100,20251100
2025-09-25 02:00:00,447.8,,,20251000,20251100,20251100
2025-09-25 03:00:00,447.8,,,20251000,20251100,20251100
2025-09-25 04:00:00,448.45,,,20251000,20251100,20251100
2025-09-25 05:00:00,448.25,,,20251000,20251100,20251100
2025-09-25 06:00:00,447.65,,,20251000,20251100,20251100
2025-09-25 07:00:00,447.75,,,20251000,20251100,20251100
2025-09-25 08:00:00,447.75,,,20251000,20251100,20251100
2025-09-25 09:00:00,447.8,,,20251000,20251100,20251100
2025-09-25 09:35:00,447.35,,,20251000,20251100,20251100
2025-09-25 10:00:00,447.3,,,20251000,20251100,20251100
2025-09-25 11:00:00,446.1,,,20251000,20251100,20251100
2025-09-25 12:00:00,444.9,,,20251000,20251100,20251100
2025-09-25 13:00:00,444.55,,,20251000,20251100,20251100
2025-09-25 14:00:00,446.7,,,20251000,20251100,20251100
2025-09-25 15:00:00,447.2,,,20251000,20251100,20251100
2025-09-25 16:00:00,446.7,,,20251000,20251100,20251100
2025-09-25 17:00:00,445.45,,,20251000,20251100,20251100
2025-09-25 18:00:00,446.15,,,20251000,20251100,20251100
2025-09-25 19:00:00,446.75,,,20251000,20251100,20251100
2025-09-25 20:00:00,446.8,,,20251000,20251100,20251100
2025-09-25 23:00:00,447.45,,,20251000,20251100,20251100
2025-09-26 00:30:00,448.25,,,20251000,20251100,20251100
2025-09-26 01:00:00,449.25,,,20251000,20251100,20251100
2025-09-26 02:00:00,448.75,,,20251000,20251100,20251100
2025-09-26 03:00:00,448.85,,,20251000,20251100,20251100
2025-09-26 04:00:00,448.2,,,20251000,20251100,20251100
2025-09-26 05:00:00,448.1,,,20251000,20251100,20251100
2025-09-26 06:00:00,448.0,,,20251000,20251100,20251100
2025-09-26 07:00:00,447.95,,,20251000,20251100,20251100
2025-09-26 08:00:00,447.5,,,20251000,20251100,20251100
2025-09-26 09:00:00,447.85,,,20251000,20251100,20251100
2025-09-26 09:35:00,447.4,,,20251000,20251100,20251100
2025-09-26 10:00:00,447.05,,,20251000,20251100,20251100
2025-09-26 11:00:00,447.55,,,20251000,20251100,20251100
2025-09-26 12:00:00,448.3,,,20251000,20251100,20251100
2025-09-26 13:00:00,447.85,,,20251000,20251100,20251100
2025-09-26 14:00:00,446.05,,,20251000,20251100,20251100
2025-09-26 15:00:00,445.95,,,20251000,20251100,20251100
2025-09-26 16:00:00,447.4,,,20251000,20251100,20251100
2025-09-26 17:00:00,447.45,,,20251000,20251100,20251100
2025-09-26 18:00:00,448.05,,,20251000,20251100,20251100
2025-09-26 19:00:00,448.0,,,20251000,20251100,20251100
2025-09-26 20:00:00,448.35,,,20251000,20251100,20251100
2025-09-26 21:00:00,448.35,,,20251000,20251100,20251100
2025-09-26 23:00:00,447.85,,,20251000,20251100,20251100
2025-09-27 23:00:00,448.35,,,20251000,20251100,20251100
2025-09-29 00:30:00,448.6,,,20251000,20251100,20251100
2025-09-29 01:00:00,447.6,,,20251000,20251100,20251100
