DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-02-15 00:00:00,,20240900,949.0,20240600,,20240900
2024-02-15 01:00:00,,20240900,939.0,20240600,,20240900
2024-02-15 05:00:00,,20240900,945.5,20240600,,20240900
2024-02-15 06:00:00,967.8,20240900,945.0,20240600,967.8,20240900
2024-02-15 07:00:00,,20240900,945.0,20240600,,20240900
2024-02-15 08:00:00,,20240900,959.5,20240600,,20240900
2024-02-15 09:00:00,,20240900,968.0,20240600,,20240900
2024-02-15 10:00:00,,20240900,970.0,20240600,,20240900
2024-02-15 11:00:00,,20240900,974.0,20240600,,20240900
2024-02-15 12:00:00,,20240900,972.5,20240600,,20240900
2024-02-15 13:00:00,,20240900,964.5,20240600,,20240900
2024-02-15 14:00:00,,20240900,973.5,20240600,,20240900
2024-02-15 15:00:00,,20240900,969.0,20240600,,20240900
2024-02-15 16:00:00,,20240900,958.0,20240600,,20240900
2024-02-15 17:00:00,969.5,20240900,959.0,20240600,969.5,20240900
2024-02-15 18:00:00,,20240900,965.0,20240600,,20240900
2024-02-15 19:00:00,973.0,20240900,967.0,20240600,973.0,20240900
2024-02-15 20:00:00,,20240900,963.5,20240600,,20240900
2024-02-15 23:00:00,,20240900,966.0,20240600,,20240900
2024-02-16 01:00:00,,20240900,964.0,20240600,,20240900
2024-02-16 04:00:00,,20240900,947.0,20240600,,20240900
2024-02-16 05:00:00,,20240900,951.0,20240600,,20240900
2024-02-16 06:00:00,969.3,20240900,961.2,20240600,969.3,20240900
2024-02-16 07:00:00,,20240900,957.0,20240600,,20240900
2024-02-16 08:00:00,,20240900,955.0,20240600,,20240900
2024-02-16 09:00:00,,20240900,951.5,20240600,,20240900
2024-02-16 10:00:00,,20240900,951.5,20240600,,20240900
2024-02-16 11:00:00,,20240900,956.0,20240600,,20240900
2024-02-16 12:00:00,,20240900,953.5,20240600,,20240900
2024-02-16 13:00:00,,20240900,951.0,20240600,,20240900
2024-02-16 14:00:00,,20240900,959.0,20240600,,20240900
2024-02-16 15:00:00,,20240900,971.0,20240600,,20240900
2024-02-16 16:00:00,,20240900,966.0,20240600,,20240900
2024-02-16 17:00:00,,20240900,963.5,20240600,,20240900
2024-02-16 18:00:00,,20240900,957.5,20240600,,20240900
2024-02-16 19:00:00,,20240900,959.5,20240600,,20240900
2024-02-16 20:00:00,,20240900,961.5,20240600,,20240900
2024-02-16 21:00:00,,20240900,960.0,20240600,,20240900
2024-02-18 23:00:00,,20240900,970.0,20240600,,20240900
2024-02-19 00:00:00,,20240900,972.0,20240600,,20240900
2024-02-19 01:00:00,,20240900,964.0,20240600,,20240900
2024-02-19 02:00:00,,20240900,966.0,20240600,,20240900
2024-02-19 05:00:00,,20240900,966.5,20240600,,20240900
2024-02-19 08:00:00,,20240900,963.5,20240600,,20240900
2024-02-19 09:00:00,,20240900,975.0,20240600,,20240900
2024-02-19 10:00:00,,20240900,964.0,20240600,,20240900
2024-02-19 11:00:00,,20240900,963.0,20240600,,20240900
2024-02-19 12:00:00,,20240900,962.0,20240600,,20240900
2024-02-19 13:00:00,,20240900,956.0,20240600,,20240900
2024-02-19 14:00:00,,20240900,949.5,20240600,,20240900
2024-02-19 15:00:00,,20240900,952.0,20240600,,20240900
2024-02-19 16:00:00,,20240900,955.0,20240600,,20240900
2024-02-19 17:00:00,968.0,20240900,959.0,20240600,968.0,20240900
2024-02-19 18:00:00,,20240900,959.0,20240600,,20240900
2024-02-20 01:00:00,968.0,20240900,958.0,20240600,968.0,20240900
2024-02-20 03:00:00,,20240900,954.5,20240600,,20240900
2024-02-20 05:00:00,,20240900,955.0,20240600,,20240900
2024-02-20 06:00:00,997.8,20240900,954.0,20240600,997.8,20240900
2024-02-20 07:00:00,,20240900,951.5,20240600,,20240900
2024-02-20 08:00:00,,20240900,950.5,20240600,,20240900
2024-02-20 09:00:00,,20240900,969.0,20240600,,20240900
2024-02-20 10:00:00,,20240900,973.5,20240600,,20240900
2024-02-20 11:00:00,,20240900,972.0,20240600,,20240900
2024-02-20 12:00:00,,20240900,979.5,20240600,,20240900
2024-02-20 13:00:00,,20240900,986.0,20240600,,20240900
2024-02-20 14:00:00,,20240900,982.0,20240600,,20240900
2024-02-20 15:00:00,,20240900,979.5,20240600,,20240900
2024-02-20 16:00:00,,20240900,992.5,20240600,,20240900
2024-02-20 17:00:00,,20240900,987.5,20240600,,20240900
2024-02-20 18:00:00,,20240900,991.5,20240600,,20240900
2024-02-20 19:00:00,,20240900,989.0,20240600,,20240900
2024-02-20 20:00:00,,20240900,988.5,20240600,,20240900
2024-02-20 21:00:00,,20240900,986.0,20240600,,20240900
2024-02-21 00:00:00,,20240900,987.5,20240600,,20240900
2024-02-21 01:00:00,,20240900,988.5,20240600,,20240900
2024-02-21 02:00:00,,20240900,992.5,20240600,,20240900
2024-02-21 03:00:00,,20240900,993.0,20240600,,20240900
2024-02-21 04:00:00,,20240900,992.0,20240600,,20240900
2024-02-21 05:00:00,,20240900,996.5,20240600,,20240900
2024-02-21 06:00:00,963.2,20240900,997.0,20240600,963.2,20240900
2024-02-21 07:00:00,,20240900,998.0,20240600,,20240900
2024-02-21 08:00:00,,20240900,985.5,20240600,,20240900
2024-02-21 09:00:00,,20240900,978.5,20240600,,20240900
2024-02-21 10:00:00,,20240900,980.5,20240600,,20240900
2024-02-21 11:00:00,,20240900,976.5,20240600,,20240900
2024-02-21 12:00:00,987.5,20240900,977.5,20240600,987.5,20240900
2024-02-21 13:00:00,,20240900,978.5,20240600,,20240900
2024-02-21 14:00:00,,20240900,958.0,20240600,,20240900
2024-02-21 15:00:00,,20240900,959.5,20240600,,20240900
2024-02-21 16:00:00,,20240900,939.0,20240600,,20240900
2024-02-21 17:00:00,,20240900,955.5,20240600,,20240900
2024-02-21 18:00:00,,20240900,959.0,20240600,,20240900
2024-02-21 19:00:00,,20240900,961.5,20240600,,20240900
2024-02-21 20:00:00,,20240900,960.5,20240600,,20240900
2024-02-21 21:00:00,,20240900,960.0,20240600,,20240900
2024-02-21 23:00:00,,20240900,960.5,20240600,,20240900
2024-02-22 00:00:00,,20240900,963.0,20240600,,20240900
2024-02-22 01:00:00,,20240900,963.0,20240600,,20240900
2024-02-22 04:00:00,,20240900,965.0,20240600,,20240900
2024-02-22 05:00:00,,20240900,967.0,20240600,,20240900
2024-02-22 06:00:00,986.8,20240900,967.0,20240600,986.8,20240900
2024-02-22 07:00:00,,20240900,971.0,20240600,,20240900
2024-02-22 08:00:00,,20240900,975.0,20240600,,20240900
2024-02-22 09:00:00,,20240900,974.5,20240600,,20240900
2024-02-22 10:00:00,,20240900,968.5,20240600,,20240900
2024-02-22 11:00:00,,20240900,974.5,20240600,,20240900
2024-02-22 12:00:00,,20240900,962.5,20240600,,20240900
2024-02-22 13:00:00,,20240900,960.5,20240600,,20240900
2024-02-22 14:00:00,,20240900,965.5,20240600,,20240900
2024-02-22 15:00:00,,20240900,973.5,20240600,,20240900
2024-02-22 16:00:00,,20240900,981.0,20240600,,20240900
2024-02-22 17:00:00,987.5,20240900,978.5,20240600,987.5,20240900
2024-02-22 18:00:00,,20240900,979.5,20240600,,20240900
2024-02-22 19:00:00,,20240900,977.5,20240600,,20240900
2024-02-22 20:00:00,,20240900,976.5,20240600,,20240900
2024-02-22 21:00:00,,20240900,976.0,20240600,,20240900
2024-02-22 23:00:00,,20240900,980.0,20240600,,20240900
2024-02-23 00:00:00,,20240900,976.5,20240600,,20240900
2024-02-23 01:00:00,,20240900,982.0,20240600,,20240900
2024-02-23 02:00:00,,20240900,980.0,20240600,,20240900
2024-02-23 04:00:00,,20240900,980.0,20240600,,20240900
2024-02-23 05:00:00,,20240900,979.0,20240600,,20240900
2024-02-23 06:00:00,1002.8,20240900,977.0,20240600,1002.8,20240900
2024-02-23 07:00:00,,20240900,975.5,20240600,,20240900
2024-02-23 08:00:00,,20240900,966.5,20240600,,20240900
2024-02-23 09:00:00,,20240900,966.5,20240600,,20240900
2024-02-23 10:00:00,,20240900,970.0,20240600,,20240900
2024-02-23 11:00:00,,20240900,970.5,20240600,,20240900
2024-02-23 12:00:00,,20240900,973.5,20240600,,20240900
2024-02-23 13:00:00,,20240900,986.0,20240600,,20240900
2024-02-23 14:00:00,,20240900,992.5,20240600,,20240900
2024-02-23 15:00:00,,20240900,992.5,20240600,,20240900
2024-02-23 16:00:00,1011.0,20240900,999.5,20240600,1011.0,20240900
2024-02-23 17:00:00,1002.0,20240900,998.5,20240600,1002.0,20240900
2024-02-23 18:00:00,,20240900,996.0,20240600,,20240900
2024-02-23 19:00:00,1001.0,20240900,991.0,20240600,1001.0,20240900
2024-02-23 20:00:00,,20240900,989.0,20240600,,20240900
2024-02-23 21:00:00,992.0,20240900,984.5,20240600,992.0,20240900
2024-02-25 23:00:00,,20240900,982.0,20240600,,20240900
2024-02-26 00:00:00,,20240900,982.0,20240600,,20240900
2024-02-26 01:00:00,,20240900,976.5,20240600,,20240900
2024-02-26 02:00:00,,20240900,973.5,20240600,,20240900
2024-02-26 03:00:00,,20240900,974.0,20240600,,20240900
2024-02-26 04:00:00,,20240900,976.5,20240600,,20240900
2024-02-26 05:00:00,,20240900,977.0,20240600,,20240900
2024-02-26 06:00:00,975.1,20240900,973.5,20240600,975.1,20240900
2024-02-26 07:00:00,,20240900,978.5,20240600,,20240900
2024-02-26 08:00:00,,20240900,977.0,20240600,,20240900
2024-02-26 09:00:00,,20240900,979.0,20240600,,20240900
2024-02-26 10:00:00,,20240900,970.0,20240600,,20240900
2024-02-26 11:00:00,,20240900,975.5,20240600,,20240900
2024-02-26 12:00:00,,20240900,973.5,20240600,,20240900
2024-02-26 13:00:00,984.5,20240900,971.5,20240600,984.5,20240900
2024-02-26 14:00:00,,20240900,967.5,20240600,,20240900
2024-02-26 15:00:00,,20240900,956.0,20240600,,20240900
2024-02-26 16:00:00,,20240900,965.5,20240600,,20240900
2024-02-26 17:00:00,975.5,20240900,965.5,20240600,975.5,20240900
2024-02-26 18:00:00,969.5,20240900,962.5,20240600,969.5,20240900
2024-02-26 19:00:00,,20240900,965.5,20240600,,20240900
2024-02-26 20:00:00,,20240900,966.0,20240600,,20240900
2024-02-26 21:00:00,969.0,20240900,965.5,20240600,969.0,20240900
2024-02-26 23:00:00,,20240900,963.0,20240600,,20240900
2024-02-27 00:00:00,,20240900,960.5,20240600,,20240900
2024-02-27 01:00:00,,20240900,961.5,20240600,,20240900
2024-02-27 02:00:00,,20240900,961.0,20240600,,20240900
2024-02-27 03:00:00,,20240900,963.5,20240600,,20240900
2024-02-27 04:00:00,,20240900,963.0,20240600,,20240900
2024-02-27 05:00:00,,20240900,960.0,20240600,,20240900
2024-02-27 06:00:00,960.1,20240900,961.0,20240600,960.1,20240900
2024-02-27 07:00:00,,20240900,965.0,20240600,,20240900
2024-02-27 08:00:00,978.5,20240900,970.0,20240600,978.5,20240900
2024-02-27 09:00:00,,20240900,974.5,20240600,,20240900
2024-02-27 10:00:00,,20240900,982.0,20240600,,20240900
2024-02-27 11:00:00,,20240900,976.0,20240600,,20240900
2024-02-27 12:00:00,,20240900,975.0,20240600,,20240900
2024-02-27 13:00:00,,20240900,969.5,20240600,,20240900
2024-02-27 14:00:00,978.5,20240900,972.5,20240600,978.5,20240900
2024-02-27 15:00:00,,20240900,969.0,20240600,,20240900
2024-02-27 16:00:00,964.5,20240900,955.5,20240600,964.5,20240900
2024-02-27 17:00:00,961.0,20240900,953.0,20240600,961.0,20240900
2024-02-27 18:00:00,962.0,20240900,953.5,20240600,962.0,20240900
2024-02-27 19:00:00,,20240900,953.0,20240600,,20240900
2024-02-27 20:00:00,,20240900,951.5,20240600,,20240900
2024-02-27 21:00:00,,20240900,945.0,20240600,,20240900
2024-02-27 23:00:00,,20240900,944.5,20240600,,20240900
2024-02-28 00:00:00,,20240900,946.5,20240600,,20240900
2024-02-28 01:00:00,,20240900,946.0,20240600,,20240900
2024-02-28 02:00:00,,20240900,945.0,20240600,,20240900
2024-02-28 03:00:00,,20240900,942.0,20240600,,20240900
2024-02-28 04:00:00,,20240900,940.0,20240600,,20240900
2024-02-28 05:00:00,945.5,20240900,940.0,20240600,945.5,20240900
2024-02-28 06:00:00,940.5,20240900,936.0,20240600,940.5,20240900
2024-02-28 07:00:00,,20240900,931.5,20240600,,20240900
2024-02-28 08:00:00,,20240900,926.0,20240600,,20240900
2024-02-28 09:00:00,930.0,20240900,921.0,20240600,930.0,20240900
2024-02-28 10:00:00,,20240900,922.5,20240600,,20240900
2024-02-28 11:00:00,,20240900,925.5,20240600,,20240900
2024-02-28 12:00:00,,20240900,927.0,20240600,,20240900
2024-02-28 13:00:00,,20240900,924.5,20240600,,20240900
2024-02-28 14:00:00,943.5,20240900,936.5,20240600,943.5,20240900
2024-02-28 15:00:00,,20240900,930.0,20240600,,20240900
2024-02-28 16:00:00,,20240900,924.0,20240600,,20240900
2024-02-28 17:00:00,,20240900,934.0,20240600,,20240900
2024-02-28 18:00:00,,20240900,931.0,20240600,,20240900
2024-02-28 19:00:00,,20240900,932.0,20240600,,20240900
2024-02-28 20:00:00,,20240900,932.5,20240600,,20240900
2024-02-28 21:00:00,,20240900,934.0,20240600,,20240900
2024-02-28 23:00:00,,20240900,932.5,20240600,,20240900
2024-02-29 00:00:00,,20240900,929.5,20240600,,20240900
2024-02-29 01:00:00,,20240900,933.5,20240600,,20240900
2024-02-29 02:00:00,,20240900,937.5,20240600,,20240900
2024-02-29 03:00:00,,20240900,945.0,20240600,,20240900
2024-02-29 04:00:00,,20240900,944.5,20240600,,20240900
2024-02-29 05:00:00,,20240900,946.5,20240600,,20240900
2024-02-29 06:00:00,953.9,20240900,946.8,20240600,953.9,20240900
2024-02-29 07:00:00,,20240900,943.5,20240600,,20240900
2024-02-29 08:00:00,949.0,20240900,949.5,20240600,949.0,20240900
2024-02-29 09:00:00,,20240900,944.5,20240600,,20240900
2024-02-29 10:00:00,,20240900,937.0,20240600,,20240900
2024-02-29 11:00:00,,20240900,944.5,20240600,,20240900
2024-02-29 12:00:00,,20240900,937.5,20240600,,20240900
2024-02-29 13:00:00,961.0,20240900,951.0,20240600,961.0,20240900
2024-02-29 14:00:00,,20240900,951.5,20240600,,20240900
2024-02-29 15:00:00,,20240900,946.0,20240600,,20240900
2024-02-29 16:00:00,,20240900,944.5,20240600,,20240900
2024-02-29 17:00:00,,20240900,945.5,20240600,,20240900
2024-02-29 18:00:00,,20240900,947.5,20240600,,20240900
2024-02-29 19:00:00,,20240900,947.0,20240600,,20240900
2024-02-29 20:00:00,,20240900,948.5,20240600,,20240900
2024-02-29 21:00:00,,20240900,951.0,20240600,,20240900
2024-02-29 23:00:00,,20240900,951.0,20240600,,20240900
2024-03-01 00:00:00,,20240900,951.0,20240600,,20240900
2024-03-01 01:00:00,,20240900,951.5,20240600,,20240900
2024-03-01 02:00:00,,20240900,955.5,20240600,,20240900
2024-03-01 03:00:00,,20240900,957.0,20240600,,20240900
2024-03-01 04:00:00,,20240900,953.5,20240600,,20240900
2024-03-01 05:00:00,,20240900,952.5,20240600,,20240900
2024-03-01 06:00:00,970.7,20240900,962.5,20240600,970.7,20240900
2024-03-01 07:00:00,,20240900,948.5,20240600,,20240900
2024-03-01 08:00:00,,20240900,941.5,20240600,,20240900
2024-03-01 09:00:00,,20240900,948.5,20240600,,20240900
2024-03-01 10:00:00,,20240900,952.0,20240600,,20240900
2024-03-01 11:00:00,,20240900,956.0,20240600,,20240900
2024-03-01 12:00:00,,20240900,956.5,20240600,,20240900
2024-03-01 13:00:00,957.0,20240900,942.5,20240600,957.0,20240900
