DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2025-06-10 23:00:00,1919.4,20251200,1900.6,20250900,1919.4,20251200
2025-06-11 23:00:00,1917.5,20251200,1898.8,20250900,1917.5,20251200
2025-06-12 19:00:00,,20251200,1893.2,20250900,,20251200
2025-06-12 20:00:00,,20251200,1893.2,20250900,,20251200
2025-06-12 23:00:00,1920.8,20251200,1896.0,20250900,1920.8,20251200
2025-06-13 14:00:00,,20251200,1880.2,20250900,,20251200
2025-06-13 15:00:00,,20251200,1880.2,20250900,,20251200
2025-06-13 16:00:00,,20251200,1889.8,20250900,,20251200
2025-06-13 17:00:00,,20251200,1889.8,20250900,,20251200
2025-06-13 18:00:00,,20251200,1889.8,20250900,,20251200
2025-06-13 19:00:00,,20251200,1889.8,20250900,,20251200
2025-06-13 20:00:00,,20251200,1889.8,20250900,,20251200
2025-06-13 23:00:00,1900.5,20251200,1876.0,20250900,1900.5,20251200
2025-06-16 14:00:00,,20251200,1897.7,20250900,,20251200
2025-06-16 15:00:00,,20251200,1892.1,20250900,,20251200
2025-06-16 16:00:00,,20251200,1891.6,20250900,,20251200
2025-06-16 17:00:00,,20251200,1891.6,20250900,,20251200
2025-06-16 18:00:00,,20251200,1891.6,20250900,,20251200
2025-06-16 19:00:00,,20251200,1888.2,20250900,,20251200
2025-06-16 20:00:00,,20251200,1888.2,20250900,,20251200
2025-06-16 23:00:00,1912.6,20251200,1891.6,20250900,1912.6,20251200
2025-06-17 13:30:00,,20251200,1886.8,20250900,,20251200
2025-06-17 14:00:00,,20251200,1884.5,20250900,,20251200
2025-06-17 15:00:00,,20251200,1881.2,20250900,,20251200
2025-06-17 16:00:00,,20251200,1881.2,20250900,,20251200
2025-06-17 17:00:00,,20251200,1881.2,20250900,,20251200
2025-06-17 18:00:00,,20251200,1881.2,20250900,,20251200
2025-06-17 19:00:00,,20251200,1874.3,20250900,,20251200
2025-06-17 20:00:00,,20251200,1874.3,20250900,,20251200
2025-06-17 23:00:00,1897.4,20251200,1873.9,20250900,1897.4,20251200
2025-06-18 13:30:00,,20251200,1880.7,20250900,,20251200
2025-06-18 14:00:00,,20251200,1884.1,20250900,,20251200
2025-06-18 15:00:00,,20251200,1883.2,20250900,,20251200
2025-06-18 16:00:00,,20251200,1883.7,20250900,,20251200
2025-06-18 17:00:00,,20251200,1883.1,20250900,,20251200
2025-06-18 18:00:00,,20251200,1877.6,20250900,,20251200
2025-06-18 19:00:00,,20251200,1875.5,20250900,,20251200
2025-06-18 20:00:00,,20251200,1875.5,20250900,,20251200
2025-06-18 23:00:00,1900.3,20251200,1876.1,20250900,1900.3,20251200
2025-06-20 14:00:00,,20251200,1883.1,20250900,,20251200
2025-06-20 15:00:00,,20251200,1884.3,20250900,,20251200
2025-06-20 16:00:00,,20251200,1878.8,20250900,,20251200
2025-06-20 17:00:00,,20251200,1880.2,20250900,,20251200
2025-06-20 18:00:00,,20251200,1880.2,20250900,,20251200
2025-06-20 19:00:00,,20251200,1878.8,20250900,,20251200
2025-06-20 20:00:00,,20251200,1878.8,20250900,,20251200
2025-06-20 23:00:00,1903.6,20251200,1878.8,20250900,1903.6,20251200
2025-06-23 14:00:00,,20251200,1883.2,20250900,,20251200
2025-06-23 15:00:00,,20251200,1882.4,20250900,,20251200
2025-06-23 16:00:00,,20251200,1875.1,20250900,,20251200
2025-06-23 17:00:00,,20251200,1882.7,20250900,,20251200
2025-06-23 18:00:00,,20251200,1882.7,20250900,,20251200
2025-06-23 19:00:00,,20251200,1893.4,20250900,,20251200
2025-06-23 20:00:00,,20251200,1893.4,20250900,,20251200
2025-06-23 23:00:00,1918.7,20251200,1893.5,20250900,1918.7,20251200
2025-06-24 13:30:00,,20251200,1901.8,20250900,,20251200
2025-06-24 14:00:00,,20251200,1906.2,20250900,,20251200
2025-06-24 15:00:00,,20251200,1906.1,20250900,,20251200
2025-06-24 16:00:00,,20251200,1906.7,20250900,,20251200
2025-06-24 17:00:00,,20251200,1907.7,20250900,,20251200
2025-06-24 18:00:00,,20251200,1907.7,20250900,,20251200
2025-06-24 19:00:00,,20251200,1909.9,20250900,,20251200
2025-06-24 20:00:00,,20251200,1909.9,20250900,,20251200
2025-06-24 23:00:00,1934.3,20251200,1909.1,20250900,1934.3,20251200
2025-06-25 13:30:00,,20251200,1901.5,20250900,,20251200
2025-06-25 14:00:00,,20251200,1900.2,20250900,,20251200
2025-06-25 15:00:00,,20251200,1899.5,20250900,,20251200
2025-06-25 16:00:00,,20251200,1900.9,20250900,,20251200
2025-06-25 17:00:00,,20251200,1900.9,20250900,,20251200
2025-06-25 18:00:00,,20251200,1900.9,20250900,,20251200
2025-06-25 19:00:00,,20251200,1897.3,20250900,,20251200
2025-06-25 20:00:00,,20251200,1897.3,20250900,,20251200
2025-06-25 23:00:00,1923.1,20251200,1897.3,20250900,1923.1,20251200
2025-06-26 13:30:00,,20251200,1904.3,20250900,,20251200
2025-06-26 14:00:00,,20251200,1904.3,20250900,,20251200
2025-06-26 15:00:00,,20251200,1907.9,20250900,,20251200
2025-06-26 16:00:00,,20251200,1910.2,20250900,,20251200
2025-06-26 17:00:00,,20251200,1909.2,20250900,,20251200
2025-06-26 18:00:00,,20251200,1909.2,20250900,,20251200
2025-06-26 19:00:00,,20251200,1911.6,20250900,,20251200
2025-06-26 20:00:00,,20251200,1911.6,20250900,,20251200
2025-06-26 23:00:00,1936.6,20251200,1911.4,20250900,1936.6,20251200
2025-06-27 13:30:00,,20251200,1911.0,20250900,,20251200
2025-06-27 14:00:00,,20251200,1921.0,20250900,,20251200
2025-06-27 15:00:00,,20251200,1921.6,20250900,,20251200
2025-06-27 16:00:00,,20251200,1925.5,20250900,,20251200
2025-06-27 17:00:00,,20251200,1918.6,20250900,,20251200
2025-06-27 18:00:00,,20251200,1912.1,20250900,,20251200
2025-06-27 19:00:00,,20251200,1915.5,20250900,,20251200
2025-06-27 20:00:00,,20251200,1915.5,20250900,,20251200
2025-06-27 23:00:00,1942.9,20251200,1915.9,20250900,1942.9,20251200
2025-06-30 14:00:00,,20251200,1919.2,20250900,,20251200
2025-06-30 15:00:00,,20251200,1920.0,20250900,,20251200
2025-06-30 16:00:00,,20251200,1920.8,20250900,,20251200
2025-06-30 17:00:00,,20251200,1917.6,20250900,,20251200
2025-06-30 18:00:00,,20251200,1921.2,20250900,,20251200
2025-06-30 19:00:00,,20251200,1924.7,20250900,,20251200
2025-06-30 20:00:00,,20251200,1924.7,20250900,,20251200
2025-06-30 23:00:00,1949.3,20251200,1924.9,20250900,1949.3,20251200
2025-07-01 14:00:00,,20251200,1932.9,20250900,,20251200
2025-07-01 15:00:00,,20251200,1941.4,20250900,,20251200
2025-07-01 16:00:00,,20251200,1938.3,20250900,,20251200
2025-07-01 17:00:00,,20251200,1942.8,20250900,,20251200
2025-07-01 18:00:00,,20251200,1942.9,20250900,,20251200
2025-07-01 19:00:00,,20251200,1942.2,20250900,,20251200
2025-07-01 20:00:00,,20251200,1942.2,20250900,,20251200
2025-07-01 23:00:00,1966.0,20251200,1942.9,20250900,1966.0,20251200
2025-07-02 13:30:00,,20251200,1937.4,20250900,,20251200
2025-07-02 14:00:00,,20251200,1938.3,20250900,,20251200
2025-07-02 15:00:00,,20251200,1938.3,20250900,,20251200
2025-07-02 16:00:00,,20251200,1941.1,20250900,,20251200
2025-07-02 17:00:00,,20251200,1941.1,20250900,,20251200
2025-07-02 18:00:00,,20251200,1944.8,20250900,,20251200
2025-07-02 19:00:00,,20251200,1944.6,20250900,,20251200
2025-07-02 20:00:00,,20251200,1944.6,20250900,,20251200
2025-07-02 23:00:00,1969.1,20251200,1945.4,20250900,1969.1,20251200
2025-07-03 13:30:00,,20251200,1954.6,20250900,,20251200
2025-07-03 14:00:00,,20251200,1955.8,20250900,,20251200
2025-07-03 15:00:00,,20251200,1955.8,20250900,,20251200
2025-07-03 16:00:00,,20251200,1955.0,20250900,,20251200
2025-07-03 17:00:00,,20251200,1955.0,20250900,,20251200
2025-07-03 23:00:00,1979.2,20251200,1954.5,20250900,1979.2,20251200
