DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-03-14 13:00:00,,,17.86,20240700,20240900,20240500
2024-03-14 14:00:00,18.07,14.55,17.87,20240700,20240900,20240500
2024-03-14 15:00:00,18.08,14.55,17.855,20240700,20240900,20240500
2024-03-14 16:00:00,18.08,14.55,17.87,20240700,20240900,20240500
2024-03-14 17:00:00,,,17.865,20240700,20240900,20240500
2024-03-14 18:00:00,,,17.855,20240700,20240900,20240500
2024-03-15 00:00:00,,,17.875,20240700,20240900,20240500
2024-03-15 01:00:00,,,17.88,20240700,20240900,20240500
2024-03-15 05:00:00,18.065,14.58,17.82,20240700,20240900,20240500
2024-03-15 13:00:00,18.08,,17.845,20240700,20240900,20240500
2024-03-15 14:00:00,18.07,,17.845,20240700,20240900,20240500
2024-03-15 15:00:00,,,17.85,20240700,20240900,20240500
2024-03-15 16:00:00,18.07,14.52,17.835,20240700,20240900,20240500
2024-03-15 17:00:00,18.06,,17.835,20240700,20240900,20240500
2024-03-15 18:00:00,18.055,14.555,17.825,20240700,20240900,20240500
2024-03-18 00:00:00,,14.59,17.845,20240700,20240900,20240500
2024-03-18 01:00:00,,14.6,17.83,20240700,20240900,20240500
2024-03-18 05:00:00,18.02,14.58,17.77,20240700,20240900,20240500
2024-03-18 13:00:00,18.055,,17.81,20240700,20240900,20240500
2024-03-18 14:00:00,18.055,,17.82,20240700,20240900,20240500
2024-03-18 15:00:00,18.045,,17.805,20240700,20240900,20240500
2024-03-18 16:00:00,18.045,,17.785,20240700,20240900,20240500
2024-03-18 17:00:00,18.025,14.59,17.785,20240700,20240900,20240500
2024-03-18 18:00:00,18.015,14.55,17.79,20240700,20240900,20240500
2024-03-19 00:00:00,18.04,14.6,17.795,20240700,20240900,20240500
2024-03-19 01:00:00,,,17.82,20240700,20240900,20240500
2024-03-19 05:00:00,17.97,14.62,17.73,20240700,20240900,20240500
2024-03-19 13:00:00,18.055,14.63,17.805,20240700,20240900,20240500
2024-03-19 14:00:00,18.005,14.63,17.765,20240700,20240900,20240500
2024-03-19 15:00:00,18.02,14.63,17.8,20240700,20240900,20240500
2024-03-19 16:00:00,18.015,,17.755,20240700,20240900,20240500
2024-03-19 17:00:00,17.965,,17.71,20240700,20240900,20240500
2024-03-19 18:00:00,17.975,,17.735,20240700,20240900,20240500
