DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-11 01:00:00,2175.7,,,20250900,20251200,20251200
2025-06-11 02:00:00,2175.8,,,20250900,20251200,20251200
2025-06-11 03:00:00,2174.8,,,20250900,20251200,20251200
2025-06-11 04:00:00,2177.3,,,20250900,20251200,20251200
2025-06-11 05:00:00,2175.0,,,20250900,20251200,20251200
2025-06-11 06:00:00,2175.1,,,20250900,20251200,20251200
2025-06-11 07:00:00,2175.2,,,20250900,20251200,20251200
2025-06-11 08:00:00,2180.5,,,20250900,20251200,20251200
2025-06-11 09:00:00,2176.5,,,20250900,20251200,20251200
2025-06-11 10:00:00,2179.4,,,20250900,20251200,20251200
2025-06-11 11:00:00,2175.0,,,20250900,20251200,20251200
2025-06-11 12:00:00,2191.6,2209.4,2209.4,20250900,20251200,20251200
2025-06-11 13:00:00,2182.0,2200.5,2200.5,20250900,20251200,20251200
2025-06-11 14:00:00,2187.9,,,20250900,20251200,20251200
2025-06-11 15:00:00,2182.1,,,20250900,20251200,20251200
2025-06-11 16:00:00,2180.2,,,20250900,20251200,20251200
2025-06-11 17:00:00,2181.5,,,20250900,20251200,20251200
2025-06-11 18:00:00,2170.0,,,20250900,20251200,20251200
2025-06-11 19:00:00,2167.1,,,20250900,20251200,20251200
2025-06-11 20:00:00,2168.6,,,20250900,20251200,20251200
2025-06-11 22:00:00,2162.2,,,20250900,20251200,20251200
2025-06-11 23:00:00,2168.6,2200.5,2200.5,20250900,20251200,20251200
2025-06-12 00:00:00,2154.4,,,20250900,20251200,20251200
2025-06-12 01:00:00,2151.1,2161.7,2161.7,20250900,20251200,20251200
2025-06-12 02:00:00,2149.3,,,20250900,20251200,20251200
2025-06-12 03:00:00,2152.3,,,20250900,20251200,20251200
2025-06-12 04:00:00,2153.3,,,20250900,20251200,20251200
2025-06-12 05:00:00,2152.8,,,20250900,20251200,20251200
2025-06-12 06:00:00,2156.4,,,20250900,20251200,20251200
2025-06-12 07:00:00,2146.5,2163.1,2163.1,20250900,20251200,20251200
2025-06-12 08:00:00,2152.6,2163.0,2163.0,20250900,20251200,20251200
2025-06-12 09:00:00,2149.6,,,20250900,20251200,20251200
2025-06-12 10:00:00,2149.8,,,20250900,20251200,20251200
2025-06-12 11:00:00,2143.2,,,20250900,20251200,20251200
2025-06-12 12:00:00,2152.1,,,20250900,20251200,20251200
2025-06-12 13:00:00,2150.5,,,20250900,20251200,20251200
2025-06-12 14:00:00,2159.2,2176.0,2176.0,20250900,20251200,20251200
2025-06-12 15:00:00,2155.4,,,20250900,20251200,20251200
2025-06-12 16:00:00,2157.1,,,20250900,20251200,20251200
2025-06-12 17:00:00,2159.9,,,20250900,20251200,20251200
2025-06-12 18:00:00,2158.2,,,20250900,20251200,20251200
2025-06-12 19:00:00,2158.8,,,20250900,20251200,20251200
2025-06-12 20:00:00,2155.2,,,20250900,20251200,20251200
2025-06-12 22:00:00,2152.6,,,20250900,20251200,20251200
2025-06-12 23:00:00,2155.2,2176.0,2176.0,20250900,20251200,20251200
2025-06-13 00:00:00,2111.3,,,20250900,20251200,20251200
2025-06-13 01:00:00,2109.5,,,20250900,20251200,20251200
2025-06-13 02:00:00,2097.1,2110.0,2110.0,20250900,20251200,20251200
2025-06-13 03:00:00,2105.8,,,20250900,20251200,20251200
2025-06-13 04:00:00,2102.9,2109.5,2109.5,20250900,20251200,20251200
2025-06-13 05:00:00,2108.7,,,20250900,20251200,20251200
2025-06-13 06:00:00,2113.1,2124.9,2124.9,20250900,20251200,20251200
2025-06-13 07:00:00,2119.2,,,20250900,20251200,20251200
2025-06-13 08:00:00,2121.5,,,20250900,20251200,20251200
2025-06-13 09:00:00,2122.1,,,20250900,20251200,20251200
2025-06-13 10:00:00,2122.8,,,20250900,20251200,20251200
2025-06-13 11:00:00,2129.7,,,20250900,20251200,20251200
2025-06-13 12:00:00,2126.8,2149.8,2149.8,20250900,20251200,20251200
2025-06-13 13:00:00,2120.8,,,20250900,20251200,20251200
2025-06-13 14:00:00,2132.6,,,20250900,20251200,20251200
2025-06-13 15:00:00,2139.3,,,20250900,20251200,20251200
2025-06-13 16:00:00,2140.1,,,20250900,20251200,20251200
2025-06-13 17:00:00,2133.0,,,20250900,20251200,20251200
2025-06-13 18:00:00,2123.7,,,20250900,20251200,20251200
2025-06-13 19:00:00,2118.5,2131.0,2131.0,20250900,20251200,20251200
2025-06-13 20:00:00,2118.1,,,20250900,20251200,20251200
2025-06-13 23:00:00,2118.1,2131.0,2131.0,20250900,20251200,20251200
2025-06-15 22:00:00,2117.3,2124.9,2124.9,20250900,20251200,20251200
2025-06-15 23:00:00,2121.6,,,20250900,20251200,20251200
2025-06-16 00:00:00,2124.1,,,20250900,20251200,20251200
2025-06-16 01:00:00,2125.7,,,20250900,20251200,20251200
2025-06-16 02:00:00,2127.1,,,20250900,20251200,20251200
2025-06-16 03:00:00,2124.5,,,20250900,20251200,20251200
2025-06-16 04:00:00,2125.1,,,20250900,20251200,20251200
2025-06-16 05:00:00,2127.6,,,20250900,20251200,20251200
2025-06-16 06:00:00,2133.5,,,20250900,20251200,20251200
2025-06-16 07:00:00,2137.6,,,20250900,20251200,20251200
2025-06-16 08:00:00,2139.0,,,20250900,20251200,20251200
2025-06-16 09:00:00,2136.1,,,20250900,20251200,20251200
2025-06-16 10:00:00,2141.8,,,20250900,20251200,20251200
2025-06-16 11:00:00,2142.6,,,20250900,20251200,20251200
2025-06-16 12:00:00,2141.2,,,20250900,20251200,20251200
2025-06-16 13:00:00,2141.4,,,20250900,20251200,20251200
2025-06-16 14:00:00,2151.6,2170.0,2170.0,20250900,20251200,20251200
2025-06-16 15:00:00,2141.4,2159.7,2159.7,20250900,20251200,20251200
2025-06-16 16:00:00,2145.3,2165.0,2165.0,20250900,20251200,20251200
2025-06-16 17:00:00,2141.9,,,20250900,20251200,20251200
2025-06-16 18:00:00,2139.8,,,20250900,20251200,20251200
2025-06-16 19:00:00,2142.5,,,20250900,20251200,20251200
2025-06-16 20:00:00,2143.4,,,20250900,20251200,20251200
2025-06-16 22:00:00,2134.8,,,20250900,20251200,20251200
2025-06-16 23:00:00,2125.7,2165.0,2165.0,20250900,20251200,20251200
2025-06-17 00:00:00,2131.7,,,20250900,20251200,20251200
2025-06-17 01:00:00,2129.9,,,20250900,20251200,20251200
2025-06-17 02:00:00,2133.3,,,20250900,20251200,20251200
2025-06-17 03:00:00,2130.6,,,20250900,20251200,20251200
2025-06-17 04:00:00,2128.6,,,20250900,20251200,20251200
2025-06-17 05:00:00,2128.7,,,20250900,20251200,20251200
2025-06-17 06:00:00,2124.4,,,20250900,20251200,20251200
2025-06-17 07:00:00,2118.5,,,20250900,20251200,20251200
2025-06-17 08:00:00,2124.0,,,20250900,20251200,20251200
2025-06-17 09:00:00,2123.6,,,20250900,20251200,20251200
2025-06-17 10:00:00,2126.6,,,20250900,20251200,20251200
2025-06-17 11:00:00,2129.5,,,20250900,20251200,20251200
2025-06-17 12:00:00,2125.2,,,20250900,20251200,20251200
2025-06-17 13:00:00,2136.3,2139.0,2139.0,20250900,20251200,20251200
2025-06-17 14:00:00,2134.5,2157.1,2157.1,20250900,20251200,20251200
2025-06-17 15:00:00,2132.2,,,20250900,20251200,20251200
2025-06-17 16:00:00,2129.5,,,20250900,20251200,20251200
2025-06-17 17:00:00,2125.7,,,20250900,20251200,20251200
2025-06-17 18:00:00,2124.2,2140.0,2140.0,20250900,20251200,20251200
2025-06-17 19:00:00,2119.4,2137.9,2137.9,20250900,20251200,20251200
2025-06-17 20:00:00,2119.1,,,20250900,20251200,20251200
2025-06-17 22:00:00,2111.4,,,20250900,20251200,20251200
2025-06-17 23:00:00,2108.4,2137.9,2137.9,20250900,20251200,20251200
2025-06-18 00:00:00,2116.2,2130.0,2130.0,20250900,20251200,20251200
2025-06-18 01:00:00,2115.5,,,20250900,20251200,20251200
2025-06-18 02:00:00,2116.9,,,20250900,20251200,20251200
2025-06-18 03:00:00,2115.4,2135.7,2135.7,20250900,20251200,20251200
2025-06-18 04:00:00,2117.3,,,20250900,20251200,20251200
2025-06-18 05:00:00,2119.0,,,20250900,20251200,20251200
2025-06-18 06:00:00,2121.8,,,20250900,20251200,20251200
2025-06-18 07:00:00,2120.8,,,20250900,20251200,20251200
2025-06-18 08:00:00,2123.4,,,20250900,20251200,20251200
2025-06-18 09:00:00,2124.0,,,20250900,20251200,20251200
