DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-03-28 23:00:00,98.745,20240600,98.915,20240900,99.035,20241200
2024-04-02 05:00:00,98.9,20240900,99.015,20241200,99.05,20250300
2024-04-02 06:00:00,98.9,20240900,99.02,20241200,99.06,20250300
2024-04-02 07:00:00,98.895,20240900,99.01,20241200,99.05,20250300
2024-04-02 08:00:00,98.895,20240900,99.01,20241200,99.055,20250300
2024-04-02 09:00:00,98.9,20240900,99.015,20241200,99.05,20250300
2024-04-02 10:00:00,98.9,20240900,99.02,20241200,99.055,20250300
2024-04-02 11:00:00,98.9,20240900,99.02,20241200,99.055,20250300
2024-04-02 12:00:00,98.9,20240900,99.02,20241200,99.055,20250300
2024-04-02 13:00:00,98.895,20240900,99.01,20241200,99.05,20250300
2024-04-02 14:00:00,98.89,20240900,99.01,20241200,99.045,20250300
2024-04-02 15:00:00,98.9,20240900,99.01,20241200,99.05,20250300
2024-04-02 16:00:00,98.895,20240900,99.01,20241200,99.05,20250300
2024-04-03 05:00:00,98.875,20240900,98.98,20241200,99.015,20250300
2024-04-03 06:00:00,98.895,20240900,99.01,20241200,99.045,20250300
2024-04-03 07:00:00,98.895,20240900,99.005,20241200,99.035,20250300
2024-04-03 08:00:00,98.89,20240900,99.0,20241200,99.035,20250300
2024-04-03 09:00:00,98.89,20240900,99.0,20241200,99.035,20250300
2024-04-03 10:00:00,98.885,20240900,99.0,20241200,99.035,20250300
2024-04-03 11:00:00,98.88,20240900,98.99,20241200,99.03,20250300
2024-04-03 12:00:00,98.875,20240900,98.985,20241200,99.02,20250300
2024-04-03 13:00:00,98.865,20240900,98.975,20241200,99.005,20250300
2024-04-03 14:00:00,98.875,20240900,98.975,20241200,99.015,20250300
2024-04-03 15:00:00,98.88,20240900,98.98,20241200,99.02,20250300
2024-04-03 16:00:00,98.88,20240900,98.985,20241200,99.02,20250300
2024-04-04 05:00:00,98.935,20240900,99.045,20241200,99.08,20250300
2024-04-04 06:00:00,98.935,20240900,99.05,20241200,99.085,20250300
2024-04-04 07:00:00,98.935,20240900,99.045,20241200,99.075,20250300
2024-04-04 08:00:00,98.935,20240900,99.04,20241200,99.07,20250300
2024-04-04 09:00:00,98.935,20240900,99.04,20241200,99.075,20250300
2024-04-04 10:00:00,98.935,20240900,99.045,20241200,99.075,20250300
2024-04-04 11:00:00,98.935,20240900,99.045,20241200,99.075,20250300
2024-04-04 12:00:00,98.935,20240900,99.045,20241200,99.08,20250300
2024-04-04 13:00:00,98.935,20240900,99.045,20241200,99.08,20250300
2024-04-04 14:00:00,98.94,20240900,99.045,20241200,99.08,20250300
2024-04-04 15:00:00,98.94,20240900,99.045,20241200,99.08,20250300
2024-04-04 16:00:00,98.935,20240900,99.04,20241200,99.07,20250300
2024-04-05 05:00:00,98.94,20240900,99.05,20241200,99.085,20250300
2024-04-05 06:00:00,98.935,20240900,99.045,20241200,99.08,20250300
2024-04-05 07:00:00,98.94,20240900,99.045,20241200,99.075,20250300
2024-04-05 08:00:00,98.935,20240900,99.045,20241200,99.075,20250300
2024-04-05 09:00:00,98.935,20240900,99.05,20241200,99.08,20250300
2024-04-05 10:00:00,98.935,20240900,99.05,20241200,99.09,20250300
2024-04-05 11:00:00,98.94,20240900,99.055,20241200,99.09,20250300
2024-04-05 12:00:00,98.935,20240900,99.04,20241200,99.085,20250300
2024-04-05 13:00:00,98.94,20240900,99.05,20241200,99.09,20250300
2024-04-05 14:00:00,98.935,20240900,99.05,20241200,99.085,20250300
2024-04-05 15:00:00,98.94,20240900,99.05,20241200,99.085,20250300
2024-04-05 16:00:00,98.94,20240900,99.045,20241200,99.085,20250300
2024-04-08 05:00:00,98.93,20240900,99.035,20241200,99.07,20250300
2024-04-08 06:00:00,98.935,20240900,99.04,20241200,99.075,20250300
2024-04-08 07:00:00,98.935,20240900,99.04,20241200,99.08,20250300
2024-04-08 08:00:00,98.935,20240900,99.04,20241200,99.08,20250300
2024-04-08 09:00:00,98.935,20240900,99.045,20241200,99.08,20250300
2024-04-08 10:00:00,98.935,20240900,99.045,20241200,99.085,20250300
2024-04-08 11:00:00,98.935,20240900,99.04,20241200,99.08,20250300
2024-04-08 12:00:00,98.92,20240900,99.03,20241200,99.07,20250300
2024-04-08 13:00:00,98.935,20240900,99.04,20241200,99.08,20250300
2024-04-08 14:00:00,98.935,20240900,99.035,20241200,99.08,20250300
2024-04-08 15:00:00,98.93,20240900,99.04,20241200,99.075,20250300
2024-04-08 16:00:00,98.93,20240900,99.035,20241200,99.07,20250300
2024-04-09 05:00:00,98.945,20240900,99.05,20241200,99.085,20250300
2024-04-09 06:00:00,98.93,20240900,99.035,20241200,99.07,20250300
2024-04-09 07:00:00,98.93,20240900,99.035,20241200,99.07,20250300
2024-04-09 08:00:00,98.93,20240900,99.03,20241200,99.065,20250300
2024-04-09 09:00:00,98.93,20240900,99.035,20241200,99.07,20250300
2024-04-09 10:00:00,98.94,20240900,99.045,20241200,99.08,20250300
2024-04-09 11:00:00,98.94,20240900,99.045,20241200,99.085,20250300
2024-04-09 12:00:00,98.94,20240900,99.05,20241200,99.085,20250300
2024-04-09 13:00:00,98.94,20240900,99.05,20241200,99.085,20250300
2024-04-09 14:00:00,98.945,20240900,99.05,20241200,99.09,20250300
2024-04-09 15:00:00,98.945,20240900,99.05,20241200,99.09,20250300
2024-04-09 16:00:00,98.945,20240900,99.055,20241200,99.09,20250300
2024-04-10 05:00:00,98.915,20240900,99.015,20241200,99.05,20250300
2024-04-10 06:00:00,98.945,20240900,,20241200,,20250300
2024-04-10 07:00:00,98.945,20240900,99.055,20241200,99.095,20250300
2024-04-10 08:00:00,98.95,20240900,99.06,20241200,99.095,20250300
2024-04-10 09:00:00,98.945,20240900,99.05,20241200,99.085,20250300
2024-04-10 10:00:00,98.945,20240900,99.05,20241200,99.09,20250300
2024-04-10 11:00:00,98.945,20240900,99.055,20241200,99.09,20250300
2024-04-10 12:00:00,98.92,20240900,99.025,20241200,99.06,20250300
