DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-09-07 23:25:00,1.282,,,20251000,20251100,20251100
2025-09-08 03:00:00,1.2817,,,20251000,20251100,20251100
2025-09-08 09:00:00,1.2798,,,20251000,20251100,20251100
2025-09-08 10:00:00,1.2798,,,20251000,20251100,20251100
2025-09-08 13:00:00,1.2795,,,20251000,20251100,20251100
2025-09-08 23:00:00,1.28055,1.2772,1.2772,20251000,20251100,20251100
2025-09-09 01:00:00,1.279,,,20251000,20251100,20251100
2025-09-09 04:00:00,1.279,,,20251000,20251100,20251100
2025-09-09 05:00:00,1.279,,,20251000,20251100,20251100
2025-09-09 07:00:00,1.279,,,20251000,20251100,20251100
2025-09-09 09:00:00,1.27625,,,20251000,20251100,20251100
2025-09-09 10:00:00,1.27625,,,20251000,20251100,20251100
2025-09-09 18:00:00,1.2795,,,20251000,20251100,20251100
2025-09-09 23:00:00,1.27625,,,20251000,20251100,20251100
2025-09-10 05:00:00,1.2795,,,20251000,20251100,20251100
2025-09-10 13:00:00,1.278,,,20251000,20251100,20251100
2025-09-10 15:00:00,1.278,,,20251000,20251100,20251100
2025-09-10 23:00:00,1.2795,,,20251000,20251100,20251100
2025-09-11 04:00:00,1.2803,,,20251000,20251100,20251100
2025-09-11 05:00:00,1.2803,,,20251000,20251100,20251100
2025-09-11 09:00:00,1.2803,,,20251000,20251100,20251100
2025-09-11 23:00:00,1.2803,,,20251000,20251100,20251100
2025-09-12 01:00:00,1.2795,,,20251000,20251100,20251100
2025-09-12 02:00:00,1.2795,,,20251000,20251100,20251100
2025-09-12 03:00:00,1.27975,,,20251000,20251100,20251100
2025-09-12 04:00:00,1.27975,,,20251000,20251100,20251100
2025-09-12 05:00:00,1.2788,,,20251000,20251100,20251100
2025-09-12 06:00:00,1.27965,,,20251000,20251100,20251100
2025-09-12 07:00:00,1.2781,,,20251000,20251100,20251100
2025-09-12 08:00:00,1.2781,,,20251000,20251100,20251100
2025-09-12 09:00:00,1.28,,,20251000,20251100,20251100
2025-09-12 10:00:00,1.2799,,,20251000,20251100,20251100
2025-09-12 17:00:00,1.2797,,,20251000,20251100,20251100
2025-09-12 23:00:00,1.2799,,,20251000,20251100,20251100
2025-09-13 23:00:00,1.2797,,,20251000,20251100,20251100
2025-09-15 03:00:00,1.279,,,20251000,20251100,20251100
2025-09-15 04:00:00,1.2786,,,20251000,20251100,20251100
2025-09-15 07:00:00,1.27905,,,20251000,20251100,20251100
2025-09-15 16:00:00,1.2774,,,20251000,20251100,20251100
2025-09-15 23:00:00,1.2783,1.27495,1.27495,20251000,20251100,20251100
2025-09-16 01:00:00,1.2774,,,20251000,20251100,20251100
2025-09-16 03:00:00,1.2769,,,20251000,20251100,20251100
2025-09-16 12:00:00,1.275,,,20251000,20251100,20251100
2025-09-16 23:00:00,1.2769,,,20251000,20251100,20251100
2025-09-17 02:00:00,1.2736,,,20251000,20251100,20251100
2025-09-17 14:00:00,1.27305,,,20251000,20251100,20251100
2025-09-17 18:00:00,1.2706,,,20251000,20251100,20251100
2025-09-17 23:00:00,1.2736,1.2701,1.2701,20251000,20251100,20251100
2025-09-18 01:00:00,1.277,,,20251000,20251100,20251100
2025-09-18 02:00:00,1.2764,,,20251000,20251100,20251100
2025-09-18 09:00:00,1.2764,,,20251000,20251100,20251100
2025-09-18 10:00:00,1.2765,,,20251000,20251100,20251100
2025-09-18 13:00:00,1.28,,,20251000,20251100,20251100
2025-09-18 15:00:00,1.28,,,20251000,20251100,20251100
2025-09-18 23:00:00,1.2765,,,20251000,20251100,20251100
2025-09-19 01:00:00,1.28065,,,20251000,20251100,20251100
2025-09-19 12:00:00,,1.28,1.28,20251000,20251100,20251100
2025-09-19 13:00:00,1.2833,,,20251000,20251100,20251100
2025-09-19 15:00:00,1.2827,,,20251000,20251100,20251100
2025-09-19 17:00:00,,1.2788,1.2788,20251000,20251100,20251100
2025-09-19 23:00:00,1.28065,,,20251000,20251100,20251100
2025-09-20 23:00:00,1.2827,1.2788,1.2788,20251000,20251100,20251100
2025-09-22 01:00:00,1.2833,,,20251000,20251100,20251100
2025-09-22 07:00:00,,1.2791,1.2791,20251000,20251100,20251100
2025-09-22 11:50:00,1.28065,,,20251000,20251100,20251100
2025-09-22 12:00:00,1.28065,,,20251000,20251100,20251100
2025-09-22 23:00:00,1.281,1.27775,1.27775,20251000,20251100,20251100
2025-09-23 02:00:00,1.2806,,,20251000,20251100,20251100
2025-09-23 06:00:00,1.2812,,,20251000,20251100,20251100
2025-09-23 07:00:00,1.2818,,,20251000,20251100,20251100
2025-09-23 09:00:00,1.2806,,,20251000,20251100,20251100
2025-09-23 23:00:00,1.28155,1.2783,1.2783,20251000,20251100,20251100
2025-09-24 10:00:00,1.285,1.282,1.282,20251000,20251100,20251100
2025-09-24 13:00:00,1.28675,,,20251000,20251100,20251100
2025-09-24 23:00:00,1.28535,1.2821,1.2821,20251000,20251100,20251100
2025-09-25 01:00:00,1.2859,,,20251000,20251100,20251100
2025-09-25 05:00:00,,1.2831,1.2831,20251000,20251100,20251100
2025-09-25 12:00:00,1.2911,,,20251000,20251100,20251100
2025-09-25 14:00:00,1.2916,1.28855,1.28855,20251000,20251100,20251100
2025-09-25 15:00:00,1.2924,,,20251000,20251100,20251100
2025-09-25 18:00:00,,1.29,1.29,20251000,20251100,20251100
2025-09-25 23:00:00,1.28765,1.2844,1.2844,20251000,20251100,20251100
2025-09-26 02:00:00,,1.2882,1.2882,20251000,20251100,20251100
2025-09-26 09:00:00,1.29135,,,20251000,20251100,20251100
2025-09-26 10:00:00,1.2924,,,20251000,20251100,20251100
2025-09-26 13:00:00,1.2909,,,20251000,20251100,20251100
2025-09-26 23:00:00,1.2924,1.2882,1.2882,20251000,20251100,20251100
2025-09-27 23:00:00,1.2909,,,20251000,20251100,20251100
2025-09-29 06:00:00,1.28855,1.2851,1.2851,20251000,20251100,20251100
2025-09-29 23:00:00,1.28965,1.28635,1.28635,20251000,20251100,20251100
2025-09-30 02:00:00,1.2896,,,20251000,20251100,20251100
2025-09-30 04:00:00,1.2908,,,20251000,20251100,20251100
2025-09-30 05:00:00,1.2896,,,20251000,20251100,20251100
2025-09-30 09:00:00,1.2882,,,20251000,20251100,20251100
2025-09-30 10:00:00,1.2885,,,20251000,20251100,20251100
2025-09-30 23:00:00,1.2887,1.2854,1.2854,20251000,20251100,20251100
2025-10-01 01:00:00,1.28945,,,20251000,20251100,20251100
2025-10-01 02:00:00,1.2898,,,20251000,20251100,20251100
2025-10-01 08:00:00,1.28665,,,20251000,20251100,20251100
2025-10-01 13:00:00,1.2854,,,20251000,20251100,20251100
2025-10-01 23:00:00,1.2892,1.28425,1.28425,20251000,20251100,20251100
2025-10-02 06:00:00,1.28715,,,20251000,20251100,20251100
2025-10-02 09:00:00,1.28605,,,20251000,20251100,20251100
2025-10-02 23:00:00,1.28635,1.28305,1.28305,20251000,20251100,20251100
2025-10-03 01:00:00,1.2883,,,20251000,20251100,20251100
2025-10-03 02:00:00,1.2884,,,20251000,20251100,20251100
2025-10-03 23:00:00,1.2884,,,20251000,20251100,20251100
2025-10-06 03:00:00,,1.28725,1.28725,20251000,20251100,20251100
2025-10-06 08:00:00,1.2935,,,20251000,20251100,20251100
2025-10-06 23:00:00,1.2917,1.2896,1.2896,20251000,20251100,20251100
2025-10-07 23:00:00,1.2896,1.287,1.287,20251100,20251200,20251200
2025-10-08 01:00:00,1.2903,,,20251100,20251200,20251200
2025-10-08 02:00:00,1.2916,,,20251100,20251200,20251200
2025-10-08 03:00:00,1.2915,,,20251100,20251200,20251200
2025-10-08 04:00:00,1.2915,,,20251100,20251200,20251200
2025-10-08 07:00:00,1.2915,,,20251100,20251200,20251200
2025-10-08 08:00:00,1.2923,,,20251100,20251200,20251200
2025-10-08 15:00:00,1.2925,,,20251100,20251200,20251200
2025-10-08 23:00:00,1.29205,1.2894,1.2894,20251100,20251200,20251200
2025-10-09 01:00:00,1.29105,,,20251100,20251200,20251200
2025-10-09 02:00:00,1.29065,,,20251100,20251200,20251200
2025-10-09 04:00:00,1.29065,,,20251100,20251200,20251200
2025-10-09 06:00:00,1.2927,,,20251100,20251200,20251200
2025-10-09 08:00:00,1.2927,,,20251100,20251200,20251200
2025-10-09 09:00:00,1.2927,,,20251100,20251200,20251200
2025-10-09 10:00:00,1.2927,,,20251100,20251200,20251200
2025-10-09 23:00:00,1.2927,,,20251100,20251200,20251200
2025-10-10 03:00:00,1.2947,,,20251100,20251200,20251200
2025-10-10 04:00:00,1.2949,,,20251100,20251200,20251200
2025-10-10 05:00:00,1.2949,,,20251100,20251200,20251200
2025-10-10 06:00:00,1.2949,,,20251100,20251200,20251200
2025-10-10 07:00:00,1.295,,,20251100,20251200,20251200
2025-10-10 08:00:00,1.2945,,,20251100,20251200,20251200
2025-10-10 11:50:00,1.29425,,,20251100,20251200,20251200
2025-10-10 12:00:00,1.29425,,,20251100,20251200,20251200
2025-10-10 17:00:00,1.29465,,,20251100,20251200,20251200
2025-10-10 23:00:00,1.2945,,,20251100,20251200,20251200
2025-10-11 23:00:00,1.29465,,,20251100,20251200,20251200
2025-10-13 03:00:00,1.29295,,,20251100,20251200,20251200
2025-10-13 04:00:00,1.2939,,,20251100,20251200,20251200
2025-10-13 06:00:00,1.29315,,,20251100,20251200,20251200
2025-10-13 08:00:00,1.2952,,,20251100,20251200,20251200
2025-10-13 09:00:00,1.29475,,,20251100,20251200,20251200
2025-10-13 11:50:00,1.2955,,,20251100,20251200,20251200
2025-10-13 12:00:00,1.2955,,,20251100,20251200,20251200
2025-10-13 13:00:00,1.29535,,,20251100,20251200,20251200
2025-10-13 14:00:00,1.2958,,,20251100,20251200,20251200
2025-10-13 23:00:00,1.29475,,,20251100,20251200,20251200
2025-10-14 06:00:00,1.2964,,,20251100,20251200,20251200
2025-10-14 07:00:00,1.2975,,,20251100,20251200,20251200
2025-10-14 10:00:00,,1.295,1.295,20251100,20251200,20251200
2025-10-14 23:00:00,1.2975,1.295,1.295,20251100,20251200,20251200
2025-10-15 01:00:00,1.2936,,,20251100,20251200,20251200
2025-10-15 06:00:00,1.2924,,,20251100,20251200,20251200
2025-10-15 11:00:00,,1.29,1.29,20251100,20251200,20251200
2025-10-15 16:00:00,1.293,,,20251100,20251200,20251200
2025-10-15 23:00:00,1.2924,1.29,1.29,20251100,20251200,20251200
2025-10-16 05:00:00,,1.28975,1.28975,20251100,20251200,20251200
2025-10-16 15:00:00,,1.2884,1.2884,20251100,20251200,20251200
2025-10-16 23:00:00,1.293,1.28975,1.28975,20251100,20251200,20251200
2025-10-17 01:00:00,1.2901,,,20251100,20251200,20251200
2025-10-17 12:00:00,1.29245,,,20251100,20251200,20251200
2025-10-17 14:00:00,1.2936,,,20251100,20251200,20251200
2025-10-17 23:00:00,1.2901,1.2884,1.2884,20251100,20251200,20251200
2025-10-18 23:00:00,1.2936,,,20251100,20251200,20251200
2025-10-20 23:00:00,1.29225,1.28965,1.28965,20251100,20251200,20251200
2025-10-21 04:00:00,1.2923,,,20251100,20251200,20251200
2025-10-21 05:00:00,1.2934,,,20251100,20251200,20251200
2025-10-21 06:00:00,1.2939,,,20251100,20251200,20251200
2025-10-21 10:00:00,1.2943,,,20251100,20251200,20251200
2025-10-21 12:00:00,1.2951,,,20251100,20251200,20251200
2025-10-21 23:00:00,1.2944,1.2918,1.2918,20251100,20251200,20251200
2025-10-22 02:00:00,1.2951,,,20251100,20251200,20251200
2025-10-22 12:00:00,1.29645,,,20251100,20251200,20251200
2025-10-22 23:00:00,1.29685,1.29425,1.29425,20251100,20251200,20251200
2025-10-23 01:00:00,1.2965,,,20251100,20251200,20251200
2025-10-23 02:00:00,1.297,,,20251100,20251200,20251200
2025-10-23 03:00:00,1.2975,,,20251100,20251200,20251200
2025-10-23 07:00:00,1.2967,,,20251100,20251200,20251200
2025-10-23 23:00:00,1.2978,1.2952,1.2952,20251100,20251200,20251200
2025-10-24 10:00:00,,1.29475,1.29475,20251100,20251200,20251200
2025-10-24 12:00:00,,1.29275,1.29275,20251100,20251200,20251200
2025-10-24 13:00:00,,1.29255,1.29255,20251100,20251200,20251200
2025-10-24 15:00:00,1.29675,,,20251100,20251200,20251200
2025-10-24 23:00:00,,1.29475,1.29475,20251100,20251200,20251200
2025-10-25 23:00:00,1.29675,1.29255,1.29255,20251100,20251200,20251200
2025-10-27 01:00:00,1.2945,,,20251100,20251200,20251200
2025-10-27 23:00:00,1.29455,1.2919,1.2919,20251100,20251200,20251200
2025-10-28 01:00:00,1.294,,,20251100,20251200,20251200
2025-10-28 02:00:00,1.2935,,,20251100,20251200,20251200
2025-10-28 05:00:00,,1.2891,1.2891,20251100,20251200,20251200
2025-10-28 07:00:00,1.2935,,,20251100,20251200,20251200
2025-10-28 23:00:00,1.29325,1.2906,1.2906,20251100,20251200,20251200
2025-10-29 01:00:00,1.29175,,,20251100,20251200,20251200
2025-10-29 08:00:00,1.2935,,,20251100,20251200,20251200
2025-10-29 11:00:00,1.2935,,,20251100,20251200,20251200
2025-10-29 23:00:00,1.29335,1.2907,1.2907,20251100,20251200,20251200
2025-10-30 06:00:00,1.29645,,,20251100,20251200,20251200
2025-10-30 07:00:00,1.2971,,,20251100,20251200,20251200
2025-10-30 08:00:00,1.29745,,,20251100,20251200,20251200
2025-10-30 11:00:00,1.29825,,,20251100,20251200,20251200
2025-10-30 11:50:00,1.29855,1.2958,1.2958,20251100,20251200,20251200
2025-10-30 12:00:00,1.3,1.2958,1.2958,20251100,20251200,20251200
2025-10-30 14:00:00,1.299,1.2965,1.2965,20251100,20251200,20251200
2025-10-30 23:00:00,1.2982,1.2955,1.2955,20251100,20251200,20251200
2025-10-31 01:00:00,1.29775,,,20251100,20251200,20251200
2025-10-31 02:00:00,1.29815,,,20251100,20251200,20251200
2025-10-31 06:00:00,1.29855,,,20251100,20251200,20251200
2025-10-31 12:00:00,,1.297,1.297,20251100,20251200,20251200
2025-10-31 13:00:00,,1.2974,1.2974,20251100,20251200,20251200
2025-10-31 23:00:00,1.29855,1.2965,1.2965,20251100,20251200,20251200
2025-11-01 23:00:00,,1.2974,1.2974,20251100,20251200,20251200
2025-11-03 10:00:00,,1.2994,1.2994,20251100,20251200,20251200
2025-11-03 13:00:00,,1.3001,1.3001,20251100,20251200,20251200
2025-11-03 14:00:00,,1.3003,1.3003,20251100,20251200,20251200
2025-11-03 23:00:00,1.3023,1.29955,1.29955,20251100,20251200,20251200
2025-11-04 01:00:00,1.30475,,,20251100,20251200,20251200
2025-11-04 10:00:00,1.30385,,,20251100,20251200,20251200
2025-11-04 20:00:00,1.3068,1.30395,1.30395,20251100,20251200,20251200
2025-11-04 23:00:00,1.304,1.30125,1.30125,20251100,20251200,20251200
2025-11-05 01:00:00,1.30645,,,20251100,20251200,20251200
2025-11-05 05:00:00,1.30575,,,20251100,20251200,20251200
2025-11-05 07:00:00,1.30635,,,20251100,20251200,20251200
2025-11-05 08:00:00,1.30475,,,20251100,20251200,20251200
2025-11-05 09:00:00,1.30515,,,20251100,20251200,20251200
2025-11-05 14:00:00,1.30655,,,20251100,20251200,20251200
2025-11-05 15:00:00,1.30665,,,20251100,20251200,20251200
2025-11-05 16:00:00,1.3065,,,20251100,20251200,20251200
2025-11-05 23:00:00,1.306,1.30325,1.30325,20251100,20251200,20251200
2025-11-06 01:00:00,1.305,,,20251100,20251200,20251200
2025-11-06 02:00:00,1.30525,,,20251100,20251200,20251200
2025-11-06 04:00:00,1.30465,,,20251100,20251200,20251200
2025-11-06 05:00:00,1.30455,,,20251100,20251200,20251200
2025-11-06 06:00:00,1.30525,,,20251100,20251200,20251200
2025-11-06 07:00:00,1.30465,,,20251100,20251200,20251200
2025-11-06 08:00:00,1.304,,,20251100,20251200,20251200
2025-11-06 23:00:00,1.3044,1.30165,1.30165,20251100,20251200,20251200
2025-11-07 14:00:00,1.2982,,,20251200,20260100,20260100
2025-11-07 23:00:00,1.301,,,20251200,20260100,20260100
2025-11-08 23:00:00,1.2982,,,20251200,20260100,20260100
2025-11-10 10:00:00,1.2995,,,20251200,20260100,20260100
2025-11-10 23:00:00,1.29985,1.29645,1.29645,20251200,20260100,20260100
2025-11-11 23:00:00,1.29865,,,20251200,20260100,20260100
2025-11-12 02:00:00,1.2993,,,20251200,20260100,20260100
2025-11-12 07:00:00,1.2991,,,20251200,20260100,20260100
2025-11-12 08:00:00,1.30015,,,20251200,20260100,20260100
2025-11-12 15:00:00,1.29885,,,20251200,20260100,20260100
2025-11-12 23:00:00,1.30045,,,20251200,20260100,20260100
2025-11-13 01:00:00,1.29935,,,20251200,20260100,20260100
2025-11-13 02:00:00,1.29935,,,20251200,20260100,20260100
2025-11-13 04:00:00,1.29935,,,20251200,20260100,20260100
2025-11-13 05:00:00,1.2984,,,20251200,20260100,20260100
2025-11-13 08:00:00,1.2968,,,20251200,20260100,20260100
2025-11-13 10:00:00,1.2974,,,20251200,20260100,20260100
2025-11-13 11:00:00,1.29775,,,20251200,20260100,20260100
2025-11-13 13:00:00,1.29705,,,20251200,20260100,20260100
2025-11-13 15:00:00,1.297,,,20251200,20260100,20260100
2025-11-13 23:00:00,1.29775,,,20251200,20260100,20260100
2025-11-14 01:00:00,1.2975,,,20251200,20260100,20260100
2025-11-14 02:00:00,1.2978,,,20251200,20260100,20260100
2025-11-14 03:00:00,1.297,,,20251200,20260100,20260100
2025-11-14 04:00:00,1.297,,,20251200,20260100,20260100
2025-11-14 07:00:00,1.29845,,,20251200,20260100,20260100
2025-11-14 08:00:00,1.29825,,,20251200,20260100,20260100
2025-11-14 10:00:00,1.299,,,20251200,20260100,20260100
2025-11-14 12:00:00,1.297,,,20251200,20260100,20260100
2025-11-14 13:00:00,1.294,,,20251200,20260100,20260100
2025-11-14 15:00:00,1.29605,,,20251200,20260100,20260100
2025-11-14 23:00:00,1.29835,,,20251200,20260100,20260100
2025-11-15 23:00:00,1.29605,,,20251200,20260100,20260100
2025-11-16 23:25:00,1.296,,,20251200,20260100,20260100
2025-11-17 03:00:00,1.2986,,,20251200,20260100,20260100
2025-11-17 05:00:00,1.29795,,,20251200,20260100,20260100
2025-11-17 08:00:00,1.299,,,20251200,20260100,20260100
2025-11-17 10:00:00,1.2991,,,20251200,20260100,20260100
2025-11-17 14:00:00,1.3,,,20251200,20260100,20260100
2025-11-17 23:00:00,1.2964,1.296,1.296,20251200,20260100,20260100
2025-11-18 02:00:00,1.301,,,20251200,20260100,20260100
2025-11-18 03:00:00,1.301,,,20251200,20260100,20260100
2025-11-18 05:00:00,1.30045,,,20251200,20260100,20260100
2025-11-18 07:00:00,1.3008,,,20251200,20260100,20260100
2025-11-18 08:00:00,1.3,,,20251200,20260100,20260100
2025-11-18 13:00:00,1.299,,,20251200,20260100,20260100
2025-11-18 15:00:00,1.2984,,,20251200,20260100,20260100
2025-11-18 15:31:30,,1.29475,1.29475,20251200,20260100,20260100
