DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-09-08 01:00:00,1.2813,,,20251000,20251100,20251100
2025-09-08 02:00:00,1.2814,,,20251000,20251100,20251100
2025-09-08 09:00:00,1.2798,,,20251000,20251100,20251100
2025-09-08 13:00:00,1.2801,,,20251000,20251100,20251100
2025-09-08 23:00:00,1.2806,1.2772,1.2772,20251000,20251100,20251100
2025-09-09 01:00:00,1.2784,,,20251000,20251100,20251100
2025-09-09 02:00:00,1.2784,,,20251000,20251100,20251100
2025-09-09 06:00:00,1.2784,,,20251000,20251100,20251100
2025-09-09 14:00:00,1.2786,,,20251000,20251100,20251100
2025-09-09 18:00:00,1.2799,,,20251000,20251100,20251100
2025-09-09 23:00:00,1.2784,,,20251000,20251100,20251100
2025-09-10 23:00:00,1.2799,,,20251000,20251100,20251100
2025-09-11 04:00:00,,1.2766,1.2766,20251000,20251100,20251100
2025-09-11 05:00:00,1.2804,,,20251000,20251100,20251100
2025-09-11 07:00:00,1.2809,,,20251000,20251100,20251100
2025-09-11 16:00:00,,1.2745,1.2745,20251000,20251100,20251100
2025-09-11 23:00:00,1.2809,1.2766,1.2766,20251000,20251100,20251100
2025-09-12 04:00:00,,1.276,1.276,20251000,20251100,20251100
2025-09-12 08:00:00,1.2665,,,20251000,20251100,20251100
2025-09-12 12:00:00,1.281,,,20251000,20251100,20251100
2025-09-12 23:00:00,1.2665,1.276,1.276,20251000,20251100,20251100
2025-09-13 23:00:00,1.281,,,20251000,20251100,20251100
2025-09-14 23:25:00,1.2805,,,20251000,20251100,20251100
2025-09-15 05:00:00,1.2785,,,20251000,20251100,20251100
2025-09-15 06:00:00,,1.2763,1.2763,20251000,20251100,20251100
2025-09-15 07:00:00,1.2793,,,20251000,20251100,20251100
2025-09-15 08:00:00,,1.2758,1.2758,20251000,20251100,20251100
2025-09-15 12:00:00,,1.2742,1.2742,20251000,20251100,20251100
2025-09-15 23:00:00,1.2783,1.275,1.275,20251000,20251100,20251100
