DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-04-01 05:00:00,96.57,96.59,96.545,20270300,20270600,20261200
2024-04-02 05:00:00,96.44,96.455,96.42,20270300,20270600,20261200
2024-04-03 05:00:00,96.445,96.46,96.425,20270300,20270600,20261200
2024-04-04 05:00:00,96.495,96.51,96.475,20270300,20270600,20261200
2024-04-05 05:00:00,96.435,96.45,96.415,20270300,20270600,20261200
2024-04-08 05:00:00,96.4,96.42,96.375,20270300,20270600,20261200
2024-04-09 05:00:00,96.47,96.49,96.44,20270300,20270600,20261200
2024-04-10 05:00:00,96.345,96.37,96.31,20270300,20270600,20261200
2024-04-11 05:00:00,96.245,96.275,96.205,20270300,20270600,20261200
2024-04-12 05:00:00,96.33,96.36,96.29,20270300,20270600,20261200
2024-04-15 05:00:00,96.225,96.255,96.185,20270300,20270600,20261200
2024-04-16 05:00:00,96.145,96.18,96.1,20270300,20270600,20261200
2024-04-17 05:00:00,96.145,96.185,96.095,20270300,20270600,20261200
2024-04-18 05:00:00,96.16,96.2,96.11,20270300,20270600,20261200
2024-04-19 05:00:00,96.18,96.215,96.135,20270300,20270600,20261200
2024-04-22 05:00:00,96.225,96.26,96.185,20270300,20270600,20261200
2024-04-23 05:00:00,96.19,96.225,96.145,20270300,20270600,20261200
2024-04-24 05:00:00,96.11,96.145,96.07,20270300,20270600,20261200
2024-04-25 05:00:00,96.07,96.105,96.025,20270300,20270600,20261200
2024-04-26 05:00:00,96.1,96.135,96.055,20270300,20270600,20261200
2024-04-29 05:00:00,96.135,96.17,96.09,20270300,20270600,20261200
2024-04-30 05:00:00,96.05,96.09,96.005,20270300,20270600,20261200
2024-05-01 05:00:00,96.04,96.08,95.99,20270300,20270600,20261200
2024-05-02 05:00:00,96.145,96.18,96.1,20270300,20270600,20261200
2024-05-03 05:00:00,96.225,96.26,96.18,20270300,20270600,20261200
2024-05-06 05:00:00,96.225,96.26,96.18,20270300,20270600,20261200
2024-05-07 05:00:00,96.335,96.37,96.29,20270300,20270600,20261200
2024-05-08 05:00:00,96.33,96.37,96.285,20270300,20270600,20261200
