DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-04-14 23:50:00,7784.0,,,20250600,20250900,20250700
2025-04-15 00:00:00,7802.0,,,20250600,20250900,20250700
2025-04-15 01:00:00,7803.0,,,20250600,20250900,20250700
2025-04-15 02:00:00,7801.0,,,20250600,20250900,20250700
2025-04-15 03:00:00,7800.0,,,20250600,20250900,20250700
2025-04-15 04:00:00,7790.0,,,20250600,20250900,20250700
2025-04-15 05:00:00,7787.0,,,20250600,20250900,20250700
2025-04-15 06:00:00,7785.0,,,20250600,20250900,20250700
2025-04-15 07:10:00,7804.0,,,20250600,20250900,20250700
2025-04-15 08:00:00,7811.0,,,20250600,20250900,20250700
2025-04-15 09:00:00,7800.0,,,20250600,20250900,20250700
2025-04-15 10:00:00,7790.0,,,20250600,20250900,20250700
2025-04-15 11:00:00,7765.0,,,20250600,20250900,20250700
2025-04-15 12:00:00,7754.0,,,20250600,20250900,20250700
2025-04-15 13:00:00,7799.0,,,20250600,20250900,20250700
2025-04-15 14:00:00,7790.0,,,20250600,20250900,20250700
2025-04-15 15:00:00,7803.0,,,20250600,20250900,20250700
2025-04-15 16:00:00,7788.0,,,20250600,20250900,20250700
2025-04-15 17:00:00,7788.0,,,20250600,20250900,20250700
2025-04-15 18:00:00,7794.0,,,20250600,20250900,20250700
2025-04-15 19:00:00,7789.0,,,20250600,20250900,20250700
2025-04-15 20:00:00,7782.0,,,20250600,20250900,20250700
2025-04-15 23:00:00,7785.0,,,20250600,20250900,20250700
2025-04-15 23:50:00,7773.0,,,20250600,20250900,20250700
2025-04-16 00:00:00,7780.0,,,20250600,20250900,20250700
2025-04-16 01:00:00,7803.0,,,20250600,20250900,20250700
2025-04-16 02:00:00,7802.0,,,20250600,20250900,20250700
2025-04-16 03:00:00,7802.0,,,20250600,20250900,20250700
2025-04-16 04:00:00,7800.0,,,20250600,20250900,20250700
2025-04-16 05:00:00,7773.0,,,20250600,20250900,20250700
2025-04-16 06:00:00,7787.0,,,20250600,20250900,20250700
2025-04-16 07:10:00,7781.0,,,20250600,20250900,20250700
2025-04-16 08:00:00,7803.0,,,20250600,20250900,20250700
2025-04-16 09:00:00,7803.0,,,20250600,20250900,20250700
2025-04-16 10:00:00,7811.0,,,20250600,20250900,20250700
2025-04-16 11:00:00,7811.0,,,20250600,20250900,20250700
2025-04-16 12:00:00,7803.0,,,20250600,20250900,20250700
2025-04-16 13:00:00,7794.0,,,20250600,20250900,20250700
2025-04-16 14:00:00,7823.0,,,20250600,20250900,20250700
2025-04-16 15:00:00,7830.0,,,20250600,20250900,20250700
2025-04-16 16:00:00,7825.0,,,20250600,20250900,20250700
2025-04-16 17:00:00,7773.0,,,20250600,20250900,20250700
2025-04-16 18:00:00,7763.0,,,20250600,20250900,20250700
2025-04-16 19:00:00,7776.0,,,20250600,20250900,20250700
2025-04-16 20:00:00,7760.0,,,20250600,20250900,20250700
2025-04-16 23:00:00,7787.0,,,20250600,20250900,20250700
2025-04-16 23:50:00,7776.0,,,20250600,20250900,20250700
2025-04-17 00:00:00,7800.0,,,20250600,20250900,20250700
2025-04-17 01:00:00,7800.0,,,20250600,20250900,20250700
2025-04-17 02:00:00,7810.0,,,20250600,20250900,20250700
2025-04-17 03:00:00,7823.0,,,20250600,20250900,20250700
2025-04-17 04:00:00,7820.0,,,20250600,20250900,20250700
2025-04-17 05:00:00,7830.0,,,20250600,20250900,20250700
2025-04-17 06:00:00,7834.0,,,20250600,20250900,20250700
2025-04-17 07:10:00,7821.0,,,20250600,20250900,20250700
2025-04-17 08:00:00,7813.0,,,20250600,20250900,20250700
2025-04-17 09:00:00,7817.0,,,20250600,20250900,20250700
2025-04-17 10:00:00,7808.0,,,20250600,20250900,20250700
2025-04-17 11:00:00,7805.0,,,20250600,20250900,20250700
2025-04-17 12:00:00,7801.0,,,20250600,20250900,20250700
2025-04-17 13:00:00,7803.0,,,20250600,20250900,20250700
2025-04-17 23:00:00,7834.0,,,20250600,20250900,20250700
2025-04-19 23:00:00,7833.0,7807.0,,20250600,20250900,20250700
2025-04-21 23:50:00,7754.0,,,20250600,20250900,20250700
2025-04-22 00:00:00,7792.0,,,20250600,20250900,20250700
2025-04-22 01:00:00,7826.0,,,20250600,20250900,20250700
2025-04-22 02:00:00,7832.0,,,20250600,20250900,20250700
2025-04-22 03:00:00,7834.0,,,20250600,20250900,20250700
2025-04-22 04:00:00,7828.0,,,20250600,20250900,20250700
2025-04-22 05:00:00,7823.0,,,20250600,20250900,20250700
2025-04-22 06:00:00,7835.0,,,20250600,20250900,20250700
2025-04-22 07:10:00,7850.0,,,20250600,20250900,20250700
2025-04-22 08:00:00,7870.0,,,20250600,20250900,20250700
2025-04-22 09:00:00,7881.0,,,20250600,20250900,20250700
2025-04-22 10:00:00,7872.0,,,20250600,20250900,20250700
2025-04-22 11:00:00,7867.0,,,20250600,20250900,20250700
2025-04-22 12:00:00,7865.0,,,20250600,20250900,20250700
2025-04-22 13:00:00,7891.0,,,20250600,20250900,20250700
2025-04-22 14:00:00,7923.0,,,20250600,20250900,20250700
2025-04-22 15:00:00,7952.0,,,20250600,20250900,20250700
2025-04-22 16:00:00,7949.0,,,20250600,20250900,20250700
2025-04-22 17:00:00,7916.0,,,20250600,20250900,20250700
2025-04-22 18:00:00,7956.0,,,20250600,20250900,20250700
2025-04-22 19:00:00,7946.0,,,20250600,20250900,20250700
2025-04-22 20:00:00,7936.0,,,20250600,20250900,20250700
2025-04-22 23:00:00,7836.0,7810.0,7836.0,20250600,20250900,20250700
2025-04-22 23:50:00,7975.0,,,20250600,20250900,20250700
2025-04-23 00:00:00,7968.0,,,20250600,20250900,20250700
2025-04-23 01:00:00,7958.0,,,20250600,20250900,20250700
2025-04-23 02:00:00,7955.0,,,20250600,20250900,20250700
2025-04-23 03:00:00,7926.0,,,20250600,20250900,20250700
2025-04-23 04:00:00,7948.0,,,20250600,20250900,20250700
2025-04-23 05:00:00,7937.0,,,20250600,20250900,20250700
2025-04-23 06:00:00,7933.0,,,20250600,20250900,20250700
2025-04-23 07:10:00,7940.0,,,20250600,20250900,20250700
2025-04-23 08:00:00,7950.0,,,20250600,20250900,20250700
2025-04-23 09:00:00,7935.0,,,20250600,20250900,20250700
2025-04-23 10:00:00,7953.0,,,20250600,20250900,20250700
2025-04-23 11:00:00,7945.0,,,20250600,20250900,20250700
2025-04-23 12:00:00,7962.0,,,20250600,20250900,20250700
2025-04-23 13:00:00,7965.0,,,20250600,20250900,20250700
2025-04-23 14:00:00,7966.0,,,20250600,20250900,20250700
2025-04-23 15:00:00,7941.0,,,20250600,20250900,20250700
2025-04-23 16:00:00,7941.0,,,20250600,20250900,20250700
2025-04-23 17:00:00,7944.0,,,20250600,20250900,20250700
2025-04-23 18:00:00,7927.0,,,20250600,20250900,20250700
2025-04-23 19:00:00,7935.0,,,20250600,20250900,20250700
2025-04-23 20:00:00,7946.0,,,20250600,20250900,20250700
2025-04-23 23:00:00,7933.0,,,20250600,20250900,20250700
2025-04-23 23:50:00,7955.0,,,20250600,20250900,20250700
2025-04-24 00:00:00,7967.0,,,20250600,20250900,20250700
2025-04-24 01:00:00,7980.0,,,20250600,20250900,20250700
2025-04-24 02:00:00,7983.0,,,20250600,20250900,20250700
2025-04-24 03:00:00,7988.0,,,20250600,20250900,20250700
2025-04-24 04:00:00,7995.0,,,20250600,20250900,20250700
2025-04-24 05:00:00,7985.0,,,20250600,20250900,20250700
2025-04-24 06:00:00,7996.0,,,20250600,20250900,20250700
2025-04-24 07:10:00,7979.0,,,20250600,20250900,20250700
2025-04-24 08:00:00,7978.0,,,20250600,20250900,20250700
2025-04-24 09:00:00,7992.0,,,20250600,20250900,20250700
2025-04-24 10:00:00,8031.0,,,20250600,20250900,20250700
2025-04-24 11:00:00,8015.0,,,20250600,20250900,20250700
2025-04-24 12:00:00,8032.0,,,20250600,20250900,20250700
2025-04-24 13:00:00,8035.0,,,20250600,20250900,20250700
