DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-02-15 08:00:00,22.3,22.31,22.57,20240700,20241000,20240500
2024-02-15 09:00:00,22.27,22.27,22.51,20240700,20241000,20240500
2024-02-15 10:00:00,22.22,22.23,22.48,20240700,20241000,20240500
2024-02-15 11:00:00,22.22,22.22,22.45,20240700,20241000,20240500
2024-02-15 12:00:00,22.18,22.18,22.41,20240700,20241000,20240500
2024-02-15 13:00:00,22.22,22.22,22.47,20240700,20241000,20240500
2024-02-15 14:00:00,22.18,22.18,22.41,20240700,20241000,20240500
2024-02-15 15:00:00,22.04,22.04,22.3,20240700,20241000,20240500
2024-02-15 16:00:00,22.15,22.13,22.43,20240700,20241000,20240500
2024-02-15 17:00:00,21.95,21.94,22.19,20240700,20241000,20240500
2024-02-16 06:00:00,22.35,22.37,22.59,20240700,20241000,20240500
2024-02-16 08:00:00,21.99,21.98,22.24,20240700,20241000,20240500
2024-02-16 09:00:00,22.15,22.13,22.39,20240700,20241000,20240500
2024-02-16 10:00:00,22.29,22.26,22.54,20240700,20241000,20240500
2024-02-16 11:00:00,22.37,22.35,22.63,20240700,20241000,20240500
2024-02-16 12:00:00,22.38,22.36,22.63,20240700,20241000,20240500
2024-02-16 13:00:00,22.42,22.39,22.67,20240700,20241000,20240500
2024-02-16 14:00:00,22.42,22.38,22.69,20240700,20241000,20240500
2024-02-16 15:00:00,22.57,22.54,22.85,20240700,20241000,20240500
2024-02-16 16:00:00,22.54,22.49,22.8,20240700,20241000,20240500
2024-02-16 17:00:00,22.33,22.33,22.55,20240700,20241000,20240500
2024-02-20 06:00:00,22.01,22.08,22.21,20240700,20241000,20240500
2024-02-20 08:00:00,22.09,22.09,22.32,20240700,20241000,20240500
2024-02-20 09:00:00,22.03,22.05,22.26,20240700,20241000,20240500
2024-02-20 10:00:00,22.08,22.11,22.31,20240700,20241000,20240500
2024-02-20 11:00:00,22.21,22.21,22.43,20240700,20241000,20240500
2024-02-20 12:00:00,22.21,22.21,22.44,20240700,20241000,20240500
2024-02-20 13:00:00,22.05,22.08,22.27,20240700,20241000,20240500
2024-02-20 14:00:00,21.89,21.95,22.09,20240700,20241000,20240500
2024-02-20 15:00:00,21.8,21.85,22.01,20240700,20241000,20240500
2024-02-20 16:00:00,22.04,22.09,22.29,20240700,20241000,20240500
2024-02-20 17:00:00,22.06,22.11,22.26,20240700,20241000,20240500
2024-02-21 06:00:00,22.11,22.17,22.28,20240700,20241000,20240500
2024-02-21 08:00:00,21.77,21.86,21.97,20240700,20241000,20240500
2024-02-21 09:00:00,21.82,21.9,22.01,20240700,20241000,20240500
2024-02-21 10:00:00,21.92,21.99,22.13,20240700,20241000,20240500
2024-02-21 11:00:00,21.92,21.98,22.11,20240700,20241000,20240500
2024-02-21 12:00:00,21.91,21.99,22.1,20240700,20241000,20240500
2024-02-21 13:00:00,21.96,22.02,22.14,20240700,20241000,20240500
2024-02-21 14:00:00,21.99,22.05,22.17,20240700,20241000,20240500
2024-02-21 15:00:00,22.01,22.06,22.22,20240700,20241000,20240500
2024-02-21 16:00:00,22.0,22.08,22.21,20240700,20241000,20240500
2024-02-21 17:00:00,22.16,22.2,22.32,20240700,20241000,20240500
2024-02-22 06:00:00,21.96,22.0,22.17,20240700,20241000,20240500
2024-02-22 08:00:00,22.1,22.15,22.27,20240700,20241000,20240500
2024-02-22 09:00:00,21.95,22.03,22.1,20240700,20241000,20240500
2024-02-22 10:00:00,21.96,22.02,22.11,20240700,20241000,20240500
2024-02-22 11:00:00,21.94,22.01,22.09,20240700,20241000,20240500
2024-02-22 12:00:00,21.82,21.88,21.96,20240700,20241000,20240500
2024-02-22 13:00:00,21.58,21.65,21.71,20240700,20241000,20240500
2024-02-22 14:00:00,21.67,21.72,21.83,20240700,20241000,20240500
2024-02-22 15:00:00,21.73,21.78,21.91,20240700,20241000,20240500
2024-02-22 16:00:00,21.99,22.02,22.24,20240700,20241000,20240500
2024-02-22 17:00:00,21.97,22.03,22.19,20240700,20241000,20240500
2024-02-23 06:00:00,21.63,21.68,21.82,20240700,20241000,20240500
2024-02-23 08:00:00,22.06,22.1,22.28,20240700,20241000,20240500
2024-02-23 09:00:00,22.09,22.16,22.32,20240700,20241000,20240500
2024-02-23 10:00:00,22.11,22.14,22.32,20240700,20241000,20240500
2024-02-23 11:00:00,22.0,22.01,22.21,20240700,20241000,20240500
2024-02-23 12:00:00,21.98,22.0,22.21,20240700,20241000,20240500
2024-02-23 13:00:00,21.81,21.85,22.02,20240700,20241000,20240500
2024-02-23 14:00:00,21.63,21.67,21.85,20240700,20241000,20240500
2024-02-23 15:00:00,21.61,21.66,21.82,20240700,20241000,20240500
2024-02-23 16:00:00,21.62,21.67,21.83,20240700,20241000,20240500
2024-02-23 17:00:00,21.6,21.66,21.79,20240700,20241000,20240500
2024-02-26 06:00:00,21.92,21.94,22.16,20240700,20241000,20240500
2024-02-26 08:00:00,21.58,21.64,21.76,20240700,20241000,20240500
2024-02-26 09:00:00,21.69,21.74,21.87,20240700,20241000,20240500
2024-02-26 10:00:00,21.75,21.79,21.95,20240700,20241000,20240500
2024-02-26 11:00:00,21.85,21.88,22.05,20240700,20241000,20240500
2024-02-26 12:00:00,21.88,21.9,22.08,20240700,20241000,20240500
2024-02-26 13:00:00,21.83,21.87,22.01,20240700,20241000,20240500
2024-02-26 14:00:00,21.9,21.92,22.12,20240700,20241000,20240500
2024-02-26 15:00:00,21.8,21.84,22.02,20240700,20241000,20240500
2024-02-26 16:00:00,21.98,22.02,22.21,20240700,20241000,20240500
2024-02-26 17:00:00,21.89,21.92,22.14,20240700,20241000,20240500
2024-02-27 06:00:00,22.37,22.37,22.68,20240700,20241000,20240500
2024-02-27 08:00:00,21.96,21.98,22.23,20240700,20241000,20240500
2024-02-27 09:00:00,22.02,22.05,22.29,20240700,20241000,20240500
2024-02-27 10:00:00,22.0,22.02,22.26,20240700,20241000,20240500
2024-02-27 11:00:00,21.95,21.96,22.23,20240700,20241000,20240500
2024-02-27 12:00:00,22.0,22.02,22.28,20240700,20241000,20240500
2024-02-27 13:00:00,22.06,22.06,22.35,20240700,20241000,20240500
2024-02-27 14:00:00,22.07,22.09,22.36,20240700,20241000,20240500
2024-02-27 15:00:00,22.05,22.08,22.34,20240700,20241000,20240500
2024-02-27 16:00:00,22.11,22.12,22.41,20240700,20241000,20240500
