DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-01-11 06:00:00,38.75,20240500,38.75,20240700,38.76,20240900
2024-01-12 06:00:00,39.21,20240500,39.2,20240700,39.13,20240900
2024-01-16 06:00:00,39.61,20240500,39.6,20240700,39.53,20240900
2024-01-16 17:00:00,39.5,20240500,,20240700,,20240900
2024-01-17 06:00:00,39.61,20240500,39.6,20240700,39.55,20240900
2024-01-17 14:00:00,39.61,20240500,39.61,20240700,,20240900
2024-01-18 06:00:00,39.61,20240500,39.6,20240700,39.55,20240900
2024-01-19 06:00:00,40.75,20240500,40.46,20240700,40.5,20240900
2024-01-19 14:00:00,40.3,20240500,,20240700,40.0,20240900
2024-01-19 15:00:00,,20240500,,20240700,40.5,20240900
2024-01-19 16:00:00,40.75,20240500,,20240700,,20240900
2024-01-22 06:00:00,41.5,20240500,40.51,20240700,40.52,20240900
2024-01-22 14:00:00,,20240500,38.75,20240700,,20240900
2024-01-22 15:00:00,40.75,20240500,,20240700,,20240900
2024-01-22 16:00:00,41.5,20240500,,20240700,,20240900
2024-01-23 06:00:00,41.95,20240500,41.0,20240700,41.0,20240900
2024-01-23 14:00:00,41.75,20240500,41.0,20240700,,20240900
2024-01-23 16:00:00,40.6,20240500,41.0,20240700,41.0,20240900
2024-01-23 17:00:00,42.0,20240500,,20240700,,20240900
2024-01-24 06:00:00,41.25,20240500,41.5,20240700,41.21,20240900
2024-01-24 16:00:00,40.75,20240500,41.0,20240700,,20240900
2024-01-24 17:00:00,40.75,20240500,41.0,20240700,,20240900
2024-01-25 06:00:00,41.23,20240500,41.47,20240700,41.18,20240900
2024-01-25 15:00:00,40.76,20240500,41.0,20240700,,20240900
2024-01-25 17:00:00,40.75,20240500,41.0,20240700,,20240900
2024-01-26 06:00:00,41.23,20240500,41.47,20240700,41.18,20240900
2024-01-26 16:00:00,39.95,20240500,,20240700,,20240900
2024-01-29 06:00:00,42.46,20240500,41.94,20240700,41.59,20240900
2024-01-29 14:00:00,42.31,20240500,,20240700,,20240900
2024-01-29 15:00:00,42.51,20240500,42.0,20240700,,20240900
2024-01-30 06:00:00,41.49,20240500,41.5,20240700,41.15,20240900
2024-01-30 15:00:00,42.0,20240500,,20240700,,20240900
2024-01-31 06:00:00,41.49,20240500,41.5,20240700,41.15,20240900
2024-02-01 06:00:00,41.93,20240500,41.94,20240700,41.59,20240900
2024-02-02 06:00:00,42.44,20240500,41.94,20240700,41.59,20240900
2024-02-02 14:00:00,42.0,20240500,,20240700,,20240900
2024-02-02 15:00:00,42.0,20240500,,20240700,,20240900
2024-02-05 06:00:00,42.0,20240500,41.62,20240700,41.27,20240900
2024-02-05 14:00:00,42.0,20240500,,20240700,,20240900
2024-02-05 15:00:00,42.0,20240500,,20240700,,20240900
2024-02-06 06:00:00,41.98,20240500,41.71,20240700,41.36,20240900
2024-02-06 17:00:00,41.5,20240500,,20240700,,20240900
2024-02-07 06:00:00,41.89,20240500,41.62,20240700,41.27,20240900
2024-02-08 06:00:00,41.89,20240500,41.62,20240700,41.27,20240900
2024-02-09 06:00:00,41.89,20240500,41.62,20240700,41.27,20240900
2024-02-12 06:00:00,41.89,20240500,41.62,20240700,41.27,20240900
2024-02-13 06:00:00,41.89,20240500,41.62,20240700,41.27,20240900
2024-02-14 06:00:00,41.89,20240500,41.62,20240700,41.27,20240900
2024-02-15 06:00:00,41.89,20240500,41.62,20240700,41.27,20240900
2024-02-16 06:00:00,41.89,20240500,41.62,20240700,41.27,20240900
2024-02-20 06:00:00,41.89,20240500,41.62,20240700,41.27,20240900
2024-02-21 06:00:00,41.89,20240500,41.62,20240700,41.27,20240900
2024-02-22 06:00:00,41.8,20240500,41.53,20240700,41.18,20240900
2024-02-23 06:00:00,41.8,20240500,41.53,20240700,41.18,20240900
2024-02-26 06:00:00,41.8,20240500,41.53,20240700,41.18,20240900
2024-02-27 06:00:00,41.8,20240500,41.53,20240700,41.18,20240900
2024-02-28 06:00:00,41.0,20240500,41.24,20240700,41.18,20240900
2024-02-28 17:00:00,41.0,20240500,,20240700,,20240900
2024-02-29 06:00:00,41.0,20240500,41.24,20240700,41.18,20240900
2024-03-01 06:00:00,41.0,20240500,41.24,20240700,41.18,20240900
