DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-06-11 23:00:00,509.65,20241200,,20240900,509.65,20241200
2024-06-12 05:00:00,,20241200,508.65,20240900,,20241200
2024-06-12 13:00:00,,20241200,513.3,20240900,,20241200
2024-06-12 14:00:00,,20241200,512.65,20240900,,20241200
2024-06-12 18:00:00,,20241200,510.45,20240900,,20241200
2024-06-12 23:00:00,510.1,20241200,,20240900,510.1,20241200
2024-06-13 05:00:00,,20241200,507.55,20240900,,20241200
2024-06-13 15:00:00,,20241200,505.65,20240900,,20241200
2024-06-13 16:00:00,,20241200,505.6,20240900,,20241200
2024-06-13 23:00:00,509.3,20241200,,20240900,509.3,20241200
2024-06-14 05:00:00,,20241200,505.95,20240900,,20241200
2024-06-14 13:00:00,,20241200,504.25,20240900,,20241200
2024-06-14 14:00:00,,20241200,504.95,20240900,,20241200
2024-06-14 15:00:00,,20241200,505.45,20240900,,20241200
2024-06-14 16:00:00,,20241200,506.5,20240900,,20241200
2024-06-14 17:00:00,,20241200,506.85,20240900,,20241200
2024-06-14 18:00:00,,20241200,505.45,20240900,,20241200
2024-06-14 19:00:00,,20241200,505.95,20240900,,20241200
2024-06-14 20:00:00,,20241200,505.5,20240900,,20241200
2024-06-14 23:00:00,507.5,20241200,,20240900,507.5,20241200
2024-06-17 05:00:00,,20241200,510.15,20240900,,20241200
2024-06-17 13:00:00,,20241200,504.9,20240900,,20241200
2024-06-17 14:00:00,,20241200,505.8,20240900,,20241200
2024-06-17 15:00:00,,20241200,506.1,20240900,,20241200
2024-06-17 16:00:00,,20241200,507.9,20240900,,20241200
2024-06-17 17:00:00,,20241200,508.05,20240900,,20241200
2024-06-17 18:00:00,,20241200,509.15,20240900,,20241200
2024-06-17 19:00:00,,20241200,510.1,20240900,,20241200
2024-06-17 23:00:00,511.45,20241200,,20240900,511.45,20241200
2024-06-18 05:00:00,,20241200,513.3,20240900,,20241200
2024-06-18 13:00:00,,20241200,511.85,20240900,,20241200
2024-06-18 14:00:00,,20241200,511.35,20240900,,20241200
2024-06-18 15:00:00,,20241200,512.65,20240900,,20241200
2024-06-18 16:00:00,,20241200,512.75,20240900,,20241200
2024-06-18 17:00:00,,20241200,512.85,20240900,,20241200
2024-06-18 18:00:00,,20241200,512.1,20240900,,20241200
2024-06-18 19:00:00,,20241200,513.5,20240900,,20241200
2024-06-18 23:00:00,514.65,20241200,,20240900,514.65,20241200
2024-06-20 05:00:00,,20241200,515.9,20240900,,20241200
2024-06-20 13:00:00,,20241200,513.5,20240900,,20241200
2024-06-20 14:00:00,,20241200,511.95,20240900,,20241200
2024-06-20 15:00:00,,20241200,512.5,20240900,,20241200
2024-06-20 16:00:00,,20241200,514.35,20240900,,20241200
2024-06-20 17:00:00,,20241200,515.55,20240900,,20241200
2024-06-20 18:00:00,,20241200,517.3,20240900,,20241200
2024-06-20 19:00:00,,20241200,515.9,20240900,,20241200
2024-06-20 23:00:00,517.5,20241200,,20240900,517.5,20241200
2024-06-21 05:00:00,,20241200,514.2,20240900,,20241200
2024-06-21 13:00:00,,20241200,513.5,20240900,,20241200
2024-06-21 14:00:00,,20241200,513.4,20240900,,20241200
2024-06-21 15:00:00,,20241200,511.9,20240900,,20241200
2024-06-21 16:00:00,,20241200,513.05,20240900,,20241200
2024-06-21 17:00:00,,20241200,513.7,20240900,,20241200
2024-06-21 18:00:00,,20241200,513.7,20240900,,20241200
2024-06-21 19:00:00,,20241200,514.25,20240900,,20241200
2024-06-21 23:00:00,515.8,20241200,,20240900,515.8,20241200
2024-06-24 05:00:00,,20241200,519.25,20240900,,20241200
2024-06-24 13:00:00,,20241200,518.45,20240900,,20241200
2024-06-24 14:00:00,,20241200,521.4,20240900,,20241200
2024-06-24 15:00:00,,20241200,521.0,20240900,,20241200
2024-06-24 16:00:00,,20241200,520.65,20240900,,20241200
2024-06-24 17:00:00,,20241200,519.95,20240900,,20241200
2024-06-24 18:00:00,,20241200,520.05,20240900,,20241200
2024-06-24 19:00:00,,20241200,519.15,20240900,,20241200
2024-06-24 23:00:00,521.1,20241200,,20240900,521.1,20241200
2024-06-25 05:00:00,,20241200,514.65,20240900,,20241200
2024-06-25 13:00:00,,20241200,517.55,20240900,,20241200
2024-06-25 14:00:00,,20241200,516.45,20240900,,20241200
2024-06-25 15:00:00,,20241200,515.0,20240900,,20241200
2024-06-25 16:00:00,,20241200,514.65,20240900,,20241200
2024-06-25 17:00:00,,20241200,515.3,20240900,,20241200
2024-06-25 18:00:00,,20241200,515.0,20240900,,20241200
2024-06-25 19:00:00,,20241200,514.6,20240900,,20241200
2024-06-25 20:00:00,,20241200,514.75,20240900,,20241200
2024-06-25 23:00:00,516.7,20241200,,20240900,516.7,20241200
2024-06-26 05:00:00,,20241200,512.25,20240900,,20241200
2024-06-26 13:00:00,,20241200,511.05,20240900,,20241200
2024-06-26 14:00:00,,20241200,510.6,20240900,,20241200
