DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-03-15 10:00:00,1498.5,,,20240600,20240900,20240900
2024-03-15 13:00:00,1479.2,,,20240600,20240900,20240900
2024-03-15 14:00:00,1483.7,,,20240600,20240900,20240900
2024-03-15 15:00:00,1479.5,,,20240600,20240900,20240900
2024-03-15 16:00:00,1479.4,,,20240600,20240900,20240900
2024-03-15 17:00:00,1481.1,,,20240600,20240900,20240900
2024-03-15 18:00:00,1483.2,,,20240600,20240900,20240900
2024-03-15 19:00:00,1483.0,,,20240600,20240900,20240900
2024-03-18 05:00:00,1482.6,1487.5,1487.5,20240600,20240900,20240900
2024-03-18 13:00:00,1485.3,,,20240600,20240900,20240900
2024-03-18 14:00:00,1487.4,,,20240600,20240900,20240900
2024-03-18 15:00:00,1488.1,,,20240600,20240900,20240900
2024-03-18 16:00:00,1488.7,,,20240600,20240900,20240900
2024-03-18 17:00:00,1486.5,,,20240600,20240900,20240900
2024-03-18 18:00:00,1484.7,,,20240600,20240900,20240900
2024-03-18 19:00:00,1483.2,,,20240600,20240900,20240900
2024-03-19 05:00:00,1492.3,1497.3,1497.3,20240600,20240900,20240900
2024-03-19 13:00:00,1485.1,,,20240600,20240900,20240900
2024-03-19 14:00:00,1485.5,,,20240600,20240900,20240900
2024-03-19 15:00:00,1487.2,,,20240600,20240900,20240900
2024-03-19 16:00:00,1487.8,,,20240600,20240900,20240900
2024-03-19 17:00:00,1488.2,,,20240600,20240900,20240900
2024-03-19 18:00:00,1488.4,,,20240600,20240900,20240900
2024-03-19 19:00:00,1492.0,,,20240600,20240900,20240900
2024-03-20 05:00:00,1488.8,1494.2,1494.2,20240600,20240900,20240900
2024-03-20 13:00:00,1485.2,,,20240600,20240900,20240900
2024-03-20 14:00:00,1486.5,,,20240600,20240900,20240900
2024-03-20 15:00:00,1485.2,,,20240600,20240900,20240900
2024-03-20 16:00:00,1484.7,,,20240600,20240900,20240900
2024-03-20 17:00:00,1482.0,,,20240600,20240900,20240900
2024-03-20 18:00:00,1484.4,,,20240600,20240900,20240900
2024-03-20 19:00:00,1488.6,,,20240600,20240900,20240900
2024-03-21 05:00:00,1490.2,1495.9,1495.9,20240600,20240900,20240900
2024-03-21 13:00:00,1491.2,,,20240600,20240900,20240900
2024-03-21 14:00:00,1493.9,,,20240600,20240900,20240900
2024-03-21 15:00:00,1494.8,,,20240600,20240900,20240900
2024-03-21 16:00:00,1492.3,,,20240600,20240900,20240900
2024-03-21 17:00:00,1493.8,,,20240600,20240900,20240900
2024-03-21 19:00:00,1489.9,,,20240600,20240900,20240900
2024-03-22 05:00:00,1487.0,1493.4,1493.4,20240600,20240900,20240900
2024-03-22 13:00:00,1492.9,,,20240600,20240900,20240900
2024-03-22 14:00:00,1486.4,,,20240600,20240900,20240900
2024-03-22 15:00:00,1486.6,,,20240600,20240900,20240900
2024-03-22 16:00:00,1485.6,,,20240600,20240900,20240900
2024-03-22 17:00:00,1488.1,,,20240600,20240900,20240900
2024-03-22 19:00:00,1486.7,,,20240600,20240900,20240900
2024-03-25 05:00:00,1484.6,1490.3,1490.3,20240600,20240900,20240900
2024-03-25 13:00:00,1489.0,,,20240600,20240900,20240900
2024-03-25 14:00:00,1483.7,,,20240600,20240900,20240900
2024-03-25 15:00:00,1485.6,,,20240600,20240900,20240900
2024-03-25 16:00:00,1484.4,,,20240600,20240900,20240900
2024-03-25 17:00:00,1484.3,,,20240600,20240900,20240900
2024-03-25 18:00:00,1483.4,,,20240600,20240900,20240900
2024-03-25 19:00:00,1484.9,,,20240600,20240900,20240900
2024-03-26 05:00:00,1489.9,1495.6,1495.6,20240600,20240900,20240900
2024-03-26 13:00:00,1486.0,,,20240600,20240900,20240900
2024-03-26 14:00:00,1489.3,,,20240600,20240900,20240900
2024-03-26 15:00:00,1491.0,,,20240600,20240900,20240900
2024-03-26 16:00:00,1490.4,,,20240600,20240900,20240900
2024-03-26 17:00:00,1489.4,,,20240600,20240900,20240900
2024-03-26 18:00:00,1490.0,,,20240600,20240900,20240900
2024-03-26 19:00:00,1490.2,,,20240600,20240900,20240900
2024-03-27 05:00:00,1509.2,1514.8,1514.8,20240600,20240900,20240900
2024-03-27 13:00:00,1503.2,,,20240600,20240900,20240900
2024-03-27 14:00:00,1499.8,,,20240600,20240900,20240900
2024-03-27 15:00:00,1499.9,,,20240600,20240900,20240900
2024-03-27 16:00:00,1503.6,,,20240600,20240900,20240900
2024-03-27 17:00:00,1502.3,,,20240600,20240900,20240900
2024-03-27 18:00:00,1503.1,,,20240600,20240900,20240900
2024-03-27 19:00:00,1509.7,,,20240600,20240900,20240900
2024-03-28 05:00:00,1511.3,1517.6,1517.6,20240600,20240900,20240900
2024-03-28 13:00:00,1512.7,,,20240600,20240900,20240900
2024-03-28 14:00:00,1512.7,,,20240600,20240900,20240900
2024-03-28 15:00:00,1511.9,,,20240600,20240900,20240900
2024-03-28 16:00:00,1512.0,,,20240600,20240900,20240900
2024-03-28 17:00:00,1511.6,,,20240600,20240900,20240900
2024-03-28 18:00:00,1514.1,,,20240600,20240900,20240900
2024-03-28 19:00:00,1509.5,,,20240600,20240900,20240900
2024-04-01 05:00:00,1496.2,1503.0,1503.0,20240600,20240900,20240900
2024-04-01 13:00:00,1496.1,,,20240600,20240900,20240900
2024-04-01 14:00:00,1493.0,,,20240600,20240900,20240900
2024-04-01 15:00:00,1491.9,,,20240600,20240900,20240900
2024-04-01 16:00:00,1493.7,,,20240600,20240900,20240900
2024-04-01 17:00:00,1493.4,,,20240600,20240900,20240900
2024-04-01 18:00:00,1492.4,,,20240600,20240900,20240900
2024-04-01 19:00:00,1496.0,,,20240600,20240900,20240900
2024-04-01 20:00:00,1486.3,,,20240600,20240900,20240900
2024-04-02 05:00:00,1471.6,1478.3,1478.3,20240600,20240900,20240900
2024-04-02 12:00:00,1486.1,,,20240600,20240900,20240900
2024-04-02 13:00:00,1472.0,,,20240600,20240900,20240900
2024-04-02 14:00:00,1468.7,,,20240600,20240900,20240900
2024-04-02 15:00:00,1467.3,,,20240600,20240900,20240900
2024-04-02 16:00:00,1466.9,,,20240600,20240900,20240900
2024-04-02 17:00:00,1467.4,,,20240600,20240900,20240900
2024-04-02 18:00:00,1468.6,,,20240600,20240900,20240900
2024-04-02 19:00:00,1471.3,,,20240600,20240900,20240900
2024-04-03 05:00:00,1470.0,1476.9,1476.9,20240600,20240900,20240900
2024-04-03 13:00:00,1475.4,,,20240600,20240900,20240900
2024-04-03 14:00:00,1475.0,,,20240600,20240900,20240900
2024-04-03 15:00:00,1474.3,,,20240600,20240900,20240900
2024-04-03 16:00:00,1473.3,,,20240600,20240900,20240900
2024-04-03 17:00:00,1473.4,,,20240600,20240900,20240900
2024-04-03 18:00:00,1471.3,,,20240600,20240900,20240900
2024-04-03 19:00:00,1469.8,,,20240600,20240900,20240900
2024-04-04 05:00:00,1448.9,1455.3,1455.3,20240600,20240900,20240900
2024-04-04 08:00:00,1480.0,,,20240600,20240900,20240900
2024-04-04 12:00:00,1475.0,,,20240600,20240900,20240900
2024-04-04 13:00:00,1473.3,,,20240600,20240900,20240900
2024-04-04 14:00:00,1468.5,,,20240600,20240900,20240900
2024-04-04 15:00:00,1470.4,,,20240600,20240900,20240900
2024-04-04 16:00:00,1470.5,,,20240600,20240900,20240900
2024-04-04 17:00:00,1466.9,,,20240600,20240900,20240900
2024-04-04 18:00:00,1454.9,,,20240600,20240900,20240900
2024-04-04 19:00:00,1448.9,,,20240600,20240900,20240900
2024-04-05 05:00:00,1461.7,1469.4,1469.4,20240600,20240900,20240900
2024-04-05 13:00:00,1454.3,,,20240600,20240900,20240900
2024-04-05 14:00:00,1457.2,,,20240600,20240900,20240900
2024-04-05 15:00:00,1463.4,,,20240600,20240900,20240900
