DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2025-06-12 15:25:00,,20251200,938.0,20250900,,20251200
2025-06-12 16:00:00,,20251200,938.0,20250900,,20251200
2025-06-12 17:00:00,,20251200,938.0,20250900,,20251200
2025-06-12 18:00:00,,20251200,938.0,20250900,,20251200
2025-06-12 19:00:00,,20251200,942.8,20250900,,20251200
2025-06-12 20:00:00,,20251200,942.8,20250900,,20251200
2025-06-12 23:00:00,950.1,20251200,942.8,20250900,950.1,20251200
2025-06-13 13:30:00,,20251200,938.2,20250900,,20251200
2025-06-13 14:00:00,,20251200,939.0,20250900,,20251200
2025-06-13 15:00:00,,20251200,941.5,20250900,,20251200
2025-06-13 16:00:00,,20251200,942.1,20250900,,20251200
2025-06-13 17:00:00,,20251200,937.7,20250900,,20251200
2025-06-13 18:00:00,,20251200,930.1,20250900,,20251200
2025-06-13 19:00:00,,20251200,930.4,20250900,,20251200
2025-06-13 20:00:00,,20251200,930.4,20250900,,20251200
2025-06-13 23:00:00,938.7,20251200,930.5,20250900,938.7,20251200
2025-06-16 13:30:00,,20251200,939.4,20250900,,20251200
2025-06-16 14:00:00,,20251200,942.1,20250900,,20251200
2025-06-16 15:00:00,,20251200,938.5,20250900,,20251200
2025-06-16 16:00:00,,20251200,939.8,20250900,,20251200
2025-06-16 17:00:00,,20251200,941.1,20250900,,20251200
2025-06-16 18:00:00,,20251200,938.2,20250900,,20251200
2025-06-16 19:00:00,,20251200,938.3,20250900,,20251200
2025-06-16 20:00:00,,20251200,938.3,20250900,,20251200
2025-06-16 23:00:00,946.4,20251200,938.3,20250900,946.4,20251200
2025-06-17 13:30:00,,20251200,937.0,20250900,,20251200
2025-06-17 14:00:00,,20251200,933.8,20250900,,20251200
2025-06-17 15:00:00,,20251200,934.3,20250900,,20251200
2025-06-17 16:00:00,,20251200,933.9,20250900,,20251200
2025-06-17 17:00:00,,20251200,931.7,20250900,,20251200
2025-06-17 18:00:00,,20251200,931.1,20250900,,20251200
2025-06-17 19:00:00,,20251200,929.5,20250900,,20251200
2025-06-17 20:00:00,,20251200,929.5,20250900,,20251200
2025-06-17 23:00:00,937.4,20251200,929.5,20250900,937.4,20251200
2025-06-18 13:30:00,,20251200,932.9,20250900,,20251200
2025-06-18 14:00:00,,20251200,931.9,20250900,,20251200
2025-06-18 15:00:00,,20251200,932.6,20250900,,20251200
2025-06-18 16:00:00,,20251200,932.0,20250900,,20251200
2025-06-18 17:00:00,,20251200,931.9,20250900,,20251200
2025-06-18 18:00:00,,20251200,927.3,20250900,,20251200
2025-06-18 19:00:00,,20251200,926.1,20250900,,20251200
2025-06-18 20:00:00,,20251200,926.1,20250900,,20251200
2025-06-18 23:00:00,933.8,20251200,926.1,20250900,933.8,20251200
2025-06-20 13:30:00,,20251200,928.6,20250900,,20251200
2025-06-20 14:00:00,,20251200,923.8,20250900,,20251200
2025-06-20 15:00:00,,20251200,925.7,20250900,,20251200
2025-06-20 16:00:00,,20251200,922.5,20250900,,20251200
2025-06-20 17:00:00,,20251200,919.0,20250900,,20251200
2025-06-20 18:00:00,,20251200,921.1,20250900,,20251200
2025-06-20 19:00:00,,20251200,919.8,20250900,,20251200
2025-06-20 20:00:00,,20251200,919.8,20250900,,20251200
2025-06-20 23:00:00,927.6,20251200,919.4,20250900,927.6,20251200
2025-06-23 13:30:00,,20251200,921.1,20250900,,20251200
2025-06-23 14:00:00,,20251200,922.3,20250900,,20251200
2025-06-23 15:00:00,,20251200,919.4,20250900,,20251200
2025-06-23 16:00:00,,20251200,915.0,20250900,,20251200
2025-06-23 17:00:00,,20251200,922.8,20250900,,20251200
2025-06-23 18:00:00,,20251200,924.6,20250900,,20251200
2025-06-23 19:00:00,,20251200,929.6,20250900,,20251200
2025-06-23 20:00:00,,20251200,929.6,20250900,,20251200
2025-06-23 23:00:00,938.2,20251200,929.7,20250900,938.2,20251200
2025-06-24 13:30:00,,20251200,930.9,20250900,,20251200
2025-06-24 14:00:00,,20251200,937.8,20250900,,20251200
2025-06-24 15:00:00,,20251200,937.5,20250900,,20251200
2025-06-24 16:00:00,,20251200,936.7,20250900,,20251200
2025-06-24 17:00:00,,20251200,935.4,20250900,,20251200
2025-06-24 18:00:00,,20251200,935.6,20250900,,20251200
2025-06-24 19:00:00,,20251200,937.2,20250900,,20251200
2025-06-24 20:00:00,,20251200,937.2,20250900,,20251200
2025-06-24 23:00:00,945.8,20251200,937.3,20250900,945.8,20251200
2025-06-25 13:30:00,,20251200,931.7,20250900,,20251200
2025-06-25 14:00:00,,20251200,930.6,20250900,,20251200
2025-06-25 15:00:00,,20251200,930.6,20250900,,20251200
2025-06-25 16:00:00,,20251200,928.6,20250900,,20251200
2025-06-25 17:00:00,,20251200,929.2,20250900,,20251200
2025-06-25 18:00:00,,20251200,929.9,20250900,,20251200
2025-06-25 19:00:00,,20251200,928.6,20250900,,20251200
2025-06-25 20:00:00,,20251200,928.6,20250900,,20251200
2025-06-25 23:00:00,937.1,20251200,928.6,20250900,937.1,20251200
2025-06-26 13:30:00,,20251200,936.3,20250900,,20251200
2025-06-26 14:00:00,,20251200,939.7,20250900,,20251200
2025-06-26 15:00:00,,20251200,939.2,20250900,,20251200
2025-06-26 16:00:00,,20251200,941.0,20250900,,20251200
2025-06-26 17:00:00,,20251200,939.1,20250900,,20251200
2025-06-26 18:00:00,,20251200,937.8,20250900,,20251200
2025-06-26 19:00:00,,20251200,938.8,20250900,,20251200
2025-06-26 20:00:00,,20251200,938.8,20250900,,20251200
2025-06-26 23:00:00,947.1,20251200,938.9,20250900,947.1,20251200
2025-06-27 14:00:00,,20251200,941.1,20250900,,20251200
2025-06-27 15:00:00,,20251200,941.0,20250900,,20251200
2025-06-27 16:00:00,,20251200,941.2,20250900,,20251200
2025-06-27 17:00:00,,20251200,938.0,20250900,,20251200
2025-06-27 18:00:00,,20251200,935.9,20250900,,20251200
2025-06-27 19:00:00,,20251200,940.0,20250900,,20251200
2025-06-27 20:00:00,,20251200,939.5,20250900,,20251200
2025-06-27 23:00:00,948.0,20251200,940.0,20250900,948.0,20251200
