DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-12 14:00:00,826.5,,,20250900,20251200,20251200
2025-06-12 19:00:00,829.2,,,20250900,20251200,20251200
2025-06-12 23:00:00,828.7,832.6,832.6,20250900,20251200,20251200
2025-06-13 13:00:00,828.0,,,20250900,20251200,20251200
2025-06-13 14:00:00,826.6,,,20250900,20251200,20251200
2025-06-13 15:00:00,826.8,,,20250900,20251200,20251200
2025-06-13 16:00:00,826.1,,,20250900,20251200,20251200
2025-06-13 17:00:00,824.1,,,20250900,20251200,20251200
2025-06-13 18:00:00,824.5,,,20250900,20251200,20251200
2025-06-13 19:00:00,824.0,,,20250900,20251200,20251200
2025-06-13 23:00:00,823.1,827.3,827.3,20250900,20251200,20251200
2025-06-16 09:00:00,820.8,,,20250900,20251200,20251200
2025-06-16 13:00:00,830.4,,,20250900,20251200,20251200
2025-06-16 14:00:00,828.9,,,20250900,20251200,20251200
2025-06-16 15:00:00,825.6,,,20250900,20251200,20251200
2025-06-16 16:00:00,821.9,,,20250900,20251200,20251200
2025-06-16 17:00:00,821.3,,,20250900,20251200,20251200
2025-06-16 18:00:00,819.6,,,20250900,20251200,20251200
2025-06-16 19:00:00,820.1,,,20250900,20251200,20251200
2025-06-16 23:00:00,819.4,823.2,823.2,20250900,20251200,20251200
2025-06-17 13:00:00,816.9,,,20250900,20251200,20251200
2025-06-17 14:00:00,815.6,,,20250900,20251200,20251200
2025-06-17 15:00:00,813.4,,,20250900,20251200,20251200
2025-06-17 16:00:00,814.1,,,20250900,20251200,20251200
2025-06-17 17:00:00,811.6,,,20250900,20251200,20251200
2025-06-17 18:00:00,812.2,,,20250900,20251200,20251200
2025-06-17 19:00:00,813.2,,,20250900,20251200,20251200
2025-06-17 23:00:00,813.0,816.7,816.7,20250900,20251200,20251200
2025-06-18 13:00:00,812.2,,,20250900,20251200,20251200
2025-06-18 14:00:00,814.0,,,20250900,20251200,20251200
2025-06-18 15:00:00,814.0,,,20250900,20251200,20251200
2025-06-18 16:00:00,814.5,,,20250900,20251200,20251200
2025-06-18 17:00:00,814.4,,,20250900,20251200,20251200
2025-06-18 18:00:00,815.5,,,20250900,20251200,20251200
2025-06-18 19:00:00,814.6,,,20250900,20251200,20251200
2025-06-18 23:00:00,813.8,818.2,818.2,20250900,20251200,20251200
2025-06-20 13:00:00,818.6,,,20250900,20251200,20251200
2025-06-20 14:00:00,819.3,,,20250900,20251200,20251200
2025-06-20 15:00:00,820.0,,,20250900,20251200,20251200
2025-06-20 16:00:00,817.9,,,20250900,20251200,20251200
2025-06-20 17:00:00,817.6,,,20250900,20251200,20251200
2025-06-20 18:00:00,817.3,,,20250900,20251200,20251200
2025-06-20 19:00:00,816.0,,,20250900,20251200,20251200
2025-06-20 23:00:00,816.0,820.8,820.8,20250900,20251200,20251200
2025-06-23 13:00:00,826.4,,,20250900,20251200,20251200
2025-06-23 14:00:00,822.9,,,20250900,20251200,20251200
2025-06-23 15:00:00,821.2,,,20250900,20251200,20251200
2025-06-23 16:00:00,819.8,,,20250900,20251200,20251200
2025-06-23 17:00:00,826.0,,,20250900,20251200,20251200
2025-06-23 18:00:00,822.3,,,20250900,20251200,20251200
2025-06-23 19:00:00,826.8,,,20250900,20251200,20251200
