DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-02-25 23:00:00,110.40625,,,20240600,20240900,20240900
2024-02-26 00:00:00,110.5625,,,20240600,20240900,20240900
2024-02-26 01:00:00,110.609375,,,20240600,20240900,20240900
2024-02-26 02:00:00,110.546875,,,20240600,20240900,20240900
2024-02-26 03:00:00,110.59375,,,20240600,20240900,20240900
2024-02-26 04:00:00,110.5625,,,20240600,20240900,20240900
2024-02-26 05:00:00,110.59375,,,20240600,20240900,20240900
2024-02-26 06:00:00,110.640625,110.71875,110.71875,20240600,20240900,20240900
2024-02-26 07:00:00,110.625,,,20240600,20240900,20240900
2024-02-26 08:00:00,110.515625,,,20240600,20240900,20240900
2024-02-26 09:00:00,110.546875,111.234375,111.234375,20240600,20240900,20240900
2024-02-26 10:00:00,110.5,,,20240600,20240900,20240900
2024-02-26 11:00:00,110.484375,,,20240600,20240900,20240900
2024-02-26 12:00:00,110.46875,,,20240600,20240900,20240900
2024-02-26 13:00:00,110.484375,,,20240600,20240900,20240900
2024-02-26 14:00:00,110.375,110.875,110.875,20240600,20240900,20240900
2024-02-26 15:00:00,110.265625,110.828125,110.828125,20240600,20240900,20240900
2024-02-26 16:00:00,110.203125,110.84375,110.84375,20240600,20240900,20240900
2024-02-26 17:00:00,110.125,,,20240600,20240900,20240900
2024-02-26 18:00:00,110.15625,110.59375,110.59375,20240600,20240900,20240900
2024-02-26 19:00:00,110.15625,,,20240600,20240900,20240900
2024-02-26 20:00:00,110.28125,,,20240600,20240900,20240900
2024-02-26 21:00:00,110.234375,,,20240600,20240900,20240900
2024-02-26 23:00:00,110.234375,,,20240600,20240900,20240900
2024-02-27 00:00:00,110.265625,,,20240600,20240900,20240900
2024-02-27 01:00:00,110.28125,,,20240600,20240900,20240900
2024-02-27 02:00:00,110.28125,,,20240600,20240900,20240900
2024-02-27 03:00:00,110.265625,,,20240600,20240900,20240900
2024-02-27 04:00:00,110.25,110.84375,110.84375,20240600,20240900,20240900
2024-02-27 05:00:00,110.234375,,,20240600,20240900,20240900
2024-02-27 06:00:00,110.171875,110.578125,110.578125,20240600,20240900,20240900
2024-02-27 07:00:00,110.296875,,,20240600,20240900,20240900
2024-02-27 08:00:00,110.328125,,,20240600,20240900,20240900
2024-02-27 09:00:00,110.328125,,,20240600,20240900,20240900
