DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2023-09-08 08:00:00,663.25,20240900,,20241200,,20251200
2023-09-08 09:00:00,660.75,20240900,673.75,20241200,,20251200
2023-09-08 10:00:00,660.0,20240900,674.25,20241200,,20251200
2023-09-08 11:00:00,660.75,20240900,675.25,20241200,,20251200
2023-09-08 12:00:00,662.5,20240900,677.75,20241200,,20251200
2023-09-08 13:00:00,656.25,20240900,672.0,20241200,,20251200
2023-09-08 14:00:00,662.25,20240900,676.75,20241200,,20251200
2023-09-08 15:00:00,658.25,20240900,673.5,20241200,,20251200
2023-09-08 16:00:00,659.0,20240900,673.0,20241200,,20251200
2023-09-08 17:00:00,659.75,20240900,674.0,20241200,,20251200
2023-09-08 18:00:00,660.0,20240900,675.25,20241200,,20251200
2023-09-11 00:00:00,659.5,20240900,,20241200,,20251200
2023-09-11 05:00:00,650.25,20240900,674.5,20241200,682.25,20251200
2023-09-11 07:00:00,657.75,20240900,,20241200,,20251200
2023-09-11 08:00:00,653.5,20240900,669.25,20241200,,20251200
2023-09-11 09:00:00,656.5,20240900,,20241200,,20251200
2023-09-11 10:00:00,656.5,20240900,,20241200,,20251200
2023-09-11 12:00:00,,20240900,671.0,20241200,,20251200
2023-09-11 13:00:00,656.25,20240900,670.0,20241200,,20251200
2023-09-11 14:00:00,648.75,20240900,664.75,20241200,,20251200
2023-09-11 15:00:00,650.5,20240900,666.25,20241200,,20251200
2023-09-11 16:00:00,652.0,20240900,667.75,20241200,,20251200
2023-09-11 17:00:00,651.0,20240900,666.5,20241200,,20251200
2023-09-11 18:00:00,650.25,20240900,665.75,20241200,,20251200
2023-09-12 03:00:00,,20240900,667.5,20241200,,20251200
2023-09-12 04:00:00,651.0,20240900,,20241200,,20251200
2023-09-12 05:00:00,652.75,20240900,668.5,20241200,687.25,20251200
2023-09-12 07:00:00,646.25,20240900,661.75,20241200,,20251200
2023-09-12 08:00:00,,20240900,660.75,20241200,,20251200
2023-09-12 09:00:00,,20240900,661.5,20241200,,20251200
2023-09-12 10:00:00,645.75,20240900,661.75,20241200,,20251200
2023-09-12 11:00:00,645.0,20240900,660.75,20241200,,20251200
2023-09-12 12:00:00,645.0,20240900,660.0,20241200,,20251200
2023-09-12 13:00:00,643.25,20240900,660.0,20241200,,20251200
2023-09-12 14:00:00,639.5,20240900,655.75,20241200,,20251200
2023-09-12 15:00:00,641.5,20240900,657.75,20241200,,20251200
2023-09-12 16:00:00,649.5,20240900,665.5,20241200,,20251200
2023-09-12 17:00:00,653.0,20240900,668.25,20241200,,20251200
2023-09-12 18:00:00,652.75,20240900,668.75,20241200,,20251200
2023-09-13 05:00:00,659.0,20240900,673.5,20241200,689.5,20251200
2023-09-13 07:00:00,657.75,20240900,671.75,20241200,,20251200
2023-09-13 08:00:00,660.0,20240900,677.25,20241200,,20251200
2023-09-13 09:00:00,662.0,20240900,676.5,20241200,,20251200
2023-09-13 10:00:00,662.0,20240900,678.0,20241200,,20251200
2023-09-13 11:00:00,660.5,20240900,677.5,20241200,,20251200
2023-09-13 12:00:00,660.5,20240900,676.75,20241200,,20251200
2023-09-13 13:00:00,659.0,20240900,673.25,20241200,,20251200
2023-09-13 14:00:00,656.5,20240900,673.25,20241200,,20251200
2023-09-13 15:00:00,659.25,20240900,673.75,20241200,,20251200
2023-09-13 16:00:00,660.0,20240900,673.5,20241200,,20251200
2023-09-13 17:00:00,659.0,20240900,674.0,20241200,,20251200
2023-09-13 18:00:00,659.25,20240900,673.0,20241200,,20251200
2023-09-14 00:00:00,658.5,20240900,,20241200,,20251200
2023-09-14 01:00:00,,20240900,673.75,20241200,,20251200
2023-09-14 05:00:00,655.5,20240900,670.0,20241200,686.25,20251200
2023-09-14 06:00:00,,20240900,670.75,20241200,,20251200
2023-09-14 08:00:00,,20240900,671.25,20241200,,20251200
2023-09-14 09:00:00,655.25,20240900,670.5,20241200,,20251200
2023-09-14 10:00:00,,20240900,672.0,20241200,,20251200
2023-09-14 11:00:00,,20240900,671.0,20241200,,20251200
2023-09-14 12:00:00,656.5,20240900,671.75,20241200,,20251200
2023-09-14 13:00:00,653.75,20240900,668.75,20241200,,20251200
2023-09-14 14:00:00,658.25,20240900,672.0,20241200,,20251200
2023-09-14 15:00:00,656.25,20240900,670.75,20241200,,20251200
2023-09-14 16:00:00,656.25,20240900,671.0,20241200,,20251200
2023-09-14 17:00:00,656.0,20240900,670.25,20241200,,20251200
2023-09-14 18:00:00,654.75,20240900,669.0,20241200,,20251200
2023-09-15 00:00:00,653.75,20240900,,20241200,,20251200
2023-09-15 01:00:00,652.75,20240900,666.25,20241200,,20251200
2023-09-15 04:00:00,,20240900,670.0,20241200,,20251200
2023-09-15 05:00:00,662.5,20240900,676.25,20241200,689.75,20251200
2023-09-15 08:00:00,,20240900,668.75,20241200,,20251200
2023-09-15 09:00:00,655.25,20240900,670.25,20241200,,20251200
2023-09-15 10:00:00,,20240900,669.25,20241200,,20251200
2023-09-15 12:00:00,655.0,20240900,668.75,20241200,,20251200
2023-09-15 13:00:00,662.75,20240900,676.25,20241200,,20251200
2023-09-15 14:00:00,662.5,20240900,677.75,20241200,,20251200
2023-09-15 15:00:00,662.5,20240900,676.5,20241200,,20251200
2023-09-15 16:00:00,662.25,20240900,675.5,20241200,,20251200
2023-09-15 17:00:00,662.5,20240900,677.0,20241200,,20251200
2023-09-15 18:00:00,663.75,20240900,676.0,20241200,,20251200
2023-09-18 00:00:00,660.75,20240900,673.75,20241200,,20251200
2023-09-18 01:00:00,,20240900,676.25,20241200,,20251200
2023-09-18 05:00:00,651.25,20240900,665.5,20241200,680.75,20251200
2023-09-18 06:00:00,,20240900,673.25,20241200,,20251200
2023-09-18 08:00:00,,20240900,673.5,20241200,,20251200
2023-09-18 10:00:00,657.0,20240900,672.0,20241200,,20251200
