DATETIME,CARRY,CARRY_CONTRACT,FORWARD,FORWARD_CONTRACT,PRICE,PRICE_CONTRACT
2006-09-12 23:00:00,63.5,20061000,64.4,20061200,63.75,20061100
2006-09-13 23:00:00,63.5,20061000,64.0,20061200,63.75,20061100
2006-09-14 23:00:00,63.65,20061000,64.65,20061200,64.25,20061100
2006-09-15 23:00:00,64.5,20061000,65.0,20061200,64.75,20061100
2006-09-18 23:00:00,64.5,20061000,65.0,20061200,64.75,20061100
2006-09-19 23:00:00,63.6,20061000,64.6,20061200,64.1,20061100
2006-09-20 23:00:00,63.0,20061000,63.5,20061200,63.25,20061100
2006-09-21 23:00:00,63.5,20061000,64.0,20061200,63.75,20061100
2006-09-22 23:00:00,63.45,20061000,64.45,20061200,64.1,20061100
2006-09-25 23:00:00,62.85,20061000,63.85,20061200,63.5,20061100
2006-09-26 23:00:00,63.1,20061000,64.1,20061200,63.75,20061100
2006-09-27 23:00:00,63.95,20061000,64.95,20061200,64.6,20061100
2006-09-28 23:00:00,65.85,20061000,66.85,20061200,66.5,20061100
2006-09-29 23:00:00,66.75,20061000,67.75,20061200,67.25,20061100
2006-10-02 23:00:00,65.0,20061000,65.5,20061200,65.25,20061100
2006-10-03 23:00:00,63.7,20061000,64.45,20061200,64.05,20061100
2006-10-04 23:00:00,63.7,20061000,64.45,20061200,64.05,20061100
2006-10-05 23:00:00,63.5,20061000,64.05,20061200,63.65,20061100
2006-10-06 23:00:00,63.85,20061000,64.9,20061200,64.45,20061100
2006-10-09 23:00:00,64.4,20061000,65.45,20061200,65.1,20061100
2006-10-10 23:00:00,64.95,20061000,66.25,20061200,65.4,20061100
2006-10-11 23:00:00,64.75,20061000,66.08,20061200,65.23,20061100
2006-10-12 23:00:00,65.9,20061100,68.1,20070100,66.85,20061200
2006-10-13 23:00:00,67.0,20061100,68.5,20070100,67.6,20061200
2006-10-16 23:00:00,66.8,20061100,67.95,20070100,67.4,20061200
2006-10-17 23:00:00,66.75,20061100,67.25,20070100,67.25,20061200
2006-10-18 23:00:00,66.95,20061100,68.15,20070100,67.55,20061200
2006-10-19 23:00:00,67.0,20061100,67.75,20070100,67.5,20061200
2006-10-20 23:00:00,67.0,20061100,67.75,20070100,67.5,20061200
2006-10-23 23:00:00,67.2,20061100,68.55,20070100,67.8,20061200
2006-10-24 23:00:00,67.7,20061100,68.8,20070100,68.4,20061200
2006-10-25 23:00:00,67.0,20061100,67.5,20070100,67.5,20061200
2006-10-26 23:00:00,67.5,20061100,68.25,20070100,68.0,20061200
2006-10-27 23:00:00,68.55,20061100,69.2,20070100,68.8,20061200
2006-10-30 23:00:00,68.55,20061100,69.2,20070100,68.8,20061200
2006-10-31 23:00:00,67.75,20061100,68.0,20070100,67.75,20061200
2006-11-01 23:00:00,68.25,20061100,68.25,20070100,68.25,20061200
2006-11-02 23:00:00,68.75,20061100,68.25,20070100,68.5,20061200
2006-11-03 23:00:00,68.75,20061100,68.5,20070100,68.5,20061200
2006-11-06 23:00:00,68.75,20061100,69.0,20070100,68.5,20061200
2006-11-07 23:00:00,68.5,20061100,68.5,20070100,67.75,20061200
2006-11-08 23:00:00,68.25,20061100,68.7,20070100,68.65,20061200
2006-11-09 23:00:00,68.1,20061100,68.0,20070100,68.25,20061200
2006-11-10 23:00:00,67.75,20061100,67.25,20070100,67.5,20061200
2006-11-13 23:00:00,67.2,20061200,66.55,20070200,66.7,20070100
2006-11-14 23:00:00,67.0,20061200,66.6,20070200,66.7,20070100
2006-11-15 23:00:00,67.1,20061200,66.95,20070200,67.15,20070100
2006-11-16 23:00:00,67.15,20061200,66.9,20070200,67.1,20070100
2006-11-17 23:00:00,66.8,20061200,66.5,20070200,66.75,20070100
2006-11-20 23:00:00,66.35,20061200,66.3,20070200,66.4,20070100
2006-11-21 23:00:00,66.45,20061200,66.35,20070200,66.4,20070100
2006-11-22 23:00:00,66.2,20061200,66.0,20070200,66.1,20070100
2006-11-23 23:00:00,66.2,20061200,65.75,20070200,66.0,20070100
2006-11-24 23:00:00,66.2,20061200,65.75,20070200,66.0,20070100
2006-11-27 23:00:00,66.5,20061200,66.75,20070200,66.75,20070100
2006-11-28 23:00:00,66.75,20061200,68.0,20070200,67.75,20070100
2006-11-29 23:00:00,67.3,20061200,68.0,20070200,67.65,20070100
2006-11-30 23:00:00,68.75,20061200,69.05,20070200,68.7,20070100
2006-12-01 23:00:00,67.0,20061200,69.75,20070200,69.75,20070100
2006-12-04 23:00:00,69.25,20061200,69.75,20070200,69.75,20070100
2006-12-05 23:00:00,68.55,20061200,68.8,20070200,68.7,20070100
2006-12-06 23:00:00,68.5,20061200,68.0,20070200,68.0,20070100
2006-12-07 23:00:00,68.0,20061200,67.25,20070200,67.25,20070100
2006-12-08 23:00:00,68.35,20061200,67.1,20070200,67.25,20070100
2006-12-11 23:00:00,68.35,20061200,67.1,20070200,67.25,20070100
2006-12-12 23:00:00,67.5,20070100,66.95,20070300,67.4,20070200
2006-12-13 23:00:00,67.7,20070100,67.1,20070300,67.35,20070200
2006-12-14 23:00:00,68.2,20070100,67.6,20070300,68.05,20070200
2006-12-15 23:00:00,67.85,20070100,67.75,20070300,67.8,20070200
2006-12-18 23:00:00,67.95,20070100,67.3,20070300,67.7,20070200
2006-12-19 23:00:00,68.0,20070100,67.7,20070300,67.9,20070200
2006-12-20 23:00:00,68.0,20070100,67.7,20070300,67.9,20070200
2006-12-21 23:00:00,68.05,20070100,67.75,20070300,67.85,20070200
2006-12-22 23:00:00,68.0,20070100,68.0,20070300,68.0,20070200
2006-12-26 23:00:00,68.0,20070100,68.0,20070300,68.0,20070200
2006-12-27 23:00:00,67.95,20070100,67.95,20070300,67.95,20070200
2006-12-28 23:00:00,68.0,20070100,67.75,20070300,67.75,20070200
2006-12-29 23:00:00,68.0,20070100,67.5,20070300,67.75,20070200
2007-01-02 23:00:00,67.5,20070100,67.0,20070300,67.25,20070200
2007-01-03 23:00:00,67.0,20070100,66.5,20070300,66.75,20070200
2007-01-04 23:00:00,65.75,20070100,65.25,20070300,65.5,20070200
2007-01-05 23:00:00,66.25,20070100,65.75,20070300,66.0,20070200
2007-01-08 23:00:00,66.25,20070100,65.55,20070300,65.95,20070200
2007-01-09 23:00:00,66.35,20070100,65.65,20070300,66.05,20070200
2007-01-10 23:00:00,66.25,20070100,65.25,20070300,65.75,20070200
2007-01-11 23:00:00,66.6,20070100,65.95,20070300,66.55,20070200
2007-01-12 23:00:00,66.8,20070200,66.15,20070400,66.3,20070300
2007-01-15 23:00:00,66.6,20070200,66.35,20070400,66.3,20070300
2007-01-16 23:00:00,67.45,20070200,67.55,20070400,67.5,20070300
2007-01-17 23:00:00,67.65,20070200,67.65,20070400,67.6,20070300
2007-01-18 23:00:00,68.05,20070200,68.8,20070400,67.9,20070300
2007-01-19 23:00:00,68.0,20070200,68.0,20070400,68.25,20070300
2007-01-22 23:00:00,68.5,20070200,68.0,20070400,68.5,20070300
2007-01-23 23:00:00,69.5,20070200,68.75,20070400,69.4,20070300
2007-01-24 23:00:00,69.6,20070200,68.7,20070400,69.4,20070300
2007-01-25 23:00:00,69.4,20070200,68.6,20070400,69.0,20070300
2007-01-26 23:00:00,69.5,20070200,68.5,20070400,69.05,20070300
2007-01-29 23:00:00,68.25,20070200,66.95,20070400,67.5,20070300
2007-01-30 23:00:00,68.1,20070200,66.65,20070400,67.2,20070300
2007-01-31 23:00:00,67.5,20070200,66.45,20070400,66.7,20070300
2007-02-01 23:00:00,68.0,20070200,66.45,20070400,67.25,20070300
2007-02-02 23:00:00,69.0,20070200,66.7,20070400,67.75,20070300
2007-02-05 23:00:00,69.0,20070200,67.15,20070400,67.75,20070300
2007-02-06 23:00:00,69.0,20070200,67.55,20070400,68.25,20070300
2007-02-07 23:00:00,69.0,20070200,68.2,20070400,68.7,20070300
2007-02-08 23:00:00,69.0,20070200,68.5,20070400,69.0,20070300
2007-02-09 23:00:00,68.8,20070300,67.85,20070500,68.6,20070400
2007-02-12 23:00:00,68.15,20070300,67.5,20070500,67.7,20070400
2007-02-13 23:00:00,68.25,20070300,67.25,20070500,67.5,20070400
2007-02-14 23:00:00,68.0,20070300,67.3,20070500,67.65,20070400
2007-02-15 23:00:00,68.0,20070300,67.4,20070500,67.65,20070400
2007-02-16 23:00:00,68.05,20070300,67.4,20070500,67.7,20070400
2007-02-19 23:00:00,68.0,20070300,67.0,20070500,67.25,20070400
2007-02-20 23:00:00,67.65,20070300,66.8,20070500,67.05,20070400
2007-02-21 23:00:00,68.05,20070300,66.3,20070500,66.55,20070400
2007-02-22 23:00:00,68.5,20070300,67.8,20070500,68.0,20070400
2007-02-23 23:00:00,68.75,20070300,68.3,20070500,68.5,20070400
2007-02-26 23:00:00,69.3,20070300,69.1,20070500,69.3,20070400
2007-02-27 23:00:00,69.25,20070300,68.95,20070500,69.15,20070400
2007-02-28 23:00:00,69.25,20070300,68.85,20070500,69.0,20070400
2007-03-01 23:00:00,69.5,20070300,69.3,20070500,69.5,20070400
2007-03-02 23:00:00,69.95,20070300,69.9,20070500,70.0,20070400
2007-03-05 23:00:00,69.55,20070300,69.15,20070500,69.35,20070400
2007-03-06 23:00:00,69.8,20070300,69.15,20070500,69.4,20070400
2007-03-07 23:00:00,70.0,20070300,69.3,20070500,69.6,20070400
2007-03-08 23:00:00,70.6,20070300,70.3,20070500,70.6,20070400
2007-03-09 23:00:00,71.45,20070300,71.7,20070500,72.15,20070400
2007-03-12 23:00:00,70.8,20070300,71.1,20070500,71.3,20070400
