DATETIME,CARRY,CARRY_CONTRACT,FORWARD,FORWARD_CONTRACT,PRICE,PRICE_CONTRACT
2021-12-13 23:00:00,1.4515,20220600,1.4515,20220600,1.4476,20220300
2021-12-14 23:00:00,1.4543,20220600,1.4543,20220600,1.4503,20220300
2021-12-15 23:00:00,1.4583,20220600,1.4583,20220600,1.454,20220300
2021-12-16 23:00:00,1.4565,20220600,1.4565,20220600,1.4523,20220300
2021-12-17 23:00:00,1.4563,20220600,1.4563,20220600,1.4522,20220300
2021-12-20 23:00:00,1.467,20220600,1.467,20220600,1.4629,20220300
2021-12-21 23:00:00,1.4652,20220600,1.4652,20220600,1.4609,20220300
2021-12-22 23:00:00,1.4624,20220600,1.4624,20220600,1.4583,20220300
2021-12-23 23:00:00,1.4586,20220600,1.4586,20220600,1.4544,20220300
2021-12-27 23:00:00,1.4562,20220600,1.4562,20220600,1.452,20220300
2021-12-28 23:00:00,1.4554,20220600,1.4554,20220600,1.4512,20220300
2021-12-29 23:00:00,1.4583,20220600,1.4583,20220600,1.454,20220300
2021-12-30 23:00:00,1.4502,20220600,1.4502,20220600,1.4459,20220300
2021-12-31 23:00:00,1.4466,20220600,1.4466,20220600,1.4424,20220300
2022-01-03 23:00:00,1.4465,20220600,1.4465,20220600,1.4423,20220300
2022-01-04 23:00:00,1.4406,20220600,1.4406,20220600,1.4364,20220300
2022-01-05 23:00:00,1.4489,20220600,1.4489,20220600,1.4447,20220300
2022-01-06 23:00:00,1.4432,20220600,1.4432,20220600,1.4389,20220300
2022-01-07 23:00:00,1.4421,20220600,1.4421,20220600,1.4377,20220300
2022-01-10 23:00:00,1.4422,20220600,1.4422,20220600,1.4378,20220300
2022-01-11 23:00:00,1.4368,20220600,1.4368,20220600,1.4324,20220300
2022-01-12 23:00:00,1.4376,20220600,1.4376,20220600,1.4332,20220300
2022-01-13 23:00:00,1.4377,20220600,1.4377,20220600,1.4332,20220300
2022-01-14 23:00:00,1.4404,20220600,1.4404,20220600,1.4359,20220300
2022-01-17 23:00:00,1.4404,20220600,1.4404,20220600,1.4303,20220300
2022-01-18 23:00:00,1.4231,20220600,1.4231,20220600,1.4184,20220300
2022-01-19 23:00:00,1.4242,20220600,1.4242,20220600,1.4195,20220300
2022-01-20 23:00:00,1.4174,20220600,1.4174,20220600,1.4127,20220300
2022-01-21 23:00:00,1.4325,20220600,1.4325,20220600,1.4278,20220300
2022-01-24 23:00:00,1.4382,20220600,1.4382,20220600,1.4335,20220300
2022-01-25 23:00:00,1.4308,20220600,1.4308,20220600,1.426,20220300
2022-01-26 23:00:00,1.4304,20220600,1.4304,20220600,1.4259,20220300
2022-01-27 23:00:00,1.4257,20220600,1.4257,20220600,1.4213,20220300
2022-01-28 23:00:00,1.431,20220600,1.431,20220600,1.4264,20220300
2022-01-31 23:00:00,1.4335,20220600,1.4335,20220600,1.4291,20220300
2022-02-01 23:00:00,1.4349,20220600,1.4349,20220600,1.4305,20220300
2022-02-02 23:00:00,1.4382,20220600,1.4382,20220600,1.4339,20220300
2022-02-03 23:00:00,1.4552,20220600,1.4552,20220600,1.4507,20220300
2022-02-04 23:00:00,1.4658,20220600,1.4658,20220600,1.4613,20220300
2022-02-07 23:00:00,1.4548,20220600,1.4548,20220600,1.4503,20220300
2022-02-08 23:00:00,1.457,20220600,1.457,20220600,1.4523,20220300
2022-02-09 23:00:00,1.4542,20220600,1.4542,20220600,1.4497,20220300
2022-02-10 23:00:00,1.4617,20220600,1.4617,20220600,1.457,20220300
2022-02-11 23:00:00,1.45,20220600,1.45,20220600,1.4453,20220300
2022-02-14 23:00:00,1.4442,20220600,1.4442,20220600,1.4394,20220300
2022-02-15 23:00:00,1.452,20220600,1.452,20220600,1.4473,20220300
2022-02-16 23:00:00,1.4496,20220600,1.4496,20220600,1.4448,20220300
2022-02-17 23:00:00,1.4486,20220600,1.4486,20220600,1.4438,20220300
2022-02-18 23:00:00,1.4497,20220600,1.4497,20220600,1.4449,20220300
2022-02-21 23:00:00,1.4497,20220600,1.4497,20220600,1.4448,20220300
2022-02-22 23:00:00,1.4512,20220600,1.4512,20220600,1.4464,20220300
2022-02-23 23:00:00,1.4457,20220600,1.4457,20220600,1.4409,20220300
2022-02-24 23:00:00,1.439,20220600,1.439,20220600,1.4343,20220300
2022-02-25 23:00:00,1.4372,20220600,1.4372,20220600,1.4325,20220300
2022-02-28 23:00:00,1.429,20220600,1.429,20220600,1.4242,20220300
2022-03-01 23:00:00,1.4224,20220600,1.4224,20220600,1.4177,20220300
2022-03-02 23:00:00,1.4124,20220600,1.4124,20220600,1.4077,20220300
2022-03-03 23:00:00,1.4073,20220600,1.4073,20220600,1.4027,20220300
2022-03-04 23:00:00,1.3951,20220600,1.3951,20220600,1.3905,20220300
2022-03-07 23:00:00,1.3939,20220600,1.3939,20220600,1.3892,20220300
2022-03-08 23:00:00,1.4109,20220600,1.4109,20220600,1.4061,20220300
2022-03-09 23:00:00,1.426,20220600,1.426,20220600,1.4214,20220300
2022-03-10 23:00:00,1.4062,20220600,1.4062,20220600,1.4016,20220300
2022-03-11 23:00:00,1.3924,20220600,1.3924,20220600,1.3878,20220300
2022-03-14 23:00:00,1.4175,20220900,1.4175,20220900,1.4101,20220600
2022-03-15 23:00:00,1.4104,20220900,1.4104,20220900,1.403,20220600
2022-03-16 23:00:00,1.4118,20220900,1.4118,20220900,1.4043,20220600
2022-03-17 23:00:00,1.4151,20220900,1.4151,20220900,1.4078,20220600
2022-03-18 23:00:00,1.4039,20220900,1.4039,20220900,1.3966,20220600
2022-03-21 23:00:00,1.3991,20220900,1.3991,20220900,1.3916,20220600
2022-03-22 23:00:00,1.3989,20220900,1.3989,20220900,1.3912,20220600
2022-03-23 23:00:00,1.3951,20220900,1.3951,20220900,1.3875,20220600
2022-03-24 23:00:00,1.3918,20220900,1.3918,20220900,1.3841,20220600
2022-03-25 23:00:00,1.3827,20220900,1.3827,20220900,1.3747,20220600
2022-03-28 23:00:00,1.3888,20220900,1.3888,20220900,1.3805,20220600
2022-03-29 23:00:00,1.398,20220900,1.398,20220900,1.3899,20220600
2022-03-30 23:00:00,1.405,20220900,1.405,20220900,1.3969,20220600
2022-03-31 23:00:00,1.3938,20220900,1.3938,20220900,1.3858,20220600
2022-04-01 23:00:00,1.3934,20220900,1.3934,20220900,1.3852,20220600
2022-04-04 23:00:00,1.3821,20220900,1.3821,20220900,1.3739,20220600
2022-04-05 23:00:00,1.3722,20220900,1.3722,20220900,1.3639,20220600
2022-04-06 23:00:00,1.3775,20220900,1.3775,20220900,1.369,20220600
2022-04-07 23:00:00,1.3806,20220900,1.3806,20220900,1.3722,20220600
2022-04-08 23:00:00,1.3802,20220900,1.3802,20220900,1.3718,20220600
2022-04-11 23:00:00,1.3866,20220900,1.3866,20220900,1.3783,20220600
2022-04-12 23:00:00,1.3801,20220900,1.3801,20220900,1.3719,20220600
2022-04-13 23:00:00,1.3799,20220900,1.3799,20220900,1.3717,20220600
2022-04-14 23:00:00,1.3775,20220900,1.3775,20220900,1.3691,20220600
2022-04-18 23:00:00,1.3726,20220900,1.3726,20220900,1.3641,20220600
2022-04-19 23:00:00,1.3745,20220900,1.3745,20220900,1.3658,20220600
2022-04-20 23:00:00,1.3679,20220900,1.3679,20220900,1.3592,20220600
2022-04-21 23:00:00,1.3756,20220900,1.3756,20220900,1.3666,20220600
2022-04-22 23:00:00,1.3848,20220900,1.3848,20220900,1.3754,20220600
2022-04-25 23:00:00,1.3756,20220900,1.3756,20220900,1.3665,20220600
2022-04-26 23:00:00,1.3747,20220900,1.3747,20220900,1.3657,20220600
2022-04-27 23:00:00,1.3672,20220900,1.3672,20220900,1.3582,20220600
2022-04-28 23:00:00,1.3571,20220900,1.3571,20220900,1.3482,20220600
2022-04-29 23:00:00,1.3682,20220900,1.3682,20220900,1.3592,20220600
2022-05-02 23:00:00,1.3659,20220900,1.3659,20220900,1.357,20220600
2022-05-03 23:00:00,1.3635,20220900,1.3635,20220900,1.3545,20220600
2022-05-04 23:00:00,1.3649,20220900,1.3649,20220900,1.3562,20220600
2022-05-05 23:00:00,1.3629,20220900,1.3629,20220900,1.3543,20220600
2022-05-06 23:00:00,1.3719,20220900,1.3719,20220900,1.3635,20220600
2022-05-09 23:00:00,1.3831,20220900,1.3831,20220900,1.3745,20220600
2022-05-10 23:00:00,1.3823,20220900,1.3823,20220900,1.3738,20220600
2022-05-11 23:00:00,1.3776,20220900,1.3776,20220900,1.3692,20220600
2022-05-12 23:00:00,1.3662,20220900,1.3662,20220900,1.3578,20220600
2022-05-13 23:00:00,1.3554,20220900,1.3554,20220900,1.3473,20220600
2022-05-16 23:00:00,1.35,20220900,1.35,20220900,1.3419,20220600
2022-05-17 23:00:00,1.3626,20220900,1.3626,20220900,1.3544,20220600
2022-05-18 23:00:00,1.3589,20220900,1.3589,20220900,1.3505,20220600
2022-05-19 23:00:00,1.3662,20220900,1.3662,20220900,1.3579,20220600
2022-05-20 23:00:00,1.3649,20220900,1.3649,20220900,1.3566,20220600
2022-05-23 23:00:00,1.3764,20220900,1.3764,20220900,1.3681,20220600
2022-05-24 23:00:00,1.3862,20220900,1.3862,20220900,1.3779,20220600
2022-05-25 23:00:00,1.3786,20220900,1.3786,20220900,1.3704,20220600
2022-05-26 23:00:00,1.3785,20220900,1.3785,20220900,1.3702,20220600
2022-05-27 23:00:00,1.3748,20220900,1.3748,20220900,1.3667,20220600
2022-05-30 23:00:00,1.3748,20220900,1.3748,20220900,1.3645,20220600
2022-05-31 23:00:00,1.3667,20220900,1.3667,20220900,1.3585,20220600
2022-06-01 23:00:00,1.3549,20220900,1.3549,20220900,1.3467,20220600
2022-06-02 23:00:00,1.3596,20220900,1.3596,20220900,1.3513,20220600
2022-06-03 23:00:00,1.3582,20220900,1.3582,20220900,1.3498,20220600
2022-06-06 23:00:00,1.3532,20220900,1.3532,20220900,1.3448,20220600
2022-06-07 23:00:00,1.3501,20220900,1.3501,20220900,1.3418,20220600
2022-06-08 23:00:00,1.3543,20220900,1.3543,20220900,1.3459,20220600
2022-06-09 23:00:00,1.3567,20220900,1.3567,20220900,1.3482,20220600
2022-06-10 23:00:00,1.351,20220900,1.351,20220900,1.3425,20220600
2022-06-13 23:00:00,1.3605,20221200,1.3605,20221200,1.3513,20220900
2022-06-14 23:00:00,1.3678,20221200,1.3678,20221200,1.3585,20220900
2022-06-15 23:00:00,1.3672,20221200,1.3672,20221200,1.3581,20220900
2022-06-16 23:00:00,1.3849,20221200,1.3849,20221200,1.3759,20220900
2022-06-17 23:00:00,1.3842,20221200,1.3842,20221200,1.3751,20220900
2022-06-20 23:00:00,1.3842,20221200,1.3842,20221200,1.3755,20220900
2022-06-21 23:00:00,1.3789,20221200,1.3789,20221200,1.3695,20220900
2022-06-22 23:00:00,1.3844,20221200,1.3844,20221200,1.3749,20220900
2022-06-23 23:00:00,1.3856,20221200,1.3856,20221200,1.376,20220900
2022-06-24 23:00:00,1.3805,20221200,1.3805,20221200,1.3711,20220900
2022-06-27 23:00:00,1.3804,20221200,1.3804,20221200,1.3709,20220900
2022-06-28 23:00:00,1.3713,20221200,1.3713,20221200,1.362,20220900
2022-06-29 23:00:00,1.3633,20221200,1.3633,20221200,1.3539,20220900
2022-06-30 23:00:00,1.3657,20221200,1.3657,20221200,1.3562,20220900
2022-07-01 23:00:00,1.3599,20221200,1.3599,20221200,1.3506,20220900
2022-07-04 23:00:00,1.3599,20221200,1.3599,20221200,1.3506,20220900
2022-07-05 23:00:00,1.3555,20221200,1.3555,20221200,1.3459,20220900
2022-07-06 23:00:00,1.3444,20221200,1.3444,20221200,1.3348,20220900
2022-07-07 23:00:00,1.3343,20221200,1.3343,20221200,1.3251,20220900
2022-07-08 23:00:00,1.334,20221200,1.334,20221200,1.3248,20220900
2022-07-11 23:00:00,1.3227,20221200,1.3227,20221200,1.3134,20220900
2022-07-12 23:00:00,1.3224,20221200,1.3224,20221200,1.313,20220900
2022-07-13 23:00:00,1.3211,20221200,1.3211,20221200,1.3116,20220900
2022-07-14 23:00:00,1.3305,20221200,1.3305,20221200,1.3211,20220900
2022-07-15 23:00:00,1.3296,20221200,1.3296,20221200,1.3202,20220900
2022-07-18 23:00:00,1.3322,20221200,1.3322,20221200,1.3227,20220900
2022-07-19 23:00:00,1.3332,20221200,1.3332,20221200,1.3241,20220900
2022-07-20 23:00:00,1.3261,20221200,1.3261,20221200,1.3169,20220900
2022-07-21 23:00:00,1.3289,20221200,1.3289,20221200,1.3199,20220900
2022-07-22 23:00:00,1.3321,20221200,1.3321,20221200,1.3229,20220900
2022-07-25 23:00:00,1.3276,20221200,1.3276,20221200,1.3183,20220900
2022-07-26 23:00:00,1.3198,20221200,1.3198,20221200,1.3105,20220900
2022-07-27 23:00:00,1.3233,20221200,1.3233,20221200,1.3142,20220900
2022-07-28 23:00:00,1.3187,20221200,1.3187,20221200,1.3098,20220900
2022-07-29 23:00:00,1.3231,20221200,1.3231,20221200,1.314,20220900
2022-08-01 23:00:00,1.3308,20221200,1.3308,20221200,1.3218,20220900
2022-08-02 23:00:00,1.3216,20221200,1.3216,20221200,1.3125,20220900
2022-08-03 23:00:00,1.3179,20221200,1.3179,20221200,1.3086,20220900
2022-08-04 23:00:00,1.3302,20221200,1.3302,20221200,1.3212,20220900
2022-08-05 23:00:00,1.3299,20221200,1.3299,20221200,1.3208,20220900
2022-08-08 23:00:00,1.3237,20221200,1.3237,20221200,1.3145,20220900
2022-08-09 23:00:00,1.3289,20221200,1.3289,20221200,1.3196,20220900
2022-08-10 23:00:00,1.3299,20221200,1.3299,20221200,1.3208,20220900
2022-08-11 23:00:00,1.33,20221200,1.33,20221200,1.3209,20220900
2022-08-12 23:00:00,1.3241,20221200,1.3241,20221200,1.3148,20220900
2022-08-15 23:00:00,1.3238,20221200,1.3238,20221200,1.3144,20220900
2022-08-16 23:00:00,1.3191,20221200,1.3191,20221200,1.3096,20220900
2022-08-17 23:00:00,1.3262,20221200,1.3262,20221200,1.3169,20220900
2022-08-18 23:00:00,1.3178,20221200,1.3178,20221200,1.3088,20220900
2022-08-19 23:00:00,1.3155,20221200,1.3155,20221200,1.3064,20220900
2022-08-22 23:00:00,1.3084,20221200,1.3084,20221200,1.2993,20220900
2022-08-23 23:00:00,1.303,20221200,1.303,20221200,1.294,20220900
2022-08-24 23:00:00,1.3041,20221200,1.3041,20221200,1.2951,20220900
2022-08-25 23:00:00,1.3011,20221200,1.3011,20221200,1.2921,20220900
2022-08-26 23:00:00,1.3089,20221200,1.3089,20221200,1.3002,20220900
2022-08-29 23:00:00,1.31,20221200,1.31,20221200,1.3015,20220900
2022-08-30 23:00:00,1.3235,20221200,1.3235,20221200,1.3149,20220900
2022-08-31 23:00:00,1.3284,20221200,1.3284,20221200,1.3199,20220900
2022-09-01 23:00:00,1.3197,20221200,1.3197,20221200,1.3111,20220900
2022-09-02 23:00:00,1.3181,20221200,1.3181,20221200,1.3096,20220900
2022-09-05 23:00:00,1.3181,20221200,1.3181,20221200,1.3096,20220900
2022-09-06 23:00:00,1.3131,20221200,1.3131,20221200,1.3045,20220900
2022-09-07 23:00:00,1.322,20221200,1.322,20221200,1.3131,20220900
2022-09-08 23:00:00,1.3181,20221200,1.3181,20221200,1.3097,20220900
2022-09-09 23:00:00,1.318,20221200,1.318,20221200,1.3096,20220900
2022-09-12 23:00:00,1.3233,20221200,1.3233,20221200,1.3148,20220900
2022-09-13 23:00:00,1.3288,20230300,1.3288,20230300,1.3216,20221200
2022-09-14 14:30:00,1.3288,20230300,1.3288,20230300,1.3251,20221200
2022-09-14 15:00:00,1.3288,20230300,1.3288,20230300,1.3222,20221200
2022-09-14 16:00:00,1.3288,20230300,1.3288,20230300,1.3232,20221200
