DATE_TIME,current_contract,next_contract,carry_contract
2022-11-21 23:00:00,20221200,20230300,20230100
2023-02-20 23:00:00,20230300,20230600,20230400
2023-05-22 23:00:00,20230600,20230900,20230700
2023-09-12 04:00:02,20230900,20231200,20231200
2023-12-19 04:00:01,20231200,20240300,20240100
2024-03-20 10:00:01,20240300,20240600,20240400
2024-05-16 05:00:00,20240600,20240900,20240700
2024-08-16 05:00:00,20240900,20241200,20241000
2024-11-18 23:00:00,20241200,20250300,20250100
2025-02-10 23:00:00,20250300,20250600,20250400
2025-05-19 23:00:00,20250600,20250900,20250700
2025-06-16 23:00:00,20250900,20251200,20251200
