DATE_TIME,current_contract,next_contract,carry_contract
2024-03-14 20:00:01,20240300,20240400,20240400
2024-04-11 23:00:00,20240400,20240500,20240500
2024-05-10 23:00:00,20240500,20240600,20240600
2024-06-11 14:30:00,20240600,20240700,20240700
2024-07-11 23:00:00,20240700,20240800,20240800
2024-08-12 23:00:00,20240800,20240900,20240900
2024-09-11 23:00:00,20240900,20241000,20241000
2024-10-11 23:00:00,20241000,20241100,20241100
2024-11-11 23:00:00,20241100,20241200,20241200
2024-12-11 14:30:00,20241200,20250100,20250100
2025-01-10 14:30:00,20250100,20250200,20250200
2025-02-11 14:30:00,20250200,20250300,20250300
2025-03-11 13:30:00,20250300,20250400,20250400
2025-04-11 14:30:00,20250400,20250500,20250500
2025-05-12 13:30:00,20250500,20250600,20250600
2025-06-11 13:30:00,20250600,20250700,20250700
2025-07-11 13:30:00,20250700,20250800,20250800
2025-07-11 13:30:00,20250800,20250900,20250900
