DATE_TIME,current_contract,next_contract,carry_contract
2024-03-04 14:00:01,20240300,20240400,20240400
2024-03-28 23:00:00,20240400,20240500,20240500
2024-04-29 23:00:00,20240500,20240600,20240600
2024-05-30 23:00:00,20240600,20240700,20240700
2024-06-28 20:00:00,20240700,20240800,20240800
2024-07-30 23:00:00,20240800,20240900,20240900
2024-08-30 23:00:00,20240900,20241000,20241000
2024-09-30 23:00:00,20241000,20241100,20241100
2024-10-30 23:00:00,20241100,20241200,20241200
2024-11-29 23:00:00,20241200,20250100,20250100
2024-12-30 23:00:00,20250100,20250200,20250200
2025-01-30 16:00:00,20250200,20250300,20250300
2025-02-27 16:00:00,20250300,20250600,20250600
2025-05-30 14:00:00,20250600,20250900,20250900
2025-07-07 23:00:00,20250900,20251200,20251200
